L' F U' R B
L' R F U' R B
D2 L' R2 F U' R
L' R' F U' R B
R' L' F U' R B
R2 L' F U' R B
R L' F U' R B
D2 L' F R2 U' R'
D' L' F U' R B2
D' L' F U' B2 R
L' R2 F U' R B
U2 L2 B' U R' F'
L' U2 L' B' U R'
D2 R2 L' F U' R
L' U2 B' L' U R'
L' D F U' R B
L' D' F U' R B
L' D2 F U' R B
L' F U' R D B
L' F U' R D' B
L' F U' R D2 B
L' F U' R B D
L' F U' R B D'
L' F U' R B D2
L' F U' D R B
L' F U' D' R B
L' F U' D2 R B
L' F U' B R B
L' F U' B' R B
L' F U' B2 R B
D2 F R2 U' R' F'
L' F D U' R B
L' F D' U' R B
L' F D2 U' R B
L' F2 R F' U' R
L' F2 D R F' U'
F D2 R2 U' R' F'
L' R U2 L' B' U R'
D2 L R2 F L2 U' R
L' R U2 B' L' U R'
L' R D F U' R B
L' R D' F U' R B
L' R D2 F U' R B
L' R F U' R D B
L' R F U' R D' B
L' R F U' R D2 B
L' R F U' R B D
L' R F U' R B D'
L' R F U' R B D2
L' R F U' D R B
L' R F U' D' R B
L' R F U' D2 R B
L' R F U' B R B
L' R F U' B' R B
L' R F U' B2 R B
L' R F D U' R B
L' R F D' U' R B
L' R F D2 U' R B
L' R F2 R F' U' R
L' R F2 D R F' U'
D2 L F L2 R2 U' R'
D' L F L2 U' R B2
D' L F L2 U' B2 R
D L F L2 U' R B'
D L F L2 U' B' R
D2 L F R2 L2 U' R'
D' L F' L2 U' B2 R'
R' L' U2 L' B' U R'
L' R' U2 L' B' U R'
R2 L' U2 L' B' U R'
R L' U2 L' B' U R'
R' L' U2 B' L' U R'
L' R' U2 B' L' U R'
D' L' R F U' R B2
D' L' R F U' B2 R
R2 L' U2 B' L' U R'
R L' U2 B' L' U R'
R' L' D F U' R B
L' R' D F U' R B
D2 L' R' F R' U' R2
R2 L' D F U' R B
D' L' R' F U' R B2
D' L' R' F U' B2 R
R L' D F U' R B
D2 L' R2 U2 B' U R'
D2 L' R2 D F U' R
D2 L' R2 D' F U' R
R' L' D' F U' R B
D2 L' R2 D2 F U' R
L' R' D' F U' R B
D2 L' R2 F U' R D
D2 L' R2 F U' R D'
D2 L' R2 F U' R D2
D2 L' R2 F U' D R
D2 L' R2 F U' D' R
D2 L' R2 F U' D2 R
D2 L' R2 F D U' R
D2 L' R2 F D' U' R
D2 L' R2 F D2 U' R
D' L' R2 F U' R B2
D' L' R2 F U' B2 R
D2 L' R2 F' U L' U2
R2 L' D' F U' R B
R L' D' F U' R B
R' L' D2 F U' R B
L' R' D2 F U' R B
R2 L' D2 F U' R B
R L' D2 F U' R B
R' L' F U' R D B
R' L' F U' R D' B
R' L' F U' R D2 B
R' L' F U' R B D
R' L' F U' R B D'
R' L' F U' R B D2
R' L' F U' D R B
R' L' F U' D' R B
R' L' F U' D2 R B
R' L' F U' B R B
R' L' F U' B' R B
R' L' F U' B2 R B
L' R' F U' R D B
L' R' F U' R D' B
L' R' F U' R D2 B
L' R' F U' R B D
L' R' F U' R B D'
L' R' F U' R B D2
L' R' F U' D R B
L' R' F U' D' R B
L' R' F U' D2 R B
L' R' F U' B R B
L' R' F U' B' R B
L' R' F U' B2 R B
R' L' F D U' R B
L' R' F D U' R B
R' L' F D' U' R B
L' R' F D' U' R B
R' L' F D2 U' R B
R2 L' F U' R D B
R2 L' F U' R D' B
R2 L' F U' R D2 B
R2 L' F U' R B D
R2 L' F U' R B D'
R2 L' F U' R B D2
R2 L' F U' D R B
R2 L' F U' D' R B
R2 L' F U' D2 R B
R2 L' F U' B R B
L' R' F D2 U' R B
R2 L' F U' B' R B
R2 L' F U' B2 R B
R L' F U' R D B
R L' F U' R D' B
R L' F U' R D2 B
R L' F U' R B D
R L' F U' R B D'
R L' F U' R B D2
R L' F U' D R B
R L' F U' D' R B
R L' F U' D2 R B
R2 L' F D U' R B
R L' F U' B R B
R L' F U' B' R B
R L' F U' B2 R B
R2 L' F D' U' R B
R L' F D U' R B
R2 L' F D2 U' R B
R L' F D' U' R B
R L' F D2 U' R B
U' L' U2 L' B' U L2
D' L' U2 B' U R' B'
R' L' F2 R F' U' R
L' R' F2 R F' U' R
U L' U2 B' L' U L
R2 L' F2 R F' U' R
R' L' F2 D R F' U'
L' R' F2 D R F' U'
R L' F2 R F' U' R
D2 L' D F U' R B2
D2 L' D F U' B2 R
D L' D R2 F U' R
R2 L' F2 D R F' U'
D L' D F R2 U' R'
R L' F2 D R F' U'
D' L' D' R2 F U' R
D' L' D' F R2 U' R'
D L' D2 F U' R B2
D L' D2 F U' B2 R
D' L' F R' U' R2 B2
D' L' F R' U' B2 R2
D2 L' F R2 U' R' D
D2 L' F R2 U' R' D'
D2 L' F R2 U' R' D2
D2 L' F R2 U' D R'
D2 L' F R2 U' D' R'
D2 L' F R2 U' D2 R'
D2 L' F R2 D U' R'
D' L' F R2 U' R' B2
D2 L' F R2 D' U' R'
D2 L' F R2 D2 U' R'
D2 L' F R2 F U' R'
D2 L' F R2 F' U' R'
D2 L' F R2 F2 U' R'
D' L' F U' R B2 D
D' L' F U' R B2 D'
D' L' F U' R B2 D2
D2 L' F U' D R B2
D2 L' F U' D B2 R
D' L' F U' R' B2 R2
D' L' F U' B' R B'
D' L' F U' B2 R D
D' L' F U' B2 R D'
D' L' F U' B2 R D2
D' L' F U' B2 D R
D' L' F U' B2 D' R
D' L' F U' B2 D2 R
D2 L' F D U' R B2
D2 L' F D U' B2 R
D' L' F D' R2 U' R'
B' L' F B U' R B
B2 L' F B2 U' R B
D2 L' F' R2 U L' U2
D2 L' F' R2 F2 U' R
D' L' F' U L' U2 B2
D L' F' U L' F' U2
D2 L' F2 R2 F' U' R
L' R2 U2 L' B' U R'
L' R2 U2 B' L' U R'
B' L' B F U' R B
L' R2 D F U' R B
L' R2 D' F U' R B
B2 L' B2 F U' R B
L' R2 D2 F U' R B
U2 L2 R B' U R' F'
L' R2 F U' R D B
L' R2 F U' R D' B
L' R2 F U' R D2 B
L' R2 F U' R B D
L' R2 F U' R B D'
L' R2 F U' R B D2
L' R2 F U' D R B
L' R2 F U' D' R B
L' R2 F U' D2 R B
L' R2 F U' B R B
L' R2 F U' B' R B
L' R2 F U' B2 R B
L' R2 F D U' R B
L' R2 F D' U' R B
L' R2 F D2 U' R B
U2 L2 R' B' U R' F'
D2 L2 R2 F L U' R
U2 L2 R2 B' U R' F'
L' R2 F2 R F' U' R
L' R2 F2 D R F' U'
U' L2 U2 L F U' L
U2 L2 U2 L F U' R
U2 L2 U2 F L U' R
U2 L2 D B' U R' F'
L' U L U L2 B' U
U2 L2 D' B' U R' F'
L' U L' U B' U B
D2 L2 F L R2 U' R'
D' L2 F L U' R B2
D' L2 F L U' B2 R
U2 L2 D2 B' U R' F'
D2 L2 F R2 L U' R'
L' U L2 U L B' U
B L2 F U2 L U' R
B L2 F B2 R' U R2
U2 L2 B' U R' D F'
U2 L2 B' U R' D' F'
U2 L2 B' U R' D2 F'
U2 L2 B' U R' F' D
U2 L2 B' U R' F' D'
U2 L2 B' U R' F' D2
U2 L2 B' U D R' F'
U2 L2 B' U D' R' F'
U2 L2 B' U D2 R' F'
U2 L2 B' U F R' F'
U2 L2 B' U F' R' F'
U2 L2 B' U F2 R' F'
U2 L2 B' D U R' F'
U2 L2 B' D' U R' F'
U2 L2 B' D2 U R' F'
U2 L2 B2 R' B U R'
B L2 B2 R' F U R
U2 L2 B2 D' R' B U
B L2 B2 F R' U R2
D' R L' F U' R B2
D' R L' F U' B2 R
U2 R L2 B' U R' F'
L' U' R U' L' B U
L' U' R U' B L' U
D2 R' L' F R' U' R2
D' R' L' F U' R B2
D' R' L' F U' B2 R
U2 R' L2 B' U R' F'
L' U2 L B' L2 U R'
L' U2 L' U2 F U' R
L' U2 L' D B' U R'
L' U2 L' D' B' U R'
L' U2 L' D2 B' U R'
L U2 L B' U R' F'
L' U2 L' B U' L U2
L' U2 L' B' U R' D
L' U2 L' B' U R' D'
L' U2 L' B' U R' D2
L' U2 L' B' U D R'
L' U2 L' B' U D' R'
L' U2 L' B' U D2 R'
L' U2 L' B' D U R'
L' U2 L' B' D' U R'
L' U2 L' B' D2 U R'
R' U2 L2 B' U R' F'
R2 U2 L2 B' U R' F'
R U2 L2 B' U R' F'
L' U2 D L' B' U R'
L' U2 D B' L' U R'
L' U2 D' L' B' U R'
L' U2 D' B' L' U R'
L' U2 D2 L' B' U R'
D2 R2 L F L2 U' R
L' U2 D2 B' L' U R'
D2 R2 L' U2 B' U R'
D2 R2 L' D F U' R
D2 R2 L' D' F U' R
D2 R2 L' D2 F U' R
D2 R2 L' F U' R D
D2 R2 L' F U' R D'
D2 R2 L' F U' R D2
D2 R2 L' F U' D R
D2 R2 L' F U' D' R
D2 R2 L' F U' D2 R
D2 R2 L' F D U' R
D2 R2 L' F D' U' R
D2 R2 L' F D2 U' R
