B2 L2 U F2 B' U
B2 L2 U B' F2 U
D R2 U' F L2 U'
B2 U F2 U2 F' U'
D2 U' F B2 U' F
B2 U' D' F U' L2
B2 U' D2 F B2 U'
B2 U' D2 B2 F U'
B2 U' F U2 F U
D2 U' B2 F U' F
U' D2 F B2 U' F
U' D2 B2 F U' F
U' F D L2 B' U'
B2 D R2 U' F U'
F2 D' L2 R2 B U
F2 D' R2 L2 B U
F2 D' R2 B L2 U
B2 D' U' F U' L2
U F2 D' R2 B U
B2 D2 U' F B2 U'
B2 D2 U' B2 F U'
L2 B2 U F2 B U
L2 B2 U B F2 U
B L D R2 U2 F' R
F2 L D' L2 R2 B U
F2 L D' R2 L2 B U
F2 L D' R2 B L2 U
B L D' B U2 L2 R'
B L D' B U2 R' L2
L2 R B2 U F2 B U
L2 R B2 U B F2 U
B2 L' U F2 B' U R'
B2 L' U B' F2 U R'
F2 L' D' L2 R2 B U
F2 L' D' R2 L2 B U
F2 L' D' R2 B L2 U
L2 R' B2 U F2 B U
L2 R' B2 U B F2 U
B2 L2 R U F2 B' U
B2 L2 R U B' F2 U
B2 L2 R' U F2 B' U
B2 L2 R' U B' F2 U
B2 L2 R2 U F2 B' U
B2 L2 R2 U B' F2 U
B2 L2 U D' B' U L2
B' L2 U F2 B' U F'
D' L2 U B' R2 F' U
B' L2 U B' F2 U F'
B2 L2 U F2 D B' U
B2 L2 U F2 D' B' U
B2 L2 U F2 D2 B' U
B2 L2 U F2 B' U D
B2 L2 U F2 B' U D'
B2 L2 U F2 B' U D2
B2 L2 U F2 B' D U
B2 L2 U F2 B' D' U
B2 L2 U F2 B' D2 U
B2 L2 U B' U D' L2
B2 L2 U B' D' U L2
B2 L2 U B' F2 U D
B2 L2 U B' F2 U D'
B2 L2 U B' F2 U D2
B2 L2 U B' F2 D U
B2 L2 U B' F2 D' U
B2 L2 U B' F2 D2 U
B2 L2 D R2 U B' U
R' L2 B2 U F2 B U
R' L2 B2 U B F2 U
L2 R2 B2 U F2 B U
L2 R2 B2 U B F2 U
R2 L2 B2 U F2 B U
R2 L2 B2 U B F2 U
F2 L2 D' L2 R2 B U
R L2 B2 U F2 B U
R L2 B2 U B F2 U
F2 L2 D' R2 L2 B U
F2 L2 D' R2 B L2 U
B2 L2 D' U B' U L2
U L2 F2 B' L2 U F
B L2 B U F2 B2 U
B L2 B U B2 F2 U
B L2 B U2 D' L2 R2
B L2 B U2 D' R2 L2
B L2 B D L2 R2 U2
B L2 B D R2 L2 U2
B L2 B D' U2 L2 R2
B L2 B D' U2 R2 L2
U L2 B' L2 F2 U F'
F L2 B' U F' B' U2
F L2 B' U B' F' U2
U L2 B' F2 L2 U F
L2 U D' R2 B' U L2
L2 U D' B' R2 U L2
B2 R L2 U F2 B' U
B2 R L2 U B' F2 U
B2 R U F2 U2 F' U'
R' U F2 D' R2 B U
D2 R U' F B2 U' F
L2 U F2 D' R2 B' U
L2 U F2 D' B' R2 U
L2 U F2 D2 B' U F2
B2 R U' D' F U' L2
R2 U F2 D' R2 B U
B2 R U' D2 F B2 U'
L2 U F2 B' U' B' U2
B2 R U' D2 B2 F U'
B2 R U' F U2 F U
D2 R U' B2 F U' F
R U F2 D' R2 B U
L2 U B' U D' L2 F
B2 R D R2 U' F U'
L2 U B' D' U L2 F
L2 U B' F2 U' B' U2
B2 R D' U' F U' L2
B2 R D2 U' F B2 U'
B2 R D2 U' B2 F U'
U R F2 D' R2 B U
R' U' D2 F B2 U' F
R' U' D2 B2 F U' F
R2 U' D2 F B2 U' F
R' U' F D L2 B' U'
R2 U' D2 B2 F U' F
R U' D2 F B2 U' F
R U' D2 B2 F U' F
B2 R' L2 U F2 B' U
B2 R' L2 U B' F2 U
R2 U' F D L2 B' U'
R U' F D L2 B' U'
B2 R' U F2 U2 F' U'
D2 R' U' F B2 U' F
B2 R' U' D' F U' L2
B2 R' U' D2 F B2 U'
B2 R' U' D2 B2 F U'
B2 R' U' F U2 F U
D2 R' U' B2 F U' F
B2 R' D R2 U' F U'
B2 R' D' U' F U' L2
B2 R' D2 U' F B2 U'
B2 R' D2 U' B2 F U'
U R' F2 D' R2 B U
B2 R2 L2 U F2 B' U
B2 R2 L2 U B' F2 U
B2 R2 U F2 U2 F' U'
D2 R2 U' F B2 U' F
B2 R2 U' D' F U' L2
B2 R2 U' D2 F B2 U'
B2 R2 U' D2 B2 F U'
D R2 U' L2 U2 B' U
B2 R2 U' F U2 F U
D2 R2 U' B2 F U' F
D R2 U' D F U' F
D R2 U' F L2 U' D
D R2 U' F L2 U' D'
D R2 U' F L2 U' D2
D R2 U' F L2 D U'
D R2 U' F L2 D' U'
D R2 U' F L2 D2 U'
D R2 U' F U' D F2
D R2 U' F D U' F2
D R2 U' F' L2 F2 U'
D R2 U' F2 L2 F' U'
D R2 U2 F' D R2 F2
D R2 U2 F' D F2 R2
B2 R2 D R2 U' F U'
F R2 D L2 B' U' B2
D R2 D U' F U' F
F2 R2 D' L2 B R2 U
B2 R2 D' U' F U' L2
F2 R2 D' B L2 R2 U
F2 R2 D' B R2 L2 U
D R2 D' B2 U' F U'
B2 R2 D2 U' F B2 U'
B2 R2 D2 U' B2 F U'
F2 R2 D2 B U F2 B
F2 R2 D2 B U B F2
R' D R2 U' F L2 U'
F2 R2 B U' F2 B U2
F2 R2 B U' B F2 U2
U R2 F2 D' R2 B U
L2 D R2 U' L2 F U'
D R2 B U' F L2 U'
R2 D R2 U' F L2 U'
R D R2 U' F L2 U'
D R2 B' U' F L2 U'
D R2 B2 U' F L2 U'
B2 U L2 F2 B' L2 U
B2 U L2 B' L2 F2 U
B2 U L2 B' F2 L2 U
D' U R2 U2 F U' L2
B2 U R2 F2 R2 B U
U' D F L2 U R2 U2
U' D F L2 U' D2 L2
U' D F L2 D B2 U'
U' D F L2 D2 U' L2
U' D F D B2 U' F2
D' U F2 R2 B U L2
B2 U F' D F' U R2
B2 U F' D2 F' B2 U
B2 U F' D2 B2 F' U
B2 U F2 R2 B R2 U
B2 U F2 U2 D F' U'
B2 U F2 U2 D' F' U'
B2 U F2 U2 D2 F' U'
B2 U F2 U2 F' U' D
B2 U F2 U2 F' U' D'
B2 U F2 U2 F' U' D2
B2 U F2 U2 F' D U'
B2 U F2 U2 F' D' U'
B2 U F2 U2 F' D2 U'
B2 U F2 D U2 F' U'
B2 U F2 D' U2 F' U'
B2 U F2 D2 U2 F' U'
B2 U F2 B U2 F' U'
B2 U F2 B' U2 F' U'
B2 U F2 B2 U2 F' U'
F U F' B2 U F2 U
F U F' B2 U2 D' L2
F U F' B2 D R2 U2
F U F' B2 D' U2 L2
B U F2 R2 B U F'
B2 U B F2 U2 F' U'
B2 U B' F2 U2 F' U'
L2 D' U R2 B' U L2
L2 D' U B' R2 U L2
B2 U B2 F2 U2 F' U'
U2 D' L2 U' R2 B' U
U2 D' L2 U' B' R2 U
F U B2 F' U F2 U
F U B2 F' U2 D' L2
F U B2 F' D R2 U2
F U B2 F' D' U2 L2
D' U' F U' L2 D' F2
U' D' F U' L2 D' F2
U' D' F U2 R2 U L2
D' U' F U2 R2 U L2
D2 U' F U' D F L2
D2 U' F U' F D L2
D' U' F D' B2 U' F2
U' D' F D' B2 U' F2
D2 U' F D U' F L2
U D' R2 U2 F U' L2
D2 U' F B2 U' D F
D2 U' F B2 U' D' F
D2 U' F B2 U' D2 F
D2 U' F B2 U' F D
D2 U' F B2 U' F D'
D2 U' F B2 U' F D2
D2 U' F B2 D U' F
D2 U' F B2 D' U' F
D2 U' F B2 D2 U' F
D U' F L2 U R2 U2
D U' F L2 U' D2 L2
D U' F L2 D B2 U'
D U' F L2 D2 U' L2
D U' F D B2 U' F2
B2 U' D F U R2 U2
B2 U' D F U' D2 L2
B2 U' D F D B2 U'
B2 U' D F D2 U' L2
B' U' D' F U' L2 F
U D' F2 R2 B U L2
B2 U' D' F U' L2 D
B2 U' D' F U' L2 D'
B2 U' D' F U' L2 D2
B2 U' D' F D' B2 U'
B2 U' D' F B U' L2
B2 U' D' F B' U' L2
B2 U' D' F B2 U' L2
B2 U' D' B F U' L2
B2 U' D' B' F U' L2
B2 U' D' B2 F U' L2
B2 U' D2 F U' D L2
B2 U' D2 F D U' L2
B2 U' D2 F B2 U' D
B2 U' D2 F B2 U' D'
B2 U' D2 F B2 U' D2
B2 U' D2 F B2 D U'
B2 U' D2 F B2 D' U'
B2 U' D2 F B2 D2 U'
B2 U' D2 B2 D F U'
B' U' F L2 B' U' F
B2 U' D2 B2 D' F U'
B2 U' D2 B2 D2 F U'
B2 U' D2 B2 F U' D
B2 U' D2 B2 F U' D'
B2 U' D2 B2 F U' D2
B2 U' D2 B2 F D U'
B2 U' D2 B2 F D' U'
B2 U' D2 B2 F D2 U'
B2 U' F L2 B' L2 U'
D2 U' B2 D' F L2 U'
D2 U' B2 F U' D F
D2 U' B2 F U' D' F
D2 U' B2 F U' D2 F
D2 U' B2 F U' F D
D2 U' B2 F U' F D'
D2 U' B2 F U' F D2
D2 U' B2 F D U' F
D2 U' B2 F D' U' F
D2 U' B2 F D2 U' F
B2 U' F U2 D F U
B2 U' F U2 D' F U
B2 U' F U2 D2 F U
B2 U' F U2 F U D
B2 U' F U2 F U D'
B2 U' F U2 F U D2
B2 U' F U2 F D U
B2 U' F U2 F D' U
B2 U' F U2 F D2 U
B2 U' F D U2 F U
B2 U' F D' U2 F U
B2 U' F D2 U2 F U
B2 U' F B U2 F U
B2 U' F B' U2 F U
B2 U' F B2 U2 F U
D' U2 L2 U' R2 B' U
D' U2 L2 U' B' R2 U
F2 U' F2 B2 U' F U'
B2 U' B D' F U' L2
B2 U' B D2 F B2 U'
B2 U' B D2 B2 F U'
B2 U' B F U2 F U
B2 U' B' D' F U' L2
B2 U' B' D2 F B2 U'
B2 U' B' D2 B2 F U'
B2 U' B' F U2 F U
R' D2 U' F B2 U' F
R' D2 U' B2 F U' F
B2 U' B2 D' F U' L2
B2 U' B2 D2 F B2 U'
B2 U' B2 D2 B2 F U'
B2 U' B2 F U2 F U
F2 U' B2 F2 U' F U'
R2 D2 U' F B2 U' F
R2 D2 U' B2 F U' F
U' D2 F U' D F L2
U' D2 F U' F D L2
U' D2 F D U' F L2
R D2 U' F B2 U' F
U' D2 F B2 U' D F
U' D2 F B2 U' D' F
U' D2 F B2 U' D2 F
U' D2 F B2 U' F D
U' D2 F B2 U' F D'
U' D2 F B2 U' F D2
U' D2 F B2 D U' F
U' D2 F B2 D' U' F
U' D2 F B2 D2 U' F
D2 U2 F B2 U' F B2
D2 U2 F B2 U' B2 F
R D2 U' B2 F U' F
B2 U2 L2 U' F2 B' U
U2 D2 F B2 U' F B2
B2 U2 L2 U' B' F2 U
U2 D2 F B2 U' B2 F
D2 U2 F' D L2 F' R2
D2 U2 F' D F' L2 R2
D2 U2 F' D F' R2 L2
U2 D2 F' D L2 F' R2
U2 D2 F' D F' L2 R2
U2 D2 F' D F' R2 L2
D2 U2 F2 U F' B2 U'
D2 U2 F2 U B2 F' U'
U2 D2 F2 U F' B2 U'
U2 D2 F2 U B2 F' U'
U' D2 B2 D' F L2 U'
U' D2 B2 F U' D F
U' D2 B2 F U' D' F
U' D2 B2 F U' D2 F
U' D2 B2 F U' F D
U' D2 B2 F U' F D'
U' D2 B2 F U' F D2
F2 U2 D L2 F' R2 U'
U' D2 B2 F D U' F
U' D2 B2 F D' U' F
U' D2 B2 F D2 U' F
D2 U2 B2 F U' F B2
D2 U2 B2 F U' B2 F
F2 U2 D F' L2 R2 U'
F2 U2 D F' R2 L2 U'
B2 U2 D' L2 U' B' U
U2 D2 B2 F U' F B2
U2 D2 B2 F U' B2 F
F2 U2 D2 F' U' F' B2
F2 U2 D2 F' U' B2 F'
F U2 D' R2 F U B
U' F L2 D B' L2 U'
U' F L2 D2 B' U' F2
U' F L2 B' L2 U' F
U' F L2 B' U B' U2
F2 U2 F' U F' B2 U2
D F L2 U R2 U2 B
F2 U2 F' U B2 F' U2
D F L2 U F' R2 U2
F U2 F U D2 F2 B2
F U2 F U D2 B2 F2
F U2 F U' F2 B2 U2
F U2 F U' B2 F2 U2
F U2 F D' L2 R2 U
F U2 F D' R2 L2 U
F U2 F D2 U F2 B2
F U2 F D2 U B2 F2
D' F R2 U' B L2 F
D2 F R2 B2 U' F B'
D2 F R2 B2 U' B' F
U' F U B2 U F U
D' F U2 R2 U L2 B
D' F U2 R2 U B L2
U' F U2 D' R2 F U
U' F U2 D' F R2 U
U' F U2 D2 F U F
U' F U2 F U D2 F2
U' F U2 F U' B2 U2
U' F U2 F D' R2 U
U' F U2 F D2 U F2
U' F D L2 D B' U'
U' F D L2 D' B' U'
U' F D L2 D2 B' U'
U' F D L2 B' U' D
U' F D L2 B' U' D'
U' F D L2 B' U' D2
U' F D L2 B' D U'
U' F D L2 B' D' U'
U' F D L2 B' D2 U'
U' F D B L2 B' U'
U' F D B' L2 B' U'
U' F D B2 L2 B' U'
U2 F D L2 B' U' B
B2 D L2 R2 U B' U
U' F D' U2 R2 F U
U' F D' U2 F R2 U
U' F D2 L2 B' U' F2
F D L2 R2 B' U' B2
U' F D2 U2 F U F
F D L2 B' R2 U' B
F D L2 B' U F' U2
U F D' F R2 B U
U' F B' L2 B' U' F
B2 D R2 L2 U B' U
B2 D R2 U' D F U'
B2 D R2 U' D' F U'
B2 D R2 U' D2 F U'
B2 D R2 U' F U' D
B2 D R2 U' F U' D'
B2 D R2 U' F U' D2
B2 D R2 U' F D U'
B2 D R2 U' F D' U'
B2 D R2 U' F D2 U'
B2 D R2 D U' F U'
B' D R2 B' U' F U'
B2 D R2 D' U' F U'
B2 D R2 D2 U' F U'
D2 F B2 R2 U' F B
D2 F B2 R2 U' B F
U' F B2 U2 F U F'
B D R2 U' F U' F2
D2 F B2 U F' U2 F2
B D R2 U2 F' D R2
D2 F B2 U' F D2 B2
F D R2 L2 B' U' B2
B2 D U' F U R2 U2
B2 D U' F U' D2 L2
B2 D U' F D B2 U'
B2 D U' F D2 U' L2
F2 D U2 L2 F' R2 U'
F2 D U2 F' L2 R2 U'
F2 D U2 F' R2 L2 U'
F2 D F' L2 R2 B' U'
F2 D F' L2 B' R2 U'
F2 D F' R2 L2 B' U'
B' D B' R2 U' F U'
B D B R2 U' F U'
D2 F' D L2 F' R2 B'
D2 F' D L2 F' B' R2
D2 F' D L2 B' F' R2
F2 D' L' R2 B L' U
F2 D' L2 R2 D B U
F2 D' L2 R2 D' B U
F2 D' L2 R2 D2 B U
F2 D' L2 R2 B U D
F2 D' L2 R2 B U D'
F2 D' L2 R2 B U D2
F2 D' L2 R2 B D U
F2 D' L2 R2 B D' U
F2 D' L2 R2 B D2 U
F2 D' L2 B R2 B U
F2 D' L2 B' R2 B U
F2 D' L2 B2 R2 B U
B2 D' R U' F U' L2
B2 D' R' U' F U' L2
F2 D' R2 L' B L' U
F2 D' R2 L2 D B U
F2 D' R2 L2 D' B U
F2 D' R2 L2 D2 B U
B2 D' R2 U' F U' L2
F2 D' R2 L2 B U D
F2 D' R2 L2 B U D'
F2 D' R2 L2 B U D2
F2 D' R2 L2 B D U
F2 D' R2 L2 B D' U
F2 D' R2 L2 B D2 U
F2 D' R2 D' B U B
U F' D2 F' B2 U F'
F2 D' R2 B L2 U D
F2 D' R2 B L2 U D'
F2 D' R2 B L2 U D2
F2 D' R2 B L2 D U
F2 D' R2 B L2 D' U
F2 D' R2 B L2 D2 U
F2 D' R2 B U D' B2
U F' D2 B2 F' U F'
F2 D' R2 B D' U B2
F2 D' R2 B' L2 B2 U
B' D' U' F U' L2 F
B2 D' U' F U' L2 D
B2 D' U' F U' L2 D'
B2 D' U' F U' L2 D2
B2 D' U' F D' B2 U'
B2 D' U' F B U' L2
B2 D' U' F B' U' L2
B2 D' U' F B2 U' L2
B2 D' U' B F U' L2
B2 D' U' B' F U' L2
B2 D' U' B2 F U' L2
B2 D' U2 L2 U' B' U
F D' U2 R2 F U B
F2 D' B L2 R2 B U
F2 D' B R2 L2 B U
F2 D' B R2 B L2 U
B' D' B' U' F U' L2
F2 D' B' L2 R2 B U
F2 D' B' R2 L2 B U
B D' B U' F U' L2
F2 D' B' R2 B L2 U
F2 D' B2 L2 R2 B U
F2 D' B2 R2 L2 B U
F2 D' B2 R2 B L2 U
U F2 R2 D' B R2 U
U F2 R2 D2 B U F2
U F2 R2 B R2 U F'
U F2 R2 B U' B U2
U' F2 D F' L2 B' U'
