U2 R B2 U F2 B'
U2 R B2 U B' F2
L' U' F2 D' R2 B'
L' U' F2 D' B' R2
L U' F2 D' R2 B
L' U2 B2 U F2 B
L' U2 B2 U B F2
L D' L2 U' R2 B'
L D' L2 U' B' R2
U2 B2 R U F2 B
U2 B2 R U B F2
U2 L R B2 U F2 B'
U2 L R B2 U B' F2
L' R U' F2 D' R2 B'
L' R U' F2 D' B' R2
R' L U' F2 D' R2 B
R2 L U' F2 D' R2 B
L R U' F2 D' R2 B
R L U' F2 D' R2 B
L' R U2 B2 U F2 B
L' R U2 B2 U B F2
R' L D' L2 U' R2 B'
R' L D' L2 U' B' R2
R2 L D' L2 U' R2 B'
R2 L D' L2 U' B' R2
L R D' L2 U' R2 B'
L R D' L2 U' B' R2
R L D' L2 U' R2 B'
R L D' L2 U' B' R2
D2 L D L2 U' R2 B'
D2 L D L2 U' B' R2
B2 L D R2 U L2 B'
D' L F2 L U' R2 B
D2 L F2 U F' B2 U2
D2 L F2 U B2 F' U2
R' L' U' F2 D' R2 B'
R' L' U' F2 D' B' R2
L' R' U' F2 D' R2 B'
L' R' U' F2 D' B' R2
R2 L' U' F2 D' R2 B'
R2 L' U' F2 D' B' R2
U2 L B2 R U F2 B
U2 L B2 R U B F2
L R' U' F2 D' R2 B
R L' U' F2 D' R2 B'
R L' U' F2 D' B' R2
U' L B2 U L' F2 B'
U' L B2 U L' B' F2
R' L' U2 B2 U F2 B
R' L' U2 B2 U B F2
L' R' U2 B2 U F2 B
L' R' U2 B2 U B F2
R2 L' U2 B2 U F2 B
R2 L' U2 B2 U B F2
R L' U2 B2 U F2 B
R L' U2 B2 U B F2
U2 L' R B2 U F2 B'
U2 L' R B2 U B' F2
L R' D' L2 U' R2 B'
L R' D' L2 U' B' R2
B2 L' U F2 D B' L2
F' L' U' D' F' R2 B'
F' L' U' D' F' B' R2
F' L' U' D' B' F' R2
F' L' U' F' D' R2 B'
F' L' U' F' D' B' R2
D L' U' D' F2 R B'
D L' U' D' F2 B' R
D L' U' D' B' F2 R
D L' U' B' D' F2 R
F' L' U2 B2 U F' B
F' L' U2 B2 U B F'
B2 L' U2 B2 U' F2 B
B2 L' U2 B2 U' B F2
B2 L' D R2 U B' L2
F' L' D' U' F' R2 B'
F' L' D' U' F' B' R2
F' L' D' U' B' F' R2
D L' D' U' F2 R B'
D L' D' U' F2 B' R
D L' D' U' B' F2 R
F' L' D2 F2 U' F B'
F' L' D2 F2 U' B' F
F2 L' D2 F2 U' F2 B'
F2 L' D2 F2 U' B' F2
D2 L' F2 U B2 U2 B
D2 L' F2 U' D2 F2 B'
D2 L' F2 U' D2 B' F2
L' R2 U' F2 D' R2 B'
L' R2 U' F2 D' B' R2
U' L' F2 D' L R2 B'
D2 L' F2 D2 U' F2 B'
D2 L' F2 D2 U' B' F2
U' L' F2 D' L B' R2
U' L' F2 D' R2 L B'
L R2 U' F2 D' R2 B
L' R2 U2 B2 U F2 B
L' R2 U2 B2 U B F2
U2 L' B2 R U F2 B
U2 L' B2 R U B F2
L R2 D' L2 U' R2 B'
L R2 D' L2 U' B' R2
D' L2 R' U' D2 R' B
U2 L2 R B2 U F2 B'
