D2 L2 R2 F L U
B' L2 U2 L B U
U2 L2 U2 F L U
D2 L2 F L R2 U
D2 L2 F R2 L U
B L2 F B2 R' U'
B L2 B2 R' F U'
B L2 B2 F R' U'
L' U2 L B' L2 U'
L' U2 L' U2 F U
D2 R2 L2 F L U
L' D2 F2 R F' U
F2 U2 R B' L2 U'
L2 F L U2 L' U'
F2 U2 B' L2 R U'
F2 U2 B' R L2 U'
F U2 B' L2 R' U'
F U2 B' R' L2 U'
L2 F' L F2 R U
L' F2 D2 R F' U
U2 B L2 B2 R' U'
U2 B' L2 U2 L U
L' R U2 L B' L2 U'
L' R U2 L' U2 F U
F2 L U2 L R B U'
F2 L U2 R L B U'
L' R D2 F2 R F' U
L2 R F L U2 L' U'
L2 R F' L F2 R U
B' L D2 L R2 F' U'
B' L D2 R2 L F' U'
B' L D2 R2 F' L U'
L' R F2 D2 R F' U
B2 L B2 L2 R' F U
B2 L B2 L2 F R' U
R' L' U2 L B' L2 U'
L' R' U2 L B' L2 U'
R' L' U2 L' U2 F U
L' R' U2 L' U2 F U
B2 L B2 R' L2 F U
R2 L' U2 L B' L2 U'
R2 L' U2 L' U2 F U
R L' U2 L B' L2 U'
R L' U2 L' U2 F U
D2 L' R D2 R F' U
D2 L' R2 D F U L'
R' L' D2 F2 R F' U
L' R' D2 F2 R F' U
D L' U F D F L'
R2 L' D2 F2 R F' U
R L' D2 F2 R F' U
L2 R' F L U2 L' U'
L2 R' F' L F2 R U
D L' U2 L B' U' F2
B L' U2 L' F B2 U'
B L' U2 L' B2 F U'
B L' U2 B2 L' F U'
R' L' F2 D2 R F' U
D L' D R2 F U L'
L' R' F2 D2 R F' U
D L' D F R2 U L'
R2 L' F2 D2 R F' U
R L' F2 D2 R F' U
D' L' D2 R F' U F'
F' L' F L' F R U
D L' F U D F L'
D L' F D U F L'
F2 L' F2 L' R F U
F2 L' F2 R L' F U
L' R2 U2 L B' L2 U'
L' R2 U2 L' U2 F U
B' L' B U2 B' L' U'
B2 L' B2 U2 B' L' U'
U2 L2 R U2 F L U
L' R2 D2 F2 R F' U
B L2 R F B2 R' U'
R' L2 F L U2 L' U'
B L2 R B2 R' F U'
B L2 R B2 F R' U'
D2 L2 R' F L R' U
D2 L2 R' F R' L U
L2 R2 F L U2 L' U'
U2 L2 R' U2 F L U
R2 L2 F L U2 L' U'
R L2 F L U2 L' U'
B L2 R' F B2 R' U'
D2 L2 R2 D F L U
R' L2 F' L F2 R U
D2 L2 R2 D' F L U
B L2 R' B2 R' F U'
D2 L2 R2 D2 F L U
B L2 R' B2 F R' U'
D2 L2 R2 F L U D
D2 L2 R2 F L U D'
D2 L2 R2 F L U D2
D2 L2 R2 F L D U
D2 L2 R2 F L D' U
D2 L2 R2 F L D2 U
U2 L2 R2 U2 F L U
D2 L2 R2 F D L U
D2 L2 R2 F D' L U
D2 L2 R2 F D2 L U
D2 L2 R2 F' L F2 U
D2 L2 R2 F2 L F' U
B' L2 R2 F' U2 L U
L2 R2 F' L F2 R U
R2 L2 F' L F2 R U
B L2 R2 F B2 R' U'
R L2 F' L F2 R U
B L2 R2 B2 R' F U'
B L2 R2 B2 F R' U'
L' R2 F2 D2 R F' U
B' L2 U2 L D B U
B' L2 U2 L D' B U
B' L2 U2 L D2 B U
B' L2 U2 L B U D
B' L2 U2 L B U D'
B' L2 U2 L B U D2
B' L2 U2 L B D U
B' L2 U2 L B D' U
B' L2 U2 L B D2 U
B' L2 U2 L' B L2 U
B' L2 U2 L2 B L' U
U L2 U' F L U F'
B' L2 U2 D L B U
B' L2 U2 D' L B U
B' L2 U2 D2 L B U
U2 L2 U2 D F L U
U2 L2 U2 D' F L U
U2 L2 U2 D2 F L U
U2 L2 U2 F L U D
U2 L2 U2 F L U D'
U2 L2 U2 F L U D2
U2 L2 U2 F L D U
U2 L2 U2 F L D' U
U2 L2 U2 F L D2 U
U2 L2 U2 F D L U
U2 L2 U2 F D' L U
U2 L2 U2 F D2 L U
U2 L2 U2 F' L F2 U
U2 L2 U2 F2 L F' U
B' L2 D U2 L B U
D L2 D R2 F L U
U2 L2 D U2 F L U
D L2 D F L R2 U
D L2 D F R2 L U
D' L2 D' R2 F L U
B' L2 D' U2 L B U
D' L2 D' F L R2 U
D' L2 D' F R2 L U
L' U L U B' L2 U'
U2 L2 D' U2 F L U
B' L2 D2 U2 L B U
L' U L' U' F U F'
U2 L2 D2 U2 F L U
D2 L2 F L R2 U D
D2 L2 F L R2 U D'
D2 L2 F L R2 U D2
D2 L2 F L R2 D U
D2 L2 F L R2 D' U
D2 L2 F L R2 D2 U
D2 L2 F L U D' F2
D2 L2 F L D' U F2
D' L2 F L U D2 F2
D' L2 F L U' B2 U2
D' L2 F L D' R2 U
D' L2 F L D2 U F2
F' L2 F L' U2 L U'
D2 L2 F R2 L U D
D2 L2 F R2 L U D'
D2 L2 F R2 L U D2
D2 L2 F R2 L D U
D2 L2 F R2 L D' U
D2 L2 F R2 L D2 U
D2 L2 F R2 D L U
D2 L2 F R2 D' L U
D2 L2 F R2 D2 L U
B' L2 F U2 L B U
D2 L2 F D' L U F2
D' L2 F D' L R2 U
D' L2 F D' R2 L U
B L2 F R B2 R' U'
D' L2 F D2 L U F2
B L2 F R' B2 R' U'
B L2 F R2 B2 R' U'
D2 L2 F' L R2 F2 U
D2 L2 F' L F2 R2 U
D2 L2 F' R2 L F2 U
D2 L2 F' R2 F2 L U
B L2 F B2 R' U' D
B L2 F B2 R' U' D'
B L2 F B2 R' U' D2
B L2 F B2 R' D U'
B L2 F B2 R' D' U'
B L2 F B2 R' D2 U'
B L2 F B2 D R' U'
B L2 F B2 D' R' U'
B L2 F B2 D2 R' U'
D L2 F' L F2 U F
B' L2 F' U2 L B U
D2 L2 F2 L F' R2 U
B L2 F' B2 R' F2 U'
D L2 F2 L F' U F
B' L2 F2 U2 L B U
U2 L2 B2 R' U2 F U
B L2 B2 R F R2 U'
B L2 B2 R' D F U'
B L2 B2 R' D' F U'
B L2 B2 R' D2 F U'
B L2 B2 R' F U' D
B L2 B2 R' F U' D'
B L2 B2 R' F U' D2
B L2 B2 R' F D U'
B L2 B2 R' F D' U'
B L2 B2 R' F D2 U'
B L2 B2 D R' F U'
B L2 B2 D F R' U'
B L2 B2 D' R' F U'
B L2 B2 D' F R' U'
B L2 B2 D2 R' F U'
B L2 B2 D2 F R' U'
B L2 B2 F R' U' D
B L2 B2 F R' U' D'
B L2 B2 F R' U' D2
B L2 B2 F R' D U'
B L2 B2 F R' D' U'
B L2 B2 F R' D2 U'
B L2 B2 F D R' U'
B L2 B2 F D' R' U'
B L2 B2 F D2 R' U'
B L2 B2 F' R' F2 U'
D2 R L' D2 R F' U
U2 R L2 U2 F L U
B R L2 F B2 R' U'
B R L2 B2 R' F U'
B R L2 B2 F R' U'
F R U2 B' L2 R' U'
F R U2 B' R' L2 U'
B' R F2 L2 R F' U'
B' R F2 R L2 F' U'
B' R F2 R F' L2 U'
F2 R B L2 F B2 U'
F2 R B L2 B2 F U'
U2 R B L2 B2 R' U'
F2 R B' L2 U2 B U
U2 R B' L2 U2 L U
D2 R' L2 F L R' U
D2 R' L2 F R' L U
U2 R' L2 U2 F L U
B R' L2 F B2 R' U'
B R' L2 B2 R' F U'
B R' L2 B2 F R' U'
F2 R' U2 R2 B' L2 U'
F2 R' U2 B' L2 R2 U'
F2 R' U2 B' R2 L2 U'
F R' U2 B' L2 R' U'
F R' U2 B' R' L2 U'
L' U2 L D B' U' F2
L' U2 L B L2 B2 U'
L' U2 L B' L2 U' D
L' U2 L B' L2 U' D'
L' U2 L B' L2 U' D2
L' U2 L B' L2 D U'
L' U2 L B' L2 D' U'
L' U2 L B' L2 D2 U'
L' U2 L B' U' D F2
L' U2 L B' D U' F2
L' U2 L B2 L2 B U'
F2 R' D2 L2 R2 F U
F2 R' D2 L2 F R2 U
L U2 L U2 L F U
F2 R' D2 R2 L2 F U
L' U2 L' U2 D F U
L' U2 L' U2 D' F U
L' U2 L' U2 D2 F U
