B L B' U F L'
B L R B' U F L'
B L R' B' U F L'
B L R2 B' U F L'
B L D2 B' U F L
B L F' B' U F2 L'
B L B' R U F L'
B L B' R' U F L'
B L B' R2 U F L'
B L B' U F L' D
B L B' U F L' D'
B L B' U F L' D2
B L B' U F D L'
B L B' U F D' L'
B L B' U F D2 L'
B L B' F' U F2 L'
B R L B' U F L'
L2 U' L' F R B' L'
L2 U' L' F B' L' R
L2 U' L' F B' R L'
L2 U' L' B' F L' R
L2 U' L' B' F R L'
B R' L B' U F L'
L2 U' F L' R F B'
L2 U' F L' R B' F
L2 U' F L' B' R F
L2 U' F R L' F B'
L2 U' F R L' B' F
B R2 L B' U F L'
L U2 B' U F L' B'
L' F U B' U2 L' B'
L' F U' L2 F L B'
L2 F U' L' F R B'
L2 F U' L' F B' R
L2 F U' L' B' F R
L F B L' D' R2 B2
L F B L' D' B2 R2
R' B L B' U F L'
R2 B L B' U F L'
R B L B' U F L'
B F L B' U F L2
F B L B' U F L2
L B F L' D' R2 B2
L B F L' D' B2 R2
L' B' U' R' F U' L'
L' B' U' F R' U' L'
L B' U2 R' U' F L'
