L2 R U' F L'
R L2 U' F L'
R U' L2 F L'
L' R U' L' F L'
L' R U' F L' F
L2 R U' F L' D
L2 R U' F L' D'
L2 R U' F L' D2
L2 R U' F D L'
L2 R U' F D' L'
L2 R U' F D2 L'
L2 R B U' F L'
L2 R B' U' F L'
L2 R B2 U' F L'
R L' U' L' F L'
R L' U' F L' F
R L2 U' F L' D
R L2 U' F L' D'
R L2 U' F L' D2
R L2 U' F D L'
R L2 U' F D' L'
R L2 U' F D2 L'
R L2 B U' F L'
R L2 B' U' F L'
R L2 B2 U' F L'
R U D2 B' U2 L
D2 R U B' U2 L
D2 R U B' U2 L
R U' L' F L' F
R U' L2 F L' D
R U' L2 F L' D'
R U' L2 F L' D2
R U' L2 F D L'
R U' L2 F D' L'
R U' L2 F D2 L'
R U' F L2 F L
R D2 U B' U2 L
L2 B R U' F L'
L2 B' R U' F L'
L2 B2 R U' F L'
L2 R U R U2 F L'
L2 R U R' U2 F L'
L2 R U R2 U2 F L'
D' L R B' L U' F
L2 R U B U2 F L'
L' R U' L' F L' D
L' R U' L' F L' D'
L' R U' L' F L' D2
L' R U' L' F D L'
L' R U' L' F D' L'
L' R U' L' F D2 L'
L2 R U B' U2 F L'
L2 R U B2 U2 F L'
L2 R U' L F L' F
L2 R U' R F L' R'
L2 R U' R F R' L'
L' R U' F L' D F
L' R U' F L' D' F
L' R U' F L' D2 F
L' R U' F L' F D
L' R U' F L' F D'
L' R U' F L' F D2
L2 R U' R2 F L' R2
L2 R U' R2 F R2 L'
L2 R U' F L2 D L
L2 R U' F L2 D' L
L2 R U' F L2 D2 L
L2 R U' F D L' D
L2 R U' F D L' D'
L2 R U' F D L' D2
L2 R U' F D' L' D
L2 R U' F D' L' D'
L2 R U' F D' L' D2
L2 R U' F D2 L' D
L2 R U' F D2 L' D'
L2 R U' F D2 L' D2
L2 R U' F B' L' B
L2 R U' F B2 L' B2
L2 R U' F' L F2 L'
L2 R U' F' L' F2 L'
L2 R U' F' L2 F2 L'
L2 R U' F2 L F' L'
L2 R U' F2 L' F' L'
L2 R U' F2 L2 F' L'
L2 R U' F2 D F' L'
L2 R U' F2 D' F' L'
L2 R U' F2 D2 F' L'
L2 R U' B' F L' B
L2 R U' B2 F L' B2
L2 R U2 R U F L'
L2 R U2 R' U F L'
L2 R U2 R2 U F L'
L' R U2 F U L' F
L2 R U2 F' U F2 L'
L' R D' L B' L U'
L R D' L B' U' F
R L D' L B' U' F
L' R D' B' L B' U'
L2 R D2 B' U' F L
L' R B L' U' F L'
L R B L U' F L'
R L B L U' F L'
L' R B U' L' F L'
L' R B U' F L' F
L2 R B U' F L' D
L2 R B U' F L' D'
L2 R B U' F L' D2
L2 R B U' F D L'
L2 R B U' F D' L'
L2 R B U' F D2 L'
L' R B' L' U' F L'
L R B' L U' F L'
R L B' L U' F L'
L' R B' U' L' F L'
L' R B' U' F L' F
L2 R B' U' F L' D
L2 R B' U' F L' D'
L2 R B' U' F L' D2
L2 R B' U' F D L'
L2 R B' U' F D' L'
L2 R B' U' F D2 L'
L' R B2 L' U' F L'
L R B2 L U' F L'
R L B2 L U' F L'
L' R B2 U' L' F L'
L' R B2 U' F L' F
L2 R B2 U' F L' D
L2 R B2 U' F L' D'
L2 R B2 U' F L' D2
L2 R B2 U' F D L'
L2 R B2 U' F D' L'
L2 R B2 U' F D2 L'
D' L B' L R U' F
D' L B' R L U' F
R L' U' L' F L' D
R L' U' L' F L' D'
R L' U' L' F L' D2
R L' U' L' F D L'
R L' U' L' F D' L'
R L' U' L' F D2 L'
L2 R' U' F L' D B2
L2 R' U' F D L' B2
L2 R' U' F D B2 L'
R L' U' F L' D F
R L' U' F L' D' F
R L' U' F L' D2 F
R L' U' F L' F D
R L' U' F L' F D'
R L' U' F L' F D2
R L' U2 F U L' F
R L' D' L B' L U'
R L' D' B' L B' U'
R L' B L' U' F L'
L2 R' B R2 U' F L'
R L' B U' L' F L'
R L' B U' F L' F
R L' B' L' U' F L'
L2 R' B' R2 U' F L'
R L' B' U' L' F L'
R L' B' U' F L' F
