B2 L F' U' B'
B2 F' L U' B'
F' B2 L U' B'
B2 L R U' B' R'
B2 L D F' U' B'
B2 L D' F' U' B'
B2 L D2 F' U' B'
B2 L F' R U' B'
B2 L F' R' U' B'
B2 L F' R2 U' B'
B2 L F' U' D B'
B2 L F' U' D' B'
B2 L F' U' D2 B'
B2 L F' U' B' D
B2 L F' U' B' D'
B2 L F' U' B' D2
B2 L F' D U' B'
B2 L F' D' U' B'
B2 L F' D2 U' B'
F' L B2 L U' B
B2 R L U' B' R'
B2 D L F' R U'
B2 D F' L R U'
B2 D F' R L U'
U' F' B2 L U' B'
U2 F' B2 L U' B'
L F' B2 L U' B
U F' B2 L U' B'
B2 F L F2 U' B'
B2 F' L R U' B'
B2 F' L R' U' B'
B2 F' L R2 U' B'
B2 F' L U' D B'
B2 F' L U' D' B'
B2 F' L U' D2 B'
B2 F' L U' B' D
B2 F' L U' B' D'
B2 F' L U' B' D2
B2 F' L D U' B'
B2 F' L D' U' B'
B2 F' L D2 U' B'
B2 F' R L U' B'
B2 F' R' L U' B'
B2 F' R2 L U' B'
U' B2 L F' U' B'
U2 B2 L F' U' B'
L B2 L F' U' B
F' B2 L R U' B'
F' B2 L R' U' B'
F' B2 L R2 U' B'
F' B2 L R2 U' B'
F' B2 L U' D B'
F' B2 L U' D' B'
F' B2 L U' D2 B'
F' B2 L U' B' D
F' B2 L U' B' D'
F' B2 L U' B' D2
F' B2 L D U' B'
F' B2 L D' U' B'
F' B2 L D2 U' B'
U B2 L F' U' B'
F' B2 R L U' B'
F B2 L F2 U' B'
F' B2 R' L U' B'
F' B2 R2 L U' B'
F' B2 R2 L U' B'
U' B2 F' L U' B'
U2 B2 F' L U' B'
L B2 F' L U' B
U B2 F' L U' B'
B2 L R U' R B' R'
B2 L R U' R' B' R'
B2 L R U' R2 B' R'
B2 L R U' D B' R'
B2 L R U' D' B' R'
B2 L R U' D2 B' R'
B2 L R U' B' R' D
B2 L R U' B' R' D'
B2 L R U' B' R' D2
B2 L R U' B' D R'
B2 L R U' B' D' R'
B2 L R U' B' D2 R'
B2 L R D U' B' R'
B2 L R D' U' B' R'
B2 L R D2 U' B' R'
B2 L R F U' B' R'
B2 L R F' U' B' R'
B2 L R F2 U' B' R'
B2 L R2 U' B' D' R2
B2 L R2 U2 B U B2
B2 L U' R2 B' D' R2
B2 L U' B' U F' U'
B2 L D R U' B' R'
B2 L D F' R U' B'
B2 L D F' R' U' B'
B2 L D F' R2 U' B'
B2 L D F' U' D B'
B2 L D F' U' D' B'
B2 L D F' U' D2 B'
B2 L D F' U' B' D
B2 L D F' U' B' D'
B2 L D F' U' B' D2
B2 L D F' D U' B'
B2 L D F' D' U' B'
B2 L D F' D2 U' B'
B2 L D' R U' B' R'
B2 L D' F' R U' B'
B2 L D' F' R' U' B'
B2 L D' F' R2 U' B'
B2 L D' F' U' D B'
B2 L D' F' U' D' B'
B2 L D' F' U' D2 B'
B2 L D' F' U' B' D
B2 L D' F' U' B' D'
B2 L D' F' U' B' D2
B2 L D' F' D U' B'
B2 L D' F' D' U' B'
B2 L D' F' D2 U' B'
B2 L D2 R U' B' R'
B2 L D2 F' R U' B'
B2 L D2 F' R' U' B'
B2 L D2 F' R2 U' B'
B2 L D2 F' U' D B'
B2 L D2 F' U' D' B'
B2 L D2 F' U' D2 B'
B2 L D2 F' U' B' D
B2 L D2 F' U' B' D'
B2 L D2 F' U' B' D2
B2 L D2 F' D U' B'
B2 L D2 F' D' U' B'
B2 L D2 F' D2 U' B'
B2 L F R F2 U' B'
B2 L F R' F2 U' B'
B2 L F R2 F2 U' B'
B2 L F U' D R2 B'
B2 L F U' D B' R2
B2 L F U' B' D R2
B2 L F D U' R2 B'
B2 L F D U' B' R2
B2 L F' R U' D B'
B2 L F' R U' D' B'
B2 L F' R U' D2 B'
B2 L F' R U' B' D
B2 L F' R U' B' D'
B2 L F' R U' B' D2
B2 L F' R D U' B'
B2 L F' R D' U' B'
B2 L F' R D2 U' B'
B2 L F' R' U' D B'
B2 L F' R' U' D' B'
B2 L F' R' U' D2 B'
B2 L F' R' U' B' D
B2 L F' R' U' B' D'
B2 L F' R' U' B' D2
B2 L F' R' D U' B'
B2 L F' R' D' U' B'
B2 L F' R' D2 U' B'
B2 L F' R2 U' D B'
B2 L F' R2 U' D' B'
B2 L F' R2 U' D2 B'
B2 L F' R2 U' B' D
B2 L F' R2 U' B' D'
B2 L F' R2 U' B' D2
B2 L F' R2 D U' B'
B2 L F' R2 D' U' B'
B2 L F' R2 D2 U' B'
B2 L F' U F U2 B'
B2 L F' U F' U2 B'
B2 L F' U F2 U2 B'
B2 L F' U' R' B' R
B2 L F' U' R2 B' R2
B2 L F' U' D B' D
B2 L F' U' D B' D'
B2 L F' U' D B' D2
B2 L F' U' D' B' D
B2 L F' U' D' B' D'
B2 L F' U' D' B' D2
B2 L F' U' D2 B' D
B2 L F' U' D2 B' D'
B2 L F' U' D2 B' D2
B2 L F' U' B2 D B
B2 L F' U' B2 D' B
B2 L F' U' B2 D2 B
B2 L F' D R U' B'
B2 L F' D R' U' B'
B2 L F' D R2 U' B'
B2 L F' D U' B' D
B2 L F' D U' B' D'
B2 L F' D U' B' D2
B2 L F' D' R U' B'
B2 L F' D' R' U' B'
B2 L F' D' R2 U' B'
B2 L F' D' U' B' D
B2 L F' D' U' B' D'
B2 L F' D' U' B' D2
B2 L F' D2 R U' B'
B2 L F' D2 R' U' B'
B2 L F' D2 R2 U' B'
B2 L F' D2 U' B' D
B2 L F' D2 U' B' D'
B2 L F' D2 U' B' D2
U2 L F' B2 L U' B
U' L F' B2 L U' B
B L F' B L U' B2
U L F' B2 L U' B
B2 L F2 R F U' B'
B2 L F2 R' F U' B'
B2 L F2 R2 F U' B'
B2 L F2 D F U' B'
B2 L F2 D' F U' B'
B2 L F2 D2 F U' B'
F L F2 B2 L U' B
B L B L F' U' B2
B L B F' L U' B2
F' L B2 L U' D B
F' L B2 L U' D' B
F' L B2 L U' D2 B
F' L B2 L U' B D
F' L B2 L U' B D'
F' L B2 L U' B D2
F' L B2 L D U' B
F' L B2 L D' U' B
F' L B2 L D2 U' B
U' L B2 L F' U' B
U2 L B2 L F' U' B
F L B2 L F2 U' B
U L B2 L F' U' B
F' L B2 D L U' B
F' L B2 D' L U' B
F' L B2 D2 L U' B
U' L B2 F' L U' B
U2 L B2 F' L U' B
F L B2 F2 L U' B
U L B2 F' L U' B
B2 L' F' L2 U F2 U2
B2 L' F' L2 U' D2 B2
B2 L' F' L2 D R2 U'
B2 L' F' L2 D2 U' B2
B2 L' F' D R2 U' F2
B2 L2 D L' F' U' B'
B2 L2 D' L' F' U' B'
B2 L2 D2 L' F' U' B'
F' L2 B2 L U F U2
B2 R L U' R B' R'
B2 R L U' R' B' R'
B2 R L U' R2 B' R'
B2 R L U' D B' R'
B2 R L U' D' B' R'
B2 R L U' D2 B' R'
B2 R L U' B' R' D
B2 R L U' B' R' D'
B2 R L U' B' R' D2
B2 R L U' B' D R'
B2 R L U' B' D' R'
B2 R L U' B' D2 R'
B2 R L D U' B' R'
B2 R L D' U' B' R'
B2 R L D2 U' B' R'
B2 R L F U' B' R'
B2 R L F' U' B' R'
B2 R L F2 U' B' R'
L U F' B2 L U' B
L U B2 L F' U' B
L U B2 F' L U' B
B2 R F L U' B' R'
B2 R F' L U' B' R'
B2 R F2 L U' B' R'
B' R B' L U' B' R'
L U' F' B2 L U' B
L U' B2 L F' U' B
L U' B2 F' L U' B
D2 R' F2 U D B R'
D2 R' F2 D U B R'
B2 R2 L U' B' D' R2
B2 R2 L U2 B U B2
L U2 F' B2 L U' B
L U2 B2 L F' U' B
L U2 B2 F' L U' B
D2 R2 B R F2 U B
F2 U F B2 L U' B'
B' U F' B' L U' B'
B' U B' L F' U' B'
F U F2 B2 L U' B'
B' U B' F' L U' B'
F2 U B2 F L U' B'
F U B2 L F2 U' B'
F U B2 F2 L U' B'
B2 U' F' L U' B' L'
F2 U' F B2 L U' B'
B' U' F' B' L U' B'
B' U' B' L F' U' B'
F U' F2 B2 L U' B'
B' U' B' F' L U' B'
F2 U' B2 F L U' B'
F U' B2 L F2 U' B'
F U' B2 F2 L U' B'
F' U2 D2 R' F2 U B
F' U2 D2 F2 R' U B
F2 U2 F B2 L U' B'
B' U2 F' B' L U' B'
B' U2 B' L F' U' B'
F U2 F2 B2 L U' B'
B' U2 B' F' L U' B'
F2 U2 B2 F L U' B'
L' F U' F2 B2 L U'
L' F U' B2 L F2 U'
L' F U' B2 F2 L U'
F U2 B2 L F2 U' B'
B2 D L F' R U' D
B2 D L F' R U' D'
B2 D L F' R U' D2
B2 D L F' R D U'
B2 D L F' R D' U'
B2 D L F' R D2 U'
B2 D L F' D R U'
B2 D L F' D' R U'
B2 D L F' D2 R U'
F U2 B2 F2 L U' B'
B2 D L' F' L2 R U'
