F2 L' D R' F' B
F2 L' D R' B F'
F2 D L' R' F' B
F2 D L' R' B F'
F2 D R' L' F' B
F2 D R' L' B F'
F2 D R' B L' F'
F' L R' D' F' L' B2
F' L R' D' F' B2 L'
F' L R' D' B2 F' L'
F' L R' F' D' L' B2
F' L R' F' D' B2 L'
F' L D' R' F' L' B2
F' L D' R' F' B2 L'
F' L D' R' B2 F' L'
F2 L' R' F' U R U'
F2 L' D R' D F' B
F2 L' D R' D B F'
F2 L' D R' D' F' B
F2 L' D R' D' B F'
F2 L' D R' D2 F' B
F2 L' D R' D2 B F'
F2 L' D R' F' D B
F2 L' D R' F' D' B
F2 L' D R' F' D2 B
F2 L' D R' F' B D
F2 L' D R' F' B D'
F2 L' D R' F' B D2
F2 L' D R' B D F'
F2 L' D R' B D' F'
F2 L' D R' B D2 F'
F2 L' D R' B F' D
F2 L' D R' B F' D'
F2 L' D R' B F' D2
F2 L' D F R' F' B
F2 L' D F R' B F'
F2 L' D F' R' F' B
F2 L' D F' R' B F'
F2 L' D F2 R' F' B
F2 L' D F2 R' B F'
F2 L' F' R' D F' B2
F2 L' F' R' D B2 F'
F2 L' F' R' F' D B2
F2 L2 R' D' L F' B'
F2 L2 R' D' L B' F'
F2 L2 R' D' F' L B'
F' L2 R' F' L' D' B2
F2 L2 D L R' F' B
F2 L2 D L R' B F'
F2 L2 D R' L F' B
F2 L2 D R' L B F'
F2 L2 D R' F' L B
F2 L2 D' L R' F' B'
F2 L2 D' L R' B' F'
F2 L2 D' R' L F' B'
F2 L2 D' R' L B' F'
F2 L2 D' R' F' L B'
R U L' U R2 F' B'
R U L' U R2 B' F'
F R U' R2 F L' F2
F R U' F L' R2 F'
F R U' F R2 L' F'
F R U' F2 R2 F' L'
F R F U' L' R2 F'
F R F U' R2 L' F'
R2 U' R D2 L2 F' B
R2 U' R D2 L2 B F'
R2 U' R D2 F' L2 B
R2 U' R D2 F' B L2
R2 U' R D2 B L2 F'
R2 U' R D2 B F' L2
R U' R U' B R F'
R2 U' R F' D2 L2 B
R2 U' R F' D2 B L2
R2 U' R F' B D2 L2
R2 U' R B D2 L2 F'
R2 U' R B D2 F' L2
R2 U' R B F' D2 L2
R2 U' R' U2 R2 F' B
R2 U' R' U2 R2 B F'
R2 U' R' F' U2 R2 F'
R2 U' R' F' B U2 R2
R2 U' R' B U2 R2 B
R2 U' R' B F' U2 R2
F' R' L D' F' L' B2
F' R' L D' F' B2 L'
F' R' L D' B2 F' L'
F' R' L F' D' L' B2
F' R' L F' D' B2 L'
F2 R' L' F' U R U'
F' R' L2 F' L' D' B2
F2 R' L2 D' L F' B'
F2 R' L2 D' L B' F'
F2 R' L2 D' F' L B'
F' R' U' L' U F' L'
R2 U' B R F' B L
R2 U' B R B L F'
R2 U' B R B F' L
R2 U' B2 L R F' B
R2 U' B2 L R B F'
R2 U' B2 R L F' B
R2 U' B2 R L B F'
R2 U' B2 R F' L B
F2 R' D' L F' B' L2
F2 R' D' L B' L2 F'
F2 R' D' L B' F' L2
F2 R' D' L' F' D2 B2
F R' F L' F2 D B2
F' R' F' L2 D' L B'
F' R' F' D' L B' L2
R' U2 R2 B U L U
F' U' L' U R' F' L'
R' D' F' U' L' F' U
R' D2 L F' L D' B2
R' D2 L2 F' U' L' U
R' D2 F' L D' L B2
R' D2 F' L2 U' L U
R' D2 F' U' L' U L'
R' F R U' F2 L' R'
R' F R U' F2 R' L'
R' F U R U' F2 L'
F2 D L R' F' L2 B
F2 D L R' F' B L2
F2 D L R' B L2 F'
F2 D L R' B F' L2
F2 D L' R' D F' B
F2 D L' R' D B F'
F2 D L' R' D' F' B
F2 D L' R' D' B F'
F2 D L' R' D2 F' B
F2 D L' R' D2 B F'
F2 D L' R' F' D B
F2 D L' R' F' D' B
F2 D L' R' F' D2 B
F2 D L' R' F' B D
F2 D L' R' F' B D'
F2 D L' R' F' B D2
F2 D L' R' B D F'
F2 D L' R' B D' F'
F2 D L' R' B D2 F'
F2 D L' R' B F' D
F2 D L' R' B F' D'
F2 D L' R' B F' D2
R F U' R U' R F'
F2 D L' F R' F' B
F2 D L' F R' B F'
F2 D L' F' R' F' B
F2 D L' F' R' B F'
F2 D L' F2 R' F' B
F2 D L' F2 R' B F'
F2 D L2 R' F' L B
F2 D R' L F' L2 B
F2 D R' L F' B L2
F2 D R' L B L2 F'
F2 D R' L B F' L2
F2 D R' L' D F' B
F2 D R' L' D B F'
F2 D R' L' D' F' B
F2 D R' L' D' B F'
F2 D R' L' D2 F' B
F2 D R' L' D2 B F'
F2 D R' L' F' D B
F2 D R' L' F' D' B
F2 D R' L' F' D2 B
F2 D R' L' F' B D
F2 D R' L' F' B D'
F2 D R' L' F' B D2
F2 D R' L' B D F'
F2 D R' L' B D' F'
F2 D R' L' B D2 F'
F2 D R' L' B F' D
F2 D R' L' B F' D'
F2 D R' L' B F' D2
F2 D R' L2 F' L B
F2 D R' D L' F' B
F2 D R' D L' B F'
F2 D R' D B L' F'
F2 D R' D' L' F' B
F2 D R' D' L' B F'
F2 D R' D' B L' F'
F2 D R' D2 L' F' B
F2 D R' D2 L' B F'
F2 D R' D2 B L' F'
F2 D R' B L F' L2
F2 D R' B L' D F'
F2 D R' B L' D' F'
F2 D R' B L' D2 F'
F2 D R' B L' F' D
F2 D R' B L' F' D'
F2 D R' B L' F' D2
F2 D R' B L2 F' L
F2 D R' B D L' F'
F2 D R' B D' L' F'
F2 D R' B D2 L' F'
F2 D R' B' L' F' B2
F2 D R' B' L' B2 F'
R F B U' R U' R
R' F' L D' B2 D' L2
R' F' L D2 L2 D B2
R' F' L' D2 L2 D' B2
F2 D F R' F' L' B
F2 D F R' F' B L'
F2 D F R' B F' L'
R' F' U' L' U D2 L2
R' F' U' L' U' R2 U2
R' F' U' L' D' F2 U
R' F' U' L' D2 U L2
R' F' U' D' L' F2 U
R' F' U' D2 L' U L'
F2 D' L R' F' B' L2
F2 D' L R' B' L2 F'
F2 D' L R' B' F' L2
R' F' U2 R2 U L' U
R F' U L' U R2 F'
F2 D' L' R' F' D2 B2
R' F' D' L D' L2 B2
R' F' D' L D' B2 L2
R' F' D' U' L' F2 U
R' F' D2 L D' L B2
R' F' D2 L2 U' L U
R' F' D2 U' L' U L'
F2 D' R' L F' B' L2
F2 D' R' L B' L2 F'
F2 D' R' L B' F' L2
F2 D' R' L' F' D2 B2
R F' B U L' U R2
D2 F2 L' D R' F' B
D2 F2 L' D R' B F'
D' F2 L' D R' F' B
D' F2 L' D R' B F'
L' F2 L' D R' F' B
L' F2 L' D R' B F'
L2 F2 L' D R' F' B
L2 F2 L' D R' B F'
D F2 L' D R' F' B
D F2 L' D R' B F'
L F2 L' D R' F' B
L F2 L' D R' B F'
U F2 R' D' L' F B'
U F2 R' D' L' B' F
D2 F2 D L' R' F' B
D2 F2 D L' R' B F'
D' F2 D L' R' F' B
D' F2 D L' R' B F'
L' F2 D L' R' F' B
L' F2 D L' R' B F'
D2 F2 D R' L' F' B
D2 F2 D R' L' B F'
D' F2 D R' L' F' B
D' F2 D R' L' B F'
D2 F2 D R' B L' F'
D' F2 D R' B L' F'
L' F2 D R' L' F' B
L' F2 D R' L' B F'
L' F2 D R' B L' F'
F2 D2 L' D' R' F' B
F2 D2 L' D' R' B F'
L2 F2 D L' R' F' B
L2 F2 D L' R' B F'
