D' R F' B' U2 L
D' R B' F' U2 L
D' R' B' U2 L B2
B' U L U2 B' U'
B' U L' F L2 U
U2 D L2 F L' B'
D U2 L2 F L' B'
D' B R' B2 U2 B'
D' B' R F' U2 L
D' B' R' U2 L B
D' B' U2 D2 L B'
D' B' D2 U2 L B'
D L' F L U2 L2 F
D L' F L B' U2 L2
D L2 F D2 L' R2 B'
D L2 F D2 L' B' R2
D L2 F D2 R2 L' B'
B' R U L U2 B' U'
B' R U L' F L2 U
D R U2 L2 F L' B'
D' R D2 F' R B' U2
D' R D2 F' B' R U2
D' R D2 B' F' R U2
D' R F' R B' U2 L
D' R F' R' B' U2 L
D' R F' R2 B' U2 L
D' R F' B R' B2 U2
D' R F' B' R U2 L
D' R F' B' R' U2 L
D' R F' B' R2 U2 L
D' R F' B' U2 L D
D' R F' B' U2 L D'
D' R F' B' U2 L D2
D' R F' B' U2 D L
D' R F' B' U2 D' L
D' R F' B' U2 D2 L
D' R F' B' D U2 L
D' R F' B' D' U2 L
D' R F' B' D2 U2 L
D' R B F' R' B2 U2
D' R B' R2 U2 L B
D' R B' D F' U2 L
D' R B' D' F' U2 L
D' R B' D2 F' U2 L
D' R B' F' R U2 L
D' R B' F' R' U2 L
D' R B' F' R2 U2 L
D' R B' F' U2 L D
D' R B' F' U2 L D'
D' R B' F' U2 L D2
D' R B' F' U2 D L
D' R B' F' U2 D' L
D' R B' F' U2 D2 L
D' R B' F' D U2 L
D' R B' F' D' U2 L
D' R B' F' D2 U2 L
B' R' U L U2 B' U'
B' R' U L' F L2 U
D R' U2 L2 F L' B'
D' R' F B' U2 L B2
D' R' F' B' U2 L B2
D' R' F2 B' U2 L B2
D' R' B R' B2 U2 B2
D' R' B' R U2 L B2
D' R' B' R' U2 L B2
D' R' B' R2 U2 L B2
R' U2 D L2 F L' B'
D' R' B' U2 L B2 D
D' R' B' U2 L B2 D'
D' R' B' U2 L B2 D2
D' R' B' U2 L' B2 L2
D' R' B' U2 L2 B2 L'
D' R' B' D2 F2 U2 L
D' R' B' F U2 L B2
D' R' B' F' U2 L B2
D' R' B' F2 U2 L B2
R2 U2 D L2 F L' B'
R U2 D L2 F L' B'
B' R2 U L U2 B' U'
B' R2 U L' F L2 U
D R2 U2 L2 F L' B'
D' R2 B R' F' B2 U2
D' R2 B R' B2 F' U2
D' R2 B' R U2 L B
D' R2 B' R' F' U2 L
D' R2 B' U2 L' B' L2
R' D U2 L2 F L' B'
B' U L U2 D B' U'
B' U L U2 D' B' U'
B' U L U2 D2 B' U'
B' U L U2 B' U' D
B' U L U2 B' U' D'
B' U L U2 B' U' D2
B' U L U2 B' D U'
B' U L U2 B' D' U'
B' U L U2 B' D2 U'
B' U L D U2 B' U'
B' U L D' U2 B' U'
B' U L D2 U2 B' U'
B' U L F U2 B' U'
B' U L F' U2 B' U'
B' U L F2 U2 B' U'
U2 D L D2 B' L F
R2 D U2 L2 F L' B'
U2 D L B' L F L'
B' U L' D' F U B2
B' U L' F L2 U D
B' U L' F L2 U D'
B' U L' F L2 U D2
B' U L' F L2 D U
B' U L' F L2 D' U
B' U L' F L2 D2 U
B' U L' F U D' B2
B' U L' F D' U B2
B' U L' F' L2 F2 U
R D U2 L2 F L' B'
B' U L' F2 L2 F' U
U2 D L2 F L' D B'
U2 D L2 F L' D' B'
U2 D L2 F L' D2 B'
U2 D L2 F L' B' D
U2 D L2 F L' B' D'
U2 D L2 F L' B' D2
U2 D L2 F D L' B'
U2 D L2 F D' L' B'
U2 D L2 F D2 L' B'
U2 D L2 F B L' B'
U2 D L2 F B' L' B'
U2 D L2 F B2 L' B'
U2 D L2 B F L' B'
U2 D L2 B' F L' B'
U2 D L2 B2 F L' B'
B' U D L F U L'
B' U D F L U L2
B' U F L U2 B' U'
B' U F L' F L2 U
B' U F' L U2 B' U'
B' U F' L' F L2 U
R' D' R F' B' U2 L
B' U F2 L U2 B' U'
B' U F2 L' F L2 U
R' D' R B' F' U2 L
R2 D' R F' B' U2 L
R' D' R' B' U2 L B2
R2 D' R B' F' U2 L
R D' R F' B' U2 L
R D' R B' F' U2 L
R2 D' R' B' U2 L B2
R D' R' B' U2 L B2
R' D' B R' B2 U2 B'
R' D' B' R F' U2 L
R' D' B' R' U2 L B
R2 D' B R' B2 U2 B'
R' D' B' U2 D2 L B'
R' D' B' D2 U2 L B'
R D' B R' B2 U2 B'
R2 D' B' R F' U2 L
R2 D' B' R' U2 L B
R2 D' B' U2 D2 L B'
R2 D' B' D2 U2 L B'
R D' B' R F' U2 L
R D' B' R' U2 L B
R D' B' U2 D2 L B'
R D' B' D2 U2 L B'
B' U' D2 B2 R' B U'
B U' D2 R' B U' F2
D U2 L D2 B' L F
D U2 L B' L F L'
D U2 L2 F L' D B'
D U2 L2 F L' D' B'
D U2 L2 F L' D2 B'
D U2 L2 F L' B' D
D U2 L2 F L' B' D'
D U2 L2 F L' B' D2
D U2 L2 F D L' B'
D U2 L2 F D' L' B'
D U2 L2 F D2 L' B'
D U2 L2 F B L' B'
D U2 L2 F B' L' B'
D U2 L2 F B2 L' B'
D U2 L2 B F L' B'
D U2 L2 B' F L' B'
D U2 L2 B2 F L' B'
B' U' B2 D2 R' B U'
B' U2 L U B' U' B
B' U2 L' U' F L2 U
F' U2 D L2 F L' B'
F2 U2 D L2 F L' B'
F U2 D L2 F L' B'
D' F R F' B' U2 L
D' F R B' F' U2 L
D' F R' B' U2 L B2
U2 F D L2 F L' B'
D' F B R' B2 U2 B'
D' F B' R F' U2 L
D' F B' R' U2 L B
D' F B' U2 D2 L B'
B' D U L F U L'
D' F B' D2 U2 L B'
B' D U F L U L2
D F B' U2 L B' L2
F' D U2 L2 F L' B'
F2 D U2 L2 F L' B'
B' D F U L U L2
B' D F U2 L' D' B2
F D U2 L2 F L' B'
B' D F' R U L U
D' F' R F' B' U2 L
B' D F2 U L F U
D' F' R B' F' U2 L
D' F' R' B' U2 L B2
U2 F' D L2 F L' B'
F' D' R F' B' U2 L
F' D' R B' F' U2 L
F2 D' R F' B' U2 L
F2 D' R B' F' U2 L
D' F' B R' B2 U2 B'
F' D' R' B' U2 L B2
D F' D2 R F' B' U2
D F' D2 R B' F' U2
F2 D' R' B' U2 L B2
F D' R F' B' U2 L
D' F' B' R F' U2 L
D' F' B' R' U2 L B
F D' R B' F' U2 L
D F' D2 B' R F' U2
D' F' B' U2 D2 L B'
D' F' B' D2 U2 L B'
F D' R' B' U2 L B2
D F' B' D2 R F' U2
D' F2 R F' B' U2 L
D' F2 R B' F' U2 L
D' F2 R' B' U2 L B2
F' D' B R' B2 U2 B'
B2 D' B R' U L U
F2 D' B R' B2 U2 B'
F' D' B' R F' U2 L
F' D' B' R' U2 L B
F' D' B' U2 D2 L B'
F2 D' B' R F' U2 L
F2 D' B' R' U2 L B
F' D' B' D2 U2 L B'
F2 D' B' U2 D2 L B'
F D' B R' B2 U2 B'
F2 D' B' D2 U2 L B'
F D' B' R F' U2 L
F D' B' R' U2 L B
F D' B' U2 D2 L B'
F D' B' D2 U2 L B'
U2 F2 D L2 F L' B'
B' D2 R U L F' U
B' D2 R U F' L U
D' F2 B R' B2 U2 B'
D' F2 B' R F' U2 L
