D' L' R U2 F B'
D' L' R U2 B' F
D L' R U2 F' B'
D L' R U2 B' F'
D' R L' U2 F B'
D' R L' U2 B' F
D R L' U2 F' B'
D R L' U2 B' F'
L' D R U2 F' B'
L' D R U2 B' F'
R D' L' U2 F B'
R D' L' U2 B' F
D' F2 L' R F B'
D' F2 L' R B' F
D' F2 L' B' R F
D F2 L' R F' B'
D F2 L' R B' F'
D' F2 R L' F B'
D' F2 R L' B' F
D F2 L' B' R F'
D F2 R L' F' B'
D F2 R L' B' F'
D' L R F L2 U2 F
D' L R F B' L2 U2
D L R F L2 U2 F2
D' L R B' L2 U2 B'
D' L R B' F L2 U2
L R F L2 U' L U'
R L F L2 U' L U'
L' R F' U R U B'
D' L F L2 U2 F L'
D' L B' L2 R U2 B'
D' L B' R L2 U2 B'
D' L B' R F L2 U2
D' L' R U2 D F B'
D' L' R U2 D B' F
D' L' R U2 D' F B'
D' L' R U2 D' B' F
D' L' R U2 D2 F B'
D' L' R U2 D2 B' F
D' L' R U2 F D B'
D' L' R U2 F D' B'
D' L' R U2 F D2 B'
D' L' R U2 F B' D
D' L' R U2 F B' D'
D' L' R U2 F B' D2
D' L' R U2 B' D F
D' L' R U2 B' D' F
D' L' R U2 B' D2 F
D' L' R U2 B' F D
D' L' R U2 B' F D'
D' L' R U2 B' F D2
D' L' R D U2 F B'
D' L' R D U2 B' F
D' L' R D' U2 F B'
D' L' R D' U2 B' F
D L' R U2 D F' B'
D L' R U2 D B' F'
D L' R U2 D' F' B'
D L' R U2 D' B' F'
D L' R U2 D2 F' B'
D L' R U2 D2 B' F'
D L' R U2 F' D B'
D L' R U2 F' D' B'
D L' R U2 F' D2 B'
D L' R U2 F' B' D
D L' R U2 F' B' D'
D L' R U2 F' B' D2
D' L' R D2 U2 F B'
D' L' R D2 U2 B' F
D L' R U2 B' D F'
D L' R U2 B' D' F'
D L' R U2 B' D2 F'
D L' R U2 B' F' D
D L' R U2 B' F' D'
D L' R U2 B' F' D2
D L' R D U2 F' B'
D L' R D U2 B' F'
D L' R D' U2 F' B'
D L' R D' U2 B' F'
D' L' R F' U2 F2 B'
D' L' R F' U2 B' F2
D L' R D2 U2 F' B'
D L' R D2 U2 B' F'
D' L' R F2 U2 F' B'
D' L' R F2 U2 B' F'
D L' R F U2 F2 B'
D L' R F U2 B' F2
D' L' R B U2 F B2
D' L' R B U2 B2 F
D L' R F2 U2 F B'
D L' R F2 U2 B' F
D' L' R B2 U2 F B
D' L' R B2 U2 B F
D L' R B U2 F' B2
D L' R B U2 B2 F'
R2 L' D R' B U2 B2
D L' R B2 U2 F' B
D L' R B2 U2 B F'
D L' R' B R2 U2 B2
D' L' U2 F D2 B' L
R L' F' U R U B'
D' L' U2 F2 B' L' F'
D' L' U2 B' F2 L' F'
D' L' D R U2 F B'
D' L' D R U2 B' F
B' L' D R U2 F' B'
B' L' D R U2 B' F'
U2 L' D R U2 F' B
U2 L' D R U2 B F'
B2 L' D R U2 F' B'
B2 L' D R U2 B' F'
B L' D R U2 F' B'
B L' D R U2 B' F'
D2 L' D' R U2 F' B'
D2 L' D' R U2 B' F'
D' L' D' R U2 F B'
D' L' D' R U2 B' F
D' L' D2 R U2 F B'
D' L' D2 R U2 B' F
F L' F U' R B' L'
F L' F U' B' L' R
F L' F U' B' R L'
D' L' F2 U2 B' L' F'
D' L' B R U2 F B2
D' L' B R U2 B2 F
D L' B R U2 F' B2
D L' B R U2 B2 F'
L' R2 D R' B U2 B2
F2 L2 U L R F B'
F2 L2 U L R B' F
F2 L2 U L B' R F
F2 L2 U R L F B'
F2 L2 U R L B' F
D' R L F L2 U2 F
D' R L F B' L2 U2
D' R L B' L2 U2 B'
D' R L B' F L2 U2
D R L F L2 U2 F2
D' R L' U2 D F B'
D' R L' U2 D B' F
D' R L' U2 D' F B'
D' R L' U2 D' B' F
D' R L' U2 D2 F B'
D' R L' U2 D2 B' F
D' R L' U2 F D B'
D' R L' U2 F D' B'
D' R L' U2 F D2 B'
D' R L' U2 F B' D
D' R L' U2 F B' D'
D' R L' U2 F B' D2
D' R L' U2 B' D F
D' R L' U2 B' D' F
D' R L' U2 B' D2 F
D' R L' U2 B' F D
D' R L' U2 B' F D'
D' R L' U2 B' F D2
D' R L' D U2 F B'
D' R L' D U2 B' F
D' R L' D' U2 F B'
D' R L' D' U2 B' F
D' R L' D2 U2 F B'
D' R L' D2 U2 B' F
D' R L' F' U2 F2 B'
D' R L' F' U2 B' F2
D' R L' F2 U2 F' B'
D' R L' F2 U2 B' F'
D R L' U2 D F' B'
D R L' U2 D B' F'
D R L' U2 D' F' B'
D R L' U2 D' B' F'
D R L' U2 D2 F' B'
D R L' U2 D2 B' F'
D R L' U2 F' D B'
D R L' U2 F' D' B'
D R L' U2 F' D2 B'
D R L' U2 F' B' D
D R L' U2 F' B' D'
D R L' U2 F' B' D2
D R L' U2 B' D F'
D R L' U2 B' D' F'
D R L' U2 B' D2 F'
D R L' U2 B' F' D
D R L' U2 B' F' D'
D R L' U2 B' F' D2
D' R L' B U2 F B2
D' R L' B U2 B2 F
D R L' D U2 F' B'
D R L' D U2 B' F'
D R L' D' U2 F' B'
D R L' D' U2 B' F'
D' R L' B2 U2 F B
D' R L' B2 U2 B F
D R L' D2 U2 F' B'
