U L B D R' B U2
F L' D2 F U' L' R2
F L' D2 F U' R2 L'
F L' B U L2 R' U2
F L' B U R' L2 U2
F L' B' U L2 U2 L'
F L' B' U' D2 L R2
F L' B' U' D2 R2 L
F L' B' D F2 U' L
F L' B' D2 U' L R2
F L' B' D2 U' R2 L
F2 L2 U L' B' U2 L
D L2 F2 U' R F' L'
D' U L D B' U2 L
F2 U L U2 D2 F L'
F2 U L D2 U2 F L'
F2 U L B R' U2 F
F2 U L B' U2 F L
F2 U L' B' L2 U2 L'
F2 U D2 L U2 F L'
U D' L D B' U2 L
F2 U B2 U2 R' F' L'
B' U' L U F L' U'
B2 U2 F' R U L' R2
B2 U2 F' R U R2 L'
F2 D2 U L U2 F L'
B' F L' B' U' L2 R'
B' F L' B' U' R' L2
F B' L' B' U' L2 R'
F B' L' B' U' R' L2
D2 B' D' L B' U' R'
D2 B2 U' L R' F L'
D2 B2 U' L F L' R'
D2 B2 U' L F R' L'
D2 B2 U' R' L F L'
