B' U' L B U2 L
B L2 R' F D' L2 B2
B L2 R' F D' B2 L2
R' U F' B U R' B'
R' U B F' U R' B'
D' R U2 F' B U' F
D' R U2 B F' U' F
B R' L2 F D' L2 B2
B R' L2 F D' B2 L2
D' R' U F' B U B'
D' R' U B F' U B'
D' R' F' B U' B' U2
D' R' B F' U' B' U2
R U2 F B U' F' R'
R U2 F' B U' R' F
R U2 F' B U' F R'
R U2 F2 B U' R' F2
R U2 F2 B U' F2 R'
R U2 B F U' F' R'
R U2 B F' U' R' F
R U2 B F' U' F R'
R U2 B F2 U' R' F2
R U2 B F2 U' F2 R'
B' U L' D2 R2 F' L'
B U L' R' F' L' F
U2 D L' F B' U' F'
U2 D L' B' F U' F'
B U L' F' L' R' F
B U L' F' L' F R'
B U L' F' R' L' F
B U L2 R' F' L' F2
B U L2 F R' D2 L2
B U L2 F' L' R' F2
B U L2 F' L' F2 R'
B U L2 F' R' L' F2
B U R' L' F' L' F
B U R' L2 F' L' F2
B U R' U2 B' R' U2
B U R' F' L2 F L
B U R' F2 L2 F L'
B' U R2 F' L' D2 R2
B' U F' L' D2 R2 F'
B U F R' D2 L2 F
B U F' L2 R' F L
B U F' L2 F L R'
B U F' L2 F R' L
B U F' R' L2 F L
B U F2 L2 R' F L'
B U F2 L2 F L' R'
B U F2 L2 F R' L'
B U F2 R' L2 F L'
B U B' U2 B L R'
B U B' U2 B R' L
B' U' L R2 U2 F' L'
B' U' L D B U2 L
B' U' L D' B U2 L
B' U' L D2 B U2 L
B' U' L B R U2 L
B' U' L B R' U2 L
B' U' L B R2 U2 L
B' U' L B U2 L D
B' U' L B U2 L D'
B' U' L B U2 L D2
B' U' L B U2 D L
B' U' L B U2 D' L
B' U' L B U2 D2 L
B' U' L B D U2 L
B' U' L B D' U2 L
B' U' L B D2 U2 L
B' U' L B' R' B2 U2
B U' L U2 R' F' L'
B' U' L' B L2 U2 L'
B' U' L2 B L' U2 L2
B U' R B' R' U2 R'
B' U' R2 L U2 F' L'
B U' R' B' R' U2 R
B' U' D L B U2 L
B' U' D' L B U2 L
B U' R2 B' R' U2 R2
B' U' D2 L B U2 L
D U2 L' F B' U' F'
D U2 L' B' F U' F'
B U' B2 L B R' U2
U2 F U' D2 F' L' R
U2 F U' D2 F' R L'
U2 F D2 U' F' L' R
U2 F D2 U' F' R L'
U2 F B U' F' L' R'
U2 F B U' F' R' L'
B' D U' L B U2 L
R' F' B' U' L B U2
U F' B U R' B' L'
B' D' U' L B U2 L
B' D2 U' L B U2 L
R B U B' U2 B R'
U2 B F U' F' L' R'
U2 B F U' F' R' L'
U' B' L R' U' L' U'
B' F U' L B U2 L
U B F' U R' B' L'
U' B' R' L U' L' U'
D2 B' U R2 F' L' R
D2 B' U R2 F' R L'
B' F' U' L B U2 L
F' B' U' L B U2 L
F2 B' U' L B U2 L
R' B' F' U' L B U2
F B' U' L B U2 L
B' F2 U' L B U2 L
