B R2 D' F' R
B2 R B' D' R2 F'
B R' U F' L' U'
B R2 D' F' R D
B R2 D' F' R D'
B R2 D' F' R D2
B R2 D' F' D R
B R2 D' F' D' R
B R2 D' F' D2 R
B D R2 D' F' R
B D' R2 D' F' R
B D2 R2 D' F' R
F' B R2 D' F' R
F2 B R2 D' F' R
B F R2 D' F' R
F B R2 D' F' R
B F' R2 D' F' R
B F2 R2 D' F' R
B L R2 D' L' F' R
U2 L B2 U' F U' B'
B L' R2 D' L F' R
B L' R2 D' F' L R
B L' R2 D' F' R L
U2 L' U2 B D' R2 F'
U2 L' B2 U B U B2
U2 L' B2 U2 B' D' R2
B' L2 U F L2 R B2
B' L2 U F L2 B2 R
B' L2 U F R L2 B2
B' L2 U F R B2 L2
B' L2 U F B2 L2 R
B' L2 U F B2 R L2
B' L2 U B2 F L2 R
B' L2 U B2 F R L2
D L2 U B L2 F R
D L2 U' L2 B' R' B2
D2 L2 U' B L2 F2 R
D L2 U' B' L2 R' B2
D L2 U' B' R' L2 B2
D L2 U' B' R' B2 L2
D L2 D' B2 U' B' R'
D L2 B2 U' B' L2 R'
D L2 B2 U' B' R' L2
B R U' D B R' U
B R U' B R U F'
L2 U B' L2 F R B2
L2 U B' L2 F B2 R
L2 U B' L2 B2 F R
L' U B2 R' U2 B' R'
B R D U' B R' U
B2 R D B' D' R2 F'
L2 U B2 U2 B' L2 R'
L2 U B2 U2 B' R' L2
L U B2 U2 B' L' R'
L U B2 U2 B' R' L'
B2 R D' B' D' R2 F'
B2 R D2 B' D' R2 F'
B R F R D' F' R
B2 R F B' D' R2 F'
B R F' R D' F' R
B2 R F' B' D' R2 F'
B R F2 R D' F' R
B2 R F2 B' D' R2 F'
B2 R B' R2 D' F' R2
B2 R B' R2 F' D' R2
B' R B' D' B' R2 F'
B2 R B' D' R2 D F'
B2 R B' D' R2 D' F'
B2 R B' D' R2 D2 F'
B2 R B' D' R2 F' D
B2 R B' D' R2 F' D'
B2 R B' D' R2 F' D2
B2 R B' D' F R2 F'
B2 R B' D' F' R2 F'
B2 R B' D' F2 R2 F'
B2 R B' F D' R2 F'
B2 R B' F' D' R2 F'
B2 R B' F2 D' R2 F'
R' U' D' R2 B L U
B R' U L F' L' U'
B R' U L' F' L' U'
B R' U L2 F' L' U'
B R' U D F' L' U'
B R' U D' F' L' U'
B R' U D2 F' L' U'
B R' U F' L' U' D
B R' U F' L' U' D'
B R' U F' L' U' D2
B R' U F' L' D U'
B R' U F' L' D' U'
B R' U F' L' D2 U'
B R' U F' D L' U'
B R' U F' D' L' U'
B R' U F' D2 L' U'
L U' B L' D2 R2 F'
L2 U' B' L2 R' F B2
L2 U' B' L2 R' B2 F
L2 U' B' L2 F R' B2
L2 U' B' R' L2 F B2
L2 U' B' R' L2 B2 F
B R' D R' D' F' R
B R' D U F' L' U'
B R' D' R' D' F' R
B R' D' U F' L' U'
B R' D2 R' D' F' R
B R' D2 U F' L' U'
B R' F R D R2 F'
B R' F R' D F' R2
B2 R' F D B' R2 F'
B' R' F B2 D R2 F'
B2 R' F B' D R2 F'
L U2 L' B D' R2 F'
B R' F D R' F' R'
D2 R' F2 U F R U'
B R' F2 R' F' D R2
B2 R' B' F D R2 F'
B' R' B2 F D R2 F'
B R2 L D' L' F' R
B R2 L' D' L F' R
B R2 L' D' F' L R
B R2 L' D' F' R L
D R2 D R2 F2 B R'
D R2 D R2 B R' F2
D R2 D R2 B F2 R'
B R2 D F' B R' B'
B R2 D B F' R' B'
B R2 D' L' F' L R
B R2 D' L' F' R L
R2 U2 B2 D' F' U2 R
B R2 D' L2 F' L2 R
B R2 D' L2 F' R L2
B R2 D' R' F' R F'
B2 R2 D' B' R2 F' R
B R2 D' F R F2 R
B R2 D' F R' F2 R
B R2 D' F R2 F2 R
B R2 D' F' R2 D R'
B R2 D' F' R2 D' R'
B R2 D' F' R2 D2 R'
B R2 D' F' D R D
B R2 D' F' D R D'
B R2 D' F' D R D2
B R2 D' F' D' R D
B R2 D' F' D' R D'
B R2 D' F' D' R D2
B R2 D' F' D2 R D
B R2 D' F' D2 R D'
B R2 D' F' D2 R D2
B R2 D' F' B R B'
B R2 D' F' B2 R B2
B R2 D' F2 R F R
B R2 D' F2 R' F R
B R2 D' F2 R2 F R
B R2 D' F2 D F R
B R2 D' F2 D' F R
B R2 D' F2 D2 F R
B R2 D' B F' R B'
B R2 D' B2 F' R B2
B R2 F' R U F' U'
B R2 F' R' U' B U
B R2 F' D B R' B'
B R2 F' D' F' R F
B R2 F' B' D B R'
B R2 F2 R F D R2
B R2 F2 D' F' R F2
B R2 B D' F' R B'
B R2 B D' F' B' R
B R2 B D' B' F' R
B2 R2 B' D' R2 F' R
R2 D R2 B R' D F2
R2 D R2 B D R' F2
R2 D R2 B D F2 R'
B R2 B' D F' B R'
B R2 B' D B F' R'
B R2 B' D' F' B R
B R2 B' D' B F' R
B R2 B' F' D B R'
B' R2 B2 D' R2 F' R
D U L2 F U' B R
U D L2 F U' B R
D2 U F U' B R F
D U F L2 U' B R
U D F L2 U' B R
B U F U B U2 R
B U F U' R2 F' R'
B U F' U L' B U2
B U F' U B L' U2
B U F2 U' R2 F' R
R' D' U' R2 B L U
B U' R2 B' U F' R'
U' D' B' R2 U R B2
U' D' B' R2 U B2 R
D' U' B' R2 U R B2
D' U' B' R2 U B2 R
D2 U' B' U R' F2 B2
D2 U' B' U R' B2 F2
D2 U' B' U F2 R' B2
R2 D2 R2 F2 D' B R'
B U' B' U R' D2 F2
B U' B' U D2 R' F2
B U' B' U D2 F2 R'
B U' B' U' B2 L U2
B U' B' D' R2 U R
B U' B' D2 U R' F2
B U' B' D2 U F2 R'
B U' B2 U' B' L U2
B U2 L B U' F U'
B U2 L' B U B2 U
B U2 L' B U2 D' R2
B U2 L' B D L2 U2
B U2 L' B D' U2 R2
U D2 F U' B R F
R' D2 F2 U F R U'
B U2 L2 D' B U2 R'
U' D2 B' U R' F2 B2
U' D2 B' U R' B2 F2
U' D2 B' U F2 R' B2
R' F R B D R2 F'
B U2 B L U' F U'
B U2 B L' U B' U
B U2 B U B' U R'
B U2 B U' F U' R
U F U B2 U2 R B'
U F U B2 U2 B' R
U F U' D2 B R F2
U F U' B R2 F' R'
B' D L2 U F L2 R
B' D L2 U F R L2
U F D L2 U' B R
B2 D R B' D' R2 F'
D2 F B R' F D R2
B D R' U F' L' U'
U F D2 U' B R F2
B D R2 D' F' R D
B D R2 D' F' R D'
B D R2 D' F' R D2
B D R2 D' F' D R
B D R2 D' F' D' R
B D R2 D' F' D2 R
B D F R2 D' F' R
B D F' R2 D' F' R
B D F2 R2 D' F' R
B2 D B' R2 D' F' R
U F' U L' B2 U2 B'
U F' U' D2 F2 B R
U F' U' D2 B F2 R
B2 D' R B' D' R2 F'
B D' R' U F' L' U'
U F' D2 U' F2 B R
U F' D2 U' B F2 R
B D' R2 D' F' R D
B D' R2 D' F' R D'
B D' R2 D' F' R D2
B D' R2 D' F' D R
B D' R2 D' F' D' R
B D' R2 D' F' D2 R
B D' F R2 D' F' R
B D' F' R2 D' F' R
B D' F2 R2 D' F' R
D2 F2 R2 D R2 B R'
B2 D' B' R2 D' F' R
D2 F2 U F U' B R
D2 F2 U' B' U R' B2
U F2 U' D2 F2 B R'
U F2 U' D2 B R' F2
U F2 U' D2 B F2 R'
U F2 U' B R2 F' R
B2 D2 R B' D' R2 F'
D2 F2 B R U' B U
D2 F2 B R' U F' U'
D2 F2 B U F U' R
D2 F2 B U' B' U R'
B D2 R' U F' L' U'
U F2 D2 U' F2 B R'
U F2 D2 U' B R' F2
U F2 D2 U' B F2 R'
D2 F2 B2 R B' D' R2
B D2 R2 D' F' R D
B D2 R2 D' F' R D'
B D2 R2 D' F' R D2
B D2 R2 D' F' D R
B D2 R2 D' F' D' R
B D2 R2 D' F' D2 R
L2 B L2 R2 D' F' R
L B L' R2 D' F' R
D2 B R U' B U F2
B D2 F R2 D' F' R
D' B R U' B R U
D2 B R F2 U' B U
D2 B R' U F' U' F'
B D2 F' R2 D' F' R
D2 B R' F D R2 F
D2 B R' F D F R2
D2 B R' F2 U F U'
B D2 F2 R2 D' F' R
D B R' U L2 F' U'
D2 B R2 F' D' F' R
D B R' U F' L2 U'
L2 B R2 L2 D' F' R
D B R' F D R2 F2
D B R' F D F2 R2
B2 D2 B' R2 D' F' R
D2 B U F U' R F
L B R2 L' D' F' R
D' B U' R2 B' U R'
L B R2 D' L' F' R
D B U L2 F U' R
D2 B U' B' U R' F2
D2 B U' B' U F2 R'
D' B U' B' R2 U R
D B U F L2 U' R
R2 B D R2 F' B R'
R2 B D R2 B F' R'
R2 B D' R2 F' B R
R2 B D' R2 B F' R
B2 F R B' D' R2 F'
F' B R' U F' L' U'
F2 B R' U F' L' U'
D2 B F R' F D R2
B F R' U F' L' U'
F' B R2 D' F' R D
F' B R2 D' F' R D'
F' B R2 D' F' R D2
F' B R2 D' F' D R
F' B R2 D' F' D' R
F' B R2 D' F' D2 R
F2 B R2 D' F' R D
F2 B R2 D' F' R D'
F2 B R2 D' F' R D2
F2 B R2 D' F' D R
F2 B R2 D' F' D' R
F2 B R2 D' F' D2 R
F B R' U F' L' U'
D2 B F2 R U' B U
D2 B F2 R' U F' U'
D2 B F2 U F U' R
D2 B F2 U' B' U R'
B F R2 D' F' R D
B F R2 D' F' R D'
B F R2 D' F' R D2
B F R2 D' F' D R
B F R2 D' F' D' R
B F R2 D' F' D2 R
F B R2 D' F' R D
F B R2 D' F' R D'
F B R2 D' F' R D2
F B R2 D' F' D R
F B R2 D' F' D' R
F B R2 D' F' D2 R
U' B' L2 U R' F B2
U' B' L2 U R' B2 F
U' B' L2 U F R' B2
F' B D R2 D' F' R
U' B' R U B2 R2 F'
F2 B D R2 D' F' R
F' B D' R2 D' F' R
B F D R2 D' F' R
F2 B D' R2 D' F' R
F B D R2 D' F' R
F' B D2 R2 D' F' R
B F D' R2 D' F' R
F2 B D2 R2 D' F' R
F B D' R2 D' F' R
B F D2 R2 D' F' R
U' B' U R B2 R2 F'
F B D2 R2 D' F' R
L2 B' U L2 F R B2
L2 B' U L2 F B2 R
L2 B' U L2 B2 F R
U' B' D L2 U R' F
U' B' D L2 U F R'
B2 F' R B' D' R2 F'
B F' R' U F' L' U'
B F' R2 D' F' R D
B F' R2 D' F' R D'
B F' R2 D' F' R D2
B F' R2 D' F' D R
B F' R2 D' F' D' R
B F' R2 D' F' D2 R
U2 B2 L U' F R U'
B F' D R2 D' F' R
B F' D' R2 D' F' R
U2 B2 L2 D F L' U2
B F' D2 R2 D' F' R
D2 B2 R F2 B' D' R2
D B2 L2 U' L2 B' R'
D2 B2 R B' F2 D' R2
L' B2 R' U' F' U' B'
F' B2 R B' D' R2 F'
B2 F2 R B' D' R2 F'
F2 B2 R B' D' R2 F'
U2 B2 U B U B2 R'
U2 B2 U B2 U B R'
B F2 R' U F' L' U'
U2 B2 U' F U' R B'
U2 B2 U' F U' B' R
F B2 R B' D' R2 F'
U2 B2 U2 R B' D' R2
B F2 R2 D' F' R D
B F2 R2 D' F' R D'
B F2 R2 D' F' R D2
B F2 R2 D' F' D R
B F2 R2 D' F' D' R
B F2 R2 D' F' D2 R
U B2 U2 D B' L2 R'
U B2 U2 D B' R' L2
U B2 D U2 B' L2 R'
U B2 D U2 B' R' L2
U B2 D' R2 U2 B' R'
B F2 D R2 D' F' R
D2 B2 F2 R B' D' R2
B F2 D' R2 D' F' R
B F2 D2 R2 D' F' R
