F R2 U R2 U R
F R2 U2 D' R' F2
F R2 U2 D' F2 R'
U' R2 D' F L' U2
F R2 D B2 L U2
F R2 D' U2 R' F2
F R2 D' U2 F2 R'
R2 D F B2 U2 R
R2 D B2 F U2 R
F' U D2 L2 B2 R'
F' U' L' R2 F2 U2
F' U' L' F2 R2 U2
R2 D' F U2 R F
F' U' R2 L' F2 U2
F' U' R2 F2 U2 R
F2 U' F' R2 U2 R'
F' U' F2 R2 U2 R'
R2 F U R2 U R'
R2 F U2 D' R F2
R2 F D B2 U2 R
R2 F D' U2 R F2
F' D' F2 L2 U R
D' F2 U' F' U2 R
F' D2 U L2 B2 R'
F L R2 U R2 U R
F L R2 U2 D' R' F2
F L R2 U2 D' F2 R'
F L R2 D B2 L U2
F L R2 D' U2 R' F2
F L R2 D' U2 F2 R'
F' L U D2 L2 R2 B2
F' L U D2 L2 B2 R2
F' L U D2 R2 L2 B2
F' L U D2 R2 B2 L2
F' L U D2 B2 L2 R2
F' L U D2 B2 R2 L2
F' L U' L2 R2 F2 U2
F' L U' L2 F2 R2 U2
F' L U' R2 L2 F2 U2
F' L U' R2 F2 L2 U2
F' L U' F2 L2 R2 U2
F' L U' F2 R2 L2 U2
F2 L U' F' R2 U2 R'
F' L D' L2 F2 B2 U
F' L D' L2 B2 F2 U
F' L D' F2 L2 B2 U
F' L D' F2 B2 L2 U
F' L D' B2 L2 F2 U
F' L D' B2 F2 L2 U
F' L D2 U L2 R2 B2
F' L D2 U L2 B2 R2
F' L D2 U R2 L2 B2
F' L D2 U R2 B2 L2
F' L D2 U B2 L2 R2
F' L D2 U B2 R2 L2
D2 L F U L R B'
D2 L F U L B' R
D2 L F U R L B'
F L' R2 U R2 U R
F L' R2 U2 D' R' F2
F L' R2 U2 D' F2 R'
F L' R2 D B2 L U2
F L' R2 D' U2 R' F2
F L' R2 D' U2 F2 R'
F' L' R2 F2 U R2 U
F' L' R2 F2 U2 D' F2
F' L' R2 F2 D B2 U2
F' L' R2 F2 D' U2 F2
F2 L' U' F' R2 U2 R'
L2 R2 U R2 U B' R'
R2 L2 U R2 U B' R'
F' L' F2 R2 U R2 U
F' L' F2 R2 U2 D' F2
F' L' F2 R2 D B2 U2
F' L' F2 R2 D' U2 F2
L2 R2 U2 D' F2 B' R'
L2 R2 U2 D' B' R' F2
L2 R2 U2 D' B' F2 R'
R2 L2 U2 D' F2 B' R'
R2 L2 U2 D' B' R' F2
R2 L2 U2 D' B' F2 R'
L2 R2 U2 B' D' R' F2
L2 R2 U2 B' D' F2 R'
R2 L2 U2 B' D' R' F2
R2 L2 U2 B' D' F2 R'
L2 R2 D' U2 F2 B' R'
L2 R2 D' U2 B' R' F2
L2 R2 D' U2 B' F2 R'
R2 L2 D' U2 F2 B' R'
R2 L2 D' U2 B' R' F2
R2 L2 D' U2 B' F2 R'
F L2 R2 U R2 U R
F L2 R2 U2 D' R' F2
F L2 R2 U2 D' F2 R'
F L2 R2 D B2 L U2
F L2 R2 D' U2 R' F2
F L2 R2 D' U2 F2 R'
F' L2 U D2 B2 L2 R'
F' L2 U D2 B2 R' L2
F' L2 U' L R2 F2 U2
F' L2 U' L F2 R2 U2
F' L2 U' R2 L F2 U2
F' L2 U' R2 F2 L U2
F' L2 U' F2 L R2 U2
F' L2 U' F2 R2 L U2
F2 L2 U' F' R2 U2 R'
D L2 U2 B2 U' B R'
F' L2 D' L2 F2 U R
F' L2 D2 U B2 L2 R'
F' L2 D2 U B2 R' L2
R2 U R2 U' F U2 R
R2 U' D2 L2 U' B' R'
U' R' F R' U' F2 U'
U' R' F R' U2 D R2
U' R' F R' D U2 R2
U' R' F R' D' L2 U2
U' R' F D R' U2 R'
U' R' F D' L2 R' U2
U' R' F D' R' L2 U2
L2 U2 D B2 U' B R'
F R2 L U R2 U R
F R2 L U2 D' R' F2
F R2 L U2 D' F2 R'
F R2 L D B2 L U2
F R2 L D' U2 R' F2
F R2 L D' U2 F2 R'
F' R2 L' F2 U R2 U
F' R2 L' F2 U2 D' F2
F' R2 L' F2 D B2 U2
F' R2 L' F2 D' U2 F2
F R2 L' U R2 U R
F R2 L' U2 D' R' F2
F R2 L' U2 D' F2 R'
F R2 L' D B2 L U2
F R2 L' D' U2 R' F2
F R2 L' D' U2 F2 R'
F R2 L2 U R2 U R
F R2 L2 U2 D' R' F2
F R2 L2 U2 D' F2 R'
F R2 L2 D B2 L U2
F R2 L2 D' U2 R' F2
F R2 L2 D' U2 F2 R'
F R2 U R2 U R D
F R2 U R2 U R D'
F R2 U R2 U R D2
F R2 U R2 U D R
F R2 U R2 U D' R
F R2 U R2 U D2 R
F R2 U R2 D U R
F R2 U R2 D' U R
F R2 U R2 D2 U R
F R2 U R2 B U R
F R2 U R2 B' U R
F R2 U R2 B2 U R
F R2 U' D2 L2 U' R'
F R2 U2 R' U' R' U
F R2 U2 D R' D2 F2
F R2 U2 D' R F2 R2
F R2 U2 D' R' F2 D
F R2 U2 D' R' F2 D'
F R2 U2 D' R' F2 D2
F R2 U2 D' F R' F
F R2 U2 D' F2 R' D
F R2 U2 D' F2 R' D'
F R2 U2 D' F2 R' D2
F R2 U2 D' F2 D R'
F R2 U2 D' F2 D' R'
F R2 U2 D' F2 D2 R'
F R2 U2 D2 R' D F2
F R2 U2 F D' R' F2
F R2 U2 F D' F2 R'
F R2 U2 F' D' R' F2
F R2 U2 F' D' F2 R'
B' R2 D F B2 U2 R
F R2 U2 F2 D' R' F2
F R2 U2 F2 D' F2 R'
B2 R2 D F B2 U2 R
B' R2 D B2 F U2 R
F R2 D L B2 L U2
F R2 D L' B2 L U2
F R2 D L2 B2 L U2
B2 R2 D B2 F U2 R
B R2 D F B2 U2 R
F R2 D U2 R' D2 F2
U' R2 D' F L' U2 D
U' R2 D' F L' U2 D'
U' R2 D' F L' U2 D2
U' R2 D' F L' D U2
U' R2 D' F L' D' U2
U' R2 D' F L' D2 U2
U' R2 D' F D L' U2
U' R2 D' F D' L' U2
B' R2 D' F U2 R F
U' R2 D' F D2 L' U2
B R2 D B2 F U2 R
B2 R2 D' F U2 R F
F R2 D B2 L U2 D
F R2 D B2 L U2 D'
F R2 D B2 L U2 D2
F R2 D B2 L D U2
F R2 D B2 L D' U2
F R2 D B2 L D2 U2
F R2 D B2 D L U2
F R2 D B2 D' L U2
F R2 D B2 D2 L U2
F R2 D' L U2 R' F2
F R2 D' L U2 F2 R'
F R2 D' L' U2 R' F2
F R2 D' L' U2 F2 R'
F R2 D' L2 U2 R' F2
F R2 D' L2 U2 F2 R'
B R2 D' F U2 R F
F R2 D' U2 R F2 R2
F R2 D' U2 R' F2 D
F R2 D' U2 R' F2 D'
F R2 D' U2 R' F2 D2
F R2 D' U2 F R' F
F R2 D' U2 F2 R' D
F R2 D' U2 F2 R' D'
F R2 D' U2 F2 R' D2
F R2 D' U2 F2 D R'
F R2 D' U2 F2 D' R'
F R2 D' U2 F2 D2 R'
F R2 D' B2 L U2 F2
B' R2 F U R2 U R'
F R2 D2 U' L2 U' R'
F R2 D2 U2 R' D F2
B' R2 F U2 D' R F2
B2 R2 F U R2 U R'
B' R2 F D B2 U2 R
B' R2 F D' U2 R F2
B2 R2 F U2 D' R F2
B2 R2 F D B2 U2 R
B2 R2 F D' U2 R F2
B R2 F U R2 U R'
B R2 F U2 D' R F2
B R2 F D B2 U2 R
B R2 F D' U2 R F2
F' R2 F2 U R2 U R'
F' R2 F2 U2 D' R F2
F' R2 F2 D B2 U2 R
U' R2 F2 D' F' U2 R
F' R2 F2 D' U2 R F2
F R2 B2 L U R2 U
F R2 B2 L U2 D' F2
F R2 B2 L D B2 U2
F R2 B2 L D' U2 F2
F' U L D2 L2 R2 B2
F' U L D2 L2 B2 R2
F' U L D2 R2 L2 B2
F' U L D2 R2 B2 L2
F' U L D2 B2 L2 R2
F' U L D2 B2 R2 L2
F R2 B2 D L B2 U2
F R2 B2 D B2 U2 R'
F R2 B2 D' L U2 F2
F' U L' R2 F2 U2 F2
L2 D U2 B2 U' B R'
R2 D F L B2 U2 R
F' U L' F2 R2 U2 F2
R2 D F L' B2 U2 R
R2 D F L2 B2 U2 R
R2 D F U2 R D2 F2
R2 D F U2 D2 R F2
D2 U L2 D' B R' B2
R2 D F D2 U2 R F2
F' U L2 D2 B2 L2 R'
F' U L2 D2 B2 R' L2
R2 D F B2 L U2 R
R2 D F B2 L' U2 R
R2 D F B2 L2 U2 R
R2 D F B2 U2 R D
R2 D F B2 U2 R D'
R2 D F B2 U2 R D2
R2 D F B2 U2 D R
R2 D F B2 U2 D' R
R2 D F B2 U2 D2 R
R2 D F B2 D U2 R
R2 D F B2 D' U2 R
R2 D F B2 D2 U2 R
R2 D F' L' F2 B2 U2
R2 D F' L' B2 F2 U2
D2 U L2 B2 D' B R'
R2 D F' B2 L' F2 U2
F' U R2 L' F2 U2 F2
F' U R2 F2 U2 R F2
R2 D B2 L2 U2 B' R'
R2 D B2 D F U2 R
R2 D B2 D' F U2 R
R2 D B2 D2 F U2 R
R2 D B2 F L U2 R
R2 D B2 F L' U2 R
R2 D B2 F L2 U2 R
R2 D B2 F U2 R D
R2 D B2 F U2 R D'
R2 D B2 F U2 R D2
R2 D B2 F U2 D R
R2 D B2 F U2 D' R
R2 D B2 F U2 D2 R
R2 D B2 F D U2 R
R2 D B2 F D' U2 R
R2 D B2 F D2 U2 R
R2 D B2 F' L' F2 U2
F' U D2 L2 R B2 R'
F' U D2 L2 R' B2 R'
F' U D2 L2 R2 B2 R'
F' U D2 L2 B2 R' D
F' U D2 L2 B2 R' D'
F' U D2 L2 B2 R' D2
F' U D2 L2 B2 D R'
F' U D2 L2 B2 D' R'
F' U D2 L2 B2 D2 R'
F' U D2 R L2 B2 R'
F' U D2 R' L2 B2 R'
F' U D2 R2 L2 B2 R'
F2 U D2 L2 R2 B R'
F2 U D2 R2 L2 B R'
F2 U D2 R2 B L2 R'
F2 U D2 R2 B R' L2
F U D' F2 U F2 R
F U D2 L2 R D' B2
F U D2 L2 D' R B2
F U D2 L2 D' B2 R
F U D2 R L2 D' B2
R2 D' L2 U2 F2 B' R'
R2 D' L2 U2 B' R' F2
R2 D' L2 U2 B' F2 R'
F2 U F' R2 U2 R' F
F2 U F' R2 U2 F R'
F' U F2 R2 U2 R' F2
F' U F2 R2 U2 F2 R'
F' U F2 U2 R F2 L'
F' U B D2 L2 B2 R'
F' U B' D2 L2 B2 R'
F' U B' D2 L2 B2 R'
F' U B2 D2 L2 B2 R'
F' U' L R2 F2 L2 U2
F' U' L F2 L2 R2 U2
F' U' L F2 R2 L2 U2
F2 U' L F' R2 U2 R'
F' U' L' R F2 U2 L'
F' U' L' R' F2 R' U2
F' U' L' R2 U2 D2 B2
F' U' L' R2 D2 U2 B2
F' U' L' R2 F2 U2 D
F' U' L' R2 F2 U2 D'
F' U' L' R2 F2 U2 D2
F' U' L' R2 F2 D U2
F' U' L' R2 F2 D' U2
F' U' L' R2 F2 D2 U2
F' U' L' U2 D2 L2 B2
F' U' L' U2 D2 B2 L2
F' U' L' D2 U2 L2 B2
F' U' L' D2 U2 B2 L2
F' U' L' F R2 F U2
F' U' L' F' R2 U2 B
F' U' L' F2 R2 U2 D
F' U' L' F2 R2 U2 D'
F' U' L' F2 R2 U2 D2
F' U' L' F2 R2 D U2
F' U' L' F2 R2 D' U2
F' U' L' F2 R2 D2 U2
F' U' L' F2 U2 D2 L2
F' U' L' F2 D2 U2 L2
R2 D' F L2 B' U2 R
F2 U' L' F' R2 U2 R'
F' U' L2 R2 F2 L U2
R2 D' F U2 R D F
R2 D' F U2 R D' F
R2 D' F U2 R D2 F
R2 D' F U2 R F D
R2 D' F U2 R F D'
R2 D' F U2 R F D2
R2 D' F U2 R' F R2
R2 D' F U2 R2 F R'
R2 D' F U2 D R F
R2 D' F U2 D' R F
R2 D' F U2 D2 R F
R2 D' F D U2 R F
R2 D' F D' U2 R F
R2 D' F D2 U2 R F
R2 D' F B U2 R F
R2 D' F B' U2 R F
R2 D' F B2 U2 R F
F' U' L2 F2 L R2 U2
F' U' L2 F2 R2 L U2
R2 D' F' L' F2 U2 F
F2 U' L2 F' R2 U2 R'
F' U' R L' F2 U2 L'
D' U' F U F U R
U' D' F U F U R
F' U' R F2 U2 L' R
F' U' R F2 U2 R L'
F' U' R' L' F2 R' U2
F' U' R' F2 R' U2 R2
F' U' R2 L F2 L2 U2
F' U' R2 L' U2 D2 B2
F' U' R2 L' D2 U2 B2
F' U' R2 L' F2 U2 D
F' U' R2 L' F2 U2 D'
F' U' R2 L' F2 U2 D2
F' U' R2 L' F2 D U2
F' U' R2 L' F2 D' U2
F' U' R2 L' F2 D2 U2
F' U' R2 L2 F2 L U2
B' U' R2 D' F L' U2
F' U' R2 D2 L' U2 B2
R2 D' B F U2 R F
F2 U' R2 U2 D2 B R'
B2 U' R2 D' F L' U2
F' U' R2 F2 L U2 R
F' U' R2 F2 L' U2 R
F' U' R2 F2 L2 U2 R
F' U' R2 F2 U2 R D
F' U' R2 F2 U2 R D'
F' U' R2 F2 U2 R D2
F' U' R2 F2 U2 D R
F' U' R2 F2 U2 D' R
F' U' R2 F2 U2 D2 R
F' U' R2 F2 D U2 R
F' U' R2 F2 D' U2 R
F' U' R2 F2 D2 U2 R
F2 U' R2 D2 U2 B R'
F2 U' R2 F L' U2 B
F2 U' R2 F' U2 B R
B U' R2 D' F L' U2
R2 D' B' F U2 R F
F U' R2 U' R2 U' R
F U' R2 U2 D R' B2
F U' R2 D U2 R' B2
F U' R2 D' F2 U2 R'
R2 D' B2 F U2 R F
F' U' D2 L' U2 L' B2
F' U' D2 L' U2 B2 L'
F2 U' F L' R2 F2 U2
F2 U' F L' F2 R2 U2
F' U' F R2 F U2 R
F2 U' F R2 L' F2 U2
F2 U' F R2 F2 U2 R
F2 U' F' L R2 U2 R'
F2 U' F' L' R2 U2 R'
F2 U' F' L2 R2 U2 R'
F2 U' F' R2 L U2 R'
F2 U' F' R2 L' U2 R'
F2 U' F' R2 L2 U2 R'
F2 U' F' R2 U2 R' D
F2 U' F' R2 U2 R' D'
F2 U' F' R2 U2 R' D2
F2 U' F' R2 U2 D R'
