U2 L D2 B R' U'
F L' U2 L2 B U'
F L' U2 B L2 U'
F L' D2 R2 F' U
U2 D' L B U' B2
U2 D2 L B R' U'
U2 D2 L B R' U'
D2 U2 L B R' U'
D2 U2 L B R' U'
D' U2 L B U' B2
F' U2 L B R U'
R2 F' U2 L R U'
R2 F' U2 R L U'
U2 L D R' U' B L
U2 L D B R' U' B
L2 R F2 R F' L' U
U2 L D2 B R' U' D
U2 L D2 B R' U' D'
U2 L D2 B R' U' D2
U2 L D2 B R' D U'
U2 L D2 B R' D' U'
U2 L D2 B R' D2 U'
U2 L D2 B D R' U'
U2 L D2 B D' R' U'
U2 L D2 B D2 R' U'
U L D2 B R' U' R
U2 L F' B R F U'
U L F' B R U' R'
U' L F2 B U' R B
F' L B R U2 B' U
D2 L B R' U2 B' U
D' L B U2 B' U B'
U2 L B D R' U' B
F L B U2 B' L2 U
U2 L B F' R F U'
U' L B F2 U' R B
U L B F' R U' R'
F L' R2 D F' U F'
F L' R2 D2 F' R2 U
F L' R2 F' U D F2
F L' R2 F' U2 L2 U'
F L' R2 F' D U F2
F L' R2 F' D2 R2 U
R2 L' F L' F2 R U
D2 L' U2 L2 B R' U'
D' L' U2 L2 B U' B2
F' L' U2 L2 B R U'
F L' U2 L' B L' U'
F L' U2 L2 D B U'
F L' U2 L2 D' B U'
F L' U2 L2 D2 B U'
F L' U2 L2 B U' D
F L' U2 L2 B U' D'
F L' U2 L2 B U' D2
F L' U2 L2 B D U'
F L' U2 L2 B D' U'
F L' U2 L2 B D2 U'
R2 L' F' U2 L2 R U'
R2 L' F' U2 R L2 U'
D2 L' U2 B L2 R' U'
D2 L' U2 B R' L2 U'
F L' U2 D B U' F2
D' L' U2 B L2 U' B'
F' L' U2 B L2 R U'
F' L' U2 B R L2 U'
F L' U2 B L2 U' D
F L' U2 B L2 U' D'
F L' U2 B L2 U' D2
F L' U2 B L2 D U'
F L' U2 B L2 D' U'
F L' U2 B L2 D2 U'
F L' U2 B U' D F2
F L' U2 B D U' F2
F L' U2 B' L2 B2 U'
F L' D R2 F' U F'
F L' D U2 B U' F2
F2 L' D2 R2 F' L' U
F L' D2 R2 D F' U
F L' D2 R2 D' F' U
F L' D2 R2 D2 F' U
F L' D2 R2 F' U D
F L' D2 R2 F' U D'
F L' D2 R2 F' U D2
F L' D2 R2 F' D U
F L' D2 R2 F' D' U
F L' D2 R2 F' D2 U
F L' D2 F R2 F' U
F L' D2 F' R2 F' U
F L' D2 F2 R2 F' U
F L' F U2 L2 B U'
F L' F U2 B L2 U'
F L' F D2 R2 F' U
F L' F' U2 L2 B U'
F L' F' U2 B L2 U'
F L' F' D2 R2 F' U
F L' F2 U2 L2 B U'
F L' F2 U2 B L2 U'
D2 L' B L2 R' F U'
F' L' B L2 R F U'
D' L' B L2 F U' B'
D2 L' B L2 F R' U'
F L' F2 D2 R2 F' U
F' L' B R L2 F U'
D2 L' B R' L2 F U'
F2 L' B L2 F R U'
L' R2 F L' F2 R U
B2 L2 R' F L' B2 U
B2 L2 R' F B2 L' U
B2 L2 R' B2 F L' U
L' R2 F' U2 L2 R U'
L' R2 F' U2 R L2 U'
R L2 F2 R F' L' U
D2 L2 U2 L' B R' U'
F' L2 U2 L' B R U'
D2 L2 U2 B L' R' U'
D2 L2 U2 B R' L' U'
F' L2 U2 B L' R U'
F' L2 U2 B R L' U'
U2 L2 D2 L' B R' U'
U2 L2 D2 B L' R' U'
U2 L2 D2 B R' L' U'
B2 L2 F L' R' B2 U
B2 L2 F R' L' B2 U
B2 L2 F R' B2 L' U
B2 R' L2 F L' B2 U
B2 R' L2 F B2 L' U
B2 R' L2 B2 F L' U
R' U2 L U2 F L' U
L2 U2 L' D2 B R' U'
L' U2 L2 D2 B R' U'
L2 U2 D2 L' B R' U'
L2 U2 D2 B L' R' U'
L2 U2 D2 B R' L' U'
F R2 L' D F' U F'
F R2 L' D2 F' R2 U
F R2 L' F' U D F2
F R2 L' F' U2 L2 U'
F R2 L' F' D U F2
F R2 L' F' D2 R2 U
F2 R2 F' L' U D F2
F2 R2 F' L' U2 L2 U'
F2 R2 F' L' D U F2
F2 R2 F' L' D2 R2 U
D' R2 F' U2 L U' B'
F' R2 F' U2 L R' U'
F' R2 F' U2 R' L U'
U2 D L R' U' B L
D2 U L B R' U' R
F' U L B R U' R'
U2 D L D B R' U'
U2 D L B R' U' B
F2 U L' B' D L2 F2
F2 U L' B' D F2 L2
U2 D R' L U' B L
U2 D' L U' B' D L2
U2 D' L D B U' B2
U2 D' L D' B U' B2
U2 D' L D2 B U' B2
U2 D' L B R U' B2
U2 D' L B R' U' B2
U2 D' L B R2 U' B2
U2 D' L B U' B2 D
U2 D' L B U' B2 D'
U2 D' L B U' B2 D2
U2 D' L B D' R2 U'
U2 D' L' B L2 U' B'
U2 D' L2 B L' U' B'
R2 D' F' U2 L U' B'
D' U2 L U' B' D L2
D' U2 L D B U' B2
D' U2 L D' B U' B2
D' U2 L D2 B U' B2
D' U2 L B R U' B2
D' U2 L B R' U' B2
D' U2 L B R2 U' B2
D' U2 L B U' B2 D
D' U2 L B U' B2 D'
D' U2 L B U' B2 D2
D' U2 L B D' R2 U'
D2 U2 L B R' U' D
D2 U2 L B R' U' D'
D2 U2 L B R' U' D2
D2 U2 L B R' D U'
D2 U2 L B R' D' U'
D2 U2 L B R' D2 U'
D2 U2 L B D R' U'
D2 U2 L B D' R' U'
D2 U2 L B D2 R' U'
D U2 L R' U' B L
U2 D2 L B R' U' D
U2 D2 L B R' U' D'
U2 D2 L B R' U' D2
U2 D2 L B R' D U'
U2 D2 L B R' D' U'
U2 D2 L B R' D2 U'
U2 D2 L B D R' U'
U2 D2 L B D' R' U'
U2 D2 L B D2 R' U'
D U2 L D B R' U'
D' U2 L' B L2 U' B'
D2 U2 L' B L2 R' U'
D2 U2 L' B R' L2 U'
D U2 L B R' U' B
U D2 L B R' U' R
U2 D2 L' B L2 R' U'
U2 D2 L' B R' L2 U'
D' U2 L2 B L' U' B'
D2 U2 L2 B L' R' U'
D2 U2 L2 B R' L' U'
U2 D2 L2 B L' R' U'
U2 D2 L2 B R' L' U'
D U2 R' L U' B L
F' U2 L D B R U'
F' U2 L D' B R U'
F' U2 L D2 B R U'
L2 D2 U2 L' B R' U'
F' U2 L B R U' D
F' U2 L B R U' D'
F' U2 L B R U' D2
F' U2 L B R D U'
F' U2 L B R D' U'
F' U2 L B R D2 U'
F' U2 L B D R U'
F' U2 L B D' R U'
F' U2 L B D2 R U'
F' U2 L B' R B2 U'
F' U2 L B2 R B' U'
F2 U2 L B U2 L U
F2 U2 L B' R' B2 U'
L2 D2 U2 B L' R' U'
L2 D2 U2 B R' L' U'
F' U2 L' B L2 R U'
F' U2 L' B R L2 U'
F U2 L D' B U' B
F U2 L D2 B R2 U'
F U2 L B U' D' B2
F U2 L B U2 L2 U
F U2 L B D' U' B2
F U2 L B D2 R2 U'
F' U2 L2 B L' R U'
F' U2 L2 B R L' U'
F' U2 R D2 L B' U'
L D2 B R' U2 B' U
F' U2 D L B R U'
F' U2 D' L B R U'
F' U2 D2 L B R U'
L' F L' U2 L' B U'
L' F L' U2 B L' U'
L2 F L' U2 B L U'
R2 F L' F2 U D F2
R2 F L' F2 U2 L2 U'
R2 F L' F2 D U F2
R2 F L' F2 D2 R2 U
L F L' U2 L B U'
R2 F L2 F2 L R U
R2 F L2 F2 R L U
F' U2 B D' R U' F'
D' F U2 L B U' B2
D2 F U2 L B R' U'
F D L' U2 L2 B U'
F D L' U2 B L2 U'
F D L' D2 R2 F' U
L' F D2 L' R2 F' U
L' F D2 R2 L' F' U
L F B U2 B' L' U
F' D U2 L B R U'
R2 F' L' U2 L2 R U'
R2 F' L' U2 R L2 U'
U F' L B R U' R'
R2 F' L2 U2 L' R U'
R2 F' L2 U2 R L' U'
R2 F' R' U2 L R2 U'
R2 F' R' U2 R2 L U'
R2 F' R2 U2 L R' U'
R2 F' R2 U2 R' L U'
U' F' U' L B R U'
U F' U L B R U'
D2 F' U2 L B R' U'
D' F' U2 L B U' B2
L' F' U2 L2 B R U'
L' F' U2 B L2 R U'
L' F' U2 B R L2 U'
R2 F' U2 L R U' D
R2 F' U2 L R U' D'
R2 F' U2 L R U' D2
R2 F' U2 L R D U'
R2 F' U2 L R D' U'
R2 F' U2 L R D2 U'
R2 F' U2 L D R U'
R2 F' U2 L D' R U'
R2 F' U2 L D2 R U'
R2 F' U2 R L U' D
R2 F' U2 R L U' D'
R2 F' U2 R L U' D2
R2 F' U2 R L D U'
R2 F' U2 R L D' U'
R2 F' U2 R L D2 U'
R2 F' U2 R D L U'
R2 F' U2 R D' L U'
R2 F' U2 R D2 L U'
R2 F' U2 D L R U'
R2 F' U2 D R L U'
R2 F' U2 D' L R U'
R2 F' U2 D' R L U'
R2 F' U2 D2 L R U'
