U' B' U' L R'
U' B' U' R' L
D L U' B' U' R'
D L' U F U R
U2 L' U' B' U L
D' R U F' B U
D' R U B F' U
R U B U' R' U2
R' U' F' B' U' L
L' U' B' U' L R'
L' U' B' U' R' L
D' R' U' F' B U'
D' R' U' B F' U'
R' U' B' F' U' L
L2 U' B' U' L R'
L2 U' B' U' R' L
L U' B' U' L R'
L U' B' U' R' L
B R' B' U' F' U'
D2 U F U L' R
D2 U F U R L'
U D2 F U L' R
U D2 F U R L'
U' F B' U' L R'
U' F B' U' R' L
U F B' U L R
U F B' U R L
U' F' B' U' L R'
U' F' B' U' R' L
U' F2 B' U' L R'
U' F2 B' U' R' L
U' B U L R' U2
U' B U R' L U2
U' B' U' L R' D
U' B' U' L R' D'
U' B' U' L R' D2
U' B' U' L D R'
U' B' U' L D' R'
U' B' U' L D' R'
U' B' U' L D2 R'
U' B' U' R' L D
U' B' U' R' L D'
U' B' U' R' L D2
U' B' U' R' D L
U' B' U' R' D' L
U' B' U' R' D2 L
U' B' U' D L R'
U' B' U' D R' L
U' B' U' D' L R'
U' B' U' D' R' L
U' B' U' D2 L R'
U' B' U' D2 R' L
U' B' D U' L R'
U' B' D U' R' L
U' B' D U' R' L
U' B' D' U' L R'
U' B' D' U' R' L
U' B' D2 U' L R'
U' B' D2 U' R' L
U' B' F U' L R'
U' B' F U' R' L
U' B' F' U' L R'
U' B' F' U' R' L
U' B' F2 U' L R'
U' B' F2 U' R' L
U B' F U L R
U B' F U R L
D' L R U F' B U
D' L R U B F' U
L' R U B U' R' U2
L2 R U B U' R' U2
L R U B U' R' U2
D' L R' U' F' B U'
D' L R' U' B F' U'
D L R' U' F' B' U'
D L R' U' B' F' U'
B L R' U' F' L' U'
R L U B U' R' U2
R' L U' F' B' U' L
R' L U' B' F' U' L
U2 L U D2 F U' L'
D2 L U F U L' R
D2 L U F U R L'
U2 L U F B' U' L
U2 L U B' F U' L
D L U' D B' U' R'
D L U' D' B' U' R'
D L U' D2 B' U' R'
D L U' F B' U' R'
D L U' F' B' U' R'
D L U' F2 B' U' R'
D L U' B' U' R' D
D L U' B' U' R' D'
D L U' B' U' R' D2
D L U' B' U' D R'
D L U' B' U' D' R'
D L U' B' U' D2 R'
D L U' B' D U' R'
D L U' B' D' U' R'
D L U' B' D2 U' R'
D L U' B' F U' R'
D L U' B' F' U' R'
D L U' B' F2 U' R'
U L D L' F U R
D L D U' B' U' R'
D L D' U' B' U' R'
U2 L D2 U F U' L'
D L D2 U' B' U' R'
U2 L B' L D' B R'
U' L B' L' U' L2 R'
U' L B' L' U' R' L2
R L' U B U' R' U2
R' L' U' F' B' U' L
L' R' U' F' B' U' L
R' L' U' B' F' U' L
L' R' U' B' F' U' L
L R' U' F' B' U' L
L2 R' U' F' B' U' L
L R' U' B' F' U' L
L2 R' U' B' F' U' L
D' L' R U F' B U
D' L' R U B F' U
D L' R U F B U
D L' R U B F U
U2 L' R U' B' U L
D' L' R' U' F' B U'
D' L' R' U' B F' U'
U2 L' R' U' B' U L
U2 L' R2 U' B' U L
D2 L' U F U L' R
D2 L' U F U R L'
D L' U D F U R
D L' U D' F U R
D L' U D2 F U R
D L' U F U R D
D L' U F U R D'
D L' U F U R D2
D L' U F U D R
D L' U F U D' R
D L' U F U D2 R
D L' U F D U R
D L' U F D' U R
D L' U F D2 U R
D L' U F B U R
D L' U F B' U R
D L' U F B2 U R
D L' U B F U R
D L' U B' F U R
D L' U B2 F U R
U2 L' U' F B' U L
U2 L' U' F' B' U L
U2 L' U' F2 B' U L
U2 L' U' B' U L D
U2 L' U' B' U L D'
U2 L' U' B' U L D2
U2 L' U' B' U D L
U2 L' U' B' U D' L
U2 L' U' B' U D2 L
U2 L' U' B' D U L
U2 L' U' B' D' U L
U2 L' U' B' D2 U L
U2 L' U' B' F U L
U2 L' U' B' F' U L
U2 L' U' B' F2 U L
U' L' D L B' U' R'
D L' D U F U R
D L' D' U F U R
D L' D2 U F U R
R L2 U B U' R' U2
R' L2 U' F' B' U' L
R' L2 U' B' F' U' L
U' L' B' U' L R' F
U' L' B' U' L F R'
U' L' B' U' R' L F
D' L2 R U F' B U
D' L2 R U B F' U
D L2 R U B U L
D' L2 R' U' F' B U'
D' L2 R' U' B F' U'
D L2 R' U' F' U' L'
B L2 R' U' F' U' F2
B L2 R' U2 F D R2
D2 L2 U F U L' R
D2 L2 U F U R L'
U' L2 B' L2 U' L' R'
U' L2 B' L2 U' R' L'
U2 L2 B' L B D' R2
U2 L2 B' D' L B R'
D' R L U F' B U
D' R L U B F' U
L' U D2 F U L' R
L' U D2 F U R L'
D' R L' U F' B U
D' R L' U B F' U
L2 U D2 F U L' R
L2 U D2 F U R L'
L U D2 F U L' R
L U D2 F U R L'
U2 R L' U' B' U L
D R L' U F B U
D R L' U B F U
R U D2 F B U L'
R U D2 B F U L'
D' R L2 U F' B U
D' R L2 U B F' U
L' U F B' U L R
L' U F B' U R L
D R L2 U B U L
L2 U F B' U L R
L2 U F B' U R L
L U F B' U L R
L U F B' U R L
R U F B U' R' U2
D' R U D F' B U
D' R U D B F' U
D' R U D' F' B U
D' R U D' B F' U
D' R U D2 F' B U
D2 R U F B U L'
D' R U D2 B F' U
D' R U F' D B U
D' R U F' D' B U
D' R U F' D2 B U
D' R U F' B U D
D' R U F' B U D'
D' R U F' B U D2
D' R U F' B D U
D' R U F' B D' U
D' R U F' B D2 U
D2 R U B F U L'
D' R U B D F' U
D' R U B D' F' U
D' R U B D2 F' U
D' R U B F' U D
D' R U B F' U D'
D' R U B F' U D2
D' R U B F' D U
D' R U B F' D' U
D' R U B F' D2 U
R U F' B U' R' U2
U2 R U B' U' L R'
U2 R U B' U' R' L
R U F2 B U' R' U2
R U B U B2 L B2
R U B U' R' U2 D
R U B U' R' U2 D'
R U B U' R' U2 D2
R U B U' R' D U2
R U B U' R' D' U2
R U B U' R' D2 U2
R U B U' D R' U2
R U B U' D' R' U2
R U B U' D2 R' U2
R U B U2 B2 U' L
R U B D U' R' U2
R' U B' U2 F' U' L
R U B D' U' R' U2
R U B D2 U' R' U2
R U B F U' R' U2
R U B F' U' R' U2
R U B F2 U' R' U2
L' U B' F U L R
L' U B' F U R L
D' R D U F' B U
D' R D U B F' U
R U B' U L D' R2
L2 U B' F U L R
L2 U B' F U R L
R U B' U D' L R2
R U B' U D' R2 L
R' U B2 U2 F' U' L'
R U B' D' U L R2
R U B' D' U R2 L
L U B' F U L R
L U B' F U R L
D' R D' U F' B U
D' R D' U B F' U
D' R D2 U F' B U
D' R D2 U B F' U
B R B' R2 U B2 U
B R B' R2 U2 D' R2
B R B' R2 D L2 U2
B R B' R2 D' U2 R2
B2 R B2 U B' U L
D' R' L U' F' B U'
D' R' L U' B F' U'
R' U' D2 F' U R U2
D R' L U' F' B' U'
D R' L U' B' F' U'
B R' L U' F' L' U'
D' R' L' U' F' B U'
D' R' L' U' B F' U'
U2 R' L' U' B' U L
D' R' L2 U' F' B U'
D' R' L2 U' B F' U'
L' U' F B' U' L R'
L' U' F B' U' R' L
L2 U' F B' U' L R'
L2 U' F B' U' R' L
D R' L2 U' F' U' L'
R' U' F' U' B' L B
B R' L2 U' F' U' F2
B R' L2 U2 F D R2
R' U' F' B U R' U2
L U' F B' U' L R'
L U' F B' U' R' L
R' U' F' B' U' L D
R' U' F' B' U' L D'
R' U' F' B' U' L D2
R' U' F' B' U' D L
R' U' F' B' U' D' L
R' U' F' B' U' D2 L
R' U' F' B' D U' L
R' U' F' B' D' U' L
R' U' F' B' D2 U' L
L' U' F' B' U' L R'
L' U' F' B' U' R' L
L2 U' F' B' U' L R'
L2 U' F' B' U' R' L
R' U' F2 D2 F U' L'
L U' F' B' U' L R'
L U' F' B' U' R' L
U2 R' U B' U' L R'
U2 R' U B' U' R' L
L' U' F2 B' U' L R'
L' U' F2 B' U' R' L
