F' R B U' F2
F' L R B U' F2
F' L' R B U' F2
F' L2 R B U' F2
F' R L B U' F2
F' R L' B U' F2
F' R L2 B U' F2
F' R D' L2 B U'
F' R D' B L2 U'
F' R B L U' F2
F' R B L' U' F2
F' R B L2 U' F2
F' R B U' F2 D
F' R B U' F2 D'
F' R B U' F2 D2
F' R B D' L2 U'
U F' R U' L' F2
F' D' L2 R B U'
F' D' R L2 B U'
F' D' R B L2 U'
F' B R B U' F2
F' B' R B U' F2
B' F' R B U' F2
B2 F' R B U' F2
B F' R B U' F2
F' B2 R B U' F2
F' L R D' L2 B U'
F' L R D' B L2 U'
F' L R B L U' F2
F' L R B L' U' F2
F' L R B L2 U' F2
F' L R B U' F2 D
F' L R B U' F2 D'
F' L R B U' F2 D2
F' L R B D' L2 U'
F' L D' L2 R B U'
F' L D' R L2 B U'
F' L D' R B L2 U'
U L F' R U' L' F
F' L B R B U' F2
F' L B' R B U' F2
F' L B2 R B U' F2
F' L' R D' L2 B U'
F' L' R D' B L2 U'
F' L' R B L U' F2
F' L' R B L' U' F2
F' L' R B L2 U' F2
F' L' R B U' F2 D
F' L' R B U' F2 D'
F' L' R B U' F2 D2
F' L' R B D' L2 U'
F2 L' U F' L' B' R'
F' L' D' L2 R B U'
F' L' D' R L2 B U'
F' L' D' R B L2 U'
F' L' B R B U' F2
F' L' B' R B U' F2
F' L' B2 R B U' F2
F' L2 R D' L2 B U'
F' L2 R D' B L2 U'
F' L2 R B L U' F2
F' L2 R B L' U' F2
F' L2 R B L2 U' F2
F' L2 R B U' F2 D
F' L2 R B U' F2 D'
F' L2 R B U' F2 D2
F' L2 R B D' L2 U'
F' L2 D' L2 R B U'
F' L2 D' R L2 B U'
F' L2 D' R B L2 U'
F' L2 B R B U' F2
F' L2 B' R B U' F2
F2 L2 B' U F' L' B'
F' L2 B2 R B U' F2
F' R L D' L2 B U'
F' R L D' B L2 U'
F' R L B L U' F2
F' R L B L' U' F2
F' R L B L2 U' F2
F' R L B U' F2 D
F' R L B U' F2 D'
F' R L B U' F2 D2
F' R L B D' L2 U'
F' R L' D' L2 B U'
F' R L' D' B L2 U'
F' R L' B L U' F2
F' R L' B L' U' F2
F' R L' B L2 U' F2
F' R L' B U' F2 D
F' R L' B U' F2 D'
F' R L' B U' F2 D2
F' R L' B D' L2 U'
F' R L2 D' L2 B U'
F' R L2 D' B L2 U'
F' R L2 B L U' F2
F' R L2 B L' U' F2
F' R L2 B L2 U' F2
F' R L2 B U' F2 D
F' R L2 B U' F2 D'
F' R L2 B U' F2 D2
F' R L2 B D' L2 U'
L U F' R U' L' F
F R U F2 B R U'
F R U B F2 R U'
F' R U' F2 U B U'
F' R U2 R2 F' U F'
F' R U2 D R2 F' U
F' R D U2 R2 F' U
F' R D B U' D' F2
F' R D B U2 R2 U
F' R D B D' U' F2
F' R D B D2 L2 U'
F' R D' L' B L' U'
F' R D' L2 D B U'
F' R D' L2 D' B U'
F' R D' L2 D2 B U'
F' R D' L2 B U' D
F' R D' L2 B U' D'
F' R D' L2 B U' D2
F' R D' L2 B D U'
F' R D' L2 B D' U'
F' R D' L2 B D2 U'
F' R D' B L2 U' D
F' R D' B L2 U' D'
F' R D' B L2 U' D2
F' R D' B L2 D U'
F' R D' B L2 D' U'
F' R D' B L2 D2 U'
F' R D' B U' D F2
F' R D' B D U' F2
F' R D' B' L2 B2 U'
F' R D2 B U B U2
F' R B L U' F2 D
F' R B L U' F2 D'
F' R B L U' F2 D2
F' R B L D' L2 U'
F' R B L' U' F2 D
F' R B L' U' F2 D'
F' R B L' U' F2 D2
F' R B L' D' L2 U'
F' R B L2 U' F2 D
F' R B L2 U' F2 D'
F' R B L2 U' F2 D2
F' R B L2 D' L2 U'
D2 R B R' F' U' F2
F' R B U D2 B2 U2
F' R B U B U2 F2
F' R B U B' U2 F2
F' R B U B2 U2 F2
F' R B U' L' F2 L
F' R B U' L2 F2 L2
F' R B U' R F2 R'
F' R B U' R2 F2 R2
F' R B U' F D F
F' R B U' F D' F
F' R B U' F D2 F
F' R B U' F' D F'
F' R B U' F' D' F'
F' R B U' F' D2 F'
F R F2 B R U' F2
F' R B U2 R U F2
F' R B U2 R' U F2
F' R B U2 R2 U F2
F' R B U2 D R2 U
F' R B D U2 R2 U
F' R B D' L2 U' D
F' R B D' L2 U' D'
F' R B D' L2 U' D2
F' R B D' L2 D U'
F' R B D' L2 D' U'
F' R B D' L2 D2 U'
F' R B D2 U B2 U2
F' R B' L B2 U' F2
F' R B' L' B2 U' F2
F' R B' L2 B2 U' F2
F' R B' U' F2 D L2
F R B F2 R U' F2
F' R B2 D' B' L2 U'
F' R' B R2 B U' F2
F' R' B' R2 B U' F2
F' R' B2 R2 B U' F2
B' U F' R U' L' F2
F2 U F' L' D R2 B'
F2 U F' L' D B' R2
B2 U F' R U' L' F2
F2 U F' L' B' D R2
F2 U F' D L' R2 B'
F2 U F' D L' B' R2
F2 U F' D R2 L' B'
B U F' R U' L' F2
F' U' F2 B L D' B2
F' U' B F2 L D' B2
R D2 B R' F' U' F2
