U B U R' B' L
U2 L R' B R' D B2
U2 L R2 B D R' B2
U2 L R2 B' D B2 R'
U2 L U' B U R' B'
U2 L B R' U R U'
U2 L B R2 D R B2
U2 L B R2 D B2 R
B' L B U L' U L2
B' L B U2 L D' B2
U2 L B' R2 D B2 R'
U L' B U R' B' L2
U L2 B U R' B' L'
L' U D L F2 B' U
L' U D L B' F2 U
L' U D F2 L B' U
R' U B U R' B' L
L2 U B L2 U L R'
L2 U B L2 U R' L
B R U' B' U2 L R2
B R U' B' U2 R2 L
R2 U B U R' B' L
D' R U2 F' U' F L
R U B U R' B' L
U2 R' L B R' D B2
D' R' U B U B' L
D' R' B U' B' U2 L
U2 R2 L B D R' B2
U2 R2 L B' D B2 R'
L' U2 B L2 D' R' B
L2 U2 B R' D' L' B2
L2 U2 B R' D' B2 L'
B R2 U' B' U2 L R
B R2 U' B' U2 R L
L2 U2 B D' L' R' B2
L2 U2 B D' R' L' B2
L2 U2 B D' R' B2 L'
L2 U2 B' D' B2 L' R'
L2 U2 B' D' B2 R' L'
L' D U L F2 B' U
L' D U L B' F2 U
L' D U F2 L B' U
U2 D L U' B' U B
U2 D L' F U' L2 F'
U2 D L' F U' F' L2
B U L2 R' D2 F L'
B U L2 D2 R' F L'
B U L2 D2 F L' R'
B U L2 D2 F R' L'
B U R' L2 D2 F L'
B U R' U2 B' U2 L
B U R' D2 L2 F L'
B U D2 L2 R' F L'
B U D2 L2 F L' R'
B U D2 L2 F R' L'
B U D2 R' L2 F L'
F' U B U R' B' L
F2 U B U R' B' L
F U B U R' B' L
B U B' U2 L B R'
B' U' L B U F U
B U' R B' U2 L R2
B U' R B' U2 R2 L
B U' R2 B' U2 L R
B U' R2 B' U2 R L
D U2 L U' B' U B
D U2 L' F U' L2 F'
D U2 L' F U' F' L2
B U' B2 L B U2 L
D2 U2 F' U' R F L
U2 D2 F' U' R F L
D2 F L' U L U L
U' F R2 U' L B R'
U' F U' L R2 B R'
U' F U' R2 L B R'
U2 F U' L D2 F' R
U2 F U' D2 L F' R
U2 F U' D2 F' L R
U2 F U' D2 F' R L
U2 F D2 U' L F' R
U2 F D2 U' F' L R
U2 F D2 U' F' R L
U F B U R' B' L
U F' B U R' B' L
U F2 B U R' B' L
B D2 U L2 R' F L'
B D2 U L2 F L' R'
B D2 U L2 F R' L'
B D2 U R' L2 F L'
L' B L2 D' R' F B
L' B L2 D' R' B F
L' B L2 D' F R' B
L' B L2 F D' R' B
L2 B L2 U R' F L
L2 B L2 U F L R'
L2 B L2 U F R' L
U B U R B' L R2
U B U R B' R2 L
U B U R' B' L D
U B U R' B' L D'
U B U R' B' L D2
U B U R' B' D L
U B U R' B' D' L
U B U R' B' D2 L
U B U R2 B' L R
U B U R2 B' R L
U' B' L U' L' B' U'
U B F U R' B' L
U B F' U R' B' L
U B F2 U R' B' L
