R D F' R' B2 L
B2 L R F2 U R' F
B2 L R F2 U F R'
L' R D F' R' B2 L
L2 R D F' R' B2 L
L R D F' R' B2 L
R L D F' R' B2 L
B2 L F2 R U F' R'
R L' D F' R' B2 L
D2 L' R' B2 U' R F
D2 L' U R' B2 U' F
D2 L' F U R' B2 U'
R L2 D F' R' B2 L
D' L2 F U L' R' U'
D' L2 F U R' L' U'
R' U D R2 U2 F' R'
R' U D B R2 U2 R'
R U D F' R' B2 L
R' U D' B U2 L2 R
R' U D' B U2 R L2
B2 R L F2 U R' F
B2 R L F2 U F R'
F2 R U D F' R' B2
F2 R U F' D R' B2
R' U B U2 R D' L2
R' U B U2 D' L2 R
R' U B U2 D' R L2
R' U B D R2 U2 R'
R' U B D' U2 L2 R
R' U B D' U2 R L2
U2 R D R2 B U2 B
F2 R D U F' R' B2
B' R D' L2 F' R' B
B' R D' F' L2 R' B
B' R D' F' R' L2 B
B' R D' F' R' B L2
U2 R D' F2 U2 F L2
F2 R D2 L2 U F' R'
F R F' D R' B2 L
U' R F2 U D F B2
U' R F2 U D B2 F
U' R F2 U F D B2
U' R F2 U2 R2 U' F
U' R F2 D U F B2
U' R F2 D U B2 F
R' U' R2 D' L2 F' R'
R' U' R2 D' F' L2 R'
R' U' R2 D' F' R' L2
R' U' D' L2 R2 F' R'
R' U' D' R2 L2 F' R'
R' U' D' R2 F' L2 R'
R' U' D' R2 F' R' L2
R U' D F' R' B2 L
D2 R' L' B2 U' R F
D' R' U' L2 D R F'
U R' U D R2 U2 F'
U R' U D B R2 U2
U R' U D' B U2 L2
U R' U B U F2 U
U R' U B U2 D' L2
U R' U B D R2 U2
U R' U B D' U2 L2
F2 R' U' B U2 R B'
F2 R' U' B U2 B' R
U R' U2 R2 F2 U F
U R' U2 F2 R2 U F'
U R' U2 F2 U' B U2
U R' D U R2 U2 F'
U R' D U B R2 U2
U R' D' U B U2 L2
U R' D' B2 U' L2 F
U R' D2 B2 L2 U' F
U R' D2 B2 U B' U2
U' R' F2 U' B U2 B'
R' U2 R2 F2 U R' F
R' U2 R2 F2 U F R'
U R' B U2 F2 U F2
D2 R' B2 L' U' R F
D2 R' B2 U' D2 R F'
D2 R' B2 D2 U' R F'
U R' B' D2 B2 U' F2
R U2 D F' R' B2 L
D R' B2 U' L R F
D R' B2 U' R L F
U R' B2 U' D' L2 F
U R' B2 D' U' L2 F
R' U2 F2 U' L' B U2
R' U2 F2 U' B L' U2
R D L F' R' B2 L
R D L' F' R' B2 L
U' R2 F2 L' R' U F'
U' R2 F2 R' L' U F'
R D L2 F' R' B2 L
R' D U R2 U2 F' R'
R' D U B R2 U2 R'
R D R2 B U2 B R
R D U F' R' B2 L
D2 U L' R' B2 U' F
R D U' F' R' B2 L
R D U2 F' R' B2 L
R D F R' F2 B2 L
R D F R' B2 L F2
R D F R' B2 F2 L
R D F' L R' B2 L
R D F' L' R' B2 L
R D F' L2 R' B2 L
R D F' R' L B2 L
R D F' R' L' B2 L
R D F' R' L2 B2 L
R D F' R' B2 L D
R D F' R' B2 L D'
R D F' R' B2 L D2
R D F' R' B2 D L
R D F' R' B2 D' L
R D F' R' B2 D2 L
D2 U R' L' B2 U' F
R D F2 R' F B2 L
R D F2 R' B2 F L
D2 U R' B2 L' U' F
D U R' B2 U' L F
U D R' B2 U' L F
R D' L2 D2 F' R' B2
R D' L2 F' R2 B R
R' D' U B U2 L2 R
R' D' U B U2 R L2
R' D' U' L2 R2 F' R'
R' D' U' R2 L2 F' R'
R' D' U' R2 F' L2 R'
