L U R' U B L
F L R U R2 U B
F L R D F' B2 U2
F L R D B2 F' U2
L R U R2 U B L
F L R D' F' U2 F'
R L U R2 U B L
F L R F' U R2 U
F L R F' U2 D' F2
F L R F' D B2 U2
F L R F' D' U2 F2
F' L U R' U L2 B
F' L U R' U B L2
U2 L U R' F' U B
U L U R' F U B
U L U F R' U B
L R D F' B2 U2 L'
R L D F' B2 U2 L'
L R D B2 F' U2 L'
R L D B2 F' U2 L'
L R D' F' U2 L' F'
R L D' F' U2 L' F'
L R F' U R2 U L'
R L F' U R2 U L'
L R F' U2 L' D' F2
L R F' U2 D' L' F2
R L F' U2 L' D' F2
L R F' D B2 U2 L'
R L F' U2 D' L' F2
L R F' D' U2 L' F2
R L F' D B2 U2 L'
R L F' D' U2 L' F2
B2 L F' U' L' R' B
B2 L F' U' R' L' B
B2 L F' U' R' B L'
L U L R' F U B
L U L F R' U B
L U R' L F U B
L U R' U L B L
L U R' U L' B L
L U R' U L2 B L
L U R' U D B L
L U R' U D' B L
L U R' U D2 B L
L U R' U B L D
L U R' U B L D'
L U R' U B L D2
L U R' U B D L
L U R' U B D' L
L U R' U B D2 L
L U R' D U B L
L U R' D' U B L
L U R' D2 U B L
L U R' F U B L
L U R' F' U B L
L U R' F2 U B L
F R L U R2 U B
F R L D F' B2 U2
F R L D B2 F' U2
F R L D' F' U2 F'
F R L F' U R2 U
F R L F' U2 D' F2
F R L F' D B2 U2
F R L F' D' U2 F2
L U F R' U B L
L U F' R' U B L
L U F2 R' U B L
F R D L F' B2 U2
F R D L B2 F' U2
F R D F' L B2 U2
F R D F' B2 U2 R'
F R D B2 F' U2 R'
F R D' L F' U2 F'
F R D' F' L U2 F'
F R F' L U R2 U
F R F' L U2 D' F2
F R F' L D B2 U2
F R F' L D' U2 F2
F R F' D L B2 U2
F R F' D B2 U2 R'
F R F' D' L U2 F2
F' R' U L' D2 B R2
F' R' U L' B D2 R2
F' R' U B2 R' B' L'
F' R' U' L U2 L2 B
F' R' U' L U2 B L2
F R' U' L R2 F' U2
U R' U B2 R' B' L
U R' U' L U2 B L
F R' U' R2 L F' U2
F R' U' R2 F' L U2
B2 R' F' L' D F2 B
B2 R' F' L' D B F2
B2 R' F' L' B D F2
U' R' F' U B2 R' B'
U' R' F' U' L U2 B
U' R' F' B2 U R' B'
B2 R' F' B D L' F
B2 R' B D F' L' F
B2 R' B F' D L' F
F' R' B2 U R' B' L'
U2 R' B2 U R' B' L
U' R' B2 F' U R' B'
R' U2 B2 U' R' B' L
R D L F' B2 U2 L'
R D L B2 F' U2 L'
R D F' L B2 U2 L2
R D F' B2 U2 L' R'
R D F' B2 U2 R' L'
R D B2 F' U2 L' R'
R D B2 F' U2 R' L'
R D' L F' U2 L' F'
B2 U' L U' R' B L
R D' F' L U2 L2 F'
R D' F' L U2 F' L2
L F R U R2 U B
L F R D F' B2 U2
L F R D B2 F' U2
L F R D' F' U2 F'
L F R F' U R2 U
L F R F' U2 D' F2
L F R F' D B2 U2
L F R F' D' U2 F2
R F' L U R2 U L2
R F' L U2 L2 D' F2
R' F' U L' D2 B R2
R' F' U L' B D2 R2
R' F' U B2 R' B' L'
R' F' U' L U2 L2 B
R' F' U' L U2 B L2
L F' U R' U L' B
L F' U R' U B L'
R F' D L B2 U2 L2
R F' D B2 U2 L' R'
R F' D B2 U2 R' L'
R F' D' L U2 L2 F2
R F' D' L U2 F2 L2
R' F' B2 U R' B' L'
B2 F' L U' L2 R' B
B2 F' L U' R' L2 B
B2 F' L U' R' B L2
B2 F' L' R' D F2 B
B2 F' L' R' D B F2
B2 F' L' R' B D F2
B2 F' R' L' D F2 B
B2 F' R' L' D B F2
B2 F' R' L' B D F2
B2 F' R' B D L' F
U' B2 L U' R' B L
F' B2 L U' L2 R' B
F' B2 L U' R' L2 B
F' B2 L U' R' B L2
F' B2 L' R' D F2 B
F' B2 L' R' D B F2
F' B2 L' R' B D F2
F' B2 R' L' D F2 B
F' B2 R' L' D B F2
F' B2 R' L' B D F2
F' B2 R' B D L' F
R' B2 F' U R' B' L'
