F2 D' L2 F R
F2 L2 D' F L2 R
F2 L2 D' F R L2
F2 R D' L2 F R
F' R F' D' L2 F
F2 R' D' L2 F R
B2 R2 U F' R B2
B2 R2 U F' B2 R
B2 R2 U B2 F' R
F2 R2 D' L2 F R
B2 U R2 F' R B2
B2 U R2 F' B2 R
B2 U R2 B2 F' R
F2 D' L2 R F R
F2 D' L2 R' F R
F2 D' L2 R2 F R
F2 D' L2 D F R
F2 D' L2 D' F R
F2 D' L2 D2 F R
F2 D' L2 F R D
F2 D' L2 F R D'
F2 D' L2 F R D2
F2 D' L2 F D R
F2 D' L2 F D' R
F2 D' L2 F D2 R
F2 D' R L2 F R
F2 D' R' L2 F R
F2 D' R2 L2 F R
F2 D' F L2 R F
F2 D' F R L2 F
R' F2 D' L2 F R
R2 F2 D' L2 F R
R F2 D' L2 F R
F' L R D L F L'
B2 L R2 U F' R B2
B2 L R2 U F' B2 R
B2 L R2 U B2 F' R
B2 L U R2 F' R B2
B2 L U R2 F' B2 R
B2 L U R2 B2 F' R
F' L D L R F L'
F' L D R L F L'
F2 L D' L F L R
F2 L D' L F R L
D' L B' L U F B
D' L B' L U B F
B2 L' R2 U F' R B2
B2 L' R2 U F' B2 R
B2 L' R2 U B2 F' R
B2 L' U R2 F' R B2
B2 L' U R2 F' B2 R
B2 L' U R2 B2 F' R
F' L2 R U B' U' F
F' L2 R F U B' U'
F2 L2 R D' F L2 R
F2 L2 R D' F R L2
F2 L2 R' D' F L2 R
F2 L2 R' D' F R L2
D L2 R' B U F B'
D L2 R' B U B' F
B2 L2 R2 U F' R B2
B2 L2 R2 U F' B2 R
B2 L2 R2 U B2 F' R
F2 L2 R2 D' F L2 R
F2 L2 R2 D' F R L2
B2 L2 U R2 F' R B2
B2 L2 U R2 F' B2 R
B2 L2 U R2 B2 F' R
F' L2 U B' U' R F
B L2 U' F L' B2 U2
B L2 U' F B2 L' U2
U L2 U' F' L2 R F2
U L2 U' F' R L2 F2
U L2 U' F' R F2 L2
B L2 U' B2 F L' U2
F2 L2 D F D2 L2 R
F2 L2 D F D2 R L2
F2 L2 D' R F L2 R
F2 L2 D' R F R L2
F2 L2 D' R' F L2 R
F2 L2 D' R' F R L2
F2 L2 D' R2 F L2 R
F2 L2 D' R2 F R L2
F2 L2 D' F L2 R D
F2 L2 D' F L2 R D'
F2 L2 D' F L2 R D2
F2 L2 D' F L2 D R
F2 L2 D' F L2 D' R
F2 L2 D' F L2 D2 R
F2 L2 D' F R L2 D
F2 L2 D' F R L2 D'
F2 L2 D' F R L2 D2
F2 L2 D' F2 L2 F' R
F2 L2 D2 F R D L2
F2 L2 D2 F D L2 R
F2 L2 D2 F D R L2
F2 L2 F R U' F U
U L2 F' U' L2 R F2
U L2 F' U' R L2 F2
U L2 F' U' R F2 L2
D L2 F2 D' L2 F' R
D L2 F2 D' F' L2 R
D L2 F2 D' F' R L2
D2 L2 B U R' F B'
D2 L2 B U R' B' F
D2 L2 B U F R' B'
D' L2 B U F B' R'
D' L2 B U B' R' F
D' L2 B U B' F R'
F' L2 B' U' B R F
F' R L D L F L'
F' R L2 U B' U' F
F' R L2 F U B' U'
F2 R L2 D' F L2 R
F2 R L2 D' F R L2
F' R U L2 B' U' F
B2 R U R F' R B2
B2 R U R F' B2 R
B2 R U R B2 F' R
B2 R U F' R F' B2
B2 R U F' R B2 F'
B2 R U F' B2 R F'
B2 R U B2 R F' R
B2 R U B2 F' R F'
F' R U' F U' B' U2
F' R U2 B' U F U
F' R D F' D' L2 F
F2 R D' L2 R F R
F2 R D' L2 R' F R
F2 R D' L2 R2 F R
F2 R D' L2 D F R
F2 R D' L2 D' F R
F2 R D' L2 D2 F R
F2 R D' L2 F R D
F2 R D' L2 F R D'
F2 R D' L2 F R D2
F2 R D' L2 F D R
F2 R D' L2 F D' R
F2 R D' L2 F D2 R
F2 R D' R L2 F R
F2 R D' R' L2 F R
F2 R D' R2 L2 F R
F' R D' F' D' L2 F
F2 R D' F L2 R F
F2 R D' F R L2 F
F' R D2 F' D' L2 F
F' R F' L2 D' F L2
F' R F' D' L2 D F
F' R F' D' L2 D' F
F' R F' D' L2 D2 F
F' R F' D' L2 F D
F' R F' D' L2 F D'
F' R F' D' L2 F D2
F' R F' D' F L2 F
F' R F' D' F' L2 F
F' R F' D' F2 L2 F
F' R F2 L2 F D' L2
F2 R' L2 D' F L2 R
F2 R' L2 D' F R L2
D R' L2 B U F B'
D R' L2 B U B' F
F2 R' D' L2 R F R
F2 R' D' L2 R' F R
F2 R' D' L2 R2 F R
F2 R' D' L2 D F R
F2 R' D' L2 D' F R
F2 R' D' L2 D2 F R
F2 R' D' L2 F R D
F2 R' D' L2 F R D'
F2 R' D' L2 F R D2
F2 R' D' L2 F D R
F2 R' D' L2 F D' R
F2 R' D' L2 F D2 R
F2 R' D' R L2 F R
F2 R' D' R' L2 F R
F2 R' D' R2 L2 F R
F2 R' D' F L2 R F
F2 R' D' F R L2 F
F' R' F' R2 D' L2 F
D R' B U D2 F2 B'
D R' B U D2 B' F2
D R' B U' B2 U2 B
D R' B D' R2 U B'
D R' B D2 U F2 B'
D R' B D2 U B' F2
B2 R2 L U F' R B2
B2 R2 L U F' B2 R
B2 R2 L U B2 F' R
B2 R2 L' U F' R B2
B2 R2 L' U F' B2 R
B2 R2 L' U B2 F' R
B2 R2 L2 U F' R B2
B2 R2 L2 U F' B2 R
B2 R2 L2 U B2 F' R
F2 R2 L2 D' F L2 R
F2 R2 L2 D' F R L2
B2 R2 U F' R B2 D
B2 R2 U F' R B2 D'
B2 R2 U F' R B2 D2
B2 R2 U F' R' B2 R2
B2 R2 U F' B' R B'
B2 R2 U F' B2 R D
B2 R2 U F' B2 R D'
B2 R2 U F' B2 R D2
B2 R2 U F' B2 D R
B2 R2 U F' B2 D' R
B2 R2 U F' B2 D2 R
B2 R2 U B' F' R B'
B2 R2 U B2 F' R D
B2 R2 U B2 F' R D'
B2 R2 U B2 F' R D2
B2 R2 U B2 F' D R
B2 R2 U B2 F' D' R
B2 R2 U B2 F' D2 R
B2 R2 U' F' R B2 L
F2 R2 D' L2 R F R
F2 R2 D' L2 R' F R
F2 R2 D' L2 R2 F R
F2 R2 D' L2 D F R
F2 R2 D' L2 D' F R
F2 R2 D' L2 D2 F R
F2 R2 D' L2 F R D
F2 R2 D' L2 F R D'
F2 R2 D' L2 F R D2
F2 R2 D' L2 F D R
F2 R2 D' L2 F D' R
F2 R2 D' L2 F D2 R
F2 R2 D' R L2 F R
F2 R2 D' R' L2 F R
F2 R2 D' R2 L2 F R
F2 R2 D' F L2 R F
F2 R2 D' F R L2 F
F' R2 F' R' D' L2 F
F' R2 F' D' L2 R' F
F' R2 F' D' L2 F R'
F' R2 F' D' R' L2 F
B2 R2 B U F' B R
B2 R2 B U B F' R
L2 D R' B U F B'
L2 D R' B U B' F
B2 R2 B' U F' R B'
B2 R2 B' U F' B' R
B2 R2 B' U B' F' R
D' U L2 U' F L2 R
D' U L2 U' F R L2
F' U L2 B' U' R F
B2 U R F' R F' B2
B2 U R F' R B2 F'
B2 U R F' B2 R F'
B2 U R B2 R F' R
B2 U R B2 F' R F'
L2 D F2 D' L2 F' R
L2 D F2 D' F' L2 R
L2 D F2 D' F' R L2
B2 U R' B2 R' F' R
B2 U R2 F' R B2 D
B2 U R2 F' R B2 D'
B2 U R2 F' R B2 D2
B2 U R2 F' R' B2 R2
B2 U R2 F' B' R B'
B2 U R2 F' B2 R D
B2 U R2 F' B2 R D'
B2 U R2 F' B2 R D2
B2 U R2 F' B2 D R
B2 U R2 F' B2 D' R
B2 U R2 F' B2 D2 R
B2 U R2 B' F' R B'
B2 U R2 B2 F' R D
B2 U R2 B2 F' R D'
B2 U R2 B2 F' R D2
B2 U R2 B2 F' D R
B2 U R2 B2 F' D' R
B2 U R2 B2 F' D2 R
B U D2 F2 B R' B2
B U D2 B R' F2 B2
B U D2 B R' B2 F2
B U D2 B F2 R' B2
L D' L B' U F B
L D' L B' U B F
B2 U F' R2 F' R' B2
B U F D2 F2 R B'
B U F D2 F2 B' R
B U F D2 B' F2 R
B U F' R D2 F2 B'
B U F' R D2 B' F2
B U F' D2 R F2 B'
B U F' D2 R B' F2
B U F' D2 B' R F2
B U B R2 F' R B2
B U B R2 F' B2 R
B U B R2 B2 F' R
U D' L2 U' F L2 R
U D' L2 U' F R L2
B U' L2 F L' B2 U2
B U' L2 F B2 L' U2
B U' L2 B2 F L' U2
D2 U' B' L U L' U
B2 U' D2 F2 B U2 R'
B2 U' D2 B F2 U2 R'
B2 U' F L' B U2 B
B2 U' F B L' U2 B
B U' F B2 L' U2 B
B2 U' F' B U2 B R
F2 U' F2 U' B' U2 R'
B U' F' B2 U2 B R
B2 U' B U2 D2 B R'
B2 U' B D2 U2 B R'
B2 U' B F L' U2 B
B2 U' B F' U2 B R
B U' B2 U2 D2 B R'
B U' B2 D2 U2 B R'
B U' B2 F L' U2 B
B U' B2 F' U2 B R
U' D2 B' L U L' U
D2 U2 B' L U' B U'
L2 D2 B U R' F B'
L2 D2 B U R' B' F
L2 D2 B U F R' B'
B2 U2 R2 U' F' R B2
B2 U2 R2 U' F' B2 R
B2 U2 R2 U' B2 F' R
U2 D2 B' L U' B U'
F2 U2 D R2 B' U2 R'
F2 U2 D B' R2 U2 R
F2 U2 D' B' U2 L2 R'
F2 U2 D' B' U2 R' L2
B' U2 F' U' B R F
F2 U2 B' U F2 U R'
F2 U2 B' U2 R' D' L2
F2 U2 B' U2 D' L2 R'
F2 U2 B' U2 D' R' L2
F2 U2 B' D R2 U2 R
F2 U2 B' D' U2 L2 R'
F2 U2 B' D' U2 R' L2
F U2 B' L' U F' U
U2 F U B' L' F' U2
L2 F U2 L' U F' U
F2 D L2 D2 F L2 R
F2 D L2 D2 F R L2
F2 D L2 F D2 L2 R
F2 D L2 F D2 R L2
F' D R F' D' L2 F
U' F B' L' U L U
F2 D U2 R2 B' U2 R'
F2 D U2 B' R2 U2 R
L F' L R D F L'
L F' L D R F L'
F2 D F D2 L2 R F
F2 D F D2 R L2 F
U2 F' L2 U' R F B'
U2 F' L2 U' R B' F
U2 F' L2 U' B' R F
F' D F' D' L2 F R
R' F' R F' D' L2 F
F D F D' L2 F R
L2 F' R U' F U F
U F' L2 U' R F L2
L2 F' R F' D' L2 F'
L2 F' R F' D' F' L2
L2 F' R F2 U' F' U
R2 F' R F' D' L2 F
L F' R L D F L'
L F' R U' F R U
R F' R F' D' L2 F
F2 D B' R2 F' L' U2
F2 D' L D L F R
F2 D' L D' L F R
F2 D' L D2 L F R
F2 D' L F L R F
F2 D' L F R L F
F2 D' L2 R D F R
F2 D' L2 R D' F R
F2 D' L2 R D2 F R
F2 D' L2 R F R D
F2 D' L2 R F R D'
F2 D' L2 R F R D2
F2 D' L2 R F D R
F2 D' L2 R F D' R
F2 D' L2 R F D2 R
F2 D' L2 R' D F R
F2 D' L2 R' D' F R
F2 D' L2 R' D2 F R
F2 D' L2 R' F R D
F2 D' L2 R' F R D'
F2 D' L2 R' F R D2
F2 D' L2 R' F D R
F2 D' L2 R' F D' R
F2 D' L2 R' F D2 R
F2 D' L2 R2 D F R
F2 D' L2 R2 D' F R
F2 D' L2 R2 D2 F R
F2 D' L2 R2 F R D
F2 D' L2 R2 F R D'
F2 D' L2 R2 F R D2
F2 D' L2 R2 F D R
F2 D' L2 R2 F D' R
F2 D' L2 R2 F D2 R
F2 D' L2 D R F R
F2 D' L2 D R' F R
F2 D' L2 D R2 F R
F2 D' L2 D F R D
F2 D' L2 D F R D'
F2 D' L2 D F R D2
F2 D' L2 D F D R
F2 D' L2 D F D' R
F2 D' L2 D F D2 R
F2 D' L2 D' R F R
F2 D' L2 D' R' F R
F2 D' L2 D' R2 F R
F2 D' L2 D' F R D
F2 D' L2 D' F R D'
F2 D' L2 D' F R D2
F2 D' L2 D' F D R
F2 D' L2 D' F D' R
F2 D' L2 D' F D2 R
F2 D' L2 D2 R F R
F2 D' L2 D2 R' F R
F2 D' L2 D2 R2 F R
F2 D' L2 D2 F R D
F2 D' L2 D2 F R D'
F2 D' L2 D2 F R D2
F2 D' L2 D2 F D R
F2 D' L2 D2 F D' R
F2 D' L2 D2 F D2 R
F2 D' L2 F R2 D R'
F2 D' L2 F R2 D' R'
F2 D' L2 F R2 D2 R'
F2 D' L2 F D R D
F2 D' L2 F D R D'
F2 D' L2 F D R D2
F2 D' L2 F D' R D
F2 D' L2 F D' R D'
F2 D' L2 F D' R D2
F2 D' L2 F D2 R D
F2 D' L2 F D2 R D'
F2 D' L2 F D2 R D2
F2 D' L2 F B R B'
F2 D' L2 F B2 R B2
F2 D' L2 F' R F2 R
F2 D' L2 F' R' F2 R
F2 D' L2 F' R2 F2 R
F2 D' L2 B F R B'
F2 D' L2 B2 F R B2
F2 D' R L2 D F R
F2 D' R L2 D' F R
F2 D' R L2 D2 F R
F2 D' R L2 F R D
F2 D' R L2 F R D'
F2 D' R L2 F R D2
F2 D' R L2 F D R
F2 D' R L2 F D' R
F2 D' R L2 F D2 R
L' F' D2 R F' D' L2
F' D' R F' D' L2 F
F2 D' R F L2 R F
F2 D' R F R L2 F
F2 D' R' L2 D F R
F2 D' R' L2 D' F R
F2 D' R' L2 D2 F R
F2 D' R' L2 F R D
F2 D' R' L2 F R D'
F2 D' R' L2 F R D2
F2 D' R' L2 F D R
F2 D' R' L2 F D' R
F2 D' R' L2 F D2 R
F2 D' R' F L2 R F
F2 D' R' F R L2 F
F2 D' R2 L2 D F R
F2 D' R2 L2 D' F R
F2 D' R2 L2 D2 F R
F2 D' R2 L2 F R D
F2 D' R2 L2 F R D'
F2 D' R2 L2 F R D2
F2 D' R2 L2 F D R
F2 D' R2 L2 F D' R
F2 D' R2 L2 F D2 R
F2 D' R2 F L2 R F
F2 D' R2 F R L2 F
L' F2 L D' L2 F R
L' F2 L' D' F L2 R
L' F2 L' D' F R L2
F2 D' U2 B' U2 L2 R'
F2 D' U2 B' U2 R' L2
F2 D' F L2 R D F
F2 D' F L2 R D' F
F2 D' F L2 R D2 F
F2 D' F L2 R F D
F2 D' F L2 R F D'
F2 D' F L2 R F D2
F2 D' F L2 R' F R2
F2 D' F L2 R2 F R'
F2 D' F L2 D R F
F2 D' F L2 D' R F
F2 D' F L2 D2 R F
F2 D' F R L2 D F
F2 D' F R L2 D' F
F2 D' F R L2 D2 F
F2 D' F R L2 F D
F2 D' F R L2 F D'
F2 D' F R L2 F D2
F2 D' F R F L2 F
F2 D' F R F' L2 F
F2 D' F R F2 L2 F
F2 D' F R' L2 F R2
R' F2 L2 D' F L2 R
R' F2 L2 D' F R L2
F2 D' F R2 L2 F R'
L F2 L D' F L2 R
L F2 L D' F R L2
R' F2 R D' L2 F R
F' D' F' D' L2 F R
L F2 L' D' L2 F R
R2 F2 L2 D' F L2 R
R2 F2 L2 D' F R L2
F D' F D' L2 F R
F2 D' F2 L2 F' R F2
R' F2 R' D' L2 F R
R2 F2 R D' L2 F R
R F2 L2 D' F L2 R
R F2 L2 D' F R L2
R' F2 R2 D' L2 F R
R2 F2 R' D' L2 F R
R F2 R D' L2 F R
R2 F2 R2 D' L2 F R
R F2 R' D' L2 F R
R F2 R2 D' L2 F R
L2 F2 U' F2 U F R
