F' L U F R U2 F'
F' L' R B U' F' B2
F' L' R B U' B2 F'
F' R L' B U' F' B2
F' R L' B U' B2 F'
F' R B L' U' F' B'
F' R B L' U' B' F'
D2 U F' U' L' F B'
D2 U F' U' L' B' F
F' U2 R U F' B L
F' U2 R U B L F'
F' U2 R U B F' L
U D2 F' U' L' F B'
U D2 F' U' L' B' F
L' F' R B U' F' B2
L' F' R B U' B2 F'
U2 F' R U' F' L' B
U2 F' R U' F' B L'
U2 F' R U' B F' L'
U F' R U' L' F' B'
U F' R U' L' B' F'
D' F' U2 R U B L
U F' U' D2 L' F B'
U F' U' D2 L' B' F
U F' D2 U' L' F B'
U F' D2 U' L' B' F
R B L' U' F' B' R'
R B L' U' B' F' R'
