B' R' U' F' U2
R2 B' R' U B
R B' R' U B2
B' L R' U' F' U2
B' L' R' U' F' U2
B' L2 R' U' F' U2
B' R U D' F2 B
B' R U D' B F2
B' R U B D' F2
B' R D' U F2 B
B' R D' U B F2
D' R B' R' U B2
D2 R B' R' U B2
D R B' R' U B2
B R B2 R' U B'
B' R' L U' F' U2
B' R' L' U' F' U2
B' R' L2 U' F' U2
B' R' U R2 B R2
B' R' U' D F' U2
B' R' U' D' F' U2
B' R' U' D2 F' U2
B' R' U' F' U2 D
B' R' U' F' U2 D'
B' R' U' F' U2 D2
B' R' U' F' D U2
B' R' U' F' D' U2
B' R' U' F' D2 U2
B' R' U2 R2 U' B
B' R' D U' F' U2
B' R' D' U' F' U2
B' R' D2 U' F' U2
D2 R2 B' R' U B
D' R2 B' R' U B
D R2 B' R' U B
B R2 B2 R' U B
R2 D B' L R' U
R2 D B' R' L U
R D B' R' U B2
R D' B' R' U B2
R D2 B' R' U B2
B' D R' U' F' U2
B' D' R' U' F' U2
B' D2 R' U' F' U2
R2 B' L R' U B
R2 B' L' R' U B
R2 B' L' R' U B
R2 B' L2 R' U B
R B' L R' U B2
R2 B' R' L U B
D2 B' R' U' F' U2
R2 B' R' L' U B
R2 B' R' L2 U B
R2 B' R' U D B
R2 B' R' U D' B
R2 B' R' U D2 B
R2 B' R' U B D
R2 B' R' U B D'
R2 B' R' U B D2
R B' L' R' U B2
D' B' R' U' F' U2
R2 B' R' D U B
R2 B' R' D' U B
R2 B' R' D2 U B
R B' L2 R' U B2
D B' R' U' F' U2
R B' R' L U B2
R B' R' L' U B2
R B' R' L2 U B2
R B' R' U B2 D
R B' R' U B2 D'
R B' R' U B2 D2
R B' R' D L2 U
R B' D L2 R' U
R B' D R' L2 U
B' L R U D' F2 B
B' L R U D' B F2
B' L R U B D' F2
B' L R D' U F2 B
B' L R D' U B F2
L' R U D' B R' F'
B' L R' U R2 B R2
B' L R' U' D F' U2
B' L R' U' D' F' U2
B' L R' U' D2 F' U2
B' L R' U' F' U2 D
B' L R' U' F' U2 D'
B' L R' U' F' U2 D2
B' L R' U' F' D U2
B' L R' U' F' D' U2
B' L R' U' F' D2 U2
R2 L U B' R' F' B
R2 L U B' R' B F'
B' L R' U2 R2 U' B
L R U B' R' F' B2
L R U B' R' B2 F'
B' L R' D U' F' U2
B' L R' D' U' F' U2
R L U B' R' F' B2
R L U B' R' B2 F'
B' L R' D2 U' F' U2
R' L U' F' L' B' U2
L' R D' U B R' F'
B' L D R' U' F' U2
B' L D' R' U' F' U2
B' L D2 R' U' F' U2
B2 L B R' U' F' U2
R L' U D' B R' F'
L R' U' F' L' B' U2
B' L' R U D' F2 B
B' L' R U D' B F2
B' L' R U B D' F2
B' L' R D' U F2 B
B' L' R D' U B F2
B' L' R' U R2 B R2
B' L' R' U' D F' U2
B' L' R' U' D' F' U2
B' L' R' U' D2 F' U2
B' L' R' U' F' U2 D
B' L' R' U' F' U2 D'
B' L' R' U' F' U2 D2
B' L' R' U' F' D U2
B' L' R' U' F' D' U2
B' L' R' U' F' D2 U2
B' L' R' U2 R2 U' B
B' L' R' D U' F' U2
B' L' R' D' U' F' U2
B' L' R' D2 U' F' U2
R L' D' U B R' F'
B' L' D R' U' F' U2
B' L' D' R' U' F' U2
B' L' D2 R' U' F' U2
L R2 U B' R' F' B
L R2 U B' R' B F'
B2 L' B R' U' F' U2
B' L2 R U D' F2 B
B' L2 R U D' B F2
B' L2 R U B D' F2
B' L2 R D' U F2 B
B' L2 R D' U B F2
B' L2 R' U R2 B R2
B' L2 R' U' D F' U2
B' L2 R' U' D' F' U2
B' L2 R' U' D2 F' U2
B' L2 R' U' F' U2 D
B' L2 R' U' F' U2 D'
B' L2 R' U' F' U2 D2
B' L2 R' U' F' D U2
B' L2 R' U' F' D' U2
B' L2 R' U' F' D2 U2
B' L2 R' U2 R2 U' B
B' L2 R' D U' F' U2
B' L2 R' D' U' F' U2
B' L2 R' D2 U' F' U2
B' L2 D R' U' F' U2
B' L2 D' R' U' F' U2
B' L2 D2 R' U' F' U2
B2 L2 B R' U' F' U2
R2 U R' F' B D' R2
R2 U R' B D' F' R2
R2 U R' B F' D' R2
B L2 B2 U2 L' U' B'
B' R L U D' F2 B
B' R L U D' B F2
B' R L U B D' F2
B' R L D' U F2 B
B' R L D' U B F2
B' R L' U D' F2 B
B' R L' U D' B F2
B' R L' U B D' F2
B' R L' D' U F2 B
B' R L' D' U B F2
B' R L2 U D' F2 B
B' R L2 U D' B F2
B' R L2 U B D' F2
B' R L2 D' U F2 B
B' R L2 D' U B F2
B' R U D' F2 D B
B' R U D' F2 D' B
B' R U D' F2 D2 B
B' R U D' F2 B D
B' R U D' F2 B D'
B' R U D' F2 B D2
B' R U D' B F2 D
B' R U D' B F2 D'
B' R U D' B F2 D2
B' R U D2 B D F2
B' R U F D' F2 B
B' R U F D' B F2
B' R U F B D' F2
B' R U F' D' F2 B
B' R U F' D' B F2
B' R U F' B D' F2
B' R U F2 D' F2 B
B' R U F2 D' B F2
B' R U F2 B D' F2
B' R U B U' R2 U
B' R U B D' F2 D
B' R U B D' F2 D'
B' R U B D' F2 D2
B' R U B F D' F2
B' R U B F' D' F2
B' R U B F2 D' F2
B' R U B2 D' F2 B'
B' R U B2 D' B' F2
B' R U' D B2 U2 B'
R U B R D' R2 F'
B' R U2 D2 L2 U' B
R U B R' D' F' R2
R U B R' F' D' R2
R U B D' R' F' R'
B' R D U' B2 U2 B'
D2 R D B' R' U B2
D' R D B' R' U B2
B' R D' L U F2 B
B' R D' L U B F2
B' R D' L' U F2 B
B' R D' L' U B F2
B' R D' L2 U F2 B
B' R D' L2 U B F2
D R D B' R' U B2
B' R D' U F2 D B
B' R D' U F2 D' B
B' R D' U F2 D2 B
B' R D' U F2 B D
B' R D' U F2 B D'
B' R D' U F2 B D2
B' R D' U B F2 D
B' R D' U B F2 D'
B' R D' U B F2 D2
D2 R D' B' R' U B2
D' R D' B' R' U B2
D R D' B' R' U B2
B' R D2 U B D F2
B' R D2 U2 L2 U' B
D2 R D2 B' R' U B2
D' R D2 B' R' U B2
D R D2 B' R' U B2
F' R F B' R' U B2
F2 R F2 B' R' U B2
B' R B R2 B' U B
B2 R B R' B U B'
D2 R B' L R' U B2
D' R B' L R' U B2
D' R B' L' R' U B2
D2 R B' L' R' U B2
D' R B' L2 R' U B2
D2 R B' L2 R' U B2
D' R B' R' L U B2
D2 R B' R' L U B2
D' R B' R' L' U B2
D2 R B' R' L' U B2
D' R B' R' L2 U B2
D2 R B' R' L2 U B2
D2 R B' R' U B2 D
D' R B' R' U B2 D
D2 R B' R' U B2 D'
D2 R B' R' U B2 D2
D' R B' R' U B2 D'
D' R B' R' U B2 D2
D' R B' R' D L2 U
D2 R B' R' D L2 U
F' R B' R' F U B2
D R B' L R' U B2
D R B' L' R' U B2
D2 R B' D L2 R' U
D' R B' D L2 R' U
D2 R B' D R' L2 U
D' R B' D R' L2 U
D R B' L2 R' U B2
F2 R B' R' F2 U B2
D R B' R' L U B2
D R B' R' L' U B2
D R B' R' L2 U B2
D R B' R' U B2 D
D R B' R' U B2 D'
D R B' R' U B2 D2
D R B' R' D L2 U
F' R B' F R' U B2
D R B' D L2 R' U
F R B' R' F' U B2
D R B' D R' L2 U
F2 R B' F2 R' U B2
B' R B2 R2 B2 U B
B R B2 R' U D B'
B R B2 R' U D' B'
B R B2 R' U D2 B'
B R B2 R' U B' D
B R B2 R' U B' D'
B R B2 R' U B' D2
B R B2 R' D U B'
B R B2 R' D' U B'
B R B2 R' D2 U B'
B' R' L U R2 B R2
B' R' L U' D F' U2
B' R' L U' D' F' U2
B' R' L U' D2 F' U2
B' R' L U' F' U2 D
B' R' L U' F' U2 D'
B' R' L U' F' U2 D2
B' R' L U' F' D U2
B' R' L U' F' D' U2
B' R' L U' F' D2 U2
B R B2 D R' U B'
B' R' L U2 R2 U' B
B R B2 D' R' U B'
B' R' L D U' F' U2
B R B2 D2 R' U B'
B' R' L D' U' F' U2
B' R' L D2 U' F' U2
B' R' L' U R2 B R2
B' R' L' U' D F' U2
B' R' L' U' D' F' U2
B' R' L' U' D2 F' U2
B' R' L' U' F' U2 D
B' R' L' U' F' U2 D'
B' R' L' U' F' U2 D2
B' R' L' U' F' D U2
B' R' L' U' F' D' U2
B' R' L' U' F' D2 U2
B' R' L' U2 R2 U' B
B' R' L' D U' F' U2
B' R' L' D' U' F' U2
B' R' L' D2 U' F' U2
B' R' L2 U R2 B R2
B' R' L2 U' D F' U2
B' R' L2 U' D' F' U2
B' R' L2 U' D2 F' U2
B' R' L2 U' F' U2 D
B' R' L2 U' F' U2 D'
B' R' L2 U' F' U2 D2
B' R' L2 U' F' D U2
B' R' L2 U' F' D' U2
B' R' L2 U' F' D2 U2
B' R' L2 U2 R2 U' B
B' R' L2 D U' F' U2
B' R' L2 D' U' F' U2
B' R' L2 D2 U' F' U2
R' U' F' U B' R' U
B' R' U R2 B R2 D
B' R' U R2 B R2 D'
B' R' U R2 B R2 D2
B' R' U R2 B' R2 B2
B' R' U R2 B2 R2 B'
B' R' U D R2 B R2
B' R' U D' R2 B R2
B' R' U D2 R2 B R2
B' R' U F D2 F' B2
B' R' U F D2 B2 F'
B' R' U B R2 B R2
B' R' U B U2 F' U2
B' R' U B' R2 B R2
B' R' U B' U2 F' U2
B' R' U B2 R2 B R2
B' R' U B2 U2 F' U2
B' R' U' L' F' L U2
B' R' U' L2 F' L2 U2
B' R' U' D F' U2 D
B' R' U' D F' U2 D'
B' R' U' D F' U2 D2
B' R' U' D F' D U2
B' R' U' D F' D' U2
B' R' U' D F' D2 U2
B' R' U' D' F' U2 D
B' R' U' D' F' U2 D'
B' R' U' D' F' U2 D2
B' R' U' D' F' D U2
B' R' U' D' F' D' U2
B' R' U' D' F' D2 U2
B' R' U' D2 F' U2 D
B' R' U' D2 F' U2 D'
B' R' U' D2 F' U2 D2
B' R' U' D2 F' D U2
B' R' U' D2 F' D' U2
B' R' U' D2 F' D2 U2
B' R' U' F U2 D2 B2
B' R' U' F D2 U2 B2
B' R' U' F2 D F U2
B' R' U' F2 D' F U2
B' R' U' F2 D2 F U2
B' R' U2 R2 U' D B
B' R' U2 R2 U' D' B
B' R' U2 R2 U' D2 B
B' R' U2 R2 U' B D
B' R' U2 R2 U' B D'
B' R' U2 R2 U' B D2
B' R' U2 R2 D U' B
B' R' U2 R2 D' U' B
B' R' U2 R2 D2 U' B
B' R' U2 D R2 U' B
B' R' U2 D' R2 U' B
B' R' U2 D2 R2 U' B
B' R' D L U' F' U2
B' R' D L' U' F' U2
B' R' D L2 U' F' U2
B' R' D U R2 B R2
B' R' D U' F' U2 D
B' R' D U' F' U2 D'
B' R' D U' F' U2 D2
B' R' D U' F' D U2
B' R' D U' F' D' U2
B' R' D U' F' D2 U2
B' R' D U2 R2 U' B
B' R' D' L U' F' U2
B' R' D' L' U' F' U2
B' R' D' L2 U' F' U2
B' R' D' U R2 B R2
B' R' D' U' F' U2 D
B' R' D' U' F' U2 D'
B' R' D' U' F' U2 D2
B' R' D' U' F' D U2
B' R' D' U' F' D' U2
B' R' D' U' F' D2 U2
B' R' D' U2 R2 U' B
B' R' D2 L U' F' U2
B' R' D2 L' U' F' U2
B' R' D2 L2 U' F' U2
B' R' D2 U R2 B R2
B' R' D2 U' F' U2 D
B' R' D2 U' F' U2 D'
B' R' D2 U' F' U2 D2
B' R' D2 U' F' D U2
B' R' D2 U' F' D' U2
B' R' D2 U' F' D2 U2
B' R' D2 U2 R2 U' B
L U2 L' U' B' R' F'
B' R' F D' L2 F' U
B' R' F D' F' L2 U
B' R' F D2 F' U B2
B' R' F2 L2 F2 U B'
B' R' F2 U D' L2 B'
U R' F' U' B' L' U
B' R' F2 D' U L2 B'
L U2 R' F' L' U' B'
B' R' B2 U D' R2 B
B' R' B2 D' U R2 B
L2 U2 F U2 R U B
L' U2 F' L' F U' B'
L2 U2 F' L' F2 U' B'
L U2 F' L' U' B' R'
D2 R2 D B' L R' U
D2 R2 D B' R' L U
D' R2 D B' L R' U
D' R2 D B' R' L U
D R2 D B' L R' U
D R2 D B' R' L U
B' R2 D2 L R U B'
B' R2 D2 R L U B'
F' R2 F B' R' U B
R2 D R B' L R' U
R2 D R B' R' L U
R' D R' B' R' U B
F2 R2 F2 B' R' U B
R D R B' R' U B
D' R2 B' L R' U B
D2 R2 B' L R' U B
D' R2 B' L' R' U B
D2 R2 B' L' R' U B
R2 D R' B' L R' U
D' R2 B' L2 R' U B
R2 D R' B' R' L U
D2 R2 B' L2 R' U B
R' D R2 B' R' U B2
D' R2 B' R' L U B
D' R2 B' R' L' U B
D' R2 B' R' L2 U B
D2 R2 B' R' L U B
D2 R2 B' R' L' U B
D' R2 B' R' U D B
D' R2 B' R' U D' B
D' R2 B' R' U D2 B
D' R2 B' R' U B D
D' R2 B' R' U B D'
D' R2 B' R' U B D2
D2 R2 B' R' L2 U B
D2 R2 B' R' U D B
D2 R2 B' R' U D' B
D2 R2 B' R' U D2 B
D2 R2 B' R' U B D
D2 R2 B' R' U B D'
D2 R2 B' R' U B D2
D' R2 B' R' D U B
D' R2 B' R' D' U B
D2 R2 B' R' D U B
D' R2 B' R' D2 U B
D2 R2 B' R' D' U B
D2 R2 B' R' D2 U B
F' R2 B' R' F U B
F2 R2 B' R' F2 U B
D R2 B' L R' U B
F' R2 B' F R' U B
D R2 B' L' R' U B
D R2 B' L2 R' U B
R2 D R2 B' L R' U
R2 D R2 B' R' L U
D R2 B' R' L U B
D R2 B' R' L' U B
D R2 B' R' L2 U B
D R2 B' R' U D B
D R2 B' R' U D' B
D R2 B' R' U D2 B
D R2 B' R' U B D
D R2 B' R' U B D'
D R2 B' R' U B D2
D R2 B' R' D U B
D R2 B' R' D' U B
D R2 B' R' D2 U B
F2 R2 B' F2 R' U B
B R2 B2 L R' U B
B R2 B2 L' R' U B
B R2 B2 L2 R' U B
B R2 B2 R' L U B
B R2 B2 R' L' U B
B R2 B2 R' L2 U B
B R2 B2 R' U D B
B R2 B2 R' U D' B
B R2 B2 R' U D2 B
B R2 B2 R' U B D
B R2 B2 R' U B D'
B R2 B2 R' U B D2
B R2 B2 R' D U B
B R2 B2 R' D' U B
B R2 B2 R' D2 U B
R2 D B' L R' U D
R2 D B' L R' U D'
R2 D B' L R' U D2
R2 D B' L R' D U
R2 D B' L R' D' U
R2 D B' L R' D2 U
R2 D B' L D R' U
R2 D B' L D' R' U
R2 D B' L D2 R' U
R2 D B' R' L U D
R2 D B' R' L U D'
R2 D B' R' L U D2
R2 D B' R' L D U
R2 D B' R' L D' U
R2 D B' R' L D2 U
R2 D B' R' D L U
R2 D B' R' D' L U
R2 D B' R' D2 L U
R2 D B' D L R' U
R2 D B' D R' L U
R2 D B' D' L R' U
R2 D B' D' R' L U
R D B' L R' U B2
R2 D B' D2 L R' U
R2 D B' D2 R' L U
R D B' L' R' U B2
R D B' L2 R' U B2
R D B' R' L U B2
R D B' R' L' U B2
R D B' R' L2 U B2
R D B' R' U B2 D
R D B' R' U B2 D'
R D B' R' U B2 D2
R D B' R' D L2 U
R D B' D L2 R' U
R D B' D R' L2 U
B' U F' U' L' R' U
B' U F' U' R' L' U
L' D' R U B R' F'
R' D' R' B' R' U B
R D' R B' R' U B
R' D' R2 B' R' U B2
R2 D' B' D R' U B
R D' B' L R' U B2
R D' B' L' R' U B2
R D' B' L2 R' U B2
R D' B' R' L U B2
R D' B' R' L' U B2
R D' B' R' L2 U B2
R D' B' R' U B2 D
R D' B' R' U B2 D'
R D' B' R' U B2 D2
R D' B' R' D L2 U
R D' B' D L2 R' U
R D' B' D R' L2 U
R2 D2 L U B' R' F'
R' D2 R' B' R' U B
R D2 R B' R' U B
R' D2 R2 B' R' U B2
B' U2 L' U2 R' U B'
B' U2 R2 U2 R U B
R2 D2 B' L R' U B'
R2 D2 B' R' L U B'
R2 D2 B' D2 R' U B
R D2 B' L R' U B2
R D2 B' L' R' U B2
R D2 B' L2 R' U B2
R D2 B' R' L U B2
R D2 B' R' L' U B2
R D2 B' R' L2 U B2
R D2 B' R' U B2 D
R D2 B' R' U B2 D'
R D2 B' R' U B2 D2
R D2 B' R' D L2 U
R D2 B' D L2 R' U
R D2 B' D R' L2 U
L2 F R U' B L F
B' D L R' U' F' U2
B' D L' R' U' F' U2
U2 F U2 R B' U B2
B' D L2 R' U' F' U2
U2 F U2 B' R U B
B' D R U D' F2 B
B' D R U D' B F2
B' D R U B D' F2
B' D R D' U F2 B
B' D R D' U B F2
B' D R' L U' F' U2
B' D R' L' U' F' U2
B' D R' L2 U' F' U2
B' D R' U R2 B R2
B' D R' U' D F' U2
B' D R' U' D' F' U2
B' D R' U' D2 F' U2
B' D R' U' F' U2 D
B' D R' U' F' U2 D'
B' D R' U' F' U2 D2
B' D R' U' F' D U2
B' D R' U' F' D' U2
B' D R' U' F' D2 U2
B' D R' U2 R2 U' B
B' D R' D U' F' U2
B' D R' D' U' F' U2
B' D R' D2 U' F' U2
U2 F' L2 F L U' B'
B' D' L R' U' F' U2
B' D' L' R' U' F' U2
B' D' L2 R' U' F' U2
U F' U' B' L' R' U
U F' U' B' R' L' U
B' D' R U D' F2 B
B' D' R U D' B F2
B' D' R U B D' F2
B' D' R D' U F2 B
B' D' R D' U B F2
B' D' R' L U' F' U2
B' D' R' L' U' F' U2
B' D' R' L2 U' F' U2
B' D' R' U R2 B R2
B' D' R' U' D F' U2
B' D' R' U' D' F' U2
B' D' R' U' D2 F' U2
B' D' R' U' F' U2 D
B' D' R' U' F' U2 D'
B' D' R' U' F' U2 D2
B' D' R' U' F' D U2
B' D' R' U' F' D' U2
B' D' R' U' F' D2 U2
B' D' R' U2 R2 U' B
B' D' R' D U' F' U2
B' D' R' D' U' F' U2
B' D' R' D2 U' F' U2
R2 F' B' R' F U B
R F' B' R' F U B2
B2 D' B R U F' B
B2 D' B R U B F'
B' D2 L R' U' F' U2
B' D2 L' R' U' F' U2
B' D2 L2 R' U' F' U2
B' D2 R U D' F2 B
B' D2 R U D' B F2
B' D2 R U B D' F2
B' D2 R D' U F2 B
B' D2 R D' U B F2
B' D2 R' L U' F' U2
B' D2 R' L' U' F' U2
B' D2 R' L2 U' F' U2
B' D2 R' U R2 B R2
B' D2 R' U' D F' U2
B' D2 R' U' D' F' U2
B' D2 R' U' D2 F' U2
B' D2 R' U' F' U2 D
B' D2 R' U' F' U2 D'
B' D2 R' U' F' U2 D2
B' D2 R' U' F' D U2
B' D2 R' U' F' D' U2
B' D2 R' U' F' D2 U2
B' D2 R' U2 R2 U' B
B' D2 R' D U' F' U2
B' D2 R' D' U' F' U2
B' D2 R' D2 U' F' U2
R2 F2 B' R' F2 U B
R F2 B' R' F2 U B2
D2 B R B2 R' U B'
D' B R B2 R' U B'
R' B R' B2 R' U B
D B R B2 R' U B'
R' B R2 B2 R' U B'
D2 B R2 B2 R' U B
D' B R2 B2 R' U B
R2 B R' B2 R' U B'
R B R B2 R' U B2
D B R2 B2 R' U B
R B R' B2 R' U B2
R B R2 B2 R' U B2
D2 B' L R' U' F' U2
D' B' L R' U' F' U2
D2 B' L' R' U' F' U2
D' B' L' R' U' F' U2
R2 B' L R' U D B
R2 B' L R' U D' B
R2 B' L R' U D2 B
R2 B' L R' U B D
R2 B' L R' U B D'
R2 B' L R' U B D2
R2 B' L R' D U B
R2 B' L R' D' U B
R2 B' L R' D2 U B
D B' L R' U' F' U2
D2 B' L2 R' U' F' U2
D' B' L2 R' U' F' U2
R2 B' L' R' U D B
R2 B' L' R' U D' B
R2 B' L' R' U D2 B
R2 B' L' R' U B D
R2 B' L' R' U B D'
R2 B' L' R' U B D2
R2 B' L' R' D U B
R2 B' L' R' D' U B
R2 B' L' R' D2 U B
D B' L' R' U' F' U2
R B' L R' U B2 D
R B' L R' U B2 D'
R B' L R' U B2 D2
R B' L R' D L2 U
R B' L D L2 R' U
R B' L D R' L2 U
D2 B' R U D' F2 B
D2 B' R U D' B F2
D2 B' R U B D' F2
D' B' R U D' F2 B
D' B' R U D' B F2
D' B' R U B D' F2
R2 B' L2 R' U D B
R2 B' L2 R' U D' B
R2 B' L2 R' U D2 B
R2 B' L2 R' U B D
R2 B' L2 R' U B D'
R2 B' L2 R' U B D2
D2 B' R D' U F2 B
D2 B' R D' U B F2
R2 B' L2 R' D U B
R2 B' L2 R' D' U B
R2 B' L2 R' D2 U B
D' B' R D' U F2 B
D' B' R D' U B F2
D B' L2 R' U' F' U2
R B' L' R' U B2 D
R B' L' R' U B2 D'
R B' L' R' U B2 D2
R B' L' R' D L2 U
D2 B' R' L U' F' U2
D2 B' R' L' U' F' U2
D2 B' R' L2 U' F' U2
D' B' R' L U' F' U2
R B' L' D L2 R' U
R B' L' D R' L2 U
R' B' R' U R' B R
D2 B' R' U R2 B R2
D' B' R' L' U' F' U2
D' B' R' L2 U' F' U2
D2 B' R' U' D F' U2
D2 B' R' U' D' F' U2
D2 B' R' U' D2 F' U2
D2 B' R' U' F' U2 D
D2 B' R' U' F' U2 D'
D2 B' R' U' F' U2 D2
D2 B' R' U' F' D U2
D2 B' R' U' F' D' U2
D2 B' R' U' F' D2 U2
R' B' R' U2 R' U' B
D2 B' R' U2 R2 U' B
D' B' R' U R2 B R2
D' B' R' U' D F' U2
D' B' R' U' D' F' U2
D2 B' R' D U' F' U2
D' B' R' U' D2 F' U2
D' B' R' U' F' U2 D
D' B' R' U' F' U2 D'
D' B' R' U' F' U2 D2
D' B' R' U' F' D U2
D' B' R' U' F' D' U2
D' B' R' U' F' D2 U2
D' B' R' U2 R2 U' B
D2 B' R' D' U' F' U2
R' B' R' D2 L U B'
D' B' R' D U' F' U2
D2 B' R' D2 U' F' U2
D' B' R' D' U' F' U2
D' B' R' D2 U' F' U2
D B' R U D' F2 B
D B' R U D' B F2
D B' R U B D' F2
R B' L2 R' U B2 D
R B' L2 R' U B2 D'
R B' L2 R' U B2 D2
R B' L2 R' D L2 U
D B' R D' U F2 B
D B' R D' U B F2
R B' L2 D L2 R' U
R B' L2 D R' L2 U
R2 B' R' L U D B
R2 B' R' L U D' B
R2 B' R' L U D2 B
R2 B' R' L U B D
R2 B' R' L U B D'
R2 B' R' L U B D2
R2 B' R' L D U B
R2 B' R' L D' U B
R2 B' R' L D2 U B
R2 B' R' L' U D B
R2 B' R' L' U D' B
R2 B' R' L' U D2 B
R2 B' R' L' U B D
R2 B' R' L' U B D'
R2 B' R' L' U B D2
R2 B' R' L' D U B
R2 B' R' L' D' U B
R2 B' R' L' D2 U B
R2 B' R' L2 U D B
R2 B' R' L2 U D' B
R2 B' R' L2 U D2 B
R2 B' R' L2 U B D
R2 B' R' L2 U B D'
R2 B' R' L2 U B D2
R2 B' R' L2 D U B
R2 B' R' L2 D' U B
R2 B' R' L2 D2 U B
D B' R' L U' F' U2
R2 B' R' U L B L'
R2 B' R' U L2 B L2
R2 B' R' U D B D
R2 B' R' U D B D'
R2 B' R' U D B D2
R2 B' R' U D' B D
R2 B' R' U D' B D'
R2 B' R' U D' B D2
R2 B' R' U D2 B D
R2 B' R' U D2 B D'
R2 B' R' U D2 B D2
D B' R' L' U' F' U2
R2 B' R' U B2 D B'
R2 B' R' U B2 D' B'
R2 B' R' U B2 D2 B'
R2 B' R' U' F U2 B
D B' R' L2 U' F' U2
R2 B' R' U' F' U2 B
R2 B' R' U' F2 U2 B
D B' R' U R2 B R2
R2 B' R' D L U B
R2 B' R' D L' U B
R2 B' R' D L2 U B
R2 B' R' D U B D
R2 B' R' D U B D'
R2 B' R' D U B D2
D B' R' U' D F' U2
D B' R' U' D' F' U2
D B' R' U' D2 F' U2
R2 B' R' D' L U B
R2 B' R' D' L' U B
D B' R' U' F' U2 D
D B' R' U' F' U2 D'
D B' R' U' F' U2 D2
D B' R' U' F' D U2
D B' R' U' F' D' U2
D B' R' U' F' D2 U2
R2 B' R' D' L2 U B
R2 B' R' D' U B D
R2 B' R' D' U B D'
R2 B' R' D' U B D2
D B' R' U2 R2 U' B
R2 B' R' D2 L U B
R2 B' R' D2 L' U B
R2 B' R' D2 L2 U B
R2 B' R' D2 U B D
R2 B' R' D2 U B D'
R2 B' R' D2 U B D2
D B' R' D U' F' U2
R B' R U B2 D' F2
D B' R' D' U' F' U2
D B' R' D2 U' F' U2
L B' R' U' F' L' U2
R B' R' L U B2 D
R B' R' L U B2 D'
R B' R' L U B2 D2
R B' R' L D L2 U
R2 B' R2 D R U B
R B' R' L' U B2 D
R B' R' L' U B2 D'
R B' R' L' U B2 D2
R B' R' L' D L2 U
R2 B' R2 D' R U B
R B' R' L2 U B2 D
R B' R' L2 U B2 D'
R B' R' L2 U B2 D2
R B' R' L2 D L2 U
R B' R' U L B2 L'
R2 B' R2 D2 R U B
R B' R' U L2 B2 L2
R B' R' U R' B2 R
R B' R' U R2 B2 R2
R B' R' U B D B
R B' R' U B D' B
R B' R' U B D2 B
R B' R' U B' D B'
R B' R' U B' D' B'
R B' R' U B' D2 B'
R B' R' U' D2 F2 U2
R B' R' U' F U2 B2
R B' R' U' F' U2 B2
R B' R' U' F2 U2 B2
R B' R' U2 R U' B2
R B' R' U2 R' U' B2
R B' R' U2 R2 U' B2
R B' R' U2 D' R2 U'
R B' R' D L2 U D
R B' R' D L2 U D'
R B' R' D L2 U D2
R B' R' D L2 D U
R B' R' D L2 D' U
R B' R' D L2 D2 U
R B' R' D' U2 R2 U'
R B' R' D2 U' F2 U2
R' B' U' F' U R' U
R B' R2 D L2 R U
R B' R2 D R L2 U
D2 B' D R' U' F' U2
D' B' D R' U' F' U2
B' F' R' F U D2 B2
B' F' R' F U' F2 U2
B' F' R' F D' L2 U
B' F' R' F D2 U B2
R B' U B2 U L U'
F' B' R' F U D2 B2
F' B' R' F U' F2 U2
F' B' R' F D' L2 U
F' B' R' F D2 U B2
D2 B' D' R' U' F' U2
F2 B' R' F2 L2 U B'
F2 B' R' F2 U' F U2
D' B' D' R' U' F' U2
D B' D R' U' F' U2
D2 B' D2 R' U' F' U2
D' B' D2 R' U' F' U2
D B' D' R' U' F' U2
R B' D L2 R' U D
R B' D L2 R' U D'
R B' D L2 R' U D2
R B' D L2 R' D U
R B' D L2 R' D' U
R B' D L2 R' D2 U
R B' D L2 D R' U
R B' D L2 D' R' U
R B' D L2 D2 R' U
R B' D R' L2 U D
R B' D R' L2 U D'
R B' D R' L2 U D2
R B' D R' L2 D U
R B' D R' L2 D' U
R B' D R' L2 D2 U
R B' D R' U D' B2
R B' D R' D' U B2
R2 B' D2 L R' U B'
R2 B' D2 R' L U B'
D B' D2 R' U' F' U2
R B' D' R' U2 R' U'
R B' D2 R' U D2 B2
R B' D2 R' U' F2 U2
R B' D2 R' D' L2 U
R B' D2 R' D2 U B2
R2 B' F' R' F U B
R2 B' F2 R' F2 U B
R B' F' R' F U B2
