D' L R U L F'
D' L R U F' L
D L U D2 L2 F
D L U' R2 B' U2
D L U' B' R2 U2
F2 L D' R U F'
D L D2 U L2 F
F' L D2 F' R U
F2 L B R' B' U
F2 L2 D L' U F
D' R L U L F'
D' R L U F' L
B R' F2 B' L U
B R' B' L F2 U
B R' B' F2 L U
L D' R U L2 F'
L D' R U F' L2
F2 D L U' B' U2
F2 D' L R U F'
F2 D' R L U F'
L F' D2 F' R U
F' D2 L F' R U
L F2 D' R U F'
L F2 B R' B' U
F' D2 F' L R U
F' D2 F' R L U
L B R' F2 B' U
L B R' B' F2 U
F2 B R' B' L U
L B F2 R' B' U
B F2 R' B' L U
D' L R U L D F'
D' L R U L D' F'
D' L R U L D2 F'
D' L R U L F' D
D' L R U L F' D'
D' L R U L F' D2
D' L R U L' F' L2
D' L R U D L F'
D' L R U D F' L
D' L R U D' L F'
D' L R U D' F' L
D' L R U D2 L F'
D' L R U D2 F' L
D' L R U F L F2
D' L R U F' L D
D' L R U F' L D'
D' L R U F' L D2
D' L R U F' D L
D' L R U F' D' L
D' L R U F' D2 L
D L R U' R B' U2
D L R U' B' R U2
D' L R D U L F'
D' L R D U F' L
D' L R D' U L F'
D' L R D' U F' L
F2 L R D' R U F'
D' L R D2 U L F'
D' L R D2 U F' L
D' L R F U L F2
D' L R F U F2 L
D' L R F2 U F L
F2 L R B R' B' U
D L R' U' R' B' U2
F2 L R' D' R U F'
F2 L R' B R' B' U
F2 L R2 D' R U F'
F2 L R2 B R' B' U
D' L U L R F' R'
F2 L U L D L' F
D' L U L2 D2 L' F
D' L U R L F' R'
D' L U R F' L R'
D' L U R F' R' L
D L U L2 D2 F L2
D L U L2 F D2 L2
F2 L U R' D' R F'
F2 L U D L' F L
D' L U D2 L' F L2
F2 L U D' R F' R'
F L U D L' F L'
F L U D F L' F
D L U D2 L2 D F
D L U D2 L2 D' F
D L U D2 L2 D2 F
D L U D2 L2 F D
D L U D2 L2 F D'
D L U D2 L2 F D2
D L U D2 F L2 F
D L U D2 F' L2 F
D L U D2 F2 L2 F
D L U F D2 L2 F
D L U F' D2 L2 F
D L U F2 D2 L2 F
D' L U' R U2 L F'
D' L U' R U2 F' L
D' L U' R2 U2 L F
D L U' R B' R U2
D L U' R2 D B' U2
D L U' R2 D' B' U2
D L U' R2 D2 B' U2
D L U' R2 B' U2 D
D L U' R2 B' U2 D'
D L U' R2 B' U2 D2
D L U' R2 B' D U2
D L U' R2 B' D' U2
D L U' R2 B' D2 U2
R' L D' R U L2 F'
R' L D' R U F' L2
D L U' D2 B' U2 L2
R2 L D' R U L2 F'
R2 L D' R U F' L2
L R D' R U L2 F'
L R D' R U F' L2
F2 L U' B U R' U
D L U' B R2 B2 U2
D' L U' B2 R' B U2
F2 L U' B' U' L U'
R L D' R U L2 F'
R L D' R U F' L2
D L U' B' R2 U2 D
D L U' B' R2 U2 D'
D L U' B' R2 U2 D2
D L U' B' R2 D U2
D L U' B' R2 D' U2
D L U' B' R2 D2 U2
D L U' B' U2 D2 L2
D L U' B' D2 U2 L2
D L U' B2 R2 U2 F'
F L U2 L B' L U'
F2 L U2 D L' U' F
F2 L U2 B' L B U'
F L U2 B' L B' U'
D2 L D R U L2 F'
D2 L D R U F' L2
F2 L D U L' F L
F L D U L' F L'
F2 L D U2 L' U' F
F L D U F L' F
F L D F U L' F
F' L D' R U F' L'
F2 L D' R U D F'
F2 L D' R U D' F'
F2 L D' R U D2 F'
F2 L D' R U F' D
F2 L D' R U F' D'
F2 L D' R U F' D2
F2 L D' R D U F'
F2 L D' R D' U F'
F2 L D' R D2 U F'
F2 L D' R' U' B U2
F2 L D' U R F' R'
D' L D' F' R U L
F' L D' F' R U F'
D' L D' F2 U L F
D L D' F2 U' B' U2
R' L F' D2 F' R U
D L D2 R U L2 F
R2 L F' D2 F' R U
L R F' D2 F' R U
D' L D2 U L' F L2
D L D2 R' U L2 F
F L D2 R F' R U
D L D2 R2 U L2 F
R L F' D2 F' R U
D L D2 U L2 D F
D L D2 U L2 D' F
D L D2 U L2 D2 F
D L D2 U L2 F D
D L D2 U L2 F D'
D L D2 U L2 F D2
D L D2 U F L2 F
D L D2 U F' L2 F
D L D2 U F2 L2 F
D L D2 U' B' U2 L2
F' L D2 F' R U D
F' L D2 F' R U D'
F' L D2 F' R U D2
F' L D2 F' R D U
F' L D2 F' R D' U
F' L D2 F' R D2 U
D L D2 F U L2 F
F' L D2 F' D R U
F' L D2 F' D' R U
F' L D2 F' D2 R U
F2 L D2 F' R F U
D L D2 F' U L2 F
D L D2 F2 U L2 F
F L D2 F' R F' U
R' L F2 D' R U F'
D' L F R U L F'
D' L F R U F' L
R' L F2 B R' B' U
R2 L F2 D' R U F'
L R F2 D' R U F'
R L F2 D' R U F'
R2 L F2 B R' B' U
L R F2 B R' B' U
R L F2 B R' B' U
D2 L F U2 L' B2 U'
D L F U D2 L2 F
D2 L F U2 B2 L' U'
D L F U' R2 B' U2
D L F U' B' R2 U2
R' L B R' F2 B' U
R' L B R' B' F2 U
D2 L F D2 F2 R U
D L F D2 U L2 F
R2 L B R' F2 B' U
F2 L F D2 F' R U
R2 L B R' B' F2 U
L R B R' F2 B' U
L R B R' B' F2 U
R L B R' F2 B' U
R L B R' B' F2 U
D2 L F' R U D L2
D2 L F' R U2 B2 U'
D2 L F' R D U L2
D' L F' R U L F'
D2 L F' R D2 F2 U
D' L F' R U F' L
R' L B F2 R' B' U
R2 L B F2 R' B' U
D L F' U D2 L2 F
L R B F2 R' B' U
D2 L F' D R U L2
D L F' U' R2 B' U2
R L B F2 R' B' U
D L F' U' B' R2 U2
F' L F' D' R U F'
D2 L F' D2 R F2 U
F' L F' B R' B' U
D L F' D2 U L2 F
D' L F2 R U L F'
D' L F2 R U F' L
U' L F2 U D' R F'
D L F2 U D2 L2 F
D L F2 U' R2 B' U2
D L F2 U' B' R2 U2
U' L F2 D' U R F'
D L F2 D2 U L2 F
U' L F2 B R' U R2
B' L B L F2 R U
U L F2 B R' U R
F2 L B R B' R2 U
F2 L B R' D B' U
F2 L B R' D' B' U
F2 L B R' D2 B' U
U' L B R' F2 U R
F2 L B R' B' U D
F2 L B R' B' U D'
F2 L B R' B' U D2
F2 L B R' B' D U
F2 L B R' B' D' U
F2 L B R' B' D2 U
F2 L B R2 B' R U
F2 L B D R' B' U
F2 L B D' R' B' U
F2 L B D2 R' B' U
F' L B F' R' B' U
U' L B F2 R' U R2
U L B F2 R' U R
L R' D' R U L2 F'
L R' D' R U F' L2
L R' F' D2 F' R U
L R' F2 D' R U F'
L R' F2 B R' B' U
F2 L' D' R U F' B2
F2 L' D' R U B2 F'
L R' B R' F2 B' U
L R' B R' B' F2 U
D L' D' F2 U F' B2
D L' D' F2 U B2 F'
L R' B F2 R' B' U
F2 L' B R' B' L2 U
L R2 D' R U L2 F'
L R2 D' R U F' L2
F2 L2 R D L' U F
F2 L2 R' D L' U F
F2 L2 R2 D L' U F
L R2 F' D2 F' R U
L R2 F2 D' R U F'
L R2 F2 B R' B' U
L R2 B R' F2 B' U
L R2 B R' B' F2 U
L R2 B F2 R' B' U
F' L2 D L' F' U F2
F2 L2 D L' R U F
F2 L2 D L' R' U F
F2 L2 D L' R2 U F
F2 L2 D L' U D F
F2 L2 D L' U D' F
F2 L2 D L' U D2 F
F2 L2 D L' U F D
F2 L2 D L' U F D'
F2 L2 D L' U F D2
F2 L2 D L' D U F
F2 L2 D L' D' U F
F2 L2 D L' D2 U F
F2 L2 D R L' U F
F2 L2 D R' L' U F
F2 L2 D R2 L' U F
F2 L2 D' L' R U F'
F2 L2 D' R L' U F'
D' L2 D2 L' U F L
F' L2 D2 L' F' R U
B' L2 F2 B L R U
B' L2 F2 B R L U
L U R' D' L2 R F'
L U R' D' R L2 F'
L U R' D' R F' L2
F2 L2 B R' B' L' U
B' L2 B F2 L R U
B' L2 B F2 R L U
L U D L D2 L2 F
L U D L' D2 F L2
L U D L' F D2 L2
D' R L U L D F'
D' R L U L D' F'
D' R L U L D2 F'
D' R L U L F' D
D' R L U L F' D'
D' R L U L F' D2
D' R L U L' F' L2
D' R L U D L F'
D' R L U D F' L
D' R L U D' L F'
D' R L U D' F' L
D' R L U D2 L F'
D' R L U D2 F' L
D' R L U F L F2
D' R L U F' L D
D' R L U F' L D'
D' R L U F' L D2
D' R L U F' D L
D' R L U F' D' L
D' R L U F' D2 L
L U D' L' D2 L' F
L U D' L2 R F' R'
L U D' R L2 F' R'
L U D' R F' L2 R'
L U D' R F' R' L2
D' R L D U L F'
D' R L D U F' L
D' R L D' U L F'
D' R L D' U F' L
D' R L D2 U L F'
D' R L D2 U F' L
D' R L F U L F2
D' R L F U F2 L
D R L U' R B' U2
F2 R L D' R U F'
D R L U' B' R U2
D' R L F2 U F L
F2 R L B R' B' U
F2 R L2 D L' U F
D' R D L F2 U F
F2 R D L U' B' U2
F2 R D' L R U F'
F2 R D' R L U F'
D' R F L U L F2
D' R F L U F2 L
D R F2 L U L2 F
B R F2 R2 B' L U
B R F2 B' L R2 U
B R F2 B' R2 L U
F2 R B R' B' L U
B R B' L R2 F2 U
B R B' L F2 R2 U
B R B' R2 L F2 U
B R B' R2 F2 L U
B R B' F2 L R2 U
B R B' F2 R2 L U
L U' D' R U2 L2 F'
L U' D' R U2 F' L2
L U' D' R' B U2 L2
D R' L U' R' B' U2
F2 R' L D' R U F'
F2 R' L B R' B' U
F2 R' L2 D L' U F
L U' B U R' F2 U
L U' B U F2 R' U
F2 R' D L U' B' U2
F2 R' D' L R U F'
F2 R' D' R L U F'
B R' F' B' L F' U
B R' F2 B' L U D
B R' F2 B' L U D'
B R' F2 B' L U D2
B R' F2 B' L D U
B R' F2 B' L D' U
