D' L' R2 F2 B U'
D' L' R2 B F2 U'
R2 U L' B U' B
D L2 F' B2 R' U
D L2 B2 F' R' U
R2 U B L' U' B
L' U2 F' U R2 B2
L' U2 F' U B2 R2
D' R2 L' F2 B U'
D' R2 L' B F2 U'
B2 R2 U L' B U'
B2 R2 U B L' U'
D' R2 B L' F2 U'
L' D' R2 F2 B U'
L' D' R2 B F2 U'
R2 B2 U B' L' U'
R2 L U L2 B U' B
R2 L U B L2 U' B
L' R U' R B L B
L' R U' B L B R
B2 L R2 U L2 B U'
B2 L R2 U B L2 U'
D' L R2 F2 L2 B U'
D' L R2 F2 B L2 U'
D' L R2 B L2 F2 U'
D' L R2 B F2 L2 U'
L' R B U' B L R
L' R B U' B R L
D L F' L B2 R' U
D' L F2 L2 R2 B' U'
D' L F2 L2 B' R2 U'
R2 L B' D F2 B' L2
R2 L B' D B' L2 F2
R2 L B' D B' F2 L2
D' L F2 R2 L2 B' U'
R2 L B2 U B' L2 U'
R L' U' R B L B
R L' U' B L B R
D' L' R' F2 R' B U'
D' L' R2 D B U' R2
D' L' R2 F2 D B U'
D' L' R2 F2 D' B U'
D' L' R2 F2 D2 B U'
D' L' R2 F2 B U' D
D' L' R2 F2 B U' D'
D' L' R2 F2 B U' D2
D' L' R2 F2 B D U'
D' L' R2 F2 B D' U'
D' L' R2 F2 B D2 U'
D' L' R2 B U' D R2
D' L' R2 B D U' R2
D' L' R2 B F2 U' D
D' L' R2 B F2 U' D'
D' L' R2 B F2 U' D2
D' L' R2 B F2 D U'
D' L' R2 B F2 D' U'
D' L' R2 B F2 D2 U'
R2 L' D' B R2 U' R2
B2 L' U' F' U R2 F
B2 L' U' F' U F R2
D L' U2 L' F' B2 U
D L' U2 L' B2 F' U
U' L' U2 F' U R2 B2
U' L' U2 F' U B2 R2
U2 L' U2 F' U R2 B2
U2 L' U2 F' U B2 R2
B L' U2 F' U B R2
U L' U2 F' U R2 B2
U L' U2 F' U B2 R2
D L' U2 B2 L' F' U
R2 L' B R U' R' B
U' L' D' R2 F2 B U'
U' L' D' R2 B F2 U'
R2 L' B R2 U' R2 B
U2 L' D' R2 F2 B U'
U2 L' D' R2 B F2 U'
R L' B U' B L R
R L' B U' B R L
U L' D' R2 F2 B U'
U L' D' R2 B F2 U'
R2 L2 U L B U' B
L2 R2 U L B U' B
L R2 U L2 B U' B
L R2 U B L2 U' B
D' L' F2 R2 U2 F U
D' L' B R2 F2 B U'
D' L' B R2 B F2 U'
D' L' B' R2 F2 B U'
D' L' B' R2 B F2 U'
D' L' B2 R2 F2 B U'
D' L' B2 R2 B F2 U'
L' R2 D' B R2 U' R2
D L2 R B2 R' F' U
B2 L2 R2 U L B U'
D' L2 R2 F2 L B U'
L' R2 B R U' R' B
L' R2 B R2 U' R2 B
L R2 B' D F2 B' L2
L R2 B' D B' L2 F2
L R2 B' D B' F2 L2
L R2 B2 U B' L2 U'
R2 U L B L2 U' B
R2 U L' D' B R2 U'
R2 U L' B U' D B
R2 U L' B U' D' B
R2 U L' B U' D2 B
R2 U L' B U' B D
R2 U L' B U' B D'
R2 U L' B U' B D2
R2 U L' B D U' B
R2 U L' B D' U' B
R2 U L' B D2 U' B
D L2 F B2 R' F2 U
D L2 F' R B2 R' U
D L2 F' R' B2 R' U
D L2 F' R2 B2 R' U
D L2 F' B2 R' U D
D L2 F' B2 R' U D'
D L2 F' B2 R' U D2
D L2 F' B2 R' D U
D L2 F' B2 R' D' U
D L2 F' B2 R' D2 U
D L2 F' B2 D R' U
D L2 F' B2 D' R' U
D L2 F' B2 D2 R' U
D L2 F2 B2 R' F U
R2 U D' L' B R2 U'
D L2 B2 D F' R' U
D L2 B2 D' F' R' U
D L2 B2 D2 F' R' U
D L2 B2 F R' F2 U
D L2 B2 F' R' U D
D L2 B2 F' R' U D'
D L2 B2 F' R' U D2
D L2 B2 F' R' D U
D L2 B2 F' R' D' U
D L2 B2 F' R' D2 U
D L2 B2 F' D R' U
D L2 B2 F' D' R' U
D L2 B2 F' D2 R' U
D L2 B2 F2 R' F U
R2 U D' B L' R2 U'
R2 U D' B R2 L' U'
D R L2 B2 R' F' U
F' R U B2 D R F'
R2 U B L' U' D B
R2 U B L' U' D' B
R2 U B L' U' D2 B
R2 U B L' U' B D
R2 U B L' U' B D'
R2 U B L' U' B D2
R2 U B L' D U' B
R2 U B L' D' U' B
R2 U B L' D2 U' B
R2 U B D L' U' B
R2 U B D' L' U' B
R2 U B D2 L' U' B
F' R D L2 U R F'
L' U' R2 U B U' B
L' U' R2 B' D B' L2
L' U' R2 B2 U B' U'
D' R' L' F2 R' B U'
L' U' F' U R2 F B2
L' U' F' U R2 B2 F
L' U' F' U F R2 B2
L' U' F' U F B2 R2
L' U' F' U B2 R2 F
L' U' F' U B2 F R2
L' U' B' R2 B' D L2
L' U' B2 R2 U B U'
L' U' B2 U' F' U R2
L' U2 L F' U R2 B2
L' U2 L F' U B2 R2
L' U2 L' F' U R2 B2
L' U2 L' F' U B2 R2
F2 R' F R2 U R B2
F2 R' F R2 U B2 R
R2 U2 L' B U' B R'
L' U2 L2 F' U R2 B2
L' U2 L2 F' U B2 R2
R U2 L' B' U' R B'
R U2 L' B' U' B' R
L' U2 D L2 F' B2 U
L' U2 D L2 B2 F' U
L' U2 D F' L2 B2 U
L' U2 D F' B2 L2 U
L' U2 D B2 L2 F' U
L' U2 D B2 F' L2 U
B2 R2 L U L2 B U'
B2 R2 L U B L2 U'
D' R2 L F2 L2 B U'
D' R2 L F2 B L2 U'
D' R2 L B L2 F2 U'
D' R2 L B F2 L2 U'
D' R2 L' D B U' R2
D' R2 L' F2 D B U'
D' R2 L' F2 D' B U'
D' R2 L' F2 D2 B U'
D' R2 L' F2 B U' D
D' R2 L' F2 B U' D'
D' R2 L' F2 B U' D2
D' R2 L' F2 B D U'
D' R2 L' F2 B D' U'
D' R2 L' F2 B D2 U'
D' R2 L' B U' D R2
D' R2 L' B D U' R2
D' R2 L' B F2 U' D
D' R2 L' B F2 U' D'
D' R2 L' B F2 U' D2
D' R2 L' B F2 D U'
D' R2 L' B F2 D' U'
