F' L' U F2 R
F' L' R U F2 R
F' L' R' U F2 R
F' L' R2 U F2 R
F' L' U R F2 R
F' L' U R' F2 R
F' L' U R2 F2 R
F' L' U F2 R D
F' L' U F2 R D'
F' L' U F2 R D2
F' L' U F2 D R
F' L' U F2 D' R
F' L' U F2 D2 R
F' L' U' L' U2 F2
F' L' B U F2 R
F' L' B' U F2 R
F' L' B2 U F2 R
F' R L' U F2 R
F' R' L' U F2 R
F' R2 L' U F2 R
D2 F' L' U R2 F2
D2 F' L' U F2 R2
D' F' L' B2 U F2
D' F' B2 L' U F2
F' B L' U F2 R
F' B' L' U F2 R
B' F' L' U F2 R
B2 F' L' U F2 R
B F' L' U F2 R
F' B2 L' U F2 R
D' B2 F' L' U F2
F' L U F2 D' B2 R'
D2 L F' L' U R2 F
D2 L F' L' U F R2
D' L F' L' B2 U F
D' L F' B2 L' U F
F' L F2 D' B2 L2 R'
F' L F2 D' B2 R' L2
F' L B2 L2 U R' F2
F' L B2 L2 U F2 R'
D' L B2 F' L' U F
F' L' R U R F2 R
F' L' R U R' F2 R
F' L' R U R2 F2 R
F' L' R U F2 R D
F' L' R U F2 R D'
F' L' R U F2 R D2
F' L' R U F2 D R
F' L' R U F2 D' R
F' L' R U F2 D2 R
F' L' R U' L' U2 F2
F' L' R B U F2 R
F' L' R B' U F2 R
F' L' R B2 U F2 R
F' L' R' U R F2 R
F' L' R' U R' F2 R
F' L' R' U R2 F2 R
F' L' R' U F2 R D
F' L' R' U F2 R D'
F' L' R' U F2 R D2
F' L' R' U F2 D R
F' L' R' U F2 D' R
F' L' R' U F2 D2 R
F' L' R' U' L' U2 F2
F' L' R' B U F2 R
F' L' R' B' U F2 R
F' L' R' B2 U F2 R
F' L' R2 U R F2 R
F' L' R2 U R' F2 R
F' L' R2 U R2 F2 R
F' L' R2 U F2 R D
F' L' R2 U F2 R D'
F' L' R2 U F2 R D2
F' L' R2 U F2 D R
F' L' R2 U F2 D' R
F' L' R2 U F2 D2 R
F' L' R2 U' L' U2 F2
F' L' R2 B U F2 R
F' L' R2 B' U F2 R
F' L' R2 B2 U F2 R
F' L' U R F2 R D
F' L' U R F2 R D'
F' L' U R F2 R D2
F' L' U R F2 D R
F' L' U R F2 D' R
F' L' U R F2 D2 R
F' L' U R' F2 R D
F' L' U R' F2 R D'
F' L' U R' F2 R D2
F' L' U R' F2 D R
F' L' U R' F2 D' R
F' L' U R' F2 D2 R
F' L' U R2 F2 R D
F' L' U R2 F2 R D'
F' L' U R2 F2 R D2
F' L' U R2 F2 D R
F' L' U R2 F2 D' R
F' L' U R2 F2 D2 R
F' L' U F R F R
F' L' U F R' F R
F' L' U F R2 F R
F' L' U F D F R
F' L' U F D' F R
F' L' U F D2 F R
F' L' U F2 R2 D R'
F' L' U F2 R2 D' R'
F' L' U F2 R2 D2 R'
F' L' U F2 D R D
F' L' U F2 D R D'
F' L' U F2 D R D2
F' L' U F2 D' R D
F' L' U F2 D' R D'
F' L' U F2 D' R D2
F' L' U F2 D2 R D
F' L' U F2 D2 R D'
F' L' U F2 D2 R D2
F' L' U F2 B R B'
F' L' U F2 B2 R B2
F' L' U B F2 R B'
F' L' U B2 F2 R B2
F' L' U' L' U2 F2 D
F' L' U' L' U2 F2 D'
F' L' U' L' U2 F2 D2
F' L' U' L' D2 B2 U2
F' L' U' L' B U2 F2
F' L' U' L' B' U2 F2
F' L' U' L' B2 U2 F2
F' L' U' D2 L' B2 U2
F' L' U' D2 B2 L' U2
F' L' U' B L' U2 F2
F' L' U' B U2 F2 R
F' L' U' B' L' U2 F2
F' L' U' B' U2 F2 R
F' L' U' B2 L' U2 F2
F' L' U' B2 U2 F2 R
F L' U' F2 L' U R
F' L' U2 F' U' F' R
F' L' D R2 U' L' U2
F' L' D2 U' L' B2 U2
F' L' D2 U' B2 L' U2
F L' F2 L' U R F2
F' L' B R U F2 R
F' L' B R' U F2 R
F' L' B R2 U F2 R
F' L' B U R F2 R
F' L' B U R' F2 R
F' L' B U R2 F2 R
F' L' B U F2 R D
F' L' B U F2 R D'
F' L' B U F2 R D2
F' L' B U F2 D R
F' L' B U F2 D' R
F' L' B U F2 D2 R
F' L' B U' L' U2 F2
F' L' B' R U F2 R
F' L' B' R' U F2 R
F' L' B' R2 U F2 R
F' L' B' U R F2 R
F' L' B' U R' F2 R
F' L' B' U R2 F2 R
F' L' B' U F2 R D
F' L' B' U F2 R D'
F' L' B' U F2 R D2
F' L' B' U F2 D R
F' L' B' U F2 D' R
F' L' B' U F2 D2 R
F' L' B' U' L' U2 F2
F' L' B2 R U F2 R
F' L' B2 R' U F2 R
F' L' B2 R2 U F2 R
F' L' B2 U R F2 R
F' L' B2 U R' F2 R
F' L' B2 U R2 F2 R
F' L' B2 U F2 R D
F' L' B2 U F2 R D'
F' L' B2 U F2 R D2
F' L' B2 U F2 D R
F' L' B2 U F2 D' R
F' L' B2 U F2 D2 R
F' L' B2 U' L' U2 F2
F' L2 U L U L' F2
U' L2 B' U F' L' U
F' R L' U R F2 R
F' R L' U R' F2 R
F' R L' U R2 F2 R
F' R L' U F2 R D
F' R L' U F2 R D'
F' R L' U F2 R D2
F' R L' U F2 D R
F' R L' U F2 D' R
F' R L' U F2 D2 R
F' R L' U' L' U2 F2
F' R L' B U F2 R
F' R L' B' U F2 R
F' R L' B2 U F2 R
R U F' L' F2 R B'
R U F' L' F2 B' R
R U F' L' B' F2 R
D2 R U' R F B L
D2 R U' R B F L
F R D2 R2 D L2 B2
F R D2 R2 D B2 L2
R U' L2 B' R' F' U2
F' R B L' U F2 R
F' R B' L' U F2 R
F' R B2 L' U F2 R
F' R' L' U R F2 R
F' R' L' U R' F2 R
F' R' L' U R2 F2 R
F' R' L' U F2 R D
F' R' L' U F2 R D'
F' R' L' U F2 R D2
F' R' L' U F2 D R
F' R' L' U F2 D' R
F' R' L' U F2 D2 R
F' R' L' U' L' U2 F2
F' R' L' B U F2 R
F' R' L' B' U F2 R
