B L' R2 F2 U' F'
F2 L' B R2 U' F
B R2 L' F2 U' F'
B R2 F2 L' U' F
L' B R2 F2 U' F'
F2 B L' R2 U' F
F2 B R2 L' U' F
B F2 L' R2 U' F
B F2 R2 L' U' F
B L R2 F2 L2 U' F
B L R2 F2 U B' U2
B L U' D B2 R2 F'
B' L D L2 R2 F B2
B' L D L2 R2 B2 F
B' L D L2 F R2 B2
B' L D L2 F B2 R2
B' L D L2 B2 R2 F
B' L D L2 B2 F R2
B' L D R2 L2 F B2
B' L D R2 L2 B2 F
B L D U' B2 R2 F'
B' L D B2 L2 R2 F'
B' L D B2 R2 L2 F'
B' L D B2 R2 F' L2
R2 L F2 L2 B' U' F
B L F2 L2 R2 U' F
B L F2 R2 L2 U' F
B L F2 R2 U B' U2
B' L F2 B2 R2 U' F'
F2 L B R2 U B2 U2
F2 L B R2 U' D2 F2
F2 L B R2 D L2 U'
F2 L B R2 D2 U' F2
F2 L B D L2 U' B2
B' L B2 R2 F2 U' F
F2 L B2 R2 B' U' F'
B' L B2 F2 R2 U' F'
F2 L' R2 U' F D' L2
F2 L' R2 U2 F' U F2
B L' R2 U' D R2 F
B L' R2 U' D F R2
B L' R2 D U' R2 F
B L' R2 D U' F R2
B' L' R2 F2 B2 U' F'
B L' R2 F2 L U' F'
B L' R2 F2 L' U' F'
B L' R2 F2 L2 U' F'
B L' R2 F2 U' D F'
B L' R2 F2 U' D' F'
B L' R2 F2 U' D2 F'
B L' R2 F2 U' F' D
B L' R2 F2 U' F' D'
B L' R2 F2 U' F' D2
B' L' R2 B2 F2 U' F'
B L' R2 F2 D U' F'
B L' R2 F2 D' U' F'
B L' R2 F2 D2 U' F'
B L' U' D R2 F B2
B L' U' D R2 B2 F
B L' U' D F R2 B2
B L' U' D F B2 R2
B L' U' D B2 R2 F
B L' U' D B2 F R2
R2 L' F2 L' U' F' L'
B' L' D L2 B2 R2 F'
R2 L' F2 L2 B' U' F'
B' L' D R2 F L2 B2
B' L' D R2 F B2 L2
B' L' D R2 B2 F L2
B2 L' D R2 F L' B2
B2 L' D R2 F B2 L'
B2 L' D R2 B2 F L'
R2 L' F2 U' F' D' L2
B' L' D F L2 R2 B2
B' L' D F L2 B2 R2
B' L' D F R2 L2 B2
B' L' D F R2 B2 L2
B' L' D F B2 L2 R2
B' L' D F B2 R2 L2
R2 L' F2 U2 F U F2
B2 L' D F L' R2 B2
B2 L' D F L' B2 R2
B2 L' D F R2 L' B2
B L' D U' R2 F B2
B2 L' D F R2 B2 L'
B L' D U' R2 B2 F
B L' D U' F R2 B2
B L' D U' F B2 R2
B L' D U' B2 R2 F
B L' D U' B2 F R2
B2 L' D F B2 L' R2
B2 L' D F B2 R2 L'
F2 L' D B U' F B
F2 L' D B U' B F
B' L' D B2 R2 F L2
B' L' D B2 F L2 R2
B' L' D B2 F R2 L2
B2 L' D B2 R2 F L'
B2 L' D B2 F L' R2
B2 L' D B2 F R2 L'
B L' F R2 F U' F'
F' L' F' B R2 U' F2
B L' F2 R2 U B U2
B L' F2 U' D F' B2
B L' F2 U' D B2 F'
B L' F2 U' F' D B2
B L' F2 D U' F' B2
B L' F2 D U' B2 F'
U' L' B R2 F2 U' F'
F2 L' B R2 U' D F
F2 L' B R2 U' D' F
F2 L' B R2 U' D2 F
F2 L' B R2 U' F D
F2 L' B R2 U' F D'
F2 L' B R2 U' F D2
F2 L' B R2 D U' F
F2 L' B R2 D' U' F
F2 L' B R2 D2 U' F
U2 L' B R2 F2 U' F'
F2 L' B U' D F B2
F2 L' B U' D B2 F
F2 L' B U' F D B2
F L' B R2 U' F R
F2 L' B D U' F B2
F2 L' B D U' B2 F
U L' B R2 F2 U' F'
F' L' B F' R2 U' F2
F2 L' B' R2 B2 U' F
B' L' B2 R2 F2 U' F'
F2 L' B2 R2 B' U' F
B L2 R2 F2 L U' F
L' R2 F2 L' U' F' L'
L' R2 F2 L2 B' U' F'
L' R2 F2 U' F' D' L2
L' R2 F2 U2 F U F2
L R2 F2 L2 B' U' F
B L2 F2 L R2 U' F
B L2 F2 R2 L U' F
F2 L2 B L R2 U' F
F2 L2 B R2 L U' F
L2 U F2 B L R2 U'
L2 U F2 B R2 L U'
L2 U B L R2 F2 U'
L' U B R2 F2 U' F'
L2 U B L F2 R2 U'
L2 U B R2 L F2 U'
L2 U B R2 F2 L U'
L2 U B F2 L R2 U'
L2 U B F2 R2 L U'
D2 R D' F' R2 B2 L
B R F2 U2 L' U F
L' U' B R2 F2 U' F'
B R' F2 L' R' U' F
B R' F2 R' L' U' F
R2 U2 D F' R U R
B R2 L F2 L2 U' F
B R2 L F2 U B' U2
F2 R2 L' U' F D' L2
F2 R2 L' U2 F' U F2
B' R2 L' F2 B2 U' F'
B R2 L' U' D R2 F
B R2 L' U' D F R2
B' R2 L' B2 F2 U' F'
B R2 L' D U' R2 F
B R2 L' D U' F R2
B R2 L' F2 L U' F'
B R2 L' F2 L' U' F'
B R2 L' F2 L2 U' F'
B R2 L' F2 U' D F'
B R2 L' F2 U' D' F'
B R2 L' F2 U' D2 F'
B R2 L' F2 U' F' D
B R2 L' F2 U' F' D'
B R2 L' F2 U' F' D2
B R2 L' F2 D U' F'
B R2 L' F2 D' U' F'
B R2 L' F2 D2 U' F'
B R2 L2 F2 L U' F
F2 R2 U' L' F D' L2
L' U2 B R2 F2 U' F'
D R2 U' F' R U B2
F2 R2 U2 D F' R U
F2 R2 D U2 F' R U
B R2 D F L' U' R2
B R2 F L' U' F R
B R2 F D F L' U'
B R2 F' L' F' U' F2
D R2 F' R U R' B2
B' R2 F2 L' B2 U' F
B R2 F2 L U B' U2
B R2 F2 L' U' D F
B R2 F2 L' U' D' F
B R2 F2 L' U' D2 F
B R2 F2 L' U' F D
B R2 F2 L' U' F D'
B R2 F2 L' U' F D2
B R2 F2 L' D U' F
B R2 F2 L' D' U' F
B R2 F2 L' D2 U' F
B' R2 F2 B2 L' U' F
B2 R2 F2 D' B' L U'
B2 R2 F2 B' L' U' F
B R2 F2 U' L' F L
L' D R2 F B2 D' L2
B2 R2 B' L' F2 U' F'
L' D R2 B2 F D' L2
B' R2 B2 L' F2 U' F'
B2 R2 B' F2 L' U' F
B' R2 B2 F2 L' U' F
D R2 B2 U' F' R U
R2 D U2 F' R U R
L' D B U' F B R2
L' D B U' B R2 F
L' D B U' B F R2
L D B U' B R2 F'
D F L' B U' B R2
L' F U F B R2 U'
L' F U B R2 F U'
L' F U B F R2 U'
L' F B R2 F U' F'
D F B L' U' B R2
B D F L' U' R2 B2
B D F L' U' B2 R2
F D F L' B U' B
F D F B L' U' B
F D B F L' U' B
U' F2 L' B R2 U' F
L2 F2 L B R2 U' F
R2 F2 L' U' F' L' F2
U2 F2 L' B R2 U' F
U F2 L' B R2 U' F
R2 F2 L2 B' L U' F
L F2 L2 B R2 U' F
L' F2 D B U' F' B
L' F2 D B U' B F'
R2 F2 D' L2 B' L U'
U' F2 B L' R2 U' F
U' F2 B R2 L' U' F
L' F2 B R2 U B U2
L' F2 B U' D F' B2
L' F2 B U' D B2 F'
L' F2 B U' F' D B2
L2 F2 B L R2 U' F
L' F2 B D U' F' B2
L' F2 B D U' B2 F'
U2 F2 B L' R2 U' F
U2 F2 B R2 L' U' F
L2 F2 B R2 L U' F
U F2 B L' R2 U' F
U F2 B R2 L' U' F
L F2 B R2 U B2 U2
L F2 B R2 U' D2 F2
L F2 B R2 D L2 U'
L F2 B R2 D2 U' F2
L F2 B D L2 U' B2
U' B L' R2 F2 U' F'
L2 B L R2 F2 U' F'
L F2 B2 R2 B' U' F'
U2 B L' R2 F2 U' F'
U B L' R2 F2 U' F'
U' B R2 L' F2 U' F'
U' B R2 F2 L' U' F
L' B R2 U' D R2 F
L' B R2 U' D F R2
L' B R2 D U' R2 F
L' B R2 D U' F R2
L2 B R2 L F2 U' F'
L' B R2 F2 L U' F'
L' B R2 F2 L' U' F'
L' B R2 F2 L2 U' F'
U2 B R2 L' F2 U' F'
L' B R2 F2 U' D F'
L' B R2 F2 U' D' F'
L' B R2 F2 U' D2 F'
L' B R2 F2 U' F' D
L' B R2 F2 U' F' D'
L' B R2 F2 U' F' D2
L' B R2 F2 D U' F'
L' B R2 F2 D' U' F'
L' B R2 F2 D2 U' F'
U2 B R2 F2 L' U' F
L2 B R2 F2 L U' F
U B R2 L' F2 U' F'
L B R2 D L2 U' R2
L' B U' D R2 F B2
L' B U' D R2 B2 F
L' B U' D F R2 B2
L' B U' D F B2 R2
L' B U' D B2 R2 F
L' B U' D B2 F R2
U B R2 F2 L' U' F
L B R2 F2 U B2 U2
L B R2 F2 U' D2 F2
L B R2 F2 D L2 U'
L B R2 F2 D2 U' F2
F2 B L R2 U B' U2
F2 B L' R2 U' D F
F2 B L' R2 U' D' F
F2 B L' R2 U' D2 F
F2 B L' R2 U' F D
F2 B L' R2 U' F D'
F2 B L' R2 U' F D2
F2 B L' R2 D U' F
F2 B L' R2 D' U' F
F2 B L' R2 D2 U' F
F2 B L' U' D F B2
F2 B L' U' D B2 F
F2 B L' U' F D B2
F' B L' F' R2 U' F2
D' B D R2 F2 L' U'
F2 B L' D U' F B2
F2 B L' D U' B2 F
L' B D U' R2 F B2
L' B D U' R2 B2 F
L' B D U' F R2 B2
L' B D U' F B2 R2
L' B D U' B2 R2 F
L' B D U' B2 F R2
B F L' R2 U' F R
F B L' R2 U' F R
L B D L2 U' R2 B2
L B D L2 U' B2 R2
F2 B R D2 R U' F'
L' B F R2 F U' F'
F2 B R2 L U B' U2
F2 B R2 L' U' D F
F2 B R2 L' U' D' F
F2 B R2 L' U' D2 F
F2 B R2 L' U' F D
F2 B R2 L' U' F D'
F2 B R2 L' U' F D2
F2 B R2 L' D U' F
F2 B R2 L' D' U' F
F2 B R2 L' D2 U' F
F2 B R2 U' L' F L
U' B F2 L' R2 U' F
D B F L' U' B R2
U' B F2 R2 L' U' F
B F R2 L' U' F R
L' B F2 R2 U B U2
B F R2 D F L' U'
L' B F2 U' D F' B2
L' B F2 U' D B2 F'
L' B F2 U' F' D B2
F B R2 L' U' F R
B F R2 F L' U' F
L' B F2 D U' F' B2
L' B F2 D U' B2 F'
L2 B F2 L R2 U' F
