B' R' U' F' U' B
B' L R' U' F' U' B
R' L B L F D R2
B' L' R' U' F' U' B
L2 R' F D B L R2
L2 R' F D B R2 L
L2 R' F B L D R2
L2 R' F B D L R2
L2 R' F B D R2 L
L R' B L F D R2
L2 R' B F L D R2
L2 R' B F D L R2
L2 R' B F D R2 L
B' L2 R' U' F' U' B
R' L2 F D B L R2
R' L2 F D B R2 L
R' L2 F B L D R2
R' L2 F B D L R2
R' L2 F B D R2 L
R' L2 B F L D R2
R' L2 B F D L R2
R' L2 B F D R2 L
B' R F' R2 U' F' U'
B' R' L U' F' U' B
B' R' L' U' F' U' B
B' R' L2 U' F' U' B
B' R' U' D F' U' B
B' R' U' D' F' U' B
B' R' U' D2 F' U' B
B' R' U' F' U' D B
B' R' U' F' U' D' B
B' R' U' F' U' D2 B
B' R' U' F' U' B D
B' R' U' F' U' B D'
B' R' U' F' U' B D2
B' R' U' F' D U' B
B' R' U' F' D' U' B
B' R' U' F' D2 U' B
B' R' U2 B U F' U'
B' R' D U' F' U' B
B' R' D' U' F' U' B
B' R' D2 U' F' U' B
B' R' F U' F2 U' B
B' R' F U2 D B R2
B' R' F U2 B D R2
B' R' F D U2 B R2
B' R' F D' L2 U2 B
B' R' F2 U' F U' B
B' R2 D R U2 B R'
R2 D B' L R' F' U2
R2 D B' R' L F' U2
R2 D B' R' F' L U2
R2 D' B' R' F' U2 R
B U' D2 L F2 B' R'
B U' D2 L B' R' F2
B U' D2 L B' F2 R'
B U' D2 F2 L B' R'
B2 U' B L R' U2 B
B2 U' B R' L U2 B
B U' B2 R' U2 B R'
B' D' R' U' F' R U'
R F' B' R' U B2 U
R F' B' R' U2 D' R2
R F' B' R' D L2 U2
R F' B' R' D' U2 R2
R F' B' U B2 U L
R F' B' D L2 R' U2
R F' B' D R' L2 U2
R F' B' D' R' U2 R'
B D2 U' L F2 B' R'
B D2 U' L B' R' F2
B D2 U' L B' F2 R'
B D2 U' F2 L B' R'
R B U' F' B2 R' U2
R B U' B2 F' R' U2
B' F R' U' F' U' B
R B D' R2 U L B
D' B' R' U' F' R U'
R2 B' R' F' U B U
R' B' U' F' U' B2 L
B' F' R' U' F' U' B
F' B' R' U' F' U' B
F2 B' R' U' F' U' B
F B' R' U' F' U' B
R2 B' D' R' F' U2 R
R B' D L2 F' R' U2
R B' D F' L2 R' U2
R B' D F' R' L2 U2
R B' D' R' U2 R' B
R B' D' F' R' U2 R'
R B' F' R' U B2 U
R B' F' R' U2 D' R2
R B' F' R' D L2 U2
R B' F' R' D' U2 R2
R B' F' U B2 U L
R B' F' D L2 R' U2
R B' F' D R' L2 U2
R B' F' D' R' U2 R'
B' F2 R' U' F' U' B
