F' R2 D' B' L
B' L' F' R2 D' L2
F' R D' R B' L
F' R D' B' L R
F' R D' B' R L
F' R' D' R' B' L
F2 R2 D F B' L'
F2 R2 D B' F L'
F' R2 D' B' L D
F' R2 D' B' L D'
F' R2 D' B' L D2
F' R2 D' B' D L
F' R2 D' B' D' L
F' R2 D' B' D2 L
F2 R2 D' F B' L
F2 R2 D' B' F L
F2 R2 F D' B' L
F R2 F2 D' B' L
F2 R2 B' D F L'
R2 D' B' L D2 F2
R2 D' B' D2 L F2
R2 D' B' D2 F2 L
U' F' R2 D' B' L
U2 F' R2 D' B' L
U F' R2 D' B' L
F' D' B' L D R2
F' D' B' D L R2
F' D' B' D R2 L
D' F2 U' F B' L
D' F2 U' B' F L
D' B' L D F' R2
D' B' D L F' R2
D' B' D F' L R2
D' B' D F' R2 L
F2 B' R2 D F L'
B' F2 R2 D F L'
F' L R2 U B' R' U'
F' L U B' R' U' R'
B' L U B' U' F' R2
B' L F' R2 U B' U'
B' L F' U B' U' R2
B2 L F' B R2 D L2
B2 L B F' R2 D L2
B' L B' U' F' B R2
B' L B' U' B F' R2
B2 L B' U' F' R2 B2
B2 L B' U' F' B2 R2
B2 L B' U' B2 F' R2
B L B' U' F' R2 B'
B L B' U' F' B' R2
B L B' U' B' F' R2
B' L' U' F U R2 F2
B' L' U' F U F2 R2
B' L' D F' D' L2 R2
B' L' D F' D' R2 L2
B' L' F R2 F2 D' L2
B2 L' F U F2 B R2
B2 L' F U B R2 F2
B2 L' F U B F2 R2
B L' F U R2 F2 B2
B L' F U R2 B2 F2
B L' F U F2 R2 B2
B L' F U F2 B2 R2
B L' F U B2 R2 F2
B L' F U B2 F2 R2
B' L' F' L R2 D' L2
B' L' F' L' R2 D' L2
B' L' F' L2 R2 D' L2
B' L' F' R D' L2 R
B' L' F' R D' R L2
B' L' F' R' D' L2 R'
B' L' F' R' D' R' L2
B' L' F' R2 L D' L2
B' L' F' R2 L' D' L2
B' L' F' R2 L2 D' L2
B' L' F' R2 U' F2 U
B' L' F' R2 D' L2 D
B' L' F' R2 D' L2 D'
B' L' F' R2 D' L2 D2
B' L' F' U' F2 U R2
B L' F' R2 B2 D' L2
B' L' F' D' L2 D R2
B2 L' F' B R2 D' L2
B L' F' B2 R2 D' L2
B2 L' B F' R2 D' L2
B L' B2 F' R2 D' L2
B2 L2 U F' B L R2
B2 L2 U F' B R2 L
B2 L2 U B L F' R2
B2 L2 U B F' L R2
B2 L2 U B F' R2 L
F L2 U F2 R2 B L
B2 L2 U' F' L' B R2
B2 L2 U' F' B L' R2
B2 L2 U' F' B R2 L'
B L2 U' F' L' R2 B2
B L2 U' F' L' B2 R2
B L2 U' F' R2 L' B2
B L2 U' F' R2 B2 L'
B2 L2 U' B F' L' R2
B2 L2 U' B F' R2 L'
B L2 U' F' B2 L' R2
B L2 U' F' B2 R2 L'
B L2 U' B2 F' L' R2
B L2 U' B2 F' R2 L'
D2 L2 D' F U2 L' F2
L2 U F2 R2 F B L
L2 U F2 R2 B F L
F' R D R D2 B' L
F2 R D R F B' L'
F2 R D R B' F L'
F2 R D B' R F L'
F' R D' R B' L D
F' R D' R B' L D'
F' R D' R B' L D2
F' R D' R B' D L
F' R D' R B' D' L
F' R D' R B' D2 L
F' R D' R' B' L R2
F' R D' R' B' R2 L
F2 R D' R F B' L
F2 R D' R B' F L
F' R D' B' L R D
F' R D' B' L R D'
F' R D' B' L R D2
F' R D' B' L D R
F' R D' B' L D' R
F' R D' B' L D2 R
F' R D' B' R L D
F' R D' B' R L D'
F' R D' B' R L D2
F' R D' B' R D L
F' R D' B' R D' L
F' R D' B' R D2 L
F' R D' B' D L R
F' R D' B' D R L
F' R D' B' D' L R
F' R D' B' D' R L
F' R D' B' D2 L R
F' R D' B' D2 R L
F2 R D' B' R F L
L2 U' L' F' L' R2 B'
L2 U' L' F' L' B' R2
L2 U' L' F' R2 L' B'
L2 U' L2 F' R2 B' L'
L2 U' L2 F' B' L' R2
L2 U' L2 F' B' R2 L'
L2 U' L2 B' F' L' R2
L2 U' L2 B' F' R2 L'
F2 R B' R D F L'
F2 R B' D R F L'
L2 U' F R U2 R F2
L2 U' F U2 F2 L' R2
L2 U' F U2 F2 R2 L'
L2 U' F' L' R2 D2 B2
L2 U' F' R2 L' D2 B2
L2 U' F' R2 D2 L' B2
L2 U' F' R2 D2 B2 L'
L2 U' F2 R2 F L' B
L2 U' F2 R2 F B L'
L2 U' F2 R2 B F L'
F' R' D R' D2 B' L
F2 R' D R' F B' L'
F2 R' D R' B' F L'
F2 R' D F R' B' L'
F' R' D' R B' L R2
F' R' D' R B' R2 L
F' R' D' R' B' L D
F' R' D' R' B' L D'
F' R' D' R' B' L D2
F' R' D' R' B' D L
F' R' D' R' B' D' L
F' R' D' R' B' D2 L
F' R' D' R2 B' L R
F' R' D' R2 B' R L
F2 R' D' R' F B' L
F2 R' D' R' B' F L
F2 R' D' F R' B' L
F' R' D2 R' B' D L2
F2 R' F R' D' B' L
F2 R' F D' R' B' L
R U2 R D' B' L F
F R' F2 R' D' B' L
F R' F2 D' R' B' L
F' R2 L U B' R' U'
R2 U2 D' B R' U2 B2
R2 U2 D' B U2 B2 L
R U2 D' R B' L F
R U2 D' B' L R F
R U2 D' B' R L F
B' R2 U2 D' B R' U2
F' R2 D F B' L' F'
F2 R2 D F D B' L'
F2 R2 D F D' B' L'
F2 R2 D F D2 B' L'
F2 R2 D F B L' B2
F2 R2 D F B' L' D
F2 R2 D F B' L' D'
F2 R2 D F B' L' D2
F2 R2 D F B' D L'
F2 R2 D F B' D' L'
F2 R2 D F B' D2 L'
F2 R2 D F B2 L' B
F' R2 D B' F L' F'
F2 R2 D B F L' B2
F' R2 D' L' B' L B'
F2 R2 D B' F L' D
F2 R2 D B' F L' D'
F2 R2 D B' F L' D2
F2 R2 D B' F D L'
F2 R2 D B' F D' L'
F2 R2 D B' F D2 L'
F2 R2 D B2 F L' B
F' R2 D' R' B' L R
F' R2 D' R' B' R L
F' R2 D' R2 B' L R2
F' R2 D' R2 B' R2 L
B' R2 D' U2 B R' U2
F' R2 D' F B' L F'
F' R2 D' F2 B' L F2
F' R2 D' B L B2 L
F' R2 D' B L' B2 L
F' R2 D' B L2 B2 L
U' R2 D' B' L D2 F2
F' R2 D' B' L2 D L'
F' R2 D' B' L2 D' L'
F' R2 D' B' L2 D2 L'
U' R2 D' B' D2 L F2
U' R2 D' B' D2 F2 L
F' R2 D' B' D L D
F' R2 D' B' D L D'
F' R2 D' B' D L D2
F' R2 D' B' D' L D
F' R2 D' B' D' L D'
F' R2 D' B' D' L D2
F' R2 D' B' D2 L D
F' R2 D' B' D2 L D'
F' R2 D' B' D2 L D2
F2 R2 D' F B' L D
F2 R2 D' F B' L D'
F2 R2 D' F B' L D2
F' R2 D' B' F L F'
F2 R2 D' F B' D L
F2 R2 D' F B' D' L
F2 R2 D' F B' D2 L
F' R2 D' B' F2 L F2
F' R2 D' B2 L B L
F' R2 D' B2 L' B L
