U L F L2 U' B' L
D2 L' F U' L' R B2
D2 L' F U' L' B2 R
D2 L' F U' R L' B2
D2 L' F U' R B2 L'
D2 L' F U' B2 L' R
D2 L' F U' B2 R L'
B' L' F U' L2 R B'
B' L' F U' L2 B' R
B' L' F U' R L2 B'
F L2 U R B' L F
F L2 U B' L R F
F L2 U B' R L F
L' D2 F U' L' R B2
L' D2 F U' L' B2 R
L' D2 F U' R L' B2
L' D2 F U' R B2 L'
L' D2 F U' B2 L' R
L' D2 F U' B2 R L'
L F L2 U' R B' L
L F L2 U' B' L R
L F L2 U' B' R L
L' F U' L2 R B' L
L' F U' L2 B' L R
L' F U' L2 B' R L
L' F U' R L2 B' L
D' F2 L2 R F' U R
D' F2 R L2 F' U R
D' F2 R F' L2 U R
