R2 L' F' B U B2
R2 L' B F' U B2
L' R2 F' B U B2
L' R2 B F' U B2
U' R2 F' L' B U
U' R2 F' B L' U
U R2 F' B L U
U' R2 B F' L' U
U R2 B L F' U
U R2 B F' L U
R2 F' L' B U B2
R2 F' B L' U B'
R2 B L' F' U B'
R2 B F' L' U B'
U' L R2 F' L' B U
U' L R2 F' B L' U
U' L R2 B F' L' U
U L R2 F' B L U
U L R2 B L F' U
U L R2 B F' L U
F' L D2 L2 B U' B2
R2 L F' D' L2 B U
R2 L F' D' B L2 U
B L D2 L2 F' U' B'
R2 L F' D2 B U B
R2 L F' B U D2 B2
R2 L F' B U' F2 U2
R2 L F' B D' L2 U
R2 L F' B D2 U B2
F' L D2 B L2 U' B'
R2 L B L2 F' U B'
R2 L B F' U D2 B2
R2 L B F' U' F2 U2
R2 L B F' D' L2 U
R2 L B F' D2 U B2
B L F' D2 L2 U' B2
F' L B D2 L2 U' B'
R2 L' D F' B U B2
R2 L' D B F' U B2
U' L' R2 F' L' B U
F2 L' R2 F' U B' R'
U' L' R2 F' B L' U
R2 L' D' F' B U B2
U' L' R2 B F' L' U
R2 L' D' B F' U B2
U L' R2 F' B L U
U L' R2 B L F' U
U L' R2 B F' L U
R2 L' D2 F' B U B2
R2 L' D2 B F' U B2
F' L' U2 R2 F' U B'
R2 L' F' U B' D' R2
B L' U2 R2 B U B2
R2 L' F' D B U B2
R2 L' F' D' B U B2
R2 L' F' D2 B U B2
R2 L' F' B L U B2
R2 L' F' B L' U B2
R2 L' F' B L2 U B2
R2 L' F' B U B2 D
R2 L' F' B U B2 D'
R2 L' F' B U B2 D2
R2 L' F' B D L2 U
R2 L' B L F' U B2
R2 L' B L' F' U B2
R2 L' B L2 F' U B2
R2 L' B D L2 F' U
R2 L' B D F' L2 U
F' L' D' B U' F2 B2
F' L' D' B U' B2 F2
B L' D' F' U' F' B'
B L' D' F' U' B' F'
R2 L' B F' L U B2
R2 L' B F' L' U B2
R2 L' B F' L2 U B2
R2 L' B F' U B2 D
R2 L' B F' U B2 D'
R2 L' B F' U B2 D2
R2 L' B F' D L2 U
F' L' D2 B L2 U' B2
B L' F' U' D' F2 B'
B L' F' U' D' B' F2
D' L' F' B U' F' B2
D' L' F' B U' B2 F'
B L' F' U' B' D' F2
B L' F' U2 R2 U B'
B L' F' D' U' F2 B'
B L' F' D' U' B' F2
D2 L' B L' F' U' B2
F' L' B U' B2 D' F2
F' L' B U2 R2 U B2
F' L' B D' R2 U' F2
D' L' B F' U' F' B2
D' L' B F' U' B2 F'
L' R2 D F' B U B2
L' R2 D B F' U B2
L' R2 D' F' B U B2
L' R2 D' B F' U B2
L' R2 D2 F' B U B2
L' R2 D2 B F' U B2
U' L2 R2 F' L' B U
U' L2 R2 F' B L' U
L2 R2 F' L B U B2
R2 L2 F' L B U B2
L' R2 F' U B' D' R2
U' L2 R2 B F' L' U
L' R2 F' D B U B2
L' R2 F' D' B U B2
L' R2 F' D2 B U B2
L' R2 F' B L U B2
L' R2 F' B L' U B2
L' R2 F' B L2 U B2
L' R2 F' B U B2 D
L' R2 F' B U B2 D'
L' R2 F' B U B2 D2
L' R2 F' B D L2 U
U L2 R2 F' B L U
U L2 R2 B L F' U
U L2 R2 B F' L U
L R2 F' D' L2 B U
L2 R2 F' B L U B'
L R2 F' D' B L2 U
R2 L2 F' B L U B'
L R2 F' D2 B U B
L R2 F' B U D2 B2
L R2 F' B U' F2 U2
L R2 F' B D' L2 U
L R2 F' B D2 U B2
L' R2 B L F' U B2
L' R2 B L' F' U B2
L' R2 B L2 F' U B2
L2 R2 B L F' U B'
R2 L2 B L F' U B'
L' R2 B D L2 F' U
L R2 B L2 F' U B'
L' R2 B D F' L2 U
L' R2 B F' L U B2
L' R2 B F' L' U B2
L' R2 B F' L2 U B2
L' R2 B F' U B2 D
L' R2 B F' U B2 D'
L' R2 B F' U B2 D2
L' R2 B F' D L2 U
L2 R2 B F' L U B'
R2 L2 B F' L U B'
L R2 B F' U D2 B2
L R2 B F' U' F2 U2
L R2 B F' D' L2 U
L R2 B F' D2 U B2
D2 L2 D F' B R U'
D2 L2 D B F' R U'
D2 L2 D' F' B R' U'
D2 L2 D' B F' R' U'
F' L2 D' B R' U' F2
D2 L2 F' D' B R' U'
D2 L2 B D F' R U'
L' U R2 F' B U B2
L' U R2 B F' U B2
R2 U B L F' U F
F' R U2 R F' U B
B R F2 L' U' B' R'
L' U' R2 F' B U B2
L' U' R2 B F' U B2
L' U2 R2 F' B U B2
L' U2 R2 B F' U B2
U' R2 L F' L' B U
U' R2 L F' B L' U
U' R2 L B F' L' U
U' R2 L' F' L' B U
U' R2 L' F' B L' U
U' R2 L' B F' L' U
U R2 L F' B L U
F2 R2 L' F' U B' R'
U R2 L B L F' U
U R2 L B F' L U
U' R2 L2 F' L' B U
U' R2 L2 F' B L' U
U' R2 L2 B F' L' U
U R2 L' F' B L U
U R2 L' B L F' U
U R2 L' B F' L U
U R2 L2 F' B L U
U R2 L2 B L F' U
U R2 L2 B F' L U
U' R2 D F' L' B U
U' R2 D F' B L' U
U' R2 D B F' L' U
U' R2 D' F' L' B U
U' R2 D' F' B L' U
U' R2 D' B F' L' U
U R2 D F' B L U
U R2 D B L F' U
U R2 D B F' L U
U' R2 D2 F' L' B U
U' R2 D2 F' B L' U
U R2 D' F' B L U
U' R2 D2 B F' L' U
U R2 D' B L F' U
U R2 D' B F' L U
R2 D L' F' B U B2
U R2 D2 F' B L U
U R2 D2 B L F' U
R2 D L' B F' U B2
U R2 D2 B F' L U
U' R2 F' L B L2 U
U' R2 F' L' D B U
F' R2 F' L' U B' R'
U' R2 F' L' D' B U
U' R2 F' L' D2 B U
U' R2 F' L' B U D
U' R2 F' L' B U D'
U' R2 F' L' B U D2
U' R2 F' L' B D U
U' R2 F' L' B D' U
U' R2 F' L' B D2 U
U' R2 F' D L' B U
U' R2 F' D B L' U
U' R2 F' D' L' B U
U' R2 F' D' B L' U
U' R2 F' D2 L' B U
U' R2 F' D2 B L' U
U' R2 F' B L' U D
U' R2 F' B L' U D'
U' R2 F' B L' U D2
U' R2 F' B L' D U
U' R2 F' B L' D' U
U' R2 F' B L' D2 U
U' R2 F' B D L' U
U' R2 F' B D' L' U
U' R2 F' B D2 L' U
U' R2 F' B' L' B2 U
U R2 F B L F2 U
U R2 F' L B L U
U R2 F' L' B L U
U R2 F' L2 B L U
U R2 F' D B L U
U R2 F' D' B L U
U R2 F' D2 B L U
U R2 F' B L U D
U R2 F' B L U D'
U R2 F' B L U D2
