D B2 U' B R' F'
L2 R2 F U R B U
R2 L2 F U R B U
B' R F2 R2 D' L' F
D R B2 U' B R' F'
B R' U B2 L R' F
B R' U B2 L F R'
B R' U B2 R' L F
B R' U' B2 L R' F'
B R' U' B2 R' L F'
B R' U' B2 R' F' L
D R' B2 U' B R' F'
R2 U2 F B' R D' F2
R2 U2 B' F R D' F2
D R2 B2 U' B R' F'
B U L R2 U2 F B2
B U L R2 U2 B2 F
B U R' B2 L R' F
B U R' B2 L F R'
B U R' B2 R' L F
B U R2 L U2 F B2
B U R2 L U2 B2 F
B U R2 U2 B2 R' F'
B U' R' F' B2 L R'
B U' R' F' B2 R' L
B U' R' B2 L F' R'
B U' R' B2 F' L R'
B U' R' B2 F' R' L
B2 U' B D2 L2 R' F'
B2 U' B D2 R' L2 F'
B2 U' B D2 R' F' L2
B U' B2 D2 L2 R' F'
B U' B2 D2 R' L2 F'
B U' B2 D2 R' F' L2
R2 F U R B U B2
D2 F B' L2 R' D' F2
D2 F B' R' L2 D' F2
U2 F B' R D' F2 L'
R2 F B' R' D' F2 L'
F' D B2 L' U' B R'
B' D B2 U' B2 R' F'
D F' B2 L' U' B R'
F D' B' R' D' L2 F2
F D' B' R' D' F2 L2
B' D2 L2 F R' D' F2
R F2 D' B' L' R' F
R F2 D' B' L' F R'
R F2 D' B' R' L' F
R F2 B' R' D' L' F
R F2 B' D' L' R' F
R F2 B' D' L' F R'
B' D2 F L2 R' D' F2
R F2 B' D' R' L' F
B' D2 F R' L2 D' F2
F D2 B' L2 R' D' F2
F D2 B' R' L2 D' F2
D2 B U' B2 L2 R' F'
D2 B U' B2 R' L2 F'
D2 B U' B2 R' F' L2
D2 B' L2 F R' D' F2
B' F D' R' D' L2 F2
B' F D' R' D' F2 L2
B' F D2 L2 R' D' F2
B' F D2 R' L2 D' F2
R2 B' R' F2 D' L' F
D2 B' F L2 R' D' F2
D2 B' F R' L2 D' F2
U2 B' F R D' F2 L'
R2 B' F R' D' F2 L'
D B2 L U' B R' F'
R B' F2 R' D' L' F
R B' F2 D' L' R' F
R B' F2 D' L' F R'
R B' F2 D' R' L' F
D B2 L' U' B R' F'
F B' D' R' D' L2 F2
F B' D' R' D' F2 L2
F B' D2 L2 R' D' F2
F B' D2 R' L2 D' F2
D B2 L2 U' B R' F'
R' B2 U L F B R'
R' B2 U L B R' F
R' B2 U L B F R'
R' B2 U' L B R' F'
D2 B2 U' L2 B R' F'
D2 B2 U' B L2 R' F'
D2 B2 U' B R' L2 F'
D2 B2 U' B R' F' L2
D B2 U' F B R' F'
D B2 U' F' B R' F'
D B2 U' F2 B R' F'
D B2 U' B R' D F'
D B2 U' B R' D' F'
D B2 U' B R' D2 F'
D B2 U' B R' F' D
D B2 U' B R' F' D'
D B2 U' B R' F' D2
D B2 U' B D R' F'
D B2 U' B D' R' F'
D B2 U' B D2 R' F'
D B2 U' B F R' F'
D B2 U' B F' R' F'
D B2 U' B F2 R' F'
D B2 F' L' U' B R'
