F2 L' F U' B'
U2 L R B' U B2
U2 L B' R U B
F2 L' R F U' B'
F2 L' R' F U' B'
F2 L' R2 F U' B'
F2 L' D F U' B'
F2 L' D' F U' B'
F2 L' D2 F U' B'
F2 L' F R U' B'
F2 L' F R' U' B'
F2 L' F R2 U' B'
F2 L' F U' D B'
F2 L' F U' D' B'
F2 L' F U' D2 B'
F2 L' F U' B' D
F2 L' F U' B' D'
F2 L' F U' B' D2
F2 L' F D U' B'
F2 L' F D' U' B'
F2 L' F D2 U' B'
U2 R L B' U B2
F2 R L' F U' B'
U2 R U D' B R'
U2 R D' U B R'
F2 R' L' F U' B'
F2 R2 L' F U' B'
U2 D' R U B R'
D' U2 R U B R'
U2 L R U B D' R2
U2 L R D B' U B2
U2 L R D' B' U B2
U2 L R D2 B' U B2
U' L R B' U L' B'
U2 L R B' L U B2
U2 L R B' L' U B2
U2 L R B' L2 U B2
U2 L R B' U B2 D
U2 L R B' U B2 D'
U2 L R B' U B2 D2
U2 L R B' D L2 U
U2 L R' B' R2 U B
U L U R B' U B2
U L U B' R U B
R' L D2 L2 F U' B'
U2 L D R B' U B2
U2 L D B' R U B
U2 L D' R B' U B2
U2 L D' B' R U B
U2 L D2 R B' U B2
U2 L D2 B' R U B
U2 L B R B2 U B'
U2 L B' L R U B
U2 L B' L' R U B
U2 L B' L2 R U B
U' L B' R U L' B'
U2 L B' R L U B
U2 L B' R L' U B
U2 L B' R L2 U B
U2 L B' R U D B
U2 L B' R U D' B
U2 L B' R U D2 B
U2 L B' R U B D
U2 L B' R U B D'
U2 L B' R U B D2
U2 L B' R D U B
U2 L B' R D' U B
U2 L B' R D2 U B
U2 L B' D R U B
U2 L B' D' R U B
U2 L B' D2 R U B
U2 L' R U2 F U' B
F2 L' R D F U' B'
F2 L' R D' F U' B'
F2 L' R D2 F U' B'
F2 L' R F R U' B'
F2 L' R F R' U' B'
F2 L' R F R2 U' B'
F2 L' R F U' D B'
F2 L' R F U' D' B'
F2 L' R F U' D2 B'
F2 L' R F U' B' D
F2 L' R F U' B' D'
F2 L' R F U' B' D2
F2 L' R F D U' B'
F2 L' R F D' U' B'
F2 L' R F D2 U' B'
F2 L' R' D F U' B'
F2 L' R' D' F U' B'
F2 L' R' D2 F U' B'
F2 L' R' F R U' B'
F2 L' R' F R' U' B'
F2 L' R' F R2 U' B'
F2 L' R' F U' D B'
F2 L' R' F U' D' B'
F2 L' R' F U' D2 B'
F2 L' R' F U' B' D
F2 L' R' F U' B' D'
F2 L' R' F U' B' D2
F2 L' R' F D U' B'
F2 L' R' F D' U' B'
F2 L' R' F D2 U' B'
R' L' D' F U' F B'
R' L' D' F U' B' F
L' R' D' F U' F B'
L' R' D' F U' B' F
F2 L' R2 D F U' B'
F2 L' R2 D' F U' B'
F2 L' R2 D2 F U' B'
F2 L' R2 F R U' B'
F2 L' R2 F R' U' B'
F2 L' R2 F R2 U' B'
F2 L' R2 F U' D B'
F2 L' R2 F U' D' B'
F2 L' R2 F U' D2 B'
F2 L' R2 F U' B' D
F2 L' R2 F U' B' D'
F2 L' R2 F U' B' D2
F2 L' R2 F D U' B'
F2 L' R2 F D' U' B'
F2 L' R2 F D2 U' B'
L R' D2 L2 F U' B'
R' L' F U' D' F2 B'
R' L' F U' D' B' F2
R' L' F U' B' D' F2
L' R' F U' D' F2 B'
L' R' F U' D' B' F2
R' L' F U2 R2 U B'
L' R' F U' B' D' F2
L' R' F U2 R2 U B'
R' L' F D' U' F2 B'
R' L' F D' U' B' F2
L' R' F D' U' F2 B'
L' R' F D' U' B' F2
R2 L' F U2 R' U B'
F2 L' U' B' U F U'
F2 L' D R F U' B'
F2 L' D R' F U' B'
F2 L' D R2 F U' B'
F2 L' D F R U' B'
F2 L' D F R' U' B'
F2 L' D F R2 U' B'
F2 L' D F U' D B'
F2 L' D F U' D' B'
F2 L' D F U' D2 B'
F2 L' D F U' B' D
F2 L' D F U' B' D'
F2 L' D F U' B' D2
F2 L' D F D U' B'
F2 L' D F D' U' B'
F2 L' D F D2 U' B'
F2 L' D' R F U' B'
F2 L' D' R' F U' B'
F2 L' D' R2 F U' B'
F2 L' D' F R U' B'
F2 L' D' F R' U' B'
F2 L' D' F R2 U' B'
F2 L' D' F U' D B'
