B' R' F' U B
B' L R' F' U B
B' L' R' F' U B
B' L2 R' F' U B
B' R' L F' U B
B' R' L' F' U B
B' R' L2 F' U B
B' R' D F' U B
B' R' D' F' U B
B' R' D2 F' U B
B' R' F' L U B
B' R' F' L' U B
B' R' F' L2 U B
B' R' F' U D B
B' R' F' U D' B
B' R' F' U D2 B
B' R' F' U B D
B' R' F' U B D'
B' R' F' U B D2
B' R' F' D U B
B' R' F' D' U B
B' R' F' D2 U B
R' F' B' R' U B2
B' F R' F' U B
D B' L R' F' U
D B' R' L F' U
D B' R' F' L U
F' B' R' F' U B
B' F' R' F' U B
F2 B' R' F' U B
F B' R' F' U B
R' B' F' R' U B2
B' F2 R' F' U B
B' L R' D F' U B
B' L R' D' F' U B
B' L R' D2 F' U B
B' L R' F' L U B
B' L R' F' L' U B
B' L R' F' L2 U B
B' L R' F' U D B
B' L R' F' U D' B
B' L R' F' U D2 B
B' L R' F' U B D
B' L R' F' U B D'
B' L R' F' U B D2
B' L R' F' D U B
B' L R' F' D' U B
B' L R' F' D2 U B
D2 L U B' R' F' L'
B' L F R' F' U B
B' L F' R' F' U B
B' L F2 R' F' U B
B2 L B R' F' U B
B' L' R' D F' U B
B' L' R' D' F' U B
B' L' R' D2 F' U B
B' L' R' F' L U B
B' L' R' F' L' U B
B' L' R' F' L2 U B
B' L' R' F' U D B
B' L' R' F' U D' B
B' L' R' F' U D2 B
B' L' R' F' U B D
B' L' R' F' U B D'
B' L' R' F' U B D2
B' L' R' F' D U B
B' L' R' F' D' U B
B' L' R' F' D2 U B
B' L' F R' F' U B
B' L' F' R' F' U B
B' L' F2 R' F' U B
B2 L' B R' F' U B
B' L2 R' D F' U B
B' L2 R' D' F' U B
B' L2 R' D2 F' U B
B' L2 R' F' L U B
B' L2 R' F' L' U B
B' L2 R' F' L2 U B
B' L2 R' F' U D B
B' L2 R' F' U D' B
B' L2 R' F' U D2 B
B' L2 R' F' U B D
B' L2 R' F' U B D'
B' L2 R' F' U B D2
B' L2 R' F' D U B
B' L2 R' F' D' U B
B' L2 R' F' D2 U B
B' L2 F R' F' U B
B' L2 F' R' F' U B
B' L2 F2 R' F' U B
B2 L2 B R' F' U B
L U B' R' F' L' B
L U B' R' F' B L'
L U B' R' B F' L'
L U' R' B L F R
B' R' L D F' U B
B' R' L D' F' U B
B' R' L D2 F' U B
B' R' L F' L U B
B' R' L F' L' U B
B' R' L F' L2 U B
B' R' L F' U D B
B' R' L F' U D' B
B' R' L F' U D2 B
B' R' L F' U B D
B' R' L F' U B D'
B' R' L F' U B D2
B' R' L F' D U B
B' R' L F' D' U B
B' R' L F' D2 U B
B' R' L' D F' U B
B' R' L' D' F' U B
B' R' L' D2 F' U B
B' R' L' F' L U B
B' R' L' F' L' U B
B' R' L' F' L2 U B
B' R' L' F' U D B
B' R' L' F' U D' B
B' R' L' F' U D2 B
B' R' L' F' U B D
B' R' L' F' U B D'
B' R' L' F' U B D2
B' R' L' F' D U B
B' R' L' F' D' U B
B' R' L' F' D2 U B
B' R' L2 D F' U B
B' R' L2 D' F' U B
B' R' L2 D2 F' U B
B' R' L2 F' L U B
B' R' L2 F' L' U B
B' R' L2 F' L2 U B
B' R' L2 F' U D B
B' R' L2 F' U D' B
B' R' L2 F' U D2 B
B' R' L2 F' U B D
B' R' L2 F' U B D'
B' R' L2 F' U B D2
B' R' L2 F' D U B
B' R' L2 F' D' U B
B' R' L2 F' D2 U B
B' R' U B U' F' U
B' R' D L F' U B
B' R' D L' F' U B
B' R' D L2 F' U B
B' R' D F' L U B
B' R' D F' L' U B
B' R' D F' L2 U B
B' R' D F' U D B
B' R' D F' U D' B
B' R' D F' U D2 B
B' R' D F' U B D
B' R' D F' U B D'
B' R' D F' U B D2
B' R' D F' D U B
B' R' D F' D' U B
B' R' D F' D2 U B
B' R' D' L F' U B
B' R' D' L' F' U B
B' R' D' L2 F' U B
B' R' D' F' L U B
B' R' D' F' L' U B
B' R' D' F' L2 U B
B' R' D' F' U D B
B' R' D' F' U D' B
B' R' D' F' U D2 B
B' R' D' F' U B D
B' R' D' F' U B D'
B' R' D' F' U B D2
B' R' D' F' D U B
B' R' D' F' D' U B
B' R' D' F' D2 U B
B' R' D2 L F' U B
B' R' D2 L' F' U B
B' R' D2 L2 F' U B
B' R' D2 F' L U B
B' R' D2 F' L' U B
B' R' D2 F' L2 U B
B' R' D2 F' U D B
B' R' D2 F' U D' B
B' R' D2 F' U D2 B
B' R' D2 F' U B D
B' R' D2 F' U B D'
B' R' D2 F' U B D2
B' R' D2 F' D U B
B' R' D2 F' D' U B
B' R' D2 F' D2 U B
B' R' F L F2 U B
B' R' F L' F2 U B
B' R' F L2 F2 U B
B' R' F U D' L2 B
B' R' F U D' B L2
B' R' F U B D' L2
B' R' F D' U L2 B
B' R' F D' U B L2
B' R' F' L U D B
B' R' F' L U D' B
B' R' F' L U D2 B
B' R' F' L U B D
B' R' F' L U B D'
B' R' F' L U B D2
B' R' F' L D U B
B' R' F' L D' U B
B' R' F' L D2 U B
B' R' F' L' U D B
B' R' F' L' U D' B
B' R' F' L' U D2 B
B' R' F' L' U B D
B' R' F' L' U B D'
B' R' F' L' U B D2
B' R' F' L' D U B
B' R' F' L' D' U B
B' R' F' L' D2 U B
B' R' F' L2 U D B
B' R' F' L2 U D' B
B' R' F' L2 U D2 B
B' R' F' L2 U B D
B' R' F' L2 U B D'
B' R' F' L2 U B D2
B' R' F' L2 D U B
B' R' F' L2 D' U B
B' R' F' L2 D2 U B
B' R' F' U L B L'
B' R' F' U L2 B L2
B' R' F' U D B D
B' R' F' U D B D'
B' R' F' U D B D2
B' R' F' U D' B D
B' R' F' U D' B D'
B' R' F' U D' B D2
B' R' F' U D2 B D
B' R' F' U D2 B D'
B' R' F' U D2 B D2
B' R' F' U B2 D B'
B' R' F' U B2 D' B'
B' R' F' U B2 D2 B'
B' R' F' U' F U2 B
B' R' F' U' F' U2 B
B' R' F' U' F2 U2 B
B' R' F' D L U B
B' R' F' D L' U B
B' R' F' D L2 U B
B' R' F' D U B D
B' R' F' D U B D'
B' R' F' D U B D2
B' R' F' D' L U B
B' R' F' D' L' U B
B' R' F' D' L2 U B
B' R' F' D' U B D
B' R' F' D' U B D'
B' R' F' D' U B D2
B' R' F' D2 L U B
B' R' F' D2 L' U B
B' R' F' D2 L2 U B
B' R' F' D2 U B D
B' R' F' D2 U B D'
B' R' F' D2 U B D2
F' R' F' B' R' U B2
B' R' F2 L' U B L
U R' F' L' D' B R'
F2 R' F' B' R' U B2
D R' F' B' L R' U
D R' F' B' R' L U
B R' F' B2 R' U B'
B' R' F2 D F U B
B' R' F2 D' F U B
B' R' F2 D2 F U B
F R' F' B' R' U B2
U R' F' B L' D' R2
U R' F' B D' L' R2
U R' F' B D' R2 L'
U' R' B L D' R2 F
U' R' B L D' F R2
U' R' B L F D' R2
U' R' B D' L R2 F
U' R' B D' L F R2
U' R' B D' R2 L F
D R' B' L F' R' U
U R' B D' F' L' R2
U R' B D' F' R2 L'
F' R' B' F' R' U B2
U R' B F' L' D' R2
U R' B F' D' L' R2
U R' B F' D' R2 L'
F2 R' B' F' R' U B2
D R' B' F' L R' U
D R' B' F' R' L U
F R' B' F' R' U B2
B R' B2 F' R' U B'
R' D F' B' R' U B2
R' D B' F' R' U B2
U2 D B' L F R U
R' D' F' B' R' U B2
R' D' B' F' R' U B2
B2 U' B R' U L B
R' D2 F' B' R' U B2
R' D2 B' F' R' U B2
D U2 B' L F R U
