D L B' U2 L' R2
D L B' U2 R2 L'
D L' U2 R2 F L
D L' U2 F L R2
D L' U2 F R2 L
D L' F L R2 B
D L' F R2 L B
D' L2 R U2 L2 F'
D' L2 R U2 F' L2
D' L2 R' B U2 L2
D' R L2 U2 L2 F'
D' R L2 U2 F' L2
D' R' L2 B U2 L2
D' R' B L2 U2 L2
L U2 D L' R2 F
L U2 D L' F R2
L U2 D R2 L' F
L D L' F R2 B
B' U L F2 R U'
L D U2 L' R2 F
L D U2 L' F R2
L D U2 R2 L' F
D L R B' U2 L' R
D L R B' U2 R L'
R' L U2 D L' R2 F
R' L U2 D L' F R2
R' L U2 D R2 L' F
R2 L U2 D L' R2 F
R2 L U2 D L' F R2
L R U2 D L' R2 F
L R U2 D L' F R2
R2 L U2 D R2 L' F
L R U2 D R2 L' F
R L U2 D L' R2 F
R L U2 D L' F R2
R L U2 D R2 L' F
R' L D L' F R2 B
R2 L D L' F R2 B
L R D L' F R2 B
R L D L' F R2 B
R' L D U2 L' R2 F
R' L D U2 L' F R2
R' L D U2 R2 L' F
R2 L D U2 L' R2 F
R2 L D U2 L' F R2
R2 L D U2 R2 L' F
L R D U2 L' R2 F
L R D U2 L' F R2
L R D U2 R2 L' F
R L D U2 L' R2 F
R L D U2 L' F R2
R L D U2 R2 L' F
B' L U' F2 U' F2 L'
D L U2 L2 R2 F L
D L U2 L2 F L R2
D L U2 L2 F R2 L
D2 L U2 D' L' R2 F
D2 L U2 D' L' F R2
D L U2 R2 L2 F L
D2 L U2 D' R2 L' F
F2 L D R2 U' L' F
D2 L D' L' F R2 B
D2 L D' U2 L' R2 F
D2 L D' U2 L' F R2
D2 L D' U2 R2 L' F
D' L D2 L U2 L2 F
D' L D2 L B' U2 L2
D L D2 L2 U2 F L
D L D2 B' L2 U2 L
B' L F2 U R F2 U2
B' L F2 U F2 U2 L'
U L F2 D' R U' F'
D L B' L U2 L2 R2
D L B' L U2 R2 L2
D L B' L2 U2 L R2
D L B' L2 U2 R2 L
D L B' R U2 L' R
D L B' R U2 R L'
D L B' R' U2 L' R'
D L B' R' U2 R' L'
D L B' U2 L' R2 D
D L B' U2 L' R2 D'
D L B' U2 L' R2 D2
D L B' U2 R2 L' D
D L B' U2 R2 L' D'
D L B' U2 R2 L' D2
D L B' U2 R2 D L'
D L B' U2 R2 D' L'
D L B' U2 R2 D2 L'
D L B' D2 L2 U2 L
D L B2 U2 L' R2 F'
D L B2 U2 R2 L' F'
L R' U2 D L' R2 F
L R' U2 D L' F R2
L R' U2 D R2 L' F
D L' R U2 R F L
L R' D L' F R2 B
L R' D U2 L' R2 F
L R' D U2 L' F R2
L R' D U2 R2 L' F
D L' R' U2 R' F L
D L' R' U2 F L R'
D L' R' U2 F R' L
