F' R B' L B2 D F2
B R' F' U' L' U' R
F' U2 L' U' R B' L
F' U2 L' U' B' L R
F' U2 L' U' B' R L
D2 F R U L' B R'
D2 F R U B L' R'
D2 F R U B R' L'
U' B' R' U' L F' R
U' B' R' U' F' L R
U' B' R' U' F' R L
B' F' L R D F2 B
B' F' L R D B F2
B' F' L R B D F2
B' F' L D R F2 B
B' F' L D R B F2
F' B' L R D F2 B
F' B' L R D B F2
F' B' L R B D F2
F' B' L D R F2 B
F' B' L D R B F2
B' F' R L D F2 B
B' F' R L D B F2
B' F' R L B D F2
F' B' R L D F2 B
F' B' R L D B F2
F' B' R L B D F2
B2 F' R B L D F2
F' B2 R B L D F2
