B L D R' F' R B2
B L D R' F' B2 R
B L D R' B2 F' R
B L D B2 R' F' R
B' R' U' F R' U' F2
B' R' F R' U' F2 L'
B R' F R' U' L F2
B R' F R' U' F2 L
D' R' F' D R2 B L
B R2 D' F L' U' L2
B2 R2 D2 F U' L' F
U R2 F U2 R F' U
F R2 B' U R' B U2
R2 D' F L' B U' L
R2 D' F B L' U' L2
R2 D' B F L' U' L2
B U' R2 F U' L F
B U' F R2 U' L F
R' F R' B U' L F2
R' F R' B U' F2 L
R2 F B' U R' B U2
U2 F' L' D B2 R2 F'
U2 F' D L' B2 R2 F'
D B L D' B R' F'
R B U' R F U' L
L2 B D L B2 R' F'
R2 B D' F L' U' L2
B' F R2 U R U2 F'
F B' R2 U R U2 F'
R2 B' F U R' B U2
R2 B2 D2 F U' L' F
