F R2 U R B U
F L R2 U R B U
L' R D' F2 L' B' R'
L2 R D' F2 B' L' R'
L2 R D' F2 B' R' L'
L2 R D' B' F2 L' R'
L2 R D' B' F2 R' L'
L2 R B' D' F2 L' R'
L2 R B' D' F2 R' L'
R2 L' U R B L U
F L' R2 U R B U
R L' D' F2 L' B' R'
L2 R' B2 U L B R'
L' R2 U R B L U
R2 L2 U R B U B2
L2 R2 U R B U B2
R L2 D' F2 B' L' R'
R L2 D' F2 B' R' L'
D2 L2 R D' F2 B' R'
D2 L2 R D' B' R' F2
D2 L2 R D' B' F2 R'
R L2 D' B' F2 L' R'
R L2 D' B' F2 R' L'
D2 L2 R B' D' R' F2
D2 L2 R B' D' F2 R'
F L2 R2 U R B U
D2 L2 R2 B' R' D' F2
D2 L2 U' R' U B' R'
L2 R2 B' R' D' F2 L'
R2 L2 B' R' D' F2 L'
R' L2 B2 U L B R'
R L2 B' D' F2 L' R'
R L2 B' D' F2 R' L'
R2 U L2 R B U B2
R2 U R L2 B U B2
R2 U R B L2 U B'
R2 U R B U' F U2
D2 L2 B' R2 D' R F'
D2 L2 B' D' R F' R2
D L2 B2 L U' B R'
D2 R L2 D' F2 B' R'
D2 R L2 D' B' R' F2
D2 R L2 D' B' F2 R'
D2 R L2 B' D' R' F2
D2 R L2 B' D' F2 R'
D' R D' L2 F2 B' R'
D' R D' L2 B' R' F2
D' R D' L2 B' F2 R'
U' R' U' R' F U2 R
U' R' U' F R' U2 R2
D2 R' B' U L2 R' B'
D2 R' B' U R' L2 B'
F R2 L U R B U
F R2 L' U R B U
D2 R2 L2 B' R' D' F2
F R2 L2 U R B U
F R2 U R D B U
F R2 U R D' B U
F R2 U R D2 B U
F R2 U R B U D
F R2 U R B U D'
F R2 U R B U D2
F R2 U R B D U
F R2 U R B D' U
F R2 U R B D2 U
F R2 U D R B U
F R2 U D' R B U
F R2 U D2 R B U
F R2 U B R B U
F R2 U B' R B U
F R2 U B2 R B U
F R2 U2 F D R F'
F R2 D U R B U
F R2 D' U R B U
F R2 D2 U R B U
U2 R2 F U2 D R F'
U2 R2 F D U2 R F'
F R2 B L U R U
F R2 B' U R U R2
F R2 B' U2 R' D' F2
L2 D B2 L U' B R'
R D' L' F2 L' B' R'
R D' L2 F2 B' L' R'
R D' L2 F2 B' R' L'
R D' L2 B' F2 L' R'
R D' L2 B' F2 R' L'
R D' R F U2 F R
D2 U' R' U L2 B' R'
R D' F U2 F L' R
R D' F U2 F R L'
B U' R2 F L U2 F
F U' D B2 L F U'
B U' F L R2 U2 F
B U' F R2 L U2 F
U' D2 R' U L2 B' R'
F U2 F R D' F2 L'
R' F R' U R B U
U2 F R2 U R U R2
U2 F R2 U2 R' D' F2
R2 F U' L F L' U'
U2 F U2 R D' F2 L'
D F U' B2 L F U'
R2 F U2 D F R F'
R2 F D U2 F R F'
R2 F D' L B' U2 R'
R2 F D' L' U2 F R
R2 F D' B L B' U2
R2 F B D' L B' U2
F D U' B2 L F U'
D' F2 R' B' U R' B
B' F R2 U2 D' R F'
B' F R2 D' U2 R F'
R2 B F D' L B' U2
R' B' L2 U R' B' L
R' B' U L2 R' B' L
R' B' U R' L2 B' L
F B' R2 U2 D' R F'
F B' R2 D' U2 R F'
