B' U F L U' L
F L' B' L U' B' L2
B' L2 U L2 F L U'
B L2 U' R' B' U B'
B' L2 U' B' U2 L' U'
B' L2 F2 U' R B' U
B' L2 F2 U' B' R U
B2 L2 B U' B2 R' U
B' R U F L U' L
D' R F B2 U' F2 B
D' R F B2 U' B F2
D' R F' D R2 B' L2
D' R F' D B' L2 R2
D' R F' D B' R2 L2
D' R B2 F U' F2 B
D' R B2 F U' B F2
B' R' U F L U' L
B R' U2 F U' L2 B2
B R' U2 F U' B2 L2
B R' D L2 F2 B' U
B R' D L2 B' F2 U
B' R2 U F L U' L
F2 R2 B R' U L2 B2
F2 R2 B R' U B2 L2
B' U D' F L B2 U'
B' U F L U' L D
B' U F L U' L D'
B' U F L U' L D2
B' U F L U' D L
B' U F L U' D' L
B' U F L U' D2 L
B' U F L D U' L
B' U F L D' U' L
B' U F L D2 U' L
B' U F D' L B2 U'
B' U F' L F2 U' L
B' U F2 L F' U' L
F U' B' L' D L' F2
F U' B' L2 U L' U'
F U' B' U L U' L
D' F R B2 U' F' B
D' F R B2 U' B F'
D2 F D B2 L' U' B
B D L2 R' F2 B' U
B D L2 R' B' F2 U
B D L2 F2 R' B' U
B D R' L2 F2 B' U
B D R' L2 B' F2 U
F D' R B2 U' F' B
F D' R B2 U' B F'
B' D' U F L B2 U'
B' D' F L B2 U' B2
B D' F B2 L R2 U'
B D' F B2 R2 L U'
B D' B2 R2 F L U'
B D' B2 F L R2 U'
B D' B2 F R2 L U'
L2 B R D' F2 R2 B
B2 F L U' L F B
B2 F L U' L B F
B' F L B U' B' L
B' F L B2 U' B2 L
B2 F U' L F L B
L' B' L F U' B' L2
B2 F U' B L F L
B F U2 R' U L2 B2
B F U2 R' U B2 L2
B' F D' L B2 U' B2
F B U2 R' U L2 B2
F B U2 R' U B2 L2
B F D' B2 L R2 U'
B F D' B2 R2 L U'
F B D' B2 L R2 U'
F B D' B2 R2 L U'
U' B' U F L U' L
B' F' L' D L' R2 F2
B' F' L' D L' F2 R2
B' F' L' D R2 L' F2
R' B' U F L U' L
F' B' L' D L' R2 F2
F' B' L' D L' F2 R2
F' B' L' D R2 L' F2
B' F' L2 U L' F2 U'
U2 B' U F L U' L
F' B' L2 U L' F2 U'
F2 B' L2 U L' F' U'
F B' L B U' B' L
R2 B' U F L U' L
F B' L B2 U' B2 L
U B' U F L U' L
R B' U F L U' L
B' F' U L F2 U' L
F' B' U L F2 U' L
B' F' U F2 L U' L
F2 B' U L F' U' L
F' B' U F2 L U' L
F2 B' U F' L U' L
F B' D' L B2 U' B2
B' F2 L2 U L' F' U'
F B2 L U' L F B
F B2 L U' L B F
B' F2 U L F' U' L
B' F2 U F' L U' L
D' B2 D' F L' U' B
F B2 U' L F L B
F B2 U' B L F L
