L' F' U R' U L'
B' L' D F' U2 L' F
B2 L' D F' U2 L' F'
B2 L' D' F' B2 U2 L'
B2 L' D' B2 F' U2 L'
D2 L' F' U R' U L'
D' L' F' U R' U L'
U2 L' F' U R' F' U
B' L' F' U2 D L' F
B2 L' F' U' L2 U' L
D L' F' U R' U L'
B' L' F' D U2 L' F
B2 L' F' U2 D L' F2
B2 L' F' D U2 L' F2
B2 L' F' D' B2 U2 L'
U2 R D' F2 R B L
F2 R' U' F U2 L' R2
F2 R' U' F U2 R2 L'
L' D F' U R' U L'
F' U D R' B U L'
L' D' F' U R' U L'
R D' F' L' F' R B
F' U2 L' F' R D' F2
L' D2 F' U R' U L'
L' F R F2 U R2 U
L' F R F2 U2 D' F2
L' F R F2 D B2 U2
L' F R F2 D' U2 F2
B' D L' F' U2 L' F2
F' D U R' B U L'
L2 F' L U R' U L2
L' F' R U R2 U L'
L' F' R U2 L' D' F2
L' F' R U2 D' L' F2
L' F' R D B2 U2 L'
L' F' R D' U2 L' F2
L F' L2 U R' U L
L' F' R2 U R U L'
L' F' U R' U L' D
L' F' U R' U L' D'
L' F' U R' U L' D2
L' F' U R' U D L'
L' F' U R' U D' L'
L' F' U R' U D2 L'
L' F' U R' D U L'
L' F' U R' D' U L'
L' F' U R' D2 U L'
L' F' U D R' U L'
L' F' U D' R' U L'
L' F' U D2 R' U L'
U2 F' U R' F' U R
L' F' U' B2 L U' L2
L' F' U2 L' U' R' U
L' F' D U R' U L'
L' F' D' U R' U L'
L' F' D2 U R' U L'
L' F' B' U2 D L' F
L' F' B' D U2 L' F
L' F' B2 U' L U' L2
L' F' B2 U2 L' D F2
L' B' D F' U2 L' F
L' B' F' U2 D L' F
L' B' F' D U2 L' F
L' B2 F' U' L U' L2
L' B2 F' U2 L' D F2
