U L F L D' B2 R'
F L2 U' L R B U
F L2 U' R L B U
U' L2 D B2 R' F' B
U' L2 D B2 R' B F'
U' L2 B2 D R' F' B
U' L2 B2 D R' B F'
F' R D' L' F B2 U'
F' R D' L' B2 F U'
F' R D' B2 L' F U'
F U L' R B' U L'
F U L' B' R U L'
F U R L' B' U L'
F U' L' R B U L'
F2 U' L2 D R F' B
F2 U' L2 D R B F'
F U' R L' B U L'
F U' R B L' U L'
F' D' L' R F B2 U'
F' D' L' R B2 F U'
F' D' L' B2 R F U'
F' D' R L' F B2 U'
F' D' R L' B2 F U'
F' D' R B2 L' F U'
F' D' B2 L' R F U'
F' D' B2 R L' F U'
D' B2 U L' F B' U2
D' B2 U L' B' F U2
