B2 L U R' U' F' R
F L' D' R' B U2 B
F' L' D' B2 L R F'
F' L' D' B2 R L F'
F' L' D' B2 R F' L
B2 R' U' L F' R F2
B2 R' U' F' L R F
B2 R' U' F' R L F
B2 R' U' F2 L F R
B2 R' F' U' L R F
B2 R' F' U' R L F
B2 U R' U' L F' R
B2 U R' U' F' L R
B2 U R' U' F' R L
B D R' B U L B'
L' F' D' B2 L R F'
L' F' D' B2 R L F'
L' F' D' B2 R F' L
L B D R' B U L
B2 F' R' U' L R2 F
B2 F' R' U' L F R2
B2 F' R' U' R2 L F
F' B2 R' U' L R2 F
F' B2 R' U' L F R2
F' B2 R' U' R2 L F
L B2 U L R' F' R
L B2 U R' L F' R
L B2 U R' F' L R
L B2 U R' F' R L
