B L D' B2 U2 B L
U L' B' U F U2 R
L2 U' L F R B U'
L D F' B' L' F' R'
L D F2 D2 B' L R'
L D F2 D2 B' R' L
L D B' R' F' L' F'
L D B' F' L' F' R'
L D' B2 U2 B L R'
L D' B2 U2 B R' L
L F D F2 B' L' R'
L F D F2 B' R' L'
L F D B' F2 L' R'
L F D B' F2 R' L'
L F B' D F2 L' R'
L F B' D F2 R' L'
L2 F' L' D F2 B' R'
L2 F' L' D B' R' F2
L2 F' L' D B' F2 R'
L2 F' L' B' R' D F2
L2 F' L' B' D R' F2
L2 F' L' B' D F2 R'
L F' D B' L' R' F2
L F' D B' L' F2 R'
L F' D B' R' L' F2
L F' B' R' D L' F2
L F' B' D L' R' F2
L F' B' D L' F2 R'
L F' B' D R' L' F2
L B' R' D F' L' F'
L B' R' F D F2 L'
L B' R' F' D L' F2
L B' D R' F' L' F'
L B' D F' L' F' R'
L B' F D F2 L' R'
L B' F D F2 R' L'
L B' F' R' D L' F2
L B' F' D L' R' F2
L B' F' D L' F2 R'
L B' F' D R' L' F2
