D' L U2 F2 B'
D' L U2 B' F2
D B2 U2 R' B
F L U L2 R2 U
F L U R2 L2 U
F L U2 D' F2 B2
F L U2 D' B2 F2
D' L U2 F2 D B'
D' L U2 F2 D' B'
D' L U2 F2 D2 B'
D' L U2 F2 B' D
D' L U2 F2 B' D'
D' L U2 F2 B' D2
D' L U2 B' F2 D
D' L U2 B' F2 D'
D' L U2 B' F2 D2
F L D F2 B2 U2
F L D B2 F2 U2
F L D' U2 F2 B2
F L D' U2 B2 F2
D' L D2 B2 U2 B
D' L F U2 F B'
D' L F U2 B' F
D' L F' U2 F' B'
D' L F' U2 B' F'
D' L B U2 F2 B2
D' L B U2 B2 F2
D' L B2 U2 F2 B
D' L B2 U2 B F2
D' L' F L2 B' U2
D' L2 U2 F2 R B
L2 D' L' F U2 F
L F U L' R2 U
L F U R2 L' U
D' F' L U2 F' B'
D' F' L U2 B' F'
D F B2 U2 R' B
D F' B2 U2 R' B
D F2 B2 U2 R' B
D B2 L U2 R' B
D B2 L' U2 R' B
D B2 L2 U2 R' B
D B2 U2 R' D B
D B2 U2 R' D' B
D B2 U2 R' D2 B
D B2 U2 R' B D
D B2 U2 R' B D'
D B2 U2 R' B D2
D B2 F U2 R' B
D B2 F' U2 R' B
D B2 F2 U2 R' B
D L R F' R' B2 U2
D L R F' B2 U2 L
D L R B2 F' U2 L
D L R B2 F' U2 L
D' L R' U2 F2 B' L'
D' L R' U2 B' F2 L'
D L R' B2 R U2 B'
F2 L U L' R2 U B'
D' L U R U F2 B'
D' L U R U B' F2
F L U L2 R2 U D
F L U L2 R2 U D'
F L U L2 R2 U D2
D' L U R' U F2 B'
D' L U R' U B' F2
F L U L2 R2 D U
F L U L2 R2 D' U
F L U L2 R2 D2 U
F L U L2 U D' F2
F' L U R2 U2 R' U'
F L U L2 D' U F2
D' L U R2 U F2 B'
D' L U R2 U B' F2
F2 L U R2 L' U B'
D' L U D R2 U B'
F L U R2 L2 U D
F L U R2 L2 U D'
F L U R2 L2 U D2
F L U R2 L2 D U
F L U R2 L2 D' U
F L U R2 L2 D2 U
F L U R2 U D' B2
F L U R2 D' U B2
F' L U' R U2 R U
D' L U' R U' F2 B'
D' L U' R U' B' F2
D' L U' R' U' F2 B'
D' L U' R' U' B' F2
D' L U' R2 U' F2 B'
D' L U' R2 U' B' F2
D2 L U' D L U' B'
F' L U' D' R U' F2
F' L U' D2 L2 R U'
F' L U' D2 R L2 U'
F L U' D2 L2 R2 U'
F L U' D2 R2 L2 U'
D' L U2 L' F2 L B'
D' L U2 R F2 R' B'
D' L U2 R' B' R F2
D' L U2 R2 F2 R2 B'
D' L U2 R2 F2 B' R2
D' L U2 R2 B' R2 F2
D' L U2 R2 B' F2 R2
D' L U2 D B' D' F2
D' L U2 D' B' D F2
D' L U2 F D F B'
D' L U2 F D B' F
D' L U2 F D' F B'
D' L U2 F D' B' F
D' L U2 F D2 F B'
D' L U2 F D2 B' F
D' L U2 F B' D F
D' L U2 F B' D' F
D' L U2 F B' D2 F
F L U2 D' F2 B2 D
F L U2 D' F2 B2 D'
D' L U2 F' D F' B'
F L U2 D' F2 B2 D2
D' L U2 F' D B' F'
D' L U2 F' D' F' B'
D' L U2 F' D' B' F'
D' L U2 F' D2 F' B'
D' L U2 F' D2 B' F'
F L U2 D' B2 F2 D
F L U2 D' B2 F2 D'
F L U2 D' B2 F2 D2
D' L U2 F' B' D F'
D' L U2 F' B' D' F'
D' L U2 F' B' D2 F'
D' L U2 F2 R' B' R
D' L U2 F2 R2 B' R2
D' L U2 F2 D B' D
D' L U2 F2 D B' D'
D' L U2 F2 D B' D2
D' L U2 F2 D' B' D
D' L U2 F2 D' B' D'
D' L U2 F2 D' B' D2
D' L U2 F2 D2 B' D
D' L U2 F2 D2 B' D'
D' L U2 F2 D2 B' D2
D' L U2 F2 B2 D B
D' L U2 F2 B2 D' B
D' L U2 F2 B2 D2 B
F L U2 F D' F2 B2
F L U2 F D' B2 F2
D' L U2 B' L' F2 L
D' L U2 B' L2 F2 L2
D' L U2 B' R F2 R'
D' L U2 B' R2 F2 R2
F L U2 F' D' F2 B2
F L U2 F' D' B2 F2
D' L U2 B' F D F
D' L U2 B' F D' F
D' L U2 B' F D2 F
D' L U2 B' F' D F'
D' L U2 B' F' D' F'
D' L U2 B' F' D2 F'
F L U2 F2 D' F2 B2
F L U2 F2 D' B2 F2
D' L U2 B2 F2 D B
D' L U2 B2 F2 D' B
D' L U2 B2 F2 D2 B
F L U2 B D' F2 B2
F L U2 B D' B2 F2
F L U2 B' D' F2 B2
F L U2 B' D' B2 F2
F L U2 B2 D' F2 B2
F L U2 B2 D' B2 F2
D' L D U R2 U B'
D2 L D U' L U' B'
D' L D U2 B' D' F2
F L D F2 U2 D2 F2
F' L D B2 U' R U'
F L D F2 D2 U2 F2
F L D F2 B2 U2 D
F L D F2 B2 U2 D'
F L D F2 B2 U2 D2
F L D F2 B2 D U2
F L D F2 B2 D' U2
F L D F2 B2 D2 U2
F L D B2 U2 D2 B2
F L D B2 D2 U2 B2
F L D B2 F2 U2 D
F L D B2 F2 U2 D'
F L D B2 F2 U2 D2
F L D B2 F2 D U2
F L D B2 F2 D' U2
F L D B2 F2 D2 U2
F' L D' U' R U' F2
D' L D' U2 B' D F2
F L D' U2 F2 B2 D
F L D' U2 F2 B2 D'
F L D' U2 F2 B2 D2
F L D' U2 B2 F2 D
F L D' U2 B2 F2 D'
F L D' U2 B2 F2 D2
F L D' F U2 F B2
F L D' F U2 B2 F
F L D' F' U2 F' B2
F L D' F' U2 B2 F'
F L D' B U2 F2 B
F L D' B U2 B F2
F L D' B' U2 F2 B'
F L D' B' U2 B' F2
F' L D2 U' L2 R U'
F' L D2 U' R L2 U'
D' L D2 F B2 U2 B
F L D2 U' L2 R2 U'
F L D2 U' R2 L2 U'
D' L D2 F' B2 U2 B
D' L D2 F2 B2 U2 B
D' L D2 B2 U2 D B
D' L D2 B2 U2 D' B
D' L D2 B2 U2 D2 B
D' L D2 B2 U2 B D
D' L D2 B2 U2 B D'
D' L D2 B2 U2 B D2
D' L D2 B2 D U2 B
D' L D2 B2 D' U2 B
D' L D2 B2 D2 U2 B
D' L D2 B2 F U2 B
D' L D2 B2 F' U2 B
D' L D2 B2 F2 U2 B
D' L F U2 D F B'
D' L F U2 D B' F
D' L F U2 D' F B'
D' L F U2 D' B' F
D' L F U2 D2 F B'
D' L F U2 D2 B' F
D' L F U2 F D B'
D' L F U2 F D' B'
D' L F U2 F D2 B'
D' L F U2 F B' D
D' L F U2 F B' D'
D' L F U2 F B' D2
D' L F U2 B' D F
D' L F U2 B' D' F
D' L F U2 B' D2 F
D' L F U2 B' F D
D' L F U2 B' F D'
