B2 L F R U' F'
B2 U' F R F' B
B2 U' F R B F'
L F R B2 U' F'
L F B2 R U' F'
L B2 F R U' F'
B2 L R F R U' F2
F L R F B2 U' F2
F L R B2 F U' F2
L R F R B2 U' F2
R L F R B2 U' F2
L R F B2 R U' F2
R L F B2 R U' F2
B2 L D' F L' R U'
B2 L D' F R L' U'
B2 L F L R U' F'
B2 L F L' R U' F'
B2 L F L2 R U' F'
B' L F R U' F' L'
B2 L F R L U' F'
B2 L F R L' U' F'
B2 L F R L2 U' F'
B2 L F R U' D F'
B2 L F R U' D' F'
B2 L F R U' D2 F'
B2 L F R U' F' D
B2 L F R U' F' D'
B2 L F R U' F' D2
B2 L F R D U' F'
B2 L F R D' U' F'
B2 L F R D2 U' F'
B L F B R U' F'
L R B2 F R U' F2
R L B2 F R U' F2
B L B F R U' F'
F L B2 R F U' F2
B2 R L F R U' F2
F R L F B2 U' F2
F R L B2 F U' F2
B2 R U' F R F2 B
B2 R U' F R B F2
F R F2 B2 U' F R
F R B2 L F U' F2
F R B2 U' F R F2
F R B2 F2 U' F R
B2 R' U B L F U2
B2 U' R F B R F2
B2 U' R B F R F2
B2 U' F R D F' B
B2 U' F R D B F'
B2 U' F R D' F' B
B2 U' F R D' B F'
B2 U' F R D2 F' B
B2 U' F R D2 B F'
B2 U' F R F' D B
B2 U' F R F' D' B
B2 U' F R F' D2 B
B2 U' F R F' B D
B2 U' F R F' B D'
B2 U' F R F' B D2
B2 U' F R B D F'
B2 U' F R B D' F'
B2 U' F R B D2 F'
B2 U' F R B F' D
B2 U' F R B F' D'
B2 U' F R B F' D2
B2 U' F B R F' B
B2 U' F B R B F'
B2 U' F B' R F' B
B2 U' F B' R B F'
B2 U' F B2 R F' B
B2 U' F B2 R B F'
B2 U' F2 R F' B R
B2 U' F2 R B F' R
B2 U' B F R F' B
B2 U' B F R B F'
B2 U' B' F R F' B
B2 U' B' F R B F'
B2 U' B2 F R F' B
B2 U' B2 F R B F'
B2 U2 R B L U F'
L F L R B2 U' F'
L F L B2 R U' F'
L F L' R B2 U' F'
U' F R D L2 F' B
U' F R D L2 B F'
U' F R D F' L2 B
U' F R D F' B L2
U' F R D B L2 F'
U' F R D B F' L2
U' F R F' D L2 B
U' F R F' D B L2
L F L' B2 R U' F'
L F L2 R B2 U' F'
L F L2 B2 R U' F'
L F R L B2 U' F'
L F R L' B2 U' F'
L F R L2 B2 U' F'
L F R U' D L2 F'
L F R U' D F' L2
L F R U' F' D L2
L F R D U' L2 F'
L F R D U' F' L2
L F R B2 L U' F'
L F R B2 L' U' F'
L F R B2 L2 U' F'
L F R B2 U' D F'
L F R B2 U' D' F'
L F R B2 U' D2 F'
L F R B2 U' F' D
L F R B2 U' F' D'
L F R B2 U' F' D2
L F R B2 D U' F'
L F R B2 D' U' F'
L F R B2 D2 U' F'
L F B' R B' U' F'
L F B2 L R U' F'
L F B2 L' R U' F'
L F B2 L2 R U' F'
L F B2 R L U' F'
L F B2 R L' U' F'
L F B2 R L2 U' F'
L F B2 R U' D F'
L F B2 R U' D' F'
L F B2 R U' D2 F'
L F B2 R U' F' D
L F B2 R U' F' D'
L F B2 R U' F' D2
L F B2 R D U' F'
L F B2 R D' U' F'
L F B2 R D2 U' F'
D2 F' L' F' B' U F2
D2 F' L' B' F' U F2
B' D B' L F R U'
B2 D' L F L' R U'
B2 D' L F R L' U'
F' D2 L' F2 B' U F'
F' D2 L' B' F2 U F'
F D2 F2 L' B' U F
B2 F L R F U' F2
B2 F R L F U' F2
B2 F R U' F R F2
B2 F R F2 U' F R
D B' L F R U' L
L B' F R B' U' F'
L2 B2 L' F R U' F'
R B2 L F R U' F2
F B2 L R F U' F2
L B2 R F R U' F2
F B2 R L F U' F2
F B2 R U' F R F2
F B2 R F2 U' F R
R B2 U' F R F2 B
R B2 U' F R B F2
L B2 D' F L' R U'
L B2 D' F R L' U'
L B2 F L R U' F'
L B2 F L' R U' F'
L B2 F L2 R U' F'
L B2 F R L U' F'
L B2 F R L' U' F'
L B2 F R L2 U' F'
L B2 F R U' D F'
L B2 F R U' D' F'
L B2 F R U' D2 F'
L B2 F R U' F' D
L B2 F R U' F' D'
L B2 F R U' F' D2
L B2 F R D U' F'
L B2 F R D' U' F'
L B2 F R D2 U' F'
