B R' U L2 D2 B2
B R' U' F2 U2 L2
B R' F U L2 B'
F2 U B R' U L2
B D2 R' U B2 L
B F R' U L2 B'
F B R' U L2 B'
B L R' U L D2 B2
B L R' U D2 L B2
B L R' U' F2 U2 L
B L R' D' L2 U L'
B L R' D2 U L B2
B L D' L2 R' U L'
B L D' R' L2 U L'
B L D2 R' U L B2
B' L D2 F2 U' L B2
B L' R' U L' D2 B2
B L' R' U D2 L' B2
B L' R' U D2 B2 L'
B L' R' U' F2 R U2
B L' R' D' L2 U L
B L' R' D2 U L' B2
B L' R' D2 U B2 L'
F2 L' U B R' U L'
B L' D' L2 R' U L
B L' D' R' L2 U L
B L' D2 R' U L' B2
B L' D2 R' U B2 L'
B L2 R' D' L2 U L2
F L2 U' B R' U B2
D' L2 D B R' U L2
B L2 D' L2 R' U L2
B L2 D' R' L2 U L2
F L2 B' U' B2 R' U
B R F R2 U L2 B'
B R F' R2 U L2 B
B R F' R2 U B L2
B R' L U L D2 B2
B R' L U D2 L B2
B R' L U' F2 U2 L
B R' L D' L2 U L'
B R' L D2 U L B2
B R' L' U L' D2 B2
B R' L' U D2 L' B2
B R' L' U D2 B2 L'
B R' L' U' F2 R U2
B R' L' D' L2 U L
B R' L' D2 U L' B2
B R' L' D2 U B2 L'
B R' L2 D' L2 U L2
B R' U L D2 L B2
B R' U L' D2 L' B2
B R' U L' D2 B2 L'
B R' U L2 U2 F2 U2
B R' U L2 D2 B2 D
B R' U L2 D2 B2 D'
B R' U L2 D2 B2 D2
B R' U L2 B D2 B2
B R' U L2 B' D2 B2
B R' U L2 B2 D2 B2
B R' U D2 B2 D2 L2
B R' U F L2 F' B'
B R' U F L2 B' F'
B R' U B L2 D2 B2
B R' U B' L2 D2 B2
B R' U B2 L2 D2 B2
B R' U' R F2 U2 L2
B R' U' R' F2 U2 L2
B R' U' R2 F2 U2 L2
L2 U' B R' U D2 B2
L2 U' B R' U' F2 U2
L2 U' B R' D' L2 U
L2 U' B R' D2 U B2
B R' U' D2 R2 U2 B2
B R' U' F U2 L2 B'
B R' U' F2 R U2 L2
B R' U' F2 R' U2 L2
B R' U' F2 R2 U2 L2
B R' U' F2 U2 L2 D
B R' U' F2 U2 L2 D'
B R' U' F2 U2 L2 D2
B R' U' F2 D2 R2 U2
L2 U' B D' L2 R' U
L2 U' B D' R' L2 U
L2 U' B D2 R' U B2
B R' D F2 U D B2
B R' D F2 U2 R2 U'
B R' D F2 D U B2
B R' D F2 D2 L2 U
B R' D' L2 U D L2
B R' D' L2 U2 B2 U'
B R' D' L2 D U L2
B R' D' L2 D2 F2 U
B R' D2 U B2 D2 L2
B R' D2 U' R2 U2 B2
B R' F L U L B'
B R' F U L2 D B'
B R' F U L2 D' B'
B R' F U L2 D2 B'
B R' F U L2 B' D
B R' F U L2 B' D'
B R' F U L2 B' D2
B R' F U B L2 B'
B R' F U B' L2 B'
B R' F U B2 L2 B'
B R' F U' F U2 L2
B R' F' U' F' U2 L2
B R' F2 U L2 D' B2
L2 U2 F2 U B R' U
B R2 D R F2 L' U
F2 U F B R' U L2
F2 U F' B R' U L2
L2 D' R D' F' R B2
L2 D' R D' F' B2 R
L2 D' R D' B2 F' R
F2 U F2 B R' U L2
F2 U B R' U L2 D
F2 U B R' U L2 D'
F2 U B R' U L2 D2
F2 U B R' D F2 U
F2 U B R' F U L2
F2 U B R' F' U L2
F2 U B R' F2 U L2
F2 U B D R' F2 U
F2 U B D F2 R' U
F2 U B F R' U L2
F2 U B F' R' U L2
F2 U B F2 R' U L2
F U B R' U L2 B'
B U' F2 U R' U L2
F U' B R' U L2 B'
F2 U2 L2 U' B R' U
F2 U2 B R' U B' L2
F U2 B R' U L2 B'
U' F B R' U L2 B'
B D R F2 L' R2 U
B D R F2 R2 L' U
U2 F B R' U L2 B'
B D R' F2 U2 R' U'
U F B R' U L2 B'
B D F2 R' U2 R' U'
B D F2 D R' U B2
B D F2 D2 L2 R' U
B D F2 D2 R' L2 U
B' D' L B2 R' U' R'
B D' L2 R' U D L2
B D' L2 R' U2 B2 U'
B D' L2 R' D U L2
B D' L2 R' D2 F2 U
B D' L2 U2 B2 L U'
B D' L2 D R' U L2
B D' L2 D2 R' F2 U
B D' L2 D2 F2 R' U
B D' R' L2 U D L2
B D' R' L2 U2 B2 U'
B D' R' L2 D U L2
B D' R' L2 D2 F2 U
B2 D' B' L2 R' F U
B2 D' B' L2 F R' U
B2 D' B' R' L2 F U
U' F2 U B R' U L2
U2 F2 U B R' U L2
U F2 U B R' U L2
B D2 L R' U B2 L
B D2 L' R' U B2 L
B D2 L2 R' U B2 L
B D2 R' L U B2 L
B D2 R' L' U B2 L
B D2 R' L2 U B2 L
B D2 R' U L B2 L
B D2 R' U L' B2 L
B D2 R' U L2 B2 L
B D2 R' U B2 L D
B D2 R' U B2 L D'
B D2 R' U B2 L D2
B D2 R' U B2 D L
B D2 R' U B2 D' L
B D2 R' U B2 D2 L
B D2 R' U' R' U2 B2
B D2 R' F U B2 L
B D2 R' F' U B2 L
B D2 R' F2 U B2 L
B D2 F R' U B2 L
U' B R' U L2 D2 B2
U' B R' U' F2 U2 L2
B D2 F' R' U B2 L
U' B R' F U L2 B'
L' B R' U L' D2 B2
L' B R' U D2 L' B2
L' B R' U D2 B2 L'
L' B R' U' F2 R U2
L' B R' D' L2 U L
L' B R' D2 U L' B2
L' B R' D2 U B2 L'
U2 B R' U L2 D2 B2
U2 B R' U' F2 U2 L2
B D2 F2 R' U B2 L
D B R F2 L' U F
L2 B R' D' L2 U L2
U2 B R' F U L2 B'
U B R' U L2 D2 B2
U B R' U' F2 U2 L2
U B R' F U L2 B'
B F L R' U L B'
F B L R' U L B'
L' B D' L2 R' U L
L' B D' R' L2 U L
U' B D2 R' U B2 L
L2 B D' L2 R' U L2
L2 B D' R' L2 U L2
L' B D2 R' U L' B2
L' B D2 R' U B2 L'
U' B F R' U L2 B'
