L' F2 U F R
B' L' F2 U F R
B2 L' F2 U F R
B L' F2 U F R
U2 L' F2 B' U F
U2 L' B' F2 U F
F2 U2 R U' F R
L' F2 R B U F
L' F2 U R F R
L' F2 U R' F R
L' F2 U R2 F R
L' F2 U D F R
L' F2 U D' F R
L' F2 U D2 F R
L' F2 U F R D
L' F2 U F R D'
L' F2 U F R D2
L' F2 U F D R
L' F2 U F D' R
L' F2 U F D2 R
L' F2 D U F R
L' F2 D' U F R
L' F2 D2 U F R
L' F2 B U F R
L' F2 B' U F R
L' F2 B2 U F R
L' B F2 U F R
L' B' F2 U F R
L' B2 F2 U F R
U L D' F' L2 B2 R'
L' R F2 B R' U F'
L' R B R' F2 U F
L' R B F2 R' U F'
D' L' U L' F R F2
D L' U F R F2 L'
D L' U' R2 B L U2
R L' F2 B R' U F'
R L' B R' F2 U F
D L' D' F2 U F R
U2 L' D' B' U L2 F'
U2 L' D' B' U F' L2
R L' B F2 R' U F'
D2 L' D2 F2 U F R
B' L' F2 R B U F
U2 L' F2 R B' U F
B' L' F2 U R F R
B' L' F2 U R' F R
B2 L' F2 R B U F
B' L' F2 U R2 F R
B' L' F2 U D F R
B' L' F2 U D' F R
B' L' F2 U D2 F R
B' L' F2 U F R D
B' L' F2 U F R D'
B' L' F2 U F R D2
B' L' F2 U F D R
B' L' F2 U F D' R
B' L' F2 U F D2 R
U2 L' F2 R' B' U F
B L' F2 R B U F
U2 L' F2 R2 B' U F
B2 L' F2 U R F R
B2 L' F2 U R' F R
B2 L' F2 U R2 F R
B2 L' F2 U D F R
B2 L' F2 U D' F R
B2 L' F2 U D2 F R
B2 L' F2 U F R D
B2 L' F2 U F R D'
B2 L' F2 U F R D2
B2 L' F2 U F D R
B2 L' F2 U F D' R
B2 L' F2 U F D2 R
B' L' F2 D U F R
B L' F2 U R F R
B L' F2 U R' F R
B L' F2 U R2 F R
B L' F2 U D F R
B L' F2 U D' F R
B L' F2 U D2 F R
B' L' F2 D' U F R
B L' F2 U F R D
B L' F2 U F R D'
B L' F2 U F R D2
B L' F2 U F D R
B L' F2 U F D' R
B L' F2 U F D2 R
B' L' F2 D2 U F R
B2 L' F2 D U F R
U2 L' F2 D B' U F
