F' R' U R B U L'
F' U F' U F L' R
F' U F' U F R L'
F' U2 L' U L F U'
F' B L U2 L2 D F2
B' F U R' D2 L2 B2
B' F U R' D2 B2 L2
B' F U' R F2 U2 R2
B' F U' F2 U2 L' R'
B' F U' F2 U2 R' L'
F2 B U' F L U2 L2
B F U' L R F2 U2
B F U' L F2 U2 L'
B F U' R L F2 U2
B F U' R F2 L U2
F B U' L R F2 U2
F B U' L F2 U2 L'
F B U' R L F2 U2
B F U' F2 L U2 L2
F B U' R F2 L U2
F B U' F2 L U2 L2
B F' L U2 L2 D F2
F2 B' U' F U2 L' R'
F2 B' U' F U2 R' L'
F B' U R' D2 L2 B2
F B' U R' D2 B2 L2
F B' U' R F2 U2 R2
F B' U' F2 U2 L' R'
F B' U' F2 U2 R' L'
B' F2 U' F U2 L' R'
B' F2 U' F U2 R' L'
B F2 U' F L U2 L2
