B2 U' D2 R' B
B2 D2 U' R' B
U L U' B2 U' B
U L U2 D B' L2
U L D U2 B' L2
U L D' R2 U2 B'
L U' B2 L' U' B
B2 U L U2 R' B'
B2 U L' F U2 R'
B2 U' L R' B' L'
B2 U' R' L B' L'
B2 U' D2 R' D B
B2 U' D2 R' D' B
B2 U' D2 R' D2 B
B2 U' D2 R' B D
B2 U' D2 R' B D'
B2 U' D2 R' B D2
B2 U2 L U R' B'
B2 D F' R U' R2
B2 D2 R U' R2 B
B2 D2 U' R' D B
B2 D2 U' R' D' B
B2 D2 U' R' D2 B
B2 D2 U' R' B D
B2 D2 U' R' B D'
B2 D2 U' R' B D2
B2 D2 F U' R' B
B2 D2 F' U' R' B
B2 D2 F2 U' R' B
B2 D2 F2 U' R' B
B' D2 B' U' R' B
B2 F U' D2 R' B
B2 F D2 U' R' B
B2 F' U' D2 R' B
B2 F' D2 U' R' B
R' B2 U' D2 R' B
R2 B2 U' D2 R' B
F' B2 U' D2 R' B
R' B2 D2 U' R' B
F2 B2 U' D2 R' B
B2 F2 U' D2 R' B
R B2 U' D2 R' B
R2 B2 D2 U' R' B
F B2 U' D2 R' B
F' B2 D2 U' R' B
B2 F2 D2 U' R' B
F2 B2 D2 U' R' B
R B2 D2 U' R' B
F B2 D2 U' R' B
U L R U' B2 U' B
U L R U2 D B' L2
U L R D U2 B' L2
U L R D' R2 U2 B'
U L R' U' B2 U' B
U L R' U2 D B' L2
U L R' D U2 B' L2
U L R' D' R2 U2 B'
R' L U' B2 L' U' B
R2 L U' B2 L' U' B
U L R2 U' B2 U' B
L R U' B2 L' U' B
U L R2 U2 D B' L2
U L R2 D U2 B' L2
U L R2 D' R2 U2 B'
R L U' B2 L' U' B
U L U D2 F2 U B'
U L U' R B2 U' B
U L U' R' B2 U' B
U L U' R2 B2 U' B
F' L U' B2 L' U' B
F2 L U' B2 L' U' B
F L U' B2 L' U' B
U L U' B2 U' D B
U L U' B2 U' D' B
U L U' B2 U' D2 B
U L U' B2 U' B D
U L U' B2 U' B D'
U L U' B2 U' B D2
U L U' B2 D U' B
U L U' B2 D' U' B
U L U' B2 D2 U' B
U L U2 L2 D L2 B'
U L U2 D B L2 B2
U L U2 D B' L2 D
U L U2 D B' L2 D'
U L U2 D B' L2 D2
U L U2 D B2 L2 B
U L U2 D' B' D2 L2
U L U2 D2 B' D' L2
U L U2 B' U B' U'
U L D R U2 B' L2
U L D R' U2 B' L2
U L D R2 U2 B' L2
U L D U2 B L2 B2
U L D U2 B' L2 D
U L D U2 B' L2 D'
U L D U2 B' L2 D2
U L D U2 B2 L2 B
U L D F U2 B' L2
U' L D B' L2 D2 R2
U L D F' U2 B' L2
U L D F2 U2 B' L2
U L D' R2 U2 D B'
U L D' R2 U2 D' B'
U L D' R2 U2 D2 B'
U L D' R2 U2 B' D
U L D' R2 U2 B' D'
U L D' R2 U2 B' D2
U L D' R2 D U2 B'
U L D' R2 D' U2 B'
U L D' R2 D2 U2 B'
U L D' R2 F U2 B'
U L D' R2 F' U2 B'
U L D' R2 F2 U2 B'
U L D' U2 B' D2 L2
U L D' F R2 U2 B'
U L D' F' R2 U2 B'
U L D' F2 R2 U2 B'
U L D2 U F2 U B'
U L D2 U2 B' D' L2
B2 L F U' R' F' B'
B2 L F U' R' B' F'
U L F U' B2 U' B
U L F U2 D B' L2
U L F D U2 B' L2
U L F D' R2 U2 B'
U L F' U' B2 U' B
U L F' U2 D B' L2
U L F' D U2 B' L2
U L F' D' R2 U2 B'
U L F2 U' B2 U' B
U L F2 U2 D B' L2
U L F2 D U2 B' L2
U L F2 D' R2 U2 B'
B L B L' U' R' B2
L R' U' B2 L' U' B
U' L' D L2 D R2 B'
U' L' D L2 D B' R2
U' L' D L2 B' D R2
U' L' D2 R2 D' L2 B'
U2 L' D2 F2 U R2 B
U L' F L2 U' B2 U'
U L' F L2 U2 D L2
U L' F L2 D U2 L2
U L' F L2 D' R2 U2
L R2 U' B2 L' U' B
D L2 D R' F2 B R
D L2 D R' B F2 R
U L2 D L' U2 B' L'
D L2 D R2 F2 R B
D L2 D F2 R' B R2
R' U L U' B2 U' B
R' U L U2 D B' L2
R' U L D U2 B' L2
U L2 D' L' R2 U2 B'
R' U L D' R2 U2 B'
U L2 D' R2 L' U2 B'
R2 U L U' B2 U' B
R2 U L U2 D B' L2
R2 U L D U2 B' L2
R2 U L D' R2 U2 B'
R U L U' B2 U' B
R U L U2 D B' L2
R U L D U2 B' L2
R U L D' R2 U2 B'
U R L U' B2 U' B
U R L U2 D B' L2
U R L D U2 B' L2
U R L D' R2 U2 B'
L U D2 F2 R U B'
