L B2 U' R B R'
U' L R F B2 U' B'
U' L R B2 F U' B'
U L U' D L2 B' R'
U L D U' L2 B' R'
U' L F R B2 U' B'
U' L F B2 R U' B
R' L B2 U' R B R'
L R B2 U' R B R'
R2 L B2 U' R B R'
R L B2 U' R B R'
F L B' R B' U' R2
U' L B2 R F U' B
U L B2 U F U2 R
F L B2 D' R F' U'
U' L B2 F R U' B
L R' B2 U' R B R'
D L2 U L' U' B' R'
D L2 U L' U' B' R'
L R2 B2 U' R B R'
U' R L F B2 U' B'
U' R L B2 F U' B'
L2 U B2 L' U' B' R'
F U' L R F B2 U'
F U' L R B2 F U'
F U' L B2 R F U'
B2 U' R B D' R' F2
B2 U' R B D' F2 R'
F U' R L F B2 U'
F U' R L B2 F U'
B2 U2 R' U R B R'
B2 U2 R' B L U R'
B2 U2 D' R' B L U
B2 U2 B L U R' F'
L F B' R B' U' R2
L F B2 D' R F' U'
B2 D' U2 R' B L U
L B' R2 B' U' R B
L B' F R B' U' R2
L2 B2 L' U' R B R'
L' B2 L2 U' R B R'
L B2 R U' R B R'
L B2 R' U' R B R'
L B2 R2 U' R B R'
L B2 U' R B R' D
L B2 U' R B R' D'
L B2 U' R B R' D2
L B2 U' R B D R'
L B2 U' R B D' R'
L B2 U' R B D2 R'
L B2 U' R2 B R' B
L2 B2 D L' F R U'
L B2 U' B R B R2
L B2 U2 B L U R'
L B2 D' F R F' U'
L B2 F D' R F' U'
