B2 U2 L B' U
L' R' F L B2 U'
R' L' F L B2 U'
B2 R U2 L B' U
D2 R F' R2 B U'
B2 R' U2 L B' U
D2 R' U2 F2 B U
D2 R' U2 B F2 U
D R' F' U' L2 R
D R' F' U' R L2
B2 R2 U2 L B' U
R' D F' U' L2 R
R' D F' U' R L2
B2 U2 L D B' U
B2 U2 L D' B' U
B2 U2 L D' B' U
B2 U2 L D2 B' U
B2 U2 L B' U D
B2 U2 L B' U D
B2 U2 L B' U D'
B2 U2 L B' U D2
B2 U2 L B' D U
B2 U2 L B' D' U
B2 U2 L B' D2 U
L' F L R' B2 U'
L' F R' L B2 U'
D F' R' U' L2 R2
D F' R' U' R2 L2
R' B D' B U' R'
B2 F U2 L B' U
B2 F' U2 L B' U
R' B2 L' F L U'
R' B2 D F' U' R
F' B2 U2 L B' U
F2 B2 U2 L B' U
B2 F2 U2 L B' U
R2 B2 D2 R F' U'
F B2 U2 L B' U
L' R F L R2 B2 U'
L' R F L B2 R2 U'
L' R F R2 L B2 U'
R' L B2 L' U2 B U
L R B2 L' R2 F' U'
R L B2 L' R2 F' U'
L R B2 R2 L' F' U'
R L B2 R2 L' F' U'
B2 L B' U2 L' B U'
B2 L B' U2 B L' U'
R' L' D F L U' L
L' R' D F L U' L
F' L' R' F L B2 U'
F2 L' R' F L B2 U'
U' L' R' F B2 U' F'
F L' R' F L B2 U'
U' L' R' B2 F U' F'
U' L' U R' F B2 U'
U' L' U R' B2 F U'
U' L' U F R' B2 U'
R' L' F L U' D L2
R' L' F L D U' L2
R' L' F L B2 U' D
R' L' F L B2 U' D'
R' L' F L B2 U' D2
R' L' F L B2 D U'
R' L' F L B2 D' U'
R' L' F L B2 D2 U'
L' R' F L U' D L2
L' R' F L D U' L2
L' R' F L B2 U' D
L' R' F L B2 U' D'
L' R' F L B2 U' D2
L' R' F L B2 D U'
L' R' F L B2 D' U'
L' R' F L B2 D2 U'
R' L' F L' B2 L2 U'
L' R' F L' B2 L2 U'
R' L' F L2 B2 L' U'
L' R' F L2 B2 L' U'
R L' F L R2 B2 U'
R L' F L B2 R2 U'
R' L' F D L U' L
L' R' F D L U' L
R L' F R2 L B2 U'
U L' U' R' F B2 U'
U L' U' R' B2 F U'
R' L' F B2 U2 R' U
L' R' F B2 U2 R' U
R' L' F' L F2 B2 U'
R' L' F' L B2 F2 U'
L' R' F' L F2 B2 U'
L' R' F' L B2 F2 U'
U L' U' F R' B2 U'
U2 L' U2 R' F B2 U'
U2 L' U2 R' B2 F U'
U2 L' U2 F R' B2 U'
R' L' F2 L F' B2 U'
R' L' F2 L B2 F' U'
L' R' F2 L F' B2 U'
L' R' F2 L B2 F' U'
B2 L' D' F L U' B2
B2 L' D2 R2 F L U'
B2 L' D2 F L R2 U'
B2 L' D2 F R2 L U'
F' L' F L R' B2 U'
F2 L' F L R' B2 U'
L2 R' B2 L F L U'
B2 L' F L U2 L U
L R' B2 L' U2 B U
F' L' F R' L B2 U'
F L' F L R' B2 U'
F2 L' F R' L B2 U'
F L' F R' L B2 U'
R' L' B2 F U2 R' U
L' R' B2 F U2 R' U
B2 L' F D' L U' B2
B2 L' F D2 L R2 U'
B2 L' F D2 R2 L U'
U2 L2 U2 R' F' B2 U'
U2 L2 U2 R' B2 F' U'
R' L2 B2 L F L U'
R' U L' U' F B2 U'
R' U L' U' B2 F U'
D L2 F' R D F2 B2
D L2 F' R D B2 F2
L' U R' F L B2 U'
L' U F L R' B2 U'
L' U F R' L B2 U'
B2 R U2 L D B' U
B2 R U2 L D' B' U
B2 R U2 L D2 B' U
B2 R U2 L B' U D
B2 R U2 L B' U D'
B2 R U2 L B' U D2
