F2 U R' F' R U
F2 U2 D' F' L' F
F2 D R U2 F' L'
F2 D R' B U2 L
F2 D B' R' B U2
F2 D' U2 F' L' F
F2 B' D R' B U2
B' F2 D R' B U2
U L U' F2 U2 F' L'
U L' U' F2 B' R' U2
U L' U' B' R' F2 U2
U L' U' B' F2 R' U2
U L' U' B' F2 R' U2
F2 L' D' L B' R' U2
F2 R U R' F' R U
U' R U F2 B U2 L
U' R U B F2 U2 L
F' R U' L' B' R' U'
F2 R U2 D' F' L' F
U' R D R2 U' F' L'
F2 R D R U2 F' L'
F2 R D R' B U2 L
F2 R D B' R' B U2
F2 R D' U2 F' L' F
F2 R B' D R' B U2
F2 R' U R' F' R U
U' R' U' D2 F' L' B2
U' R' U' D2 F' B2 L'
U' R' U' D2 B2 F' L'
D R' U' R' U' F' L'
F2 R' U2 D' F' L' F
F2 R' D R U2 F' L'
F2 R' D R' B U2 L
F2 R' D B' R' B U2
F2 R' D' U2 F' L' F
U' R' D2 U' F' L' B2
U' R' D2 U' F' B2 L'
U' R' D2 U' B2 F' L'
F2 R' B' D R' B U2
F2 R2 U R' F' R U
F' R2 U' L' B' U' B2
F2 R2 U2 D' F' L' F
F2 R2 D R U2 F' L'
F2 R2 D R' B U2 L
F2 R2 D B' R' B U2
F2 R2 D' U2 F' L' F
F R2 F U R' F' U
B' R2 F2 U2 D' L' F
B' R2 F2 D' U2 L' F
F' R2 B L D F2 R
F2 R2 B' D R' B U2
D' U L2 U F' L' F
F2 U R' F' R U D
F2 U R' F' R U D'
F2 U R' F' R U D2
F2 U R' F' R D U
F2 U R' F' R D' U
F2 U R' F' R D2 U
F2 U R' F' D R U
F2 U R' F' D' R U
F2 U R' F' D2 R U
F2 U R2 F' R F' U
B U D' L2 U L' F
F2 U F U2 L' B' U'
F2 U F' R U2 B U'
F2 U F' R' F' R2 U
U D' L2 U F' L' F
F' U' L' R2 B' U' B2
D2 U' R' U' F' L' B2
D2 U' R' U' F' B2 L'
D2 U' R' U' B2 F' L'
F2 U' L' D2 B' L U'
F' U' L' B' R2 U' B
F' U' L' B' U F' U2
F' U' R2 L' B' U' B2
F2 U' D' L' B' U' F
F2 U' D2 L' B' L U'
F2 U' F L' F' B' U'
F2 U' F L' B' F' U'
U' D2 R' U' F' L' B2
U' D2 R' U' F' B2 L'
U' D2 R' U' B2 F' L'
F2 U2 L D' F' L' F
F2 U2 L' D' F' L' F
F2 U2 L2 D' F' L' F
D2 U2 F' B2 D L' F
U2 D2 F' B2 D L' F
F2 U2 R' D R F' L'
D2 U2 B2 D F' L' F
F2 U2 D R F' L' R'
F2 U2 D R F' R' L'
D2 U2 B2 F' D L' F
F2 U2 D F' D2 L' F
U2 D2 B2 D F' L' F
F2 U2 D' L' F' L' F2
U2 D2 B2 F' D L' F
F2 U2 D' F' L' D F
F2 U2 D' F' L' D' F
F2 U2 D' F' L' D2 F
F2 U2 D' F' L' F D
F2 U2 D' F' L' F D'
F2 U2 D' F' L' F D2
F2 U2 D' F2 L' F L'
F2 U2 D2 F' D L' F
F2 U2 F L D F2 L'
F2 U2 F' L' U' R U
F2 U2 F' U' R U L'
F2 D R U2 L F' L'
F2 D R U2 L' F' L'
F2 D R U2 L2 F' L'
F2 D R U2 D F' L'
F2 D R U2 D' F' L'
F2 D R U2 D2 F' L'
F2 D R U2 F' L' D
F2 D R U2 F' L' D'
