F2 U B' U' R' U
F2 U2 R' U' F' B'
F2 U2 R' U' B' F'
L F2 L' U F' B'
L F2 L' U B' F'
U B' U' R' F2 U
U B' U' F2 R' U
B' L U' F2 B U F'
B' L U' B F2 U F'
F2 L U2 R U' F B
F2 L U2 R U' B F
B2 L D' F L2 B R2
B2 L D' F B L2 R2
B2 L D' F B R2 L2
B2 L D' B R2 F L2
B2 L D' B F L2 R2
B2 L D' B F R2 L2
R' L F2 L' U F' B'
R' L F2 L' U B' F'
R2 L F2 L' U F' B'
L R F2 L' U F' B'
R2 L F2 L' U B' F'
L R F2 L' U B' F'
R L F2 L' U F' B'
R L F2 L' U B' F'
B' L F U' F B U
B' L F U' B F U
F' L F' L' U F2 B'
F' L F' L' U B' F2
B' L F2 B U F' B'
B' L F2 B U B' F'
B2 L F2 B2 U F' B'
B2 L F2 B2 U B' F'
B' L B F2 U F' B'
B' L B F2 U B' F'
B2 L B2 F2 U F' B'
B2 L B2 F2 U B' F'
L R' F2 L' U F' B'
L R' F2 L' U B' F'
B2 L' D' L2 F B R2
B2 L' D' L2 B R2 F
B2 L' D' L2 B F R2
L R2 F2 L' U F' B'
L R2 F2 L' U B' F'
F2 R U B' U' R' U
F2 R U2 R' U' F' B'
F2 R U2 R' U' B' F'
R' U B' U' R' F2 U
R' U B' U' F2 R' U
R2 U B' U' R' F2 U
R2 U B' U' F2 R' U
R U B' U' R' F2 U
R U B' U' F2 R' U
U R F2 U R' F' B'
U R F2 U R' B' F'
F2 R' U B' U' R' U
U2 R' U' D' F' B' L2
U2 R' U' D' B' L2 F'
U2 R' U' D' B' F' L2
U2 R' U' B' D' L2 F'
U2 R' U' B' D' F' L2
F2 R' U2 R' U' F' B'
F2 R' U2 R' U' B' F'
U2 R' U2 F2 U F B'
U2 R' U2 F2 U B' F
U2 R' D' U' F' B' L2
U2 R' D' U' B' L2 F'
U2 R' D' U' B' F' L2
U2 R' D2 B2 U' F' B
U2 R' D2 B2 U' B F'
U R' B' R D' L2 F2
U R' B' R D' F2 L2
F2 R2 U B' U' R' U
F2 R2 U2 R' U' F' B'
F2 R2 U2 R' U' B' F'
F2 U R' B' R D' F2
F2 U D B' U' R' U
F2 U D' B' U' R' U
F2 U D2 B' U' R' U
F2 U F B' U' R' U
D' U B' L2 U' R' U
D' U B' U' R' U L2
F2 U F' B' U' R' U
F2 U F2 B' U' R' U
F2 U B U L U' B2
B U F2 B' R' U B'
F' U B' U' F' R' U
F2 U B' R D' R' F2
F2 U B' R D' F2 R'
F2 U B' U' R' U D
F2 U B' U' R' U D'
F2 U B' U' R' U D2
F2 U B' U' R' D U
F2 U B' U' R' D' U
F2 U B' U' R' D2 U
F2 U B' U' D R' U
F2 U B' U' D' R' U
F2 U B' U' D2 R' U
F2 U B' D U' R' U
F2 U B' D' U' R' U
F2 U B' D2 U' R' U
F2 U B' F U' R' U
F2 U B' F' U' R' U
B U B' R' F2 U B'
F2 U B' F2 U' R' U
F U B' U' R' F U
F U B' U' F R' U
B U B' F2 R' U B'
U2 D' R' U' F' B' L2
U2 D' R' U' B' L2 F'
U2 D' R' U' B' F' L2
U D' B' L2 U' R' U
F2 U' F U R U B'
B' U' F B R F U
U D' B' U' R' U L2
B' U' F2 D2 B R' U
B' U' B F R F U
D' U2 R' U' F' B' L2
D' U2 R' U' B' L2 F'
D' U2 R' U' B' F' L2
D2 U2 R' B2 U' F' B
D2 U2 R' B2 U' B F'
U2 D2 R' B2 U' F' B
U2 D2 R' B2 U' B F'
F2 U2 R U B U2 B2
F2 U2 R U' B' D2 F2
F2 U2 R' U' D F' B'
F2 U2 R' U' D B' F'
F2 U2 R' U' D' F' B'
F2 U2 R' U' D' B' F'
F2 U2 R' U' D2 F' B'
F2 U2 R' U' D2 B' F'
F2 U2 R' U' F' D B'
F2 U2 R' U' F' D' B'
F2 U2 R' U' F' D2 B'
F2 U2 R' U' F' B' D
F2 U2 R' U' F' B' D'
F2 U2 R' U' F' B' D2
F2 U2 R' U' B' D F'
F2 U2 R' U' B' D' F'
F2 U2 R' U' B' D2 F'
F2 U2 R' U' B' F' D
F2 U2 R' U' B' F' D'
F2 U2 R' U' B' F' D2
F2 U2 R' D U' F' B'
F2 U2 R' D U' B' F'
F2 U2 R' D' U' F' B'
F2 U2 R' D' U' B' F'
F2 U2 R' D2 U' F' B'
F2 U2 R' D2 U' B' F'
F2 U2 D R' U' F' B'
F2 U2 D R' U' B' F'
F2 U2 D' R' U' F' B'
F2 U2 D' R' U' B' F'
F2 U2 D2 R' U' F' B'
F2 U2 D2 R' U' B' F'
U' F U R F U B'
F2 D U B' U' R' U
U F B' U' R' F U
U F B' U' F R' U
F2 D U2 R' U' F' B'
F2 D U2 R' U' B' F'
L F' L' F' U F' B'
L F' L' F' U B' F'
B2 D' L F L B R2
F2 D' U B' U' R' U
U F' B' U' F' R' U
L2 F2 L U' F' B' U2
L2 F2 L U' B' F' U2
F2 D' U2 R' U' F' B'
F2 D' U2 R' U' B' F'
L2 F2 L' R2 U F B
L2 F2 L' R2 U B F
L2 F2 L' U F D2 B2
L2 F2 L' U' F' U2 F2
L F2 L U F' D2 B2
L F2 L U' F U2 F2
L F2 L' U D F' B'
L F2 L' U D B' F'
