F L R F2 B2 U
F L R B2 F2 U
U L F' B2 U F2
F' L B2 U D F2
F' L B2 U2 L2 U'
F' L B2 D U F2
F L B2 R F2 U
F' L B2 D2 R2 U
U L B2 F' U F2
F' L2 B2 L' R' U
F' L2 B2 L' R' U
F' L2 B2 R' L' U
F R L F2 B2 U
F R L B2 F2 U
F R F2 L B2 U
L F R F2 B2 U
L F R B2 F2 U
L' F' L2 B2 R' U
L F B2 R F2 U
U F' L B2 U F
L F' B2 U2 L' U'
B2 F' U2 L' R' U'
B2 F' U2 R' L' U'
F' B2 U2 L' R' U'
F' B2 U2 R' L' U'
L B2 F R F2 U
L B2 F' U2 L' U'
F L R U D' L2 R2
F L R U D' R2 L2
F L R D' U L2 R2
F L R D' U R2 L2
F L R F2 U D' R2
F L R F2 D' U R2
F' L R B2 U D F2
F L R F2 B2 U D
F L R F2 B2 U D'
F L R F2 B2 U D2
F L R F2 B2 D U
F L R F2 B2 D' U
F L R F2 B2 D2 U
F' L R B2 U2 L2 U'
F' L R B2 D U F2
F' L R B2 D2 R2 U
F L R B2 U D' L2
F L R B2 D' U L2
F L R B2 F2 U D
F L R B2 F2 U D'
F L R B2 F2 U D2
F L R B2 F2 D U
F L R B2 F2 D' U
F L R B2 F2 D2 U
F L R' F2 R2 B2 U
F' L R' B2 U D F2
F' L R' B2 U2 L2 U'
F L R' F2 B2 R2 U
F' L R' B2 D U F2
F' L R' B2 D2 R2 U
F L R' B2 R2 F2 U
F L R' B2 F2 R2 U
F L R2 F2 R' B2 U
F' L R2 B2 U D F2
F' L R2 B2 U2 L2 U'
F' L R2 B2 D U F2
F' L R2 B2 D2 R2 U
F' L U D F2 D2 R2
F' L U D' R2 D2 F2
U L U F D' L2 R2
U L U F D' R2 L2
F' L U' D L2 U2 F2
F' L U' D' B2 U2 R2
F' L U2 L2 U' D' R2
F' L U2 L2 U2 B2 U
F' L U2 L2 D' U' R2
F' L U2 L2 D2 F2 U'
F' L D U F2 D2 R2
F' L D U' L2 U2 F2
R' L F R F' B2 U
R' L F R B2 F' U
R' L F B2 R F' U
F L D' R U L2 R
F L D' R U R L2
F' L D' U R2 D2 F2
F' L D' U' B2 U2 R2
F' L D' B U R2 F'
U L D' F' U R2 F2
U L D' F' U F2 R2
F' L D2 R2 U D R2
F' L D2 R2 U2 F2 U'
F' L D2 R2 D U R2
F' L D2 R2 D2 B2 U
U' L F' R' B2 U F'
D2 L F' U2 L' F' U'
D' L F' U2 L' U' R2
U L F' R B2 U F2
U L F' R' B2 U F2
B2 L F' U2 L' R' U'
B2 L F' U2 R' L' U'
U L F' R2 B2 U F2
U L F' U F2 D' R2
U2 L F' B' R' B' U
U' L F' B2 R' U F'
U L F' B2 R U F2
U L F' B2 R' U F2
U L F' B2 R2 U F2
U L F' B2 U F2 D
U L F' B2 U F2 D'
U L F' B2 U F2 D2
U L F' B2 D R2 U
F L F2 B2 U2 L' U'
R' L B2 F R F' U
F' L B D B U F2
F' L B D2 B R2 U
F L B' R F2 B' U
F L B' R B' F2 U
F' L B' U2 L2 F U'
F' L B' D B' U F2
