F' L' D' F2 B'
F' L' D' B' F2
F' L' D' B' F2
F' L' B' D' F2
D' F' L' F' B'
D' F' L' B' F'
F' D' L' F2 B'
F' D' L' B' F2
F' D' L' B' F2
F D' F2 L' B'
F' L' U' R2 U B'
F' L' D' F2 D B'
F' L' D' F2 D' B'
F' L' D' F2 D2 B'
F' L' D' F2 B' D
F' L' D' F2 B' D'
F' L' D' F2 B' D2
F' L' D' B' F2 D
F' L' D' B' F2 D'
F' L' D' B' F2 D2
F L' D' F2 B' L'
F L' D' B' F2 L'
F' L' D2 B' D F2
F' L' F D' F2 B'
F' L' F D' B' F2
F' L' F B' D' F2
F' L' F' D' F2 B'
F' L' F' D' B' F2
F' L' F' B' D' F2
D' L' F' B' L' F'
F' L' F2 D' F2 B'
F' L' F2 D' B' F2
F' L' F2 B' D' F2
D' L' F2 D2 B' L
F' L' B' U' R2 U
F' L' B' D' F2 D
F' L' B' D' F2 D'
F' L' B' D' F2 D2
F' L' B' F D' F2
F' L' B' F' D' F2
F' L' B' F2 D' F2
D' L' B' F' L' F'
F L' B' D' F2 L'
F' L' B2 D' F2 B
F' L' B2 D' B F2
U' R' F' L' R' U
U' R' F' R' L' U
L' D' F' B' L' F'
L' D' F2 D2 B' L
L' D' B' F' L' F'
F' U' R2 U L' B'
L' F D' F2 B' L'
L' F D' B' F2 L'
F' D L' D2 F2 B'
F' D L' D2 B' F2
D2 F D F2 L' B'
L' F B' D' F2 L'
D F D2 F2 L' B'
D' F' L' D F' B'
D' F' L' D B' F'
D' F' L' D' F' B'
D' F' L' D' B' F'
D' F' L' D2 F' B'
D' F' L' D2 B' F'
D' F' L' F' D B'
D' F' L' F' D' B'
D' F' L' F' D2 B'
D' F' L' F' B' D
D' F' L' F' B' D'
D' F' L' F' B' D2
D' F' L' B' D F'
D' F' L' B' D' F'
D' F' L' B' D2 F'
D' F' L' B' F' D
D' F' L' B' F' D'
D' F' L' B' F' D2
D' F' L2 F' L B'
D F' L' D2 F2 B'
D F' L' D2 B' F2
L' F' D' B' L' F2
F' D' L' F2 D B'
F' D' L' F2 D' B'
F' D' L' F2 D2 B'
F' D' L' F2 B' D
F' D' L' F2 B' D'
F' D' L' F2 B' D2
F' D' L' B' F2 D
F' D' L' B' F2 D'
F' D' L' B' F2 D2
D2 F' D L' F2 B'
D2 F' D L' B' F2
D2 F' D L' B' F2
D' F' D L' F' B'
D' F' D L' B' F'
F' D' L2 F2 L B'
L' F' B' L' D' F2
D' F' D' L' F' B'
D' F' D' L' B' F'
L' F' B' D' L' F2
D' F' D2 L' F' B'
D' F' D2 L' B' F'
F D' L' F2 B' L'
F D' L' B' F2 L'
D' F' B L' F' B'
D' F' B L' B' F'
D F' D2 L' F2 B'
D F' D2 L' B' F2
D' F' B' L' F' B'
D' F' B' L' B' F'
D' F' B2 L' F' B'
D' F' B2 L' B' F'
D' F2 L' D2 B' L
B' D' F' L' F' B'
B' D' F' L' B' F'
B2 D' F' L' F' B'
B2 D' F' L' B' F'
F' D' B L' F2 B'
F' D' B L' B' F2
B D' F' L' F' B'
B D' F' L' B' F'
F' D' B' L' F2 B'
F' D' B' L' B' F2
F' D' B2 L' F2 B'
F' D' B2 L' B' F2
F D' F2 L' D B'
F D' F2 L' D' B'
F D' F2 L' D2 B'
F D' F2 L' B' D
F D' F2 L' B' D'
F D' F2 L' B' D2
F D' F2 D L' B'
F D' F2 D' L' B'
F D' F2 D2 L' B'
F D' F2 B L' B'
F D' F2 B' L' B'
F D' F2 B2 L' B'
F D' B F2 L' B'
F D' B' F2 L' B'
F D' B' F2 L' B'
F D' B2 F2 L' B'
D' F2 D2 L' B' L
F' B L' D' F2 B'
F' B L' D' B' F2
F' B L' B' D' F2
D' B F' L' F' B'
D' B F' L' B' F'
F' B D' L' F2 B'
F' B D' L' B' F2
B' F D' F2 L' B'
B2 F D' F2 L' B'
B F D' F2 L' B'
F' B' L' D' F2 B'
F' B' L' D' B' F2
F B D' F2 L' B'
F' B' L' B' D' F2
B' F' L' D' F2 B'
B' F' L' D' B' F2
B' F' L' B' D' F2
B2 F' L' D' F2 B'
B2 F' L' D' B' F2
B2 F' L' B' D' F2
L' B' D' F' L' F'
B F' L' D' F2 B'
B F' L' D' B' F2
B F' L' B' D' F2
L' B' F D' F2 L'
L' B' F' L' D' F2
L' B' F' D' L' F2
D' B' F' L' F' B'
D' B' F' L' B' F'
F' B' D' L' F2 B'
F' B' D' L' B' F2
B' F' D' L' F2 B'
B' F' D' L' B' F2
B2 F' D' L' F2 B'
B2 F' D' L' B' F2
B F' D' L' F2 B'
B F' D' L' B' F2
F B' D' F2 L' B'
F' B2 L' D' F2 B'
F' B2 L' D' B' F2
F' B2 L' B' D' F2
F' B2 D' L' F2 B'
F' B2 D' L' B' F2
D' B2 F' L' F' B'
D' B2 F' L' B' F'
F B2 D' F2 L' B'
U' L R' F' L' R' U
U' L R' F' R' L' U
F' L R2 U L2 R2 B'
F' L R2 U L2 B' R2
F' L R2 U R2 L2 B'
F' L U' R2 U L2 B'
F L D' L' F2 L' B'
F L D' L2 F2 B' L'
F L D' L2 B' F2 L'
U2 L D' F2 R B L
U L D2 L2 B' R' U'
D' L F R U2 R' F
D' L F R U2 F R'
D L F R B2 L U2
U L F R2 B L U
D L F B2 R U2 R'
D' L F' L' D2 F' B2
D' L F' L' D2 B2 F'
D L F' L' D2 F2 B2
D L F' L' D2 B2 F2
D' L F' D2 L' F' B2
D' L F' D2 L' B2 F'
D' L F' D2 B2 L' F'
D L F' D2 L' F2 B2
D L F' D2 L' B2 F2
D L F' D2 B2 L' F2
D' L F2 U2 F' R U2
F' L B L2 D' F2 B'
F' L B L2 D' B' F2
F' L B L2 B' D' F2
F' L B' L2 D' F2 B'
F' L B' L2 D' B' F2
F' L B' L2 B' D' F2
F' L B2 L2 D' F2 B'
F' L B2 L2 D' B' F2
F' L B2 L2 B' D' F2
D L B2 F R U2 R'
U' L' R' F' L' R' U
U' L' R' F' R' L' U
F' L' R' B' D' R F'
F' L' R2 B' R2 D' F2
F' L' U' R2 U D B'
F' L' U' R2 U D' B'
F' L' U' R2 U D2 B'
F' L' U' R2 U B' D
F' L' U' R2 U B' D'
F' L' U' R2 U B' D2
F' L' U' R2 D U B'
F' L' U' R2 D' U B'
F' L' U' R2 D2 U B'
F' L' U2 D B2 U2 B
R2 L' F' U R2 B' L'
R2 L' F' U B' L' R2
R2 L' F' U B' R2 L'
F' L' D U2 B2 U2 B
F' L' D F D2 F2 B'
F' L' D F D2 B' F2
F' L' D F' D2 F2 B'
F' L' D F' D2 B' F2
F' L' D F2 D2 F2 B'
F' L' D F2 D2 B' F2
F' L' D B' L2 F L2
F' L' D B' U2 B' U2
F' L' D' L' F2 L B'
F' L' D' R F2 R' B'
F' L' D' R' B' R F2
F L' D' L F2 L' B'
F' L' D' R2 F2 R2 B'
F' L' D' R2 F2 B' R2
F' L' D' R2 B' R2 F2
F' L' D' R2 B' F2 R2
F' L' D' F D F B'
F' L' D' F D B' F
F' L' D' F D' F B'
F' L' D' F D' B' F
F' L' D' F D2 F B'
F' L' D' F D2 B' F
F' L' D' F B' D F
F' L' D' F B' D' F
F' L' D' F B' D2 F
F' L' D' F' D F' B'
F' L' D' F' D B' F'
F' L' D' F' D' F' B'
F' L' D' F' D' B' F'
F' L' D' F' D2 F' B'
F' L' D' F' D2 B' F'
F' L' D' F' B' D F'
F' L' D' F' B' D' F'
F' L' D' F' B' D2 F'
F' L' D' F2 R' B' R
F' L' D' F2 R2 B' R2
F' L' D' F2 D B' D
F' L' D' F2 D B' D'
F' L' D' F2 D B' D2
F' L' D' F2 D' B' D
F' L' D' F2 D' B' D'
F' L' D' F2 D' B' D2
F' L' D' F2 D2 B' D
F' L' D' F2 D2 B' D'
F' L' D' F2 D2 B' D2
F' L' D' F2 B2 D B
F' L' D' F2 B2 D' B
F' L' D' F2 B2 D2 B
B' L' D' F' B' L' F'
B' L' D' F2 D2 B' L
F' L' D' B' L' F2 L
F' L' D' B' L2 F2 L2
F' L' D' B' R F2 R'
F' L' D' B' R2 F2 R2
F2 L' D' F2 D' B' L
F' L' D' B' F D F
F' L' D' B' F D' F
F' L' D' B' F D2 F
F' L' D' B' F' D F'
F' L' D' B' F' D' F'
F' L' D' B' F' D2 F'
B2 L' D' F' B' L' F'
B2 L' D' F2 D2 B' L
F' L' D' B2 F2 D B
F' L' D' B2 F2 D' B
F' L' D' B2 F2 D2 B
B' L' D' B' F' L' F'
B L' D' F' B' L' F'
B L' D' F2 D2 B' L
F L' D' F2 D B' L'
F L' D' F2 D' B' L'
F L' D' F2 D2 B' L'
F L' D' F2 B L' B2
F L' D' F2 B' L' D
F L' D' F2 B' L' D'
F L' D' F2 B' L' D2
F L' D' F2 B' D L'
F L' D' F2 B' D' L'
F L' D' F2 B' D2 L'
F L' D' F2 B2 L' B
B2 L' D' B' F' L' F'
F L' D' B F2 L' B2
F L' D' B' L F2 L'
F L' D' B' L' F2 L'
F L' D' B' L2 F2 L'
B L' D' B' F' L' F'
F L' D' B' F2 L' D
F L' D' B' F2 L' D'
F L' D' B' F2 L' D2
F L' D' B' F2 D L'
F L' D' B' F2 D' L'
F L' D' B' F2 D2 L'
F L' D' B2 F2 L' B
U L' D' B' R' U' F2
R' L' B' D' R F' L'
L' R' B' D' R F' L'
F' L' D2 F D F2 B'
F' L' D2 F D B' F2
F' L' D2 F B' D F2
F' L' D2 F' D F2 B'
F' L' D2 F' D B' F2
F' L' D2 F' B' D F2
F' L' D2 F2 D F2 B'
F' L' D2 F2 D B' F2
F' L' D2 F2 B' D F2
F' L' D2 B' U L2 U'
F' L' D2 B' D F2 D
F' L' D2 B' D F2 D'
F' L' D2 B' D F2 D2
F' L' D2 B' F D F2
F' L' D2 B' F' D F2
F' L' D2 B' F2 D F2
F' L' D2 B2 D F2 B
D L' D2 F' B' L' F'
F' L' D2 B2 D B F2
F2 L' D2 B' D L F2
F2 L' D2 B' D F2 L
D L' D2 F2 D2 B' L
D L' D2 B' F' L' F'
F L' D2 B' D F2 L'
U L' D2 B' L2 R' U'
U L' D2 B' R' L2 U'
F' L' F U' R2 U B'
F' L' F D' F2 D B'
F' L' F D' F2 D' B'
F' L' F D' F2 D2 B'
F' L' F D' F2 B' D
F' L' F D' F2 B' D'
F' L' F D' F2 B' D2
F' L' F D' B' F2 D
F' L' F D' B' F2 D'
F' L' F D' B' F2 D2
B' L' F D' F2 B' L'
B' L' F D' B' F2 L'
F' L' F D2 B' D F2
F2 L' F D' B' L' F2
F' L' F B' U' R2 U
F' L' F B' D' F2 D
F' L' F B' D' F2 D'
F' L' F B' D' F2 D2
B2 L' F D' F2 B' L'
B2 L' F D' B' F2 L'
F' L' F B2 D' F2 B
F' L' F B2 D' B F2
B' L' F B' D' F2 L'
F2 L' F B' L' D' F2
F2 L' F B' D' L' F2
B L' F D' F2 B' L'
B L' F D' B' F2 L'
D L' F D2 F2 B' L'
D L' F D2 B' F2 L'
B2 L' F B' D' F2 L'
B L' F B' D' F2 L'
F' L' F' U' R2 U B'
D' L' F' D B' L' F'
D' L' F' D' B' L' F'
D2 L' F' D' B' L' F
F' L' F' D' F2 D B'
F' L' F' D' F2 D' B'
F' L' F' D' F2 D2 B'
F' L' F' D' F2 B' D
F' L' F' D' F2 B' D'
F' L' F' D' F2 B' D2
F' L' F' D' B' F2 D
F' L' F' D' B' F2 D'
F' L' F' D' B' F2 D2
D' L' F' D2 B' L' F'
D' L' F' B L' F' B2
D' L' F' B L' B2 F'
B' L' F' D' B' L' F2
F' L' F' D2 B' D F2
D' L' F' B' L F' L2
D' L' F' B' L' D F'
D' L' F' B' L' D' F'
D' L' F' B' L' D2 F'
D' L' F' B' L' F' D
D' L' F' B' L' F' D'
D' L' F' B' L' F' D2
D' L' F' B' L2 F' L
F2 L' F' D' F2 B' L'
F2 L' F' D' B' F2 L'
D' L' F' B' D L' F'
D' L' F' B' D' L' F'
D' L' F' B' D2 L' F'
D2 L' F' B' D' L' F
D' L' F' B2 L' F' B
D' L' F' B2 L' B F'
F' L' F' B' U' R2 U
B' L' F' B' L' D' F2
F' L' F' B' D' F2 D
F' L' F' B' D' F2 D'
F' L' F' B' D' F2 D2
B2 L' F' D' B' L' F2
B' L' F' B' D' L' F2
F' L' F' B2 D' F2 B
F' L' F' B2 D' B F2
F2 L' F' B' D' F2 L'
B L' F' D' B' L' F2
D L' F' D2 B' L' F2
B2 L' F' B' L' D' F2
B2 L' F' B' D' L' F2
D L' F' B' L2 F L
B L' F' B' L' D' F2
B L' F' B' D' L' F2
F' L' F2 U' R2 U B'
F' L' F2 D' F2 D B'
F' L' F2 D' F2 D' B'
F' L' F2 D' F2 D2 B'
F' L' F2 D' F2 B' D
F' L' F2 D' F2 B' D'
F' L' F2 D' F2 B' D2
F' L' F2 D' B' F2 D
F' L' F2 D' B' F2 D'
F' L' F2 D' B' F2 D2
D' L' F2 D2 B' L D
D' L' F2 D2 B' L D'
D' L' F2 D2 B' L D2
D' L' F2 D2 B' D L
D' L' F2 D2 B' D' L
D' L' F2 D2 B' D2 L
F' L' F2 D2 B' D F2
F' L' F2 B' U' R2 U
F' L' F2 B' D' F2 D
F' L' F2 B' D' F2 D'
F' L' F2 B' D' F2 D2
F' L' F2 B2 D' F2 B
F' L' F2 B2 D' B F2
D L' F2 D2 F2 B' L
D L' F2 D2 B' L F2
D L' F2 D2 B' F2 L
F L' F2 D' B' L' F2
D L' F2 B' L2 F L'
F L' F2 B' L' D' F2
F L' F2 B' D' L' F2
F' L' B U' R2 U B2
F' L' B D' F2 D B2
D' L' B F' L' F' B2
D' L' B F' L' B2 F'
D' L' B' L F' L' F'
F' L' B' L D' L' F2
D' L' B' L' F' L' F'
F' L' B' L' D' L F2
F' L' B' L' D' F2 L
D' L' B' L2 F' L' F'
D2 L' B' U L' B' U'
D L' B' L' F' L' F
F L' B' L D' F2 L'
F' L' B' U D2 L2 U'
D L' B' L2 F' L' F2
F' L' B' U' R2 U D
F' L' B' U' R2 U D'
F' L' B' U' R2 U D2
F' L' B' U' R2 D U
F' L' B' U' R2 D' U
F' L' B' U' R2 D2 U
F L' B' L' D' F2 L'
F L' B' L2 D' F2 L'
F' L' B' U2 D B2 U2
F' L' B' D U2 B2 U2
F' L' B' D F D2 F2
F' L' B' D F' D2 F2
F' L' B' D F2 D2 F2
F' L' B' D' L' F2 L
F' L' B' D' L2 F2 L2
F' L' B' D' R F2 R'
F' L' B' D' R2 F2 R2
F' L' B' D' F D F
F' L' B' D' F D' F
F' L' B' D' F D2 F
F' L' B' D' F' D F'
F' L' B' D' F' D' F'
F' L' B' D' F' D2 F'
B' L' B' D' F' L' F'
F' L' B' D2 U L2 U'
F' L' B' D2 F D F2
F' L' B' D2 F' D F2
F' L' B' D2 F2 D F2
U L' B' R' U2 R' U
F' L' B' F U' R2 U
D' L' B' F' L F' L2
D' L' B' F' L' D F'
D' L' B' F' L' D' F'
D' L' B' F' L' D2 F'
D' L' B' F' L' F' D
D' L' B' F' L' F' D'
D' L' B' F' L' F' D2
D' L' B' F' L2 F' L
F' L' B' F D' F2 D
F' L' B' F D' F2 D'
F' L' B' F D' F2 D2
D2 L' B' F' D' L' F
B' L' B' F D' F2 L'
D' L' B' F' D L' F'
D' L' B' F' D' L' F'
D' L' B' F' D2 L' F'
B' L' B' F' L' D' F2
F' L' B' F' U' R2 U
F' L' B' F' D' F2 D
F' L' B' F' D' F2 D'
F' L' B' F' D' F2 D2
B2 L' B' D' F' L' F'
D L' B' U2 B' R' U2
B' L' B' F' D' L' F2
F2 L' B' F L' D' F2
F' L' B' F2 U' R2 U
F' L' B' F2 D' F2 D
F' L' B' F2 D' F2 D'
F' L' B' F2 D' F2 D2
F2 L' B' F D' L' F2
B L' B' D' F' L' F'
F2 L' B' F' D' F2 L'
B2 L' B' F D' F2 L'
B2 L' B' F' L' D' F2
F L' B' D' L F2 L'
F L' B' D' L' F2 L'
F L' B' D' L2 F2 L'
B2 L' B' F' D' L' F2
F L' B' D' F2 L' D
F L' B' D' F2 L' D'
F L' B' D' F2 L' D2
F L' B' D' F2 D L'
F L' B' D' F2 D' L'
F L' B' D' F2 D2 L'
B L' B' F D' F2 L'
D L' B' F' L2 F L
U L' B' D' R' U' F2
B L' B' F' L' D' F2
B L' B' F' D' L' F2
D L' B' F2 L2 F L'
U L' B' D2 L2 R' U'
U L' B' D2 R' L2 U'
F L' B' F2 L' D' F2
F L' B' F2 D' L' F2
F' L' B2 D' F2 D B
F' L' B2 D' F2 D' B
F' L' B2 D' F2 D2 B
F' L' B2 D' F2 B D
F' L' B2 D' F2 B D'
F' L' B2 D' F2 B D2
F' L' B2 D' B F2 D
F' L' B2 D' B F2 D'
F' L' B2 D' B F2 D2
F' L' B2 D2 B D F2
D' L' B2 F' L' F' B
D' L' B2 F' L' B F'
F' L' B2 F D' F2 B
F' L' B2 F D' B F2
F' L' B2 F' D' F2 B
F' L' B2 F' D' B F2
F' L' B2 F2 D' F2 B
F' L' B2 F2 D' B F2
F L' B2 D' F2 L' B
F L' B2 D' F2 B L'
F L' B2 D' B F2 L'
U' L2 R' F' L' R' U
U' L2 R' F' R' L' U
F' L2 R2 U L R2 B'
F' L2 R2 U L B' R2
F' L2 R2 U R2 L B'
L' R2 F' U R2 B' L'
L' R2 F' U B' L' R2
L' R2 F' U B' R2 L'
F' L2 U' R2 U L B'
F' L2 D' F2 D L B'
F' L2 F L D' F2 B'
F' L2 F L D' B' F2
F' L2 F L B' D' F2
D' L2 F' L F' B' L2
D' L2 F' L B' L2 F'
D' L2 F' L B' F' L2
F' L2 F' L D' F2 B'
F' L2 F' L D' B' F2
D' L2 F' L' F' D2 B2
F' L2 F' L B' D' F2
D L2 F' L B' L2 F
D' L2 F2 L D2 B' L
F' L2 F2 L D' F2 B'
F' L2 F2 L D' B' F2
F' L2 F2 L B' D' F2
D' R F' L' F' R' B'
R' U' R' F' L' U R2
L' U' R' F' R' U B'
L' U' R2 U D B' L
L' U' R2 D U B' L
D R B2 L F R U2
U' R' L F' L' R' U
U' R' L F' R' L' U
U' R' L' F' L' R' U
U' R' L' F' R' L' U
F' R' L' B' D' R F'
U' R' L2 F' L' R' U
U' R' L2 F' R' L' U
D' R' U2 R F2 B L
D' R' U2 R B L F2
D' R' U2 R B F2 L
U R' U2 R' F' L' U
U' R' D F' L' R' U
U' R' D F' R' L' U
U' R' D' F' L' R' U
U' R' D' F' R' L' U
U' R' D2 F' L' R' U
U' R' D2 F' R' L' U
U' R' F' L' R' U D
U' R' F' L' R' U D'
U' R' F' L' R' U D2
U' R' F' L' R' D U
U' R' F' L' R' D' U
U' R' F' L' R' D2 U
U' R' F' L' D R' U
U' R' F' L' D' R' U
U' R' F' L' D2 R' U
U' R' F' R' L' U D
U' R' F' R' L' U D'
U' R' F' R' L' U D2
U' R' F' R' L' D U
U' R' F' R' L' D' U
U' R' F' R' L' D2 U
U' R' F' R' D L' U
U' R' F' R' D' L' U
U' R' F' R' D2 L' U
U' R' F' D L' R' U
U' R' F' D R' L' U
U' R' F' D' L' R' U
U' R' F' D' R' L' U
R' U2 R D' F2 B L
R' U2 R D' B L F2
R' U2 R D' B F2 L
U' R' F' D2 L' R' U
U2 R' F' U R' F' U
U' R' F' D2 R' L' U
R' U2 R B L D' F2
R' U2 R B D' L F2
R' U2 R B D' F2 L
U' R' F2 R' F L' U
F' R2 L U L2 R2 B'
F' R2 L U L2 B' R2
F' R2 L U R2 L2 B'
D R' B2 U2 R B L
F' R2 L' B' R2 D' F2
F' R2 L2 U L R2 B'
F' R2 L2 U L B' R2
F' R2 L2 U R2 L B'
U' R2 U L' D B' L
U' R2 U D L' B' L
U' R2 U2 B' R' B U'
U' R2 D U L' B' L
U' R2 D2 F' L' F U
D' R2 F' L' F' R2 B'
D' R2 F' L' F' B' R2
D' R2 F' L' B' F' R2
U' R2 F' D2 L' F U
D R2 B R2 F' L' B'
D' U L' B' R' U' F2
D2 U L' B' L' R' U'
D2 U L' B' R' L' U'
L' D F D2 F2 B' L'
L' D F D2 B' F2 L'
L D F R B2 L U2
L' D F' D2 B' L' F2
L' D F' B' L2 F L
L D F B2 R U2 R'
L D F' L' D2 F2 B2
L D F' L' D2 B2 F2
L' D F2 D2 F2 B' L
L' D F2 D2 B' L F2
L' D F2 D2 B' F2 L
L' D F2 B' L2 F L'
L D F' D2 L' F2 B2
L D F' D2 L' B2 F2
L D F' D2 B2 L' F2
U2 D R B2 U2 B' L
L' D B' L' F' L' F
L' D B' L2 F' L' F2
L' D B' U2 B' R' U2
L' D B' F' L2 F L
L' D B' F2 L2 F L'
L' D' L F' L' F' B'
L' D' L F' L' B' F'
L D B2 F R U2 R'
