U L' D' B U' R2
U L' D2 F2 B U'
U L' D2 B F2 U'
D2 L' F2 B U' B'
D' L' B U' R2 B'
D' L' B U' B' R2
D2 L' B F2 U' B'
U L' B U2 B U
D2 U L' F2 B U'
D2 U L' B F2 U'
D' U L' B U' R2
D2 U B L' F2 U'
D' U B L' U' R2
U D' L' B U' R2
L' D' B U' R2 B'
L' D' B U' B' R2
U D' B L' U' R2
U D2 L' F2 B U'
U D2 L' B F2 U'
L' D2 F2 B U' B'
L' D2 B F2 U' B'
U D2 B L' F2 U'
L' B R' U' B' R'
L' B R2 F' U' B'
U B L' U2 B U
L' B U' B' D' R2
L' B U2 B U B2
U' B2 U2 B' L' U'
D' L U L2 B U' R2
D2 L U L2 F2 B U'
D2 L U L2 B F2 U'
D2 L U F2 L2 B U'
D2 L U F2 B L2 U'
D' L U B L2 U' R2
D2 L U B L2 F2 U'
D2 L U B F2 L2 U'
U L D' B U' R2 F'
D2 L F2 L2 B U' B'
U L B L2 U2 B U
U L B' L2 F B2 U'
U L B' L2 B2 F U'
R2 L' U' F' B2 U F
R2 L' U' B2 F' U F
D' L' R2 U' F' U F
B L' R2 D F' R U'
B L' U2 L B U B2
B L' U2 B L U B'
U L' U2 B2 U2 B' U'
B L' D R2 F' R U'
D2 L' D B U' R2 B'
D2 L' D B U' B' R2
U L' D B U L2 U2
U L' D B U' D2 R2
U L' D B D F2 U'
U L' D B D2 U' R2
D' L' D' F2 B U' B'
D' L' D' B F2 U' B'
U L' D' F B U' R2
U L' D' F' B U' R2
U L' D' F2 B U' R2
U L' D' B U' R2 D
U L' D' B U' R2 D'
U L' D' B U' R2 D2
U L' D' B D' F2 U'
U L' D' B F U' R2
U L' D' B F' U' R2
U L' D' B F2 U' R2
U L' D2 F2 D B U'
U L' D2 F2 D' B U'
U L' D2 F2 D2 B U'
U L' D2 F2 B U' D
U L' D2 F2 B U' D'
U L' D2 F2 B U' D2
U L' D2 F2 B D U'
U L' D2 F2 B D' U'
U L' D2 F2 B D2 U'
U L' D2 B U' D R2
U L' D2 B D U' R2
U L' D2 B F2 U' D
U L' D2 B F2 U' D'
U L' D2 B F2 U' D2
U L' D2 B F2 D U'
U L' D2 B F2 D' U'
U L' D2 B F2 D2 U'
L2 R' B2 R' F' U B2
D' L' F B U' R2 B'
D' L' F B U' B' R2
U L' F D' B U' R2
U L' F D2 F2 B U'
U L' F D2 B F2 U'
U L' F B U2 B U
D' L' F' B U' R2 B'
D' L' F' B U' B' R2
U L' F' D' B U' R2
U L' F' D2 F2 B U'
U L' F' D2 B F2 U'
U L' F' B U2 B U
L' R2 U' F' B2 U F
D2 L' F2 D B U' B'
D2 L' F2 D' B U' B'
D2 L' F2 D2 B U' B'
D2 L' F2 B R U' B'
D2 L' F2 B R' U' B'
D' L' F2 B U' R2 B'
D2 L' F2 B R2 U' B'
D' L' F2 B U' B' R2
D2 L' F2 B U' D B'
D2 L' F2 B U' D' B'
D2 L' F2 B U' D2 B'
D2 L' F2 B U' B' D
D2 L' F2 B U' B' D'
D2 L' F2 B U' B' D2
D2 L' F2 B D U' B'
D2 L' F2 B D' U' B'
D2 L' F2 B D2 U' B'
L' R2 U' B2 F' U F
L2 R2 U' F' B2 R' U
R2 L2 U' F' B2 R' U
D L' F2 B U' R B'
D L' F2 B U' B' R
L2 R2 U' B2 F' R' U
D' L' B R U' R B'
D' L' B R U' B' R
R2 L2 U' B2 F' R' U
D2 L' B R F2 U' B'
D' L' B R' U' R' B'
U L' F2 D' B U' R2
D2 L' B R' F2 U' B'
U L' F2 D2 F2 B U'
U L' F2 D2 B F2 U'
D2 L' B R2 F2 U' B'
U L' F2 B U2 B U
D' L' B U' R B' R
D' L' B U' R2 D B'
D' L' B U' R2 D' B'
D' L' B U' R2 D2 B'
D' L' B U' R2 B' D
D' L' B U' R2 B' D'
D' L' B U' R2 B' D2
D2 L' B U' D R2 B'
D2 L' B U' D B' R2
D' L' B U' B R2 B2
D' L' B U' B' R2 D
D' L' B U' B' R2 D'
D' L' B U' B' R2 D2
D2 L' B U' B' D R2
D2 L' B D U' R2 B'
D2 L' B D U' B' R2
D' L' B D' F2 U' B'
U2 L' B U2 B U B'
D' L' B F U' R2 B'
D' L' B F U' B' R2
D' L' B F' U' R2 B'
D' L' B F' U' B' R2
U L' B R2 F' R2 U'
D2 L' B F2 R U' B'
D2 L' B F2 R' U' B'
D' L' B F2 U' R2 B'
D2 L' B F2 R2 U' B'
D' L' B F2 U' B' R2
D2 L' B F2 U' D B'
D2 L' B F2 U' D' B'
D2 L' B F2 U' D2 B'
D2 L' B F2 U' B' D
D2 L' B F2 U' B' D'
D2 L' B F2 U' B' D2
D2 L' B F2 D U' B'
D2 L' B F2 D' U' B'
D2 L' B F2 D2 U' B'
U L' B U2 D B U
U L' B U2 D' B U
U L' B U2 D2 B U
U L' B U2 B U D
U L' B U2 B U D'
U L' B U2 B U D2
U L' B U2 B D U
U L' B U2 B D' U
U L' B U2 B D2 U
U L' B D U2 B U
U L' B D' U2 B U
D L' B F2 U' R B'
D L' B F2 U' B' R
U L' B D2 U2 B U
U L' B F U2 B U
U L' B F' U2 B U
U L' B F2 U2 B U
D2 L2 U L F2 B U'
D2 L2 U L B F2 U'
D' L2 U L B U' R2
D2 L2 U F2 L B U'
L2 R2 F' B2 R' U B2
R2 L2 F' B2 R' U B2
R' L2 B2 R' F' U B2
L2 R2 B2 F' R' U B2
U L2 D' L B U' R2
R2 L2 B2 F' R' U B2
L2 U L D' B U' R2
L2 U L D2 F2 B U'
L2 U L D2 B F2 U'
L2 U L B U2 B U
U L2 D2 L F2 B U'
U L2 D2 L B F2 U'
B' L2 F L B2 U' B'
R2 U L' U2 F' B2 U
R2 U L' U2 B2 F' U
U L2 D2 F2 L B U'
B2 L2 F U2 L U' B2
L U L2 D' B U' R2
L U L2 D2 F2 B U'
L U L2 D2 B F2 U'
L U L2 B U2 B U
D2 L2 F2 L B U' B'
U L2 B U2 B R' U
U' L2 B2 L2 R' F U
U' L2 B2 L2 F R' U
U' L2 B2 R' L2 F U
L2 U D' L B U' R2
L2 U D2 L F2 B U'
L2 U D2 L B F2 U'
L U D' B U' R2 F'
L2 U D2 F2 L B U'
L U B L2 U2 B U
L2 U B U2 B R' U
L U B' L2 F B2 U'
L U B' L2 B2 F U'
F' R D' L' R2 F L'
F' R D' L' F L' R2
F' R D' L' F R2 L'
F' R D' R2 L' F L'
F' R D' R2 F L' F
F' R D' F L' R2 F
F' R D' F L' F R2
F' R D' F R2 L' F
U' R F2 R F' B2 U
U' R F2 R B2 F' U
U' R F2 B2 R F' U
L2 U' R' B2 R' F' U
L' U' R2 F' B2 U F
L' U' R2 B2 F' U F
L2 U' R2 F' B2 R' U
L2 U' R2 B2 F' R' U
U' R B2 F2 R F' U
R2 U' F2 R F B2 U
R2 U' F2 R B2 F U
R U' F2 R F' B2 U
R U' F2 R B2 F' U
R2 U' F2 B2 R F U
R U' F2 B2 R F' U
L2 U' B2 R' U2 B' U'
L U' B2 U2 B' L2 U'
R2 U' B2 F2 R F U
R U' B2 F2 R F' U
B R' F U' B' R' F'
U' R' B2 U2 L' B' U'
D' R2 L' U' F' U F
B R2 L' D F' R U'
D' R2 U L' U2 F' U
D' R2 U' F2 R F U
F' R2 U' F' R B2 U
F' R2 U' F' B2 R U
F2 R2 U' F' R' B2 U
F' R2 U' B2 F' R U
L' U2 B2 U2 B' U' B
F' R2 F' R B2 U B2
F2 R2 F' R' B2 U B2
F' R2 F' B2 R U B2
U' R2 F2 R F B2 U
U' R2 F2 R B2 F U
D' R2 F2 U' R F U
U' R2 F2 B2 R F U
F' R2 B2 F' R U B2
U' R2 B2 F2 R F U
D2 U L F2 L2 B U'
D' U L B L2 U' R2
D2 U L F2 B L2 U'
D2 U L B L2 F2 U'
D2 U L B F2 L2 U'
D2 U L' D B U' R2
D' U L' D' F2 B U'
D' U L' D' B F2 U'
D' U L' F B U' R2
D' U L' F' B U' R2
D' U L' F2 B U' R2
D2 U L' F2 D B U'
D2 U L' F2 D' B U'
D2 U L' F2 D2 B U'
D2 U L' F2 B U' D
D2 U L' F2 B U' D'
D2 U L' F2 B U' D2
D2 U L' F2 B D U'
D2 U L' F2 B D' U'
D2 U L' F2 B D2 U'
D' U L' B U' R2 D
D' U L' B U' R2 D'
D' U L' B U' R2 D2
D' U L' B D' F2 U'
D2 U L' B U' D R2
D' U L' B F U' R2
D' U L' B F' U' R2
D' U L' B F2 U' R2
D2 U L' B D U' R2
D2 U L' B F2 U' D
D2 U L' B F2 U' D'
D2 U L' B F2 U' D2
D2 U L' B F2 D U'
D2 U L' B F2 D' U'
D2 U L' B F2 D2 U'
D U L' F2 B U' R
D2 U L2 F2 L B U'
D U L' B U L' U2
U2 D L2 U' L B U'
D U L' B F2 U' R
U D L' F2 B U' R
U D L' B U L' U2
U D L' B F2 U' R
L' D B U L2 F U2
L' D B U' D2 R2 B'
L' D B U' D2 B' R2
L' D B U' B' D2 R2
L' D B D F2 U' B'
L' D B D2 U' R2 B'
L' D B D2 U' B' R2
L2 D' L B U' R2 B'
L2 D' L B U' B' R2
F2 U D2 F2 L' B U'
F2 U D2 F2 B L' U'
F2 U D2 B F2 L' U'
D2 U F2 B U2 R U
D' U B L' U' R2 D
D' U B L' U' R2 D'
D' U B L' U' R2 D2
D' U B L' D' F2 U'
D' U B L' F U' R2
D' U B L' F' U' R2
D' U B L' F2 U' R2
D2 U B L F2 L2 U'
D2 U B L' U' D R2
D2 U B L' D U' R2
D2 U B L' F2 U' D
D2 U B L' F2 U' D'
D2 U B L' F2 U' D2
D2 U B L' F2 D U'
D2 U B L' F2 D' U'
D2 U B L' F2 D2 U'
D2 U B L2 F2 L U'
D' U B D' L' F2 U'
D2 U B D L' U' R2
D2 U B F2 U2 R U
D U B L' U L' U2
D U B L' F2 U' R
D' U B' L' B2 U' R2
D2 U B' L' F2 B2 U'
D2 U B' L' B2 F2 U'
U D B L' U L' U2
U D B L' F2 U' R
D U B D L' F2 U'
D U B D2 L' U' R2
U D B D L' F2 U'
U D B D2 L' U' R2
L' D' R2 U' F' U F
F2 U B U2 B R U
R2 D' R2 U L' B U'
