B U' L U' B L
U' L R B U' F B
U' L R B U' B F
U L R' F U F2 B2
U L R' F U B2 F2
F' L U L2 B2 R' F'
U' L U' F B L B
U' L U' B F L B
U' L U' B2 D2 F L'
U L F R' U F' B2
U L F R' U B2 F'
U' L B U' F B L
U' L B U' B F L
F' L' B2 R2 D' R F'
F' L' B2 D' R F' R2
F' L2 U L B2 R' F'
F' L2 U' L F B2 R'
F' L2 U' L B2 R' F
F' L2 U' L B2 F R'
U' R L B U' F B
U' R L B U' B F
F R U R' U F' B2
F R U R' U B2 F'
F R U' L U' F B2
F R U' L U' B2 F
U R U' B U2 B L
B' R D B2 U2 B L
U' R B L U' F B
U' R B L U' B F
F R B U' L U' B
F R B' U R' U B'
U R' L F U F2 B2
U R' L F U B2 F2
U R' U F' B L B
U R' U B L F' B
U R' U B L B F'
U R' U B F' L B
U R' U' F' L' B2 R'
B R2 F' U' L U' L2
B R2 F' U2 L' D F2
F' U R' U L' F' B2
F' U R' U L' B2 F'
B' U R' U B L B2
F' U R' U B2 L' F'
F' U' L U' F L2 B2
F' U' L U' F B2 L2
F' U' L U' B2 F L2
F2 U' L U' F L' B2
F2 U' L U' F B2 L'
F2 U' L U' B2 F L'
B U' L U' L B L
B U' L U' L' B L
B U' L U' L2 B L
B U' L U' D B L
B U' L U' D' B L
B U' L U' D2 B L
B U' L U' B L D
B U' L U' B L D'
B U' L U' B L D2
B U' L U' B D L
B U' L U' B D' L
B U' L U' B D2 L
B U' L D U' B L
B U' L D' U' B L
B U' L D2 U' B L
B U' D L U' B L
B U' D' L U' B L
B U' D2 L U' B L
B' U' B2 L U' B L
B U2 L' D F2 B L
B U2 L' D B L F2
B U2 L' D B F2 L
B U2 L' B D L F2
B U2 L' B D F2 L
B U2 L2 B L D F2
B U2 B L2 D L' F
F U2 F2 B2 D' L' F
B U2 B D L' F L2
F U2 B2 F2 D' L' F
B D U' L U' B L
L' F' U B2 L' R' F'
L' F' U B2 R' L' F'
U2 F' B L D F2 B
U2 F' B L D B F2
U2 F' B L B D F2
L' F' B2 R' D L' F
L' F' B2 D L' R' F
L' F' B2 D L' F R'
L' F' B2 D R' L' F
B D' U' L U' B L
D2 F2 U' L U' F L'
U' B L U' F B L
U' B L U' B F L
B D2 U' L U' B L
R' B U' L U' B L
R2 B U' L U' B L
R B U' L U' B L
B' F R U R2 U B'
B' F R U2 D' F2 B'
B' F R U2 D' B' F2
B' F R U2 B' D' F2
B' F R D B2 U2 B
B' F R D' U2 F2 B'
B' F R D' U2 B' F2
U2 B F' L D F2 B
U2 B F' L D B F2
U2 B F' L B D F2
F' B U' L U' L2 B
F' B U' L U' B L2
F' B U2 L' D F2 B
F' B U2 L' D B F2
F' B U2 L' B D F2
F' B U2 B D L' F
F B' R U R2 U B'
F B' R U2 D' F2 B'
F B' R U2 D' B' F2
F B' R U2 B' D' F2
F B' R D B2 U2 B
F B' R D' U2 F2 B'
F B' R D' U2 B' F2
B' F' U R' U B' L'
F' B' U R' U B' L'
B F' U' L U' L2 B
B F' U' L U' B L2
B' F' U2 B' D L' F
F' B' U2 B' D L' F
B F' U2 L' D F2 B
B F' U2 L' D B F2
B F' U2 L' B D F2
B F' U2 B D L' F
L' B2 R' D F' L' F
L' B2 R' F' D L' F
L' B2 R2 D' R F' L'
L' B2 D R' F' L' F
L' B2 D F' L' R' F
L' B2 D F' L' F R'
L' B2 D F' R' L' F
L' B2 D' R F' L' R2
L' B2 D' R F' R2 L'
L' B2 F' R' D L' F
L' B2 F' D L' R' F
L' B2 F' D L' F R'
L' B2 F' D R' L' F
