D' L2 F' B' R' B'
B' L2 F2 U R' F
B' L2 F2 U F R'
U L2 F2 U F R
B L2 F2 U R F
D' L2 B' F' R' B'
D' L2 B2 D2 F' R
D R2 F2 B L U2
D R2 B L F2 U2
D R2 B F2 L U2
U2 D' F' L2 B2 R'
D' U2 F' L2 B2 R'
D' F' L2 B' R' B'
B' D' L2 F' R' B2
D' F' B' R' B' L2
B' D' F' L2 R' B2
B' D' F' R' L2 B2
B' D' F' R' B2 L2
B D' F' B2 L2 R'
B D' F' B2 R' L2
D F2 R2 U2 F R
B D' B2 L2 F' R'
B D' B2 F' L2 R'
B D' B2 F' R' L2
L2 F2 B' U R' F
L2 F2 B' U F R'
D' B' F' R' B' L2
L2 B' F2 U R' F
L2 B' F2 U F R'
D' B2 L2 D2 F' R
D L R2 F2 B L U2
D L R2 B L F2 U2
D L R2 B F2 L U2
B L U L F2 U F
D' L F' L B' R' B'
D L F2 R2 U2 F R
D L' R2 F2 B L U2
D L' R2 B L F2 U2
D L' R2 B F2 L U2
F' L' U' L' F' B' U
F' L' U' L' B' F' U
D L' F2 R2 U2 F R
U' L' B' L' F2 U F
D' L' B2 L' D2 F' R
D' L' B2 D2 L' F' R
D' L2 R B' R' F' B'
D' L2 R B' R' B' F'
B L2 R' F2 U R F'
D L2 R2 F2 B L U2
D L2 R2 B L F2 U2
D L2 R2 B F2 L U2
B' L2 U D' L2 F' R'
B' L2 U D' F' L2 R'
B' L2 U D' F' R' L2
B' L2 D' U L2 F' R'
B' L2 D' U F' L2 R'
B' L2 D' U F' R' L2
L U L F2 U F R
L' U L' F2 U F R
D' L2 F B' R' F2 B'
D' L2 F B' R' B' F2
D' L2 F' R B' R' B'
D' L2 F' R' B' R' B'
D' L2 F' R2 B' R' B'
D' L2 F' B' R B' R2
D' L2 F' B' R' D B'
D' L2 F' B' R' D' B'
D' L2 F' B' R' D2 B'
D' L2 F' B' R' B' D
D' L2 F' B' R' B' D'
D' L2 F' B' R' B' D2
D' L2 F' B' R2 B' R
D' L2 F' B' D R' B'
D' L2 F' B' D' R' B'
D' L2 F' B' D2 R' B'
F' L2 F' B' U R' F
F' L2 F' B' U F R'
B' L2 F2 R U R2 F
B' L2 F2 R U F R2
B' L2 F2 R2 U R F
B' L2 F2 U R F R2
B' L2 F2 U R' D F
B' L2 F2 U R' D' F
B' L2 F2 U R' D2 F
B' L2 F2 U R' F D
B' L2 F2 U R' F D'
B' L2 F2 U R' F D2
B' L2 F2 U D R' F
B' L2 F2 U D F R'
B' L2 F2 U D' R' F
B' L2 F2 U D' F R'
B' L2 F2 U D2 R' F
B' L2 F2 U D2 F R'
B' L2 F2 U F R' D
B' L2 F2 U F R' D'
B' L2 F2 U F R' D2
B' L2 F2 U F D R'
B' L2 F2 U F D' R'
B' L2 F2 U F D2 R'
B' L2 F2 U F' R' F2
B' L2 F2 D U R' F
B' L2 F2 D U F R'
U2 L2 F2 U F' R F2
B L2 F2 R' U R2 F
B L2 F2 R' U F R2
D L2 F2 R2 U2 F R
B' L2 F2 D' U R' F
B' L2 F2 D' U F R'
B L2 F2 R2 U R' F
B L2 F2 R2 U F R'
B' L2 F2 D2 U R' F
B' L2 F2 D2 U F R'
B L2 F2 U R D F
B L2 F2 U R D' F
B L2 F2 U R D2 F
B L2 F2 U R F D
B L2 F2 U R F D'
B L2 F2 U R F D2
B L2 F2 U R' F R2
B L2 F2 U R2 F R'
B L2 F2 U D R F
B L2 F2 U D' R F
D' L2 F2 B' R' F B'
B L2 F2 U D2 R F
D' L2 F2 B' R' B' F
U L2 F2 R B U F
B2 L2 F2 B U R' F
B2 L2 F2 B U F R'
B L2 F2 D U R F
B L2 F2 D' U R F
U L2 F2 U R F R
U L2 F2 U R' F R
U L2 F2 U R2 F R
U L2 F2 U D F R
U L2 F2 U D' F R
U L2 F2 U D2 F R
U L2 F2 U F R D
U L2 F2 U F R D'
U L2 F2 U F R D2
U L2 F2 U F D R
U L2 F2 U F D' R
U L2 F2 U F D2 R
B L2 F2 D2 U R F
B L2 F2 B U R F
B L2 F2 B' U R F
U L2 F2 D U F R
B L2 F2 B2 U R F
U L2 F2 D' U F R
U L2 F2 D2 U F R
U L2 F2 B U F R
U L2 F2 B' U F R
U L2 F2 B2 U F R
F2 L2 B U' L B2 U2
F2 L2 B U' B2 U2 R'
B2 L2 B F2 U R' F
B2 L2 B F2 U F R'
B L2 B F2 U R F
D' L2 B' D F' R' B'
U L2 B F2 U F R
D' L2 B' D' F' R' B'
D' L2 B' D2 F' R' B'
D' L2 B' F R' F2 B'
D' L2 B' F R' B' F2
D' L2 B' F' R B' R2
D' L2 B' F' R' D B'
F' L2 B' F' U R' F
D' L2 B' F' R' D' B'
D' L2 B' F' R' D2 B'
F' L2 B' F' U F R'
D' L2 B' F' R' B' D
D' L2 B' F' R' B' D'
D' L2 B' F' R' B' D2
D' L2 B' F' R2 B' R
D' L2 B' F' D R' B'
D' L2 B' F' D' R' B'
D' L2 B' F' D2 R' B'
D' L2 B' F2 R' F B'
D' L2 B' F2 R' B' F
F L2 B' U R' F2 L'
B L2 B' F2 U R F
U L2 B' F2 U F R
F2 L2 B2 U' B U2 R'
D' L2 B2 D2 F' R D
D' L2 B2 D2 F' R D'
D' L2 B2 D2 F' R D2
D' L2 B2 D2 F' D R
D' L2 B2 D2 F' D' R
D' L2 B2 D2 F' D2 R
B L2 B2 F2 U R F
U L2 B2 F2 U F R
D' R L2 B' R' F' B'
D' R L2 B' R' B' F'
B R D' B2 L2 R' F'
B R D' B2 R' L2 F'
B R D' B2 R' F' L2
L' U' L' F2 B' U F
L' U' L' B' F2 U F
D' R B' R' F' B' L2
D' R B' R' B' L2 F'
D' R B' R' B' F' L2
B R' L2 F2 U R F'
D R' F2 R' B L U2
R2 U2 D' B2 L2 F R
D R2 L F2 B L U2
D R2 L B L F2 U2
D R2 L B F2 L U2
D R2 L' F2 B L U2
D R2 L' B L F2 U2
D R2 L' B F2 L U2
D R2 L2 F2 B L U2
D R2 L2 B L F2 U2
D R2 L2 B F2 L U2
D' R2 U2 B2 L2 F R
B' R2 D' B2 L2 R F
B' R2 D' B2 R L2 F
U2 R2 D' B2 L2 F R
B R2 D' B2 L2 R' F
B R2 D' B2 L2 F R'
B R2 D' B2 R' L2 F
D R2 D2 B L U2 B
D R2 F' B L F' U2
D R2 F2 L B L U2
D R2 F2 L' B L U2
D' R2 B L U2 L B
D R2 F2 L2 B L U2
D R2 F2 D B L U2
D R2 F2 D' B L U2
D R2 F2 D2 B L U2
D R2 F2 B L U2 D
D R2 F2 B L U2 D'
D R2 F2 B L U2 D2
D R2 F2 B L D U2
D R2 F2 B L D' U2
D R2 F2 B L D2 U2
D R2 F2 B D L U2
D R2 F2 B D' L U2
D R2 F2 B D2 L U2
D R2 B L U2 D2 B2
D R2 B L D2 U2 B2
D R2 B L F2 U2 D
D R2 B L F2 U2 D'
D R2 B L F2 U2 D2
D R2 B L F2 D U2
D R2 B L F2 D' U2
D R2 B L F2 D2 U2
D R2 B L' F2 L2 U2
D R2 B L2 F2 U2 R
D' R2 B' R' B' L2 F
D R2 B U2 D2 B2 R'
D R2 B D2 L U2 B2
D R2 B D2 U2 B2 R'
D R2 B F' L F' U2
F' R2 B' D' R' B2 L
D R2 B F2 L U2 D
D R2 B F2 L U2 D'
D R2 B F2 L U2 D2
D R2 B F2 L D U2
D R2 B F2 L D' U2
D R2 B F2 L D2 U2
D R2 B F2 D L U2
D R2 B F2 D' L U2
D R2 B F2 D2 L U2
R2 D R2 F2 U2 F R
D2 R2 B2 U B' L U2
F2 U L2 U L2 F R
B' U L2 F2 U R' F
B' U L2 F2 U F R'
B U L2 F2 U R F
R2 D F2 B L R2 U2
R2 D F2 B R2 L U2
R2 D B L R2 F2 U2
R2 D B L F2 R2 U2
R2 D B R2 L F2 U2
R2 D B R2 F2 L U2
R2 D B F2 L R2 U2
R2 D B F2 R2 L U2
B' U D' L2 F' R' B2
B' U D' F' L2 R' B2
B' U D' F' R' L2 B2
B' U D' F' R' B2 L2
B U D' F' B2 L2 R'
B U D' F' B2 R' L2
B U D' B2 L2 F' R'
B U D' B2 F' L2 R'
B U D' B2 F' R' L2
R D' L2 B' R' F' B'
R D' L2 B' R' B' F'
U' D' L2 B2 D F' R
D' U' L2 B2 D F' R
U2 D' L2 F R F2 B2
U2 D' L2 F R B2 F2
U2 D' L2 F B2 R F2
U2 D' L2 B2 F R F2
R2 D' U2 B2 L2 F R
F' U' L' B' L' F' U
F' U' L2 D F' U R
B' U' L2 F2 U R' F
B' U' L2 F2 U F R'
B U' L2 F2 U R F
U2 D' R2 B2 L2 F R
U2 D' F L2 R F2 B2
U2 D' F L2 R B2 F2
U2 D' F L2 B2 R F2
U2 D' F R L2 F2 B2
U2 D' F R L2 B2 F2
U2 D' F R F2 L2 B2
U2 D' F R F2 B2 L2
U2 D' F R B2 L2 F2
U2 D' F R B2 F2 L2
R2 D' B L U2 L B
U2 D' F B2 L2 R F2
U2 D' F B2 R L2 F2
U2 D' F B2 R F2 L2
U2 D' F' L2 R B2 R'
U2 D' F' L2 R' B2 R'
U2 D' F' L2 R2 B2 R'
U2 D' F' L2 B2 R' D
U2 D' F' L2 B2 R' D'
U2 D' F' L2 B2 R' D2
U2 D' F' L2 B2 D R'
U2 D' F' L2 B2 D' R'
U2 D' F' L2 B2 D2 R'
U2 D' F' R L2 B2 R'
U2 D' F' R' L2 B2 R'
U2 D' F' R2 L2 B2 R'
L2 D' B' U L2 F' R'
L2 D' B' U F' L2 R'
L2 D' B' U F' R' L2
R2 D' B' R' B' L2 F
R D' B' R' F' B' L2
R D' B' R' B' L2 F'
R D' B' R' B' F' L2
B' U' D' L2 F' R' B2
B' U' D' F' L2 R' B2
B' U' D' F' R' L2 B2
B' U' D' F' R' B2 L2
D' U' B2 L2 D F' R
U' D' B2 L2 D F' R
B U' D' F' B2 L2 R'
B U' D' F' B2 R' L2
B U' D' B2 L2 F' R'
B U' D' B2 F' L2 R'
B U' D' B2 F' R' L2
U2 D' B2 L2 F R F2
F' U' F' L' B' L' U
U2 D' B2 F L2 R F2
U2 D' B2 F R L2 F2
U2 D' B2 F R F2 L2
D' U2 L2 F R F2 B2
D' U2 L2 F R B2 F2
D' U2 L2 F B2 R F2
D' U2 L2 B2 F R F2
D' U2 R2 B2 L2 F R
