F' L R' U R2
F' R' L U R2
L F' R' U R2
F' L R' U R2 D
F' L R' U R2 D'
F' L R' U R2 D2
F' L R' D B2 U
F' L R' B U R2
F' L R' B' U R2
F' L R' B2 U R2
F' L U R D' F2
F' L D R' U R2
F' L D' R' U R2
F' L D2 R' U R2
D' L F' R' B' U
D L F' R' B U
U' L F' R' U R2
U2 L F' R' U R2
U L F' R' U R2
F' R' L U R2 D
F' R' L U R2 D'
F' R' L U R2 D2
F' R' L D B2 U
F' R' L B U R2
F' R' L B' U R2
F' R' L B2 U R2
F' R' D L B2 U
F2 R' F L U R
F R' F2 L U R
L D F' R' B U
L F R' F2 U R
F' D L R' U R2
F' D R' L U R2
U' F' L R' U R2
L' F' L2 R' U R2
U2 F' L R' U R2
D' F' L R' B' U
L' F' R' L2 U R2
D F' L R' B U
U F' L R' U R2
U' F' R' L U R2
U2 F' R' L U R2
D' F' R' L B' U
L F' R' U R2 D
L F' R' U R2 D'
L F' R' U R2 D2
L F' R' D B2 U
D F' R' L B U
L F' R' B U R2
L F' R' B' U R2
U F' R' L U R2
L F' R' B2 U R2
F' D' L R' U R2
L F' U R D' F2
L F' D R' U R2
F' D' R' L U R2
L F' D' R' U R2
L F' D2 R' U R2
L F2 R' F U R
F' D2 L R' U R2
F' D2 R' L U R2
F' L R B R2 U R2
F' L R B' R2 U R2
F' L R B2 R2 U R2
F' L R' U R D R
F' L R' U R D' R
F' L R' U R D2 R
F' L R' U R' D R'
F' L R' U R' D' R'
F' L R' U R' D2 R'
F' L R' U F' R2 F
F' L R' U F2 R2 F2
F' L R' U B R2 B'
F' L R' U B2 R2 B2
F' L R' U' L U2 R2
F' L R' U' L' U2 R2
F' L R' U' L2 U2 R2
F' L R' U' D2 L2 U2
F' L R' U2 D' F2 U'
F' L R' U2 F U' R2
F' L R' U2 F' U' R2
F' L R' U2 F2 U' R2
F' L R' D B2 U D
F' L R' D B2 U D'
F' L R' D B2 U D2
F' L R' D B2 D U
F' L R' D B2 D' U
F' L R' D B2 D2 U
F' L R' D' U2 F2 U'
D' L R' D B' U L
F' L R' D2 U' L2 U2
F L R' D' B2 U L2
F' L R' B U R2 D
F' L R' B U R2 D'
F' L R' B U R2 D2
F' L R' B D B2 U
F' L R' B' U R2 D
F' L R' B' U R2 D'
F' L R' B' U R2 D2
F' L R' B' D B2 U
F L R' F2 U D2 R2
F L R' F2 U' L2 U2
F L R' F2 D' B2 U
F L R' F2 D2 U R2
F' L R' B2 U R2 D
F' L R' B2 U R2 D'
F' L R' B2 U R2 D2
F' L R' B2 D B2 U
F' L R2 U R' D' F2
F' L R2 D R U R2
F' L R2 D' R U R2
F' L R2 D2 R U R2
F' L U R U' R2 U
F' L U R D' F2 D
F' L U R D' F2 D'
F' L U R D' F2 D2
F' L U R F D' F2
F' L U R F' D' F2
F' L U R F2 D' F2
F' L U D R D' F2
F' L U D' R D' F2
F' L U D2 R D' F2
F' L D R' U R2 D
F' L D R' U R2 D'
F' L D R' U R2 D2
F' L D R' D B2 U
F' L D R' B U R2
F' L D R' B' U R2
F' L D R' B2 U R2
F' L D U R D' F2
D' L D F' R' B' U
U' L D F' R' B U
U2 L D F' R' B U
U L D F' R' B U
F' L D' R' U R2 D
F' L D' R' U R2 D'
F' L D' R' U R2 D2
F' L D' R' D B2 U
F' L D' R' B U R2
F' L D' R' B' U R2
F' L D' R' B2 U R2
F' L D' U R D' F2
F L D' R' B2 U L2
D' L D' F' R' B' U
D2 L D' F' R' B U
D L D' F' R' U R2
F' L D2 R' U R2 D
F' L D2 R' U R2 D'
F' L D2 R' U R2 D2
F' L D2 R' D B2 U
F' L D2 R' B U R2
F' L D2 R' B' U R2
F' L D2 R' B2 U R2
F' L D2 U R D' F2
D' L D2 F' R' B' U
D2 L D2 F' R' U R2
D' L F R' F2 B' U
D' L F R' B' F2 U
U2 L F R' F2 U R
D L F R' F2 B U
U' L F R' F2 U R
D L F R' B F2 U
U L F R' F2 U R
D' L F' R B' R2 U
D' L F' R' D B' U
D2 L F' R' B U R'
D' L F' R' D' B' U
D' L F' R' D2 B' U
F' L F' R' F U R
D' L F' R' B' U D
D' L F' R' B' U D'
D' L F' R' B' U D2
D' L F' R' B' D U
D' L F' R' B' D' U
D' L F' R' B' D2 U
U2 L F' R' U R2 D
U2 L F' R' U R2 D'
U2 L F' R' U R2 D2
U2 L F' R' D B2 U
D L F' R' D B U
U' L F' R' U R2 D
U' L F' R' U R2 D'
U' L F' R' U R2 D2
D' L F' R2 B' R U
D L F' R' D' B U
D L F' R' D2 B U
U' L F' R' D B2 U
U2 L F' R' B U R2
U2 L F' R' B' U R2
D L F' R' B U D
D L F' R' B U D'
D L F' R' B U D2
D L F' R' B D U
D L F' R' B D' U
D L F' R' B D2 U
U2 L F' R' B2 U R2
U' L F' R' B U R2
U' L F' R' B' U R2
U' L F' R' B2 U R2
U2 L F' U R D' F2
U' L F' U R D' F2
U L F' R' U R2 D
U L F' R' U R2 D'
U L F' R' U R2 D2
D' L F' D R' B' U
U L F' R' D B2 U
U L F' R' B U R2
D2 L F' D' R' B U
U L F' R' B' U R2
U L F' R' B2 U R2
D' L F' D' R' B' U
U2 L F' D R' U R2
U' L F' D R' U R2
D' L F' D2 R' B' U
U L F' U R D' F2
U2 L F' D' R' U R2
U' L F' D' R' U R2
D2 L F' B U R' F'
U2 L F' D2 R' U R2
U' L F' D2 R' U R2
U L F' D R' U R2
U L F' D' R' U R2
U L F' D2 R' U R2
D' L F2 R' F B' U
D' L F2 R' B' F U
F' L F2 R' F2 U R
U2 L F2 R' F U R
U' L F2 R' F U R
D L F2 R' F B U
D L F2 R' B F U
F L F2 R' U D2 R2
F L F2 R' U' L2 U2
F L F2 R' D' B2 U
F L F2 R' D2 U R2
U L F2 R' F U R
F L F2 D' R' B2 U
F L F2 D2 R' U R'
F' L B R2 U R' F'
F' L B U R' F' R2
D2 L B F' U R' F'
F' L B' U D' R F'
F' L B' D' U R F'
D' L B' D2 F' R U
F' L B2 U2 L U' R
F' L' R' U R2 D' B2
F' L' R' B L2 U R2
F' L' R' B' L2 U R2
F' L' R' B2 L2 U R2
F' L' U R D' F2 B2
F' L' U R D' B2 F2
F L' U L2 R' F2 U
F L' U L2 F2 R' U
F L' U R' L2 F2 U
F L' U R' F2 L2 U
F L' U F2 L2 R' U
F L' U F2 R' L2 U
F' L' D' R' U R2 B2
F' L' D' R' U B2 R2
U' L' F' L2 R' U R2
U2 L' F' L2 R' U R2
U' L' F' R' L2 U R2
D L' F' L2 R' B U
U2 L' F' R' L2 U R2
D L' F' R' L2 B U
D L' F' R' B L2 U
U L' F' L2 R' U R2
U L' F' R' L2 U R2
F' L2 R' D L' B2 U
F' L2 R' D B2 L' U
F' L2 R' B L' U R2
F' L2 R' B' L' U R2
F' L2 R' B2 L' U R2
F' L2 D L' R' U R2
F' L2 D R' L' U R2
F' L2 D' L' R' U R2
F' L2 D' R' L' U R2
F' L2 D2 L' R' U R2
F' L2 D2 R' L' U R2
L2 U L' F' R' U R2
L' U L2 F' R' U R2
F' R L B R2 U R2
F' R L B' R2 U R2
F' R L B2 R2 U R2
L' U F' L2 R' U R2
L' U F' R' L2 U R2
F2 R F L R2 U R'
L2 U' L' F' R' U R2
F2 R F R2 L U R'
L' U' L2 F' R' U R2
F R F2 L R2 U R'
F R F2 R2 L U R'
F' R' L U R D R
F' R' L U R D' R
F' R' L U R D2 R
F' R' L U R' D R'
F' R' L U R' D' R'
F' R' L U R' D2 R'
F' R' L U F' R2 F
F' R' L U F2 R2 F2
F' R' L U B R2 B'
F' R' L U B2 R2 B2
F' R' L U' L U2 R2
F' R' L U' L' U2 R2
F' R' L U' L2 U2 R2
F' R' L U' D2 L2 U2
D' R' L D B' U L
F' R' L U2 D' F2 U'
F' R' L U2 F U' R2
F' R' L U2 F' U' R2
F' R' L U2 F2 U' R2
F' R' L D B2 U D
F' R' L D B2 U D'
F' R' L D B2 U D2
F' R' L D B2 D U
F' R' L D B2 D' U
F' R' L D B2 D2 U
F' R' L D' U2 F2 U'
F' R' L D2 U' L2 U2
F' R' L B U R2 D
F' R' L B U R2 D'
F' R' L B U R2 D2
F' R' L B D B2 U
F' R' L B' U R2 D
F' R' L B' U R2 D'
F' R' L B' U R2 D2
F' R' L B' D B2 U
F' R' L B2 U R2 D
F' R' L B2 U R2 D'
F' R' L B2 U R2 D2
F' R' L B2 D B2 U
F' R' L' U R2 D' B2
F R' L D' B2 U L2
F R' L F2 U D2 R2
F R' L F2 U' L2 U2
F R' L F2 D' B2 U
F R' L F2 D2 U R2
F' R' L' B L2 U R2
F' R' L' B' L2 U R2
F' R' L' B2 L2 U R2
F' R' L2 D L' B2 U
F' R' L2 D B2 L' U
L' U' F' L2 R' U R2
L' U' F' R' L2 U R2
F' R' L2 B L' U R2
F' R' L2 B' L' U R2
F' R' L2 B2 L' U R2
F' R' U R2 U' L U
D2 R' D L B' U L
F' R' D L U D' R2
F' R' D L D' U R2
F' R' D L B2 U D
F' R' D L B2 U D'
F' R' D L B2 U D2
F' R' D L B2 D U
F' R' D L B2 D' U
F' R' D L B2 D2 U
F' R' D L' B2 L2 U
F' R' D L2 B2 L' U
F2 R' D F L U R
F' R' D B2 U2 R' U'
F' R' D' L U D R2
F' R' D' L U2 F2 U'
F' R' D' L D U R2
F' R' D' L D2 B2 U
F2 R' D' F L U R
F' R' D2 L U' L U2
F' R' D2 L B2 U R'
F2 R' D2 F L U R
F' R' F L F' U R2
F2 R' F L U R D
F2 R' F L U R D'
F2 R' F L U R D2
F2 R' F L U D R
F2 R' F L U D' R
F2 R' F L U D2 R
F2 R' F L D U R
F2 R' F L D' U R
F2 R' F L D2 U R
F2 R' F L B U R
F2 R' F L B' U R
F2 R' F L B2 U R
L2 U2 L' F' R' U R2
F2 R' F D L U R
F2 R' F D' L U R
F2 R' F D2 L U R
L' U2 L2 F' R' U R2
F2 R' F B' U R B
F R' F' L F' U R
F' R' F2 L F2 U R2
F2 R' F2 L F' U R
F R' F2 L U R D
F R' F2 L U R D'
F R' F2 L U R D2
F R' F2 L U D R
F R' F2 L U D' R
F R' F2 L U D2 R
F R' F2 L D U R
F R' F2 L D' U R
F R' F2 L D2 U R
F R' F2 L B U R
F R' F2 L B' U R
F R' F2 L B2 U R
F R' F2 D L U R
F R' F2 D' L U R
F R' F2 D2 L U R
F R' F2 B' U R B
F' R' B' U R B R
F2 R' B' F U R B
F' R' B2 U2 R' U' R'
F' R' B2 D B2 L U
F R' B' F2 U R B
F' R2 L U R' D' F2
F' R2 L D R U R2
F' R2 L D' R U R2
F' R2 L D2 R U R2
L' U2 F' L2 R' U R2
L' U2 F' R' L2 U R2
F' R2 D L R U R2
F' R2 D R L U R2
F' R2 D' L R U R2
F' R2 D' R L U R2
F' R2 D2 L R U R2
F' R2 D2 R L U R2
L2 D L' F' R' B U
F' U L R' U L' R2
F' U L R' U R2 L'
D' U L F' R' B' U
U' D L F' R' B U
U2 D L F' R' B U
D U L F' R' B U
U D L F' R' B U
L D F R' F2 B U
L D F R' B F2 U
F' U R U' L R2 U
F' U R U' R2 L U
L D F' R' D B U
L D F' R' D' B U
L D F' R' D2 B U
L D F' R' B U D
L D F' R' B U D'
L D F' R' B U D2
L D F' R' B D U
L D F' R' B D' U
L D F' R' B D2 U
F' U R' L U L' R2
F' U R' L U R2 L'
L D F2 R' F B U
L D F2 R' B F U
F U R' F2 L U R
D' U F' L R' B' U
U' D F' L R' B U
D' U F' R' L B' U
U' D F' R' L B U
R' D' L D2 B' U L
R' D' L F B' U L'
U2 D F' L R' B U
R' D' L B' F U L'
U2 D F' R' L B U
D U F' L R' B U
D U F' R' L B U
U D F' L R' B U
U D F' R' L B U
F U F2 L R' U R2
F U F2 R' L U R2
D' U' L F' R' B' U
U' D' L F' R' B' U
U2 D' L F' R' B' U
D U' L F' R' B U
U D' L F' R' B' U
R' D' F L B' U L2
L D' F' D2 R' B U
U' D' F' L R' B' U
D' U' F' L R' B' U
U' D' F' R' L B' U
D' U' F' R' L B' U
U2 D' F' L R' B' U
U2 D' F' R' L B' U
D U' F' L R' B U
D U' F' R' L B U
U D' F' L R' B' U
U D' F' R' L B' U
F U' R' F2 L U R
D' U2 L F' R' B' U
D U2 L F' R' B U
F U' F2 L R' U R2
F U' F2 R' L U R2
D' U2 F' L R' B' U
D' U2 F' R' L B' U
D U2 F' L R' B U
D U2 F' R' L B U
L D2 F' R' B U R'
L D2 F' D' R' B U
L D2 F' B U R' F'
F U2 R' F2 L U R
L D2 B F' U R' F'
D' F L R' F2 B' U
D' F L R' B' F2 U
D' F L F2 R' B' U
D F L R' F2 B U
D F L R' B F2 U
D F L F2 R' B U
D' F R' L F2 B' U
D' F R' L B' F2 U
U' F R' F2 L U R
D' F R' F2 L B' U
L' F R' F2 L2 U R
F U2 F2 L R' U R2
D F R' L F2 B U
