D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
D' L' U2 L' R2 F
D' L' U2 L' F R2
D' L' U2 R2 L' F
D L2 R2 U2 D F
D L2 R2 U2 D' F
D L2 R2 U2 D2 F
D L2 R2 U2 F D
D L2 R2 U2 F D'
D L2 R2 U2 F D2
D L2 R2 D U2 F
D L2 R2 D' U2 F
D L2 R2 D2 U2 F
D L2 R2 B U2 F
D L2 R2 B' U2 F
D L2 R2 B2 U2 F
D L2 U2 D2 F L2
D L2 U2 F D2 L2
U2 L2 D' R2 F L2
U2 L2 D' F L2 R2
U2 L2 D' F R2 L2
D L2 D2 U2 F L2
D' L2 F R2 D B
D' L2 F R2 D' B
D' L2 F R2 D' B
D' L2 F R2 D2 B
D' L2 F R2 B D
D' L2 F R2 B D'
D' L2 F R2 B D2
D' L2 F B R2 B
D' L2 F B' R2 B
D' L2 F B2 R2 B
D L2 B R2 U2 F
D' L2 B F R2 B
D L2 B' R2 U2 F
D' L2 B' F R2 B
D L2 B2 R2 U2 F
D' L2 B2 F R2 B
B' R U F2 B' U
B' R U B' F2 U
L2 U F2 B2 U F'
D' R U2 L2 R F
D' R U2 R L2 F
L2 U B2 F2 U F'
U2 R D' L2 R2 F
U2 R D' L2 F R2
U2 R D' R2 L2 F
D' R B' U2 L2 R
D' R B' U2 R L2
D R B' L2 R U2
D R B' R L2 U2
B' R' U F2 B' U
B' R' U B' F2 U
D' R' U2 L2 R' F
D' R' U2 L2 F R'
D' R' U2 R' L2 F
U2 R' D' L2 R2 F
U2 R' D' L2 F R2
U2 R' D' R2 L2 F
R' U2 D' L2 R2 F
R' U2 D' L2 F R2
R' U2 D' L2 F R2
R' U2 D' R2 L2 F
R2 U2 D' L2 R2 F
R2 U2 D' L2 F R2
R2 U2 D' R2 L2 F
L2 U2 D' R2 F L2
L2 U2 D' F L2 R2
L2 U2 D' F R2 L2
R U2 D' L2 R2 F
R U2 D' L2 F R2
R U2 D' R2 L2 F
D R2 L2 U2 D F
D R2 L2 U2 D' F
D R2 L2 U2 D2 F
D R2 L2 U2 F D
D R2 L2 U2 F D'
D R2 L2 U2 F D2
D R2 L2 D U2 F
D R2 L2 D' U2 F
B' R2 U F2 B' U
D R2 L2 D2 U2 F
B' R2 U B' F2 U
D R2 L2 B U2 F
D R2 L2 B' U2 F
D R2 L2 B2 U2 F
U2 R2 D' L2 R2 F
U2 R2 D' L2 F R2
U2 R2 D' R2 L2 F
R' D L2 R2 U2 F
R2 D L2 R2 U2 F
D R2 D2 B' U2 R2
D' R2 F' L2 F B'
D' R2 F' L2 B' F
L2 D L2 R2 B' U2
R D L2 R2 U2 F
L2 D L2 B' R2 U2
R' D R2 L2 U2 F
R' D R2 B' L2 U2
R2 D R2 L2 U2 F
D R2 B L2 B2 U2
L2 D R2 L2 B' U2
R2 D R2 B' L2 U2
R D R2 L2 U2 F
D R2 B' L2 U2 D
D R2 B' L2 U2 D'
D R2 B' L2 U2 D2
D R2 B' L2 D U2
D R2 B' L2 D' U2
D R2 B' L2 D2 U2
R D R2 B' L2 U2
D R2 B' U2 D2 R2
D R2 B' D2 U2 R2
D R2 B2 L2 B U2
R' D B' L2 R2 U2
R' D B' R2 L2 U2
R2 D B' L2 R2 U2
R2 D B' R2 L2 U2
R D B' L2 R2 U2
R D B' R2 L2 U2
B' U D' B' U L2
R' D' L2 F R2 B
R2 D' L2 F R2 B
B' U F2 D B' U
B' U F2 D' B' U
B' U F2 D2 B' U
R D' L2 F R2 B
B' U F2 B' U D
B' U F2 B' U D'
B' U F2 B' U D2
B' U F2 B' D U
B' U F2 B' D' U
B' U F2 B' D2 U
B' U B' U D' L2
B' U B' D' U L2
R' D' U2 L2 R2 F
R' D' U2 L2 F R2
B' U B' F2 U D
B' U B' F2 U D'
B' U B' F2 U D2
B' U B' F2 D U
B' U B' F2 D' U
B' U B' F2 D2 U
R' D' U2 R2 L2 F
U2 D' L2 R' F R'
U2 D' L2 R2 D F
U2 D' L2 R2 D' F
U2 D' L2 R2 D2 F
U2 D' L2 R2 F D
U2 D' L2 R2 F D'
U2 D' L2 R2 F D2
U2 D' L2 F R2 D
U2 D' L2 F R2 D'
U2 D' L2 F R2 D2
U2 D' L2 F' R2 F2
R2 D' U2 L2 R2 F
R2 D' U2 L2 F R2
R2 D' U2 R2 L2 F
L2 D' U2 R2 F L2
L2 D' U2 F L2 R2
L2 D' U2 F R2 L2
U2 D' R' L2 F R'
L2 D' F L2 R2 B
L2 D' F R2 L2 B
L2 D' F R2 B L2
R D' U2 L2 R2 F
R D' U2 L2 F R2
R D' U2 R2 L2 F
U2 D' R2 L2 D F
U2 D' R2 L2 D' F
U2 D' R2 L2 D2 F
U2 D' R2 L2 F D
U2 D' R2 L2 F D'
U2 D' R2 L2 F D2
U2 D' R2 F L2 F
U2 D' R2 F' L2 F
U2 D' R2 F2 L2 F
U2 D' F L2 R2 F
U2 D' F L2 F R2
U2 D' F R2 L2 F
R' D' B' U2 L2 R2
R' D' B' U2 R2 L2
U2 D' F' L2 R2 F
U2 D' F' L2 F R2
U2 D' F' R2 L2 F
U2 D' F2 L2 R2 F
U2 D' F2 L2 F R2
U2 D' F2 R2 L2 F
R2 D' B' U2 L2 R2
R2 D' B' U2 R2 L2
R D' B' U2 L2 R2
R D' B' U2 R2 L2
D' U2 L2 R' F R'
D' U2 L2 R2 D F
D' U2 L2 R2 D' F
D' U2 L2 R2 D2 F
D' U2 L2 R2 F D
D' U2 L2 R2 F D'
D' U2 L2 R2 F D2
D' U2 L2 F R2 D
D' U2 L2 F R2 D'
D' U2 L2 F R2 D2
D' U2 L2 F' R2 F2
D' U2 R' L2 F R'
D' U2 R2 L2 D F
D' U2 R2 L2 D' F
D' U2 R2 L2 D2 F
D' U2 R2 L2 F D
D' U2 R2 L2 F D'
D' U2 R2 L2 F D2
D' U2 R2 F L2 F
D' U2 R2 F' L2 F
D' U2 R2 F2 L2 F
D' U2 F L2 R2 F
D' U2 F L2 F R2
D' U2 F R2 L2 F
D' U2 F' L2 R2 F
D' U2 F' L2 F R2
D' U2 F' R2 L2 F
D' U2 F2 L2 R2 F
D' U2 F2 L2 F R2
D' U2 F2 R2 L2 F
D' F L2 R2 F B
D' F L2 R2 B F
D' F R2 L2 F B
D' F R2 L2 B F
B' D R2 U B' U
D' F' L2 R2 F B'
D' F' L2 R2 B' F
D' F' L2 F R2 B'
D' F' L2 F B' R2
D' F' L2 B' R2 F
D' F' L2 B' F R2
D' F' R2 L2 F B'
D' F' R2 L2 B' F
F2 D' L2 U R2 F
F2 D' L2 U F R2
B' D' U B' U L2
U F2 B2 R2 U F'
U F2 B2 U' B U2
D B L2 R2 B2 U2
D B L2 B2 R2 U2
D B R2 L2 B2 U2
D B R2 B2 L2 U2
D' B' L U2 L R2
D' B' L U2 R2 L
D' B' L' U2 L' R2
D' B' L' U2 R2 L'
D B' L2 R2 U2 D
D B' L2 R2 U2 D'
D B' L2 R2 U2 D2
D B' L2 R2 D U2
D B' L2 R2 D' U2
D B' L2 R2 D2 U2
D' B' R U2 L2 R
D' B' R U2 R L2
D B' L2 U2 D2 L2
D B' L2 D2 U2 L2
D' B' R' U2 L2 R'
D' B' R' U2 R' L2
R' B' U F2 B' U
R' B' U B' F2 U
D B' R2 L2 U2 D
D B' R2 L2 U2 D'
D B' R2 L2 U2 D2
D B' R2 L2 D U2
D B' R2 L2 D' U2
D B' R2 L2 D2 U2
D B' R2 U2 D2 R2
R2 B' U F2 B' U
D B' R2 D2 U2 R2
R2 B' U B' F2 U
D2 B' U' F2 B' U'
D2 B' U' B' F2 U'
D' B' U2 L2 R2 D
D' B' U2 L2 R2 D'
D' B' U2 L2 R2 D2
D' B' U2 R2 L2 D
D' B' U2 R2 L2 D'
D' B' U2 R2 L2 D2
D B' U2 D2 L2 R2
D B' U2 D2 R2 L2
R B' U F2 B' U
R B' U B' F2 U
D' B' D2 L2 R2 U2
D' B' D2 R2 L2 U2
D B' D2 U2 L2 R2
D B' D2 U2 R2 L2
D B2 L2 R2 U2 F'
D B2 L2 R2 U2 F'
D B2 L2 B R2 U2
D' B2 R2 F' L2 B'
D B2 R2 L2 U2 F'
D' B2 U2 L2 R2 F'
D' B2 U2 R2 L2 F'
D' B2 U2 R2 F' L2
U B2 R2 F2 U F
F2 B2 U' F2 B U2
B2 F2 U' F2 B U2
F2 B2 U' B F2 U2
B2 F2 U' B F2 U2
U B2 F2 R2 U F'
U B2 F2 U' B U2
L2 R U F2 B2 U F'
D' L R' U2 L R' F'
D' L R' U2 R' L F'
D' L R' U2 R' F' L
L2 R U B2 F2 U F'
D L R2 D L U2 F
D L R2 D' L U2 F
D L R2 D2 L U2 F
L2 R U2 D' R2 F L2
L2 R U2 D' F L2 R2
L2 R U2 D' F R2 L2
D L R2 B2 U2 R' F'
L2 R D L2 R2 B' U2
B' L U F2 B' U R'
L2 R D L2 B' R2 U2
B' L U B' F2 U R'
L2 R D R2 L2 B' U2
D' L U2 L R' F' R'
L2 R D' U2 R2 F L2
L2 R D' U2 F L2 R2
L2 R D' U2 F R2 L2
L2 R D' F L2 R2 B
L2 R D' F R2 L2 B
L2 R D' F R2 B L2
D' L U2 R' L F' R'
D' L U2 R' F' L R'
D' L U2 R' F' R' L
U2 L D' L R2 F L
U2 L D' L F L R2
U2 L D' L F R2 L
U2 L D' R2 L F L
D L D2 L U2 F L
D' L D2 L2 U2 L' F
D' L F L R2 F B
D' L F L R2 B F
D' L F R2 L F B
D' L F R2 L B F
B2 L F2 U' F2 B U2
B2 L F2 U' B F2 U2
B2 L B U F2 B' U
B2 L B U B' F2 U
L2 R' U F2 B2 U F'
L2 R' U B2 F2 U F'
D' L B2 R' U2 R' F'
B L B2 U F2 B' U
B L B2 U B' F2 U
L2 R' U2 D' R2 F L2
L2 R' U2 D' F L2 R2
L2 R' U2 D' F R2 L2
D' L' R U2 L' R F
D' L' R U2 R L' F
L2 R' D L2 R2 B' U2
L2 R' D L2 B' R2 U2
L2 R' D R2 L2 B' U2
D' L' R' U2 L' R' F
D' L' R' U2 L' F R'
D' L' R' U2 R' L' F
L2 R' D' U2 R2 F L2
L2 R' D' U2 F L2 R2
L2 R' D' U2 F R2 L2
L2 R' D' F L2 R2 B
L2 R' D' F R2 L2 B
L2 R' D' F R2 B L2
D L' R2 B L' U2 F
D L' R2 B' L' U2 F
D L' R2 B2 L' U2 F
D' L' U2 L' R' F R'
D' L' U2 L' R2 D F
D' L' U2 L' R2 D' F
D' L' U2 L' R2 D2 F
D' L' U2 L' R2 F D
D' L' U2 L' R2 F D'
D' L' U2 L' R2 F D2
D' L' U2 L' F R2 D
D' L' U2 L' F R2 D'
D' L' U2 L' F R2 D2
D' L' U2 L' F' R2 F2
D' L' U2 R' L' F R'
D' L' U2 R2 L' D F
D' L' U2 R2 L' D' F
D' L' U2 R2 L' D2 F
D' L' U2 R2 L' F D
D' L' U2 R2 L' F D'
D' L' U2 R2 L' F D2
R' L2 U F2 B2 U F'
R' L2 U B2 F2 U F'
L2 R2 U F2 B2 U F'
R2 L2 U F2 B2 U F'
R L2 U F2 B2 U F'
L2 R2 U B2 F2 U F'
R2 L2 U B2 F2 U F'
R L2 U B2 F2 U F'
B2 L' F2 U' F2 B U2
B2 L' F2 U' B F2 U2
D' L' B L' F R2 B
R' L2 U2 D' R2 F L2
R' L2 U2 D' F L2 R2
R' L2 U2 D' F R2 L2
D L' B L' R2 U2 F
D' L' B U2 L' R2 F
D' L' B U2 L' F R2
D' L' B U2 R2 L' F
D L' B R2 L' U2 F
B2 L' B U F2 B' U
L2 R2 U2 D' R2 F L2
B2 L' B U B' F2 U
L2 R2 U2 D' F L2 R2
L2 R2 U2 D' F R2 L2
R2 L2 U2 D' R2 F L2
R2 L2 U2 D' F L2 R2
R2 L2 U2 D' F R2 L2
R L2 U2 D' R2 F L2
R L2 U2 D' F L2 R2
R L2 U2 D' F R2 L2
R' L2 D L2 R2 B' U2
R' L2 D L2 B' R2 U2
D' L' B' L' F R2 B
R' L2 D R2 L2 B' U2
L2 R2 D L2 R2 B' U2
R2 L2 D L2 R2 B' U2
L2 R2 D L2 B' R2 U2
D L' B' L' R2 U2 F
R2 L2 D L2 B' R2 U2
D' L' B' U2 L' R2 F
D' L' B' U2 L' F R2
L2 R2 D R2 L2 B' U2
D' L' B' U2 R2 L' F
R2 L2 D R2 L2 B' U2
R L2 D L2 R2 B' U2
R L2 D L2 B' R2 U2
D L' B' R2 L' U2 F
R L2 D R2 L2 B' U2
D' L' B2 L' F R2 B
R' L2 D' U2 R2 F L2
R' L2 D' U2 F L2 R2
R' L2 D' U2 F R2 L2
D L' B2 L' R2 U2 F
R' L2 D' F L2 R2 B
R' L2 D' F R2 L2 B
R' L2 D' F R2 B L2
D' L' B2 U2 L' R2 F
D' L' B2 U2 L' F R2
D' L' B2 U2 R2 L' F
D L' B2 R2 L' U2 F
L2 R2 D' U2 R2 F L2
L2 R2 D' U2 F L2 R2
L2 R2 D' U2 F R2 L2
L2 R2 D' F L2 R2 B
R2 L2 D' U2 R2 F L2
B L' B2 U F2 B' U
R2 L2 D' U2 F L2 R2
L2 R2 D' F R2 L2 B
R2 L2 D' U2 F R2 L2
L2 R2 D' F R2 B L2
B L' B2 U B' F2 U
R2 L2 D' F L2 R2 B
R2 L2 D' F R2 L2 B
R2 L2 D' F R2 B L2
R L2 D' U2 R2 F L2
R L2 D' U2 F L2 R2
R L2 D' U2 F R2 L2
R L2 D' F L2 R2 B
R L2 D' F R2 L2 B
R L2 D' F R2 B L2
U2 L2 R D' R2 F L2
D L2 R U2 F2 L' F'
U2 L2 R D' F L2 R2
U2 L2 R D' F R2 L2
D L2 R D R U2 F
D L2 R D' R U2 F
D L2 R D2 R U2 F
D L2 R B R U2 F
D L2 R B' R U2 F
D L2 R B2 R U2 F
D' L2 R' F R2 B R
U2 L2 R' D' R2 F L2
U2 L2 R' D' F L2 R2
U2 L2 R' D' F R2 L2
D L2 R' D R' U2 F
D L2 R' D' R' U2 F
D L2 R' D2 R' U2 F
D L2 R' B2 U2 F L
D L2 R2 U R U F
D L2 R2 U R' U F
D L2 R2 U R2 U F
D' L2 R2 F R2 B R2
D' L2 R2 F U2 F' U2
D L2 R2 U2 R F R'
D L2 R2 U2 R2 F R2
D L2 R2 U2 D F D
D L2 R2 U2 D F D'
D L2 R2 U2 D F D2
D L2 R2 U2 D' F D
D L2 R2 U2 D' F D'
D L2 R2 U2 D' F D2
D L2 R2 U2 D2 F D
D L2 R2 U2 D2 F D'
D L2 R2 U2 D2 F D2
D L2 R2 U2 F2 D F'
D L2 R2 U2 F2 D' F'
D L2 R2 U2 F2 D2 F'
U2 L2 R2 D' R2 F L2
U2 L2 R2 D' F L2 R2
U2 L2 R2 D' F R2 L2
D L2 R2 D U2 F D
D L2 R2 D U2 F D'
D L2 R2 D U2 F D2
D' L2 R2 F2 D2 F' B2
D' L2 R2 F2 D2 B2 F'
D L2 R2 D B U2 F
D L2 R2 D B' U2 F
D L2 R2 D B2 U2 F
D L2 R2 D' U2 F D
D L2 R2 D' U2 F D'
D L2 R2 D' U2 F D2
D L2 R2 D' B U2 F
D L2 R2 D' B' U2 F
D L2 R2 D' B2 U2 F
D L2 R2 D2 U2 F D
D L2 R2 D2 U2 F D'
D L2 R2 D2 U2 F D2
D L2 R2 D2 B U2 F
D L2 R2 D2 B' U2 F
D L2 R2 D2 B2 U2 F
D L2 R2 B U2 D F
D L2 R2 B U2 D' F
D L2 R2 B U2 D2 F
D L2 R2 B U2 F D
D L2 R2 B U2 F D'
D L2 R2 B U2 F D2
D L2 R2 B D U2 F
D L2 R2 B D' U2 F
D L2 R2 B D2 U2 F
D L2 R2 B' U2 D F
D L2 R2 B' U2 D' F
D L2 R2 B' U2 D2 F
D L2 R2 B' U2 F D
D L2 R2 B' U2 F D'
D L2 R2 B' U2 F D2
D L2 R2 B' D U2 F
D L2 R2 B' D' U2 F
D L2 R2 B' D2 U2 F
D L2 R2 B2 U2 D F
D L2 R2 B2 U2 D' F
D L2 R2 B2 U2 D2 F
D L2 R2 B2 U2 F D
D L2 R2 B2 U2 F D'
D L2 R2 B2 U2 F D2
D L2 R2 B2 D U2 F
D L2 R2 B2 D' U2 F
D L2 R2 B2 D2 U2 F
B' L2 U F2 U2 F' U'
D L2 U D' F2 U F'
B' L2 U' D' F U' L2
B' L2 U' D2 F B2 U'
U' L2 U' D' R2 F L2
U' L2 U' D' F L2 R2
U' L2 U' D' F R2 L2
B' L2 U' D2 B2 F U'
B' L2 U' F U2 F U
D2 L2 U' F2 B2 U' F'
D L2 U' D B2 U' F
D2 L2 U' B2 F2 U' F'
U2 L2 U' F2 B2 U F'
U2 L2 U' B2 F2 U F'
D' L2 U2 R2 D2 F L2
D' L2 U2 R2 F D2 L2
D2 L2 U2 D R2 F L2
D2 L2 U2 D F L2 R2
D2 L2 U2 D F R2 L2
D L2 U2 L2 D2 L2 F
D' L2 U2 F R2 D2 L2
D L2 U2 D F D L2
U' L2 U2 F2 B2 U F'
D L2 U2 D2 F L2 D
D L2 U2 D2 F L2 D'
D L2 U2 D2 F L2 D2
D L2 U2 D2 F' L2 F2
D L2 U2 D2 F2 L2 F'
D L2 U2 F L D2 L2
D L2 U2 F L' D2 L2
D L2 U2 F L2 D2 L2
D L2 U2 F U2 R2 U2
D L2 U2 F D2 L2 D
D L2 U2 F D2 L2 D'
D L2 U2 F D2 L2 D2
U' L2 U2 B2 F2 U F'
D L2 U2 F2 D2 L2 F'
D L2 U2 F2 D2 F' L2
B' L2 D R2 U' F U'
D2 L2 D U2 R2 F L2
D2 L2 D U2 F L2 R2
D2 L2 D U2 F R2 L2
D2 L2 D F L2 R2 B
D2 L2 D F R2 L2 B
D2 L2 D F R2 B L2
D' L2 D F D' R2 B
U2 L2 D F D2 L2 R2
U2 L2 D F D2 R2 L2
D L2 D U' B2 U' F
D L2 D U2 F D L2
D2 L2 D' L2 R2 B' U2
D2 L2 D' L2 B' R2 U2
D2 L2 D' R2 L2 B' U2
B' L2 D' U' F U' L2
U' L2 D' U' R2 F L2
U' L2 D' U' F L2 R2
U' L2 D' U' F R2 L2
U2 L2 D' R' F L2 R'
U2 L2 D' R' F R' L2
