F' L' U R' F
F' L' U F R'
F' L' R U R2 F
F' L' R U F R2
F' L' R2 U R F
F' L' U R F R2
F' L' U R' D F
F' L' U R' D' F
F' L' U R' D2 F
F' L' U R' F D
F' L' U R' F D'
F' L' U R' F D2
F' L' U D R' F
F' L' U D F R'
F' L' U D' R' F
F' L' U D' F R'
F' L' U D2 R' F
F' L' U D2 F R'
F' L' U F R' D
F' L' U F R' D'
F' L' U F R' D2
F' L' U F D R'
F' L' U F D' R'
F' L' U F D2 R'
F' L' U F' R' F2
F' L' D U R' F
F' L' D U F R'
F' L' D' U R' F
F' L' D' U F R'
F' L' D2 U R' F
F' L' D2 U F R'
F' R L' U R2 F
F' R L' U F R2
F' R2 L' U R F
L' F' L' U R' F2
L' F' L' U F2 R'
D F' L' R U R2
D F' R L' U R2
D L F' L' R U R2
D L F' R L' U R2
F' L' R U R' F R'
F' L' R U R2 D F
F' L' R U R2 D' F
F' L' R U R2 D2 F
F' L' R U R2 F D
F' L' R U R2 F D'
F' L' R U R2 F D2
F' L' R U F R2 D
F' L' R U F R2 D'
F' L' R U F R2 D2
F' L' R U F' R2 F2
F' L' R D B2 U F
F' L' R B U R2 F
F' L' R B U F R2
F' L' R B' U R2 F
F' L' R B' U F R2
F' L' R B2 U R2 F
F' L' R B2 U F R2
F L' R' D' F L2 B'
U L' R' D F B' L
U L' R' D B' F L
U L' R' D' F B' L'
U L' R' D' B' F L'
U L' R' F D B' L
F' L' R2 U R D F
F' L' R2 U R D' F
F' L' R2 U R D2 F
F' L' R2 U R F D
F' L' R2 U R F D'
F' L' R2 U R F D2
F' L' R2 U R' F R2
F' L' R2 U R2 F R'
F' L' R2 U D R F
F' L' R2 U D' R F
F' L' R2 U D2 R F
F' L' R2 D U R F
U L' R' B' D' F L'
F' L' R2 D' U R F
F' L' R2 D2 U R F
F' L' R2 B U R F
F' L' R2 B' U R F
F' L' R2 B2 U R F
F' L' U R F R2 D
F' L' U R F R2 D'
F' L' U R F R2 D2
F' L' U R F' R2 F2
F' L' U R' D F D
F' L' U R' D F D'
F' L' U R' D F D2
F' L' U R' D' F D
F' L' U R' D' F D'
F' L' U R' D' F D2
F' L' U R' D2 F D
F' L' U R' D2 F D'
F' L' U R' D2 F D2
F' L' U R' F2 D F'
F' L' U R' F2 D' F'
F' L' U R' F2 D2 F'
F' L' U R2 D R F
F' L' U R2 D' R F
F' L' U R2 D2 R F
F' L' U D R F R2
F' L' U D R' D F
F' L' U D R' D' F
F' L' U D R' D2 F
F' L' U D R' F D
F' L' U D R' F D'
F' L' U D R' F D2
F' L' U D F R' D
F' L' U D F R' D'
F' L' U D F R' D2
F' L' U D F D R'
F' L' U D F D' R'
F' L' U D F D2 R'
F' L' U D F' R' F2
F' L' U D' R F R2
F' L' U D' R' D F
F' L' U D' R' D' F
F' L' U D' R' D2 F
F' L' U D' R' F D
F' L' U D' R' F D'
F' L' U D' R' F D2
F' L' U D' F R' D
F' L' U D' F R' D'
F' L' U D' F R' D2
F' L' U D' F D R'
F' L' U D' F D' R'
F' L' U D' F D2 R'
F' L' U D' F' R' F2
F' L' U D2 R F R2
F' L' U D2 R' D F
F' L' U D2 R' D' F
F' L' U D2 R' D2 F
F' L' U D2 R' F D
F' L' U D2 R' F D'
F' L' U D2 R' F D2
F' L' U D2 F R' D
F' L' U D2 F R' D'
F' L' U D2 F R' D2
F' L' U D2 F D R'
F' L' U D2 F D' R'
F' L' U D2 F D2 R'
F' L' U D2 F' R' F2
F' L' U F R2 D R
F' L' U F R2 D' R
F' L' U F R2 D2 R
F' L' U F D R' D
F' L' U F D R' D'
F' L' U F D R' D2
F' L' U F D' R' D
F' L' U F D' R' D'
F' L' U F D' R' D2
F' L' U F D2 R' D
F' L' U F D2 R' D'
F' L' U F D2 R' D2
F' L' U F' R F2 R2
F' L' U F' R' F2 D
F' L' U F' R' F2 D'
F' L' U F' R' F2 D2
F' L' U F2 D F' R'
F' L' U F2 D' F' R'
F' L' U F2 D2 F' R'
F' L' U' L' U2 R' F'
F' L' U' B U2 F R
F' L' U2 F' U' R' F2
F' L' U2 F' U' F2 R'
F' L' U2 F2 U' F' R'
F' L' D R U R2 F
F' L' D R U F R2
F' L' D R2 U R F
F' L' D U R F R2
F' L' D U R' D F
F' L' D U R' D' F
F' L' D U R' D2 F
F' L' D U R' F D
F' L' D U R' F D'
F' L' D U R' F D2
F' L' D U F R' D
F' L' D U F R' D'
F' L' D U F R' D2
F' L' D U F D R'
F' L' D U F D' R'
F' L' D U F D2 R'
F' L' D U F' R' F2
F' L' D' R U R2 F
F' L' D' R U F R2
F' L' D' R2 U R F
F' L' D' U R F R2
F' L' D' U R' D F
F' L' D' U R' D' F
F' L' D' U R' D2 F
F' L' D' U R' F D
F' L' D' U R' F D'
F' L' D' U R' F D2
F' L' D' U F R' D
F' L' D' U F R' D'
F' L' D' U F R' D2
F' L' D' U F D R'
F' L' D' U F D' R'
F' L' D' U F D2 R'
F' L' D' U F' R' F2
R2 L' B U' R F B
R2 L' B U' R B F
F' L' D2 R U R2 F
F' L' D2 R U F R2
F' L' D2 R2 U R F
F' L' D2 U R F R2
F' L' D2 U R' D F
F' L' D2 U R' D' F
F' L' D2 U R' D2 F
F' L' D2 U R' F D
F' L' D2 U R' F D'
F' L' D2 U R' F D2
F' L' D2 U F R' D
F' L' D2 U F R' D'
F' L' D2 U F R' D2
F' L' D2 U F D R'
F' L' D2 U F D' R'
F' L' D2 U F D2 R'
F' L' D2 U F' R' F2
U L' F R' D' B' L2
U L' F R' B' D' L2
U L' F D' R' B' L2
B2 L' F' L' U F2 R
D L' F' L' R U R2
D L' F' R L' U R2
U L' F' U R' F2 B'
U L' F' U R' B' F2
U L' F' U F2 R' B'
F L' F2 L' U F' R'
L' R2 B U' R F B
L' R2 B U' R B F
F' L2 D L U R' F
F' L2 D L U F R'
F' L2 D' L U R' F
F' L2 D' L U F R'
F' L2 D2 L U R' F
F' L2 D2 L U F R'
D L2 F' L' R U R2
D L2 F' R L' U R2
L' U R' D' F L' B'
R U R2 F' L' F B'
R U R2 F' L' B' F
F' R L' U R' F R'
F' R L' U R2 D F
F' R L' U R2 D' F
F' R L' U R2 D2 F
F' R L' U R2 F D
F' R L' U R2 F D'
F' R L' U R2 F D2
F' R L' U F R2 D
F' R L' U F R2 D'
F' R L' U F R2 D2
F' R L' U F' R2 F2
F' R L' D B2 U F
F' R L' B U R2 F
F' R L' B U F R2
F' R L' B' U R2 F
F' R L' B' U F R2
F' R L' B2 U R2 F
F' R L' B2 U F R2
R U F' L' R2 F B'
R U F' L' R2 B' F
R U F' L' F R2 B'
R U F' L' F B' R2
R U F' L' B' R2 F
R U F' L' B' F R2
D2 R U F' L' R2 B'
D2 R U F' L' B' R2
D2 R U F' R2 L' B'
R U F' R2 L' F B'
R U F' R2 L' B' F
F2 R F L' U R2 F
F2 R F L' U F R2
F' R B L' U R2 F
F' R B L' U F R2
F' R B' L' U R2 F
F' R B' L' U F R2
F' R B2 L' U R2 F
F' R B2 L' U F R2
F R' L' D' F L2 B'
U R' L' D F B' L
U R' L' D B' F L
U R' L' D' F B' L'
U R' L' D' B' F L'
U R' L' F D B' L
U R' L' B' D' F L'
F2 R' U' F L' U F
F' R2 L' U R D F
F' R2 L' U R D' F
F' R2 L' U R D2 F
F' R2 L' U R F D
F' R2 L' U R F D'
F' R2 L' U R F D2
F' R2 L' U R' F R2
F' R2 L' U R2 F R'
F' R2 L' U D R F
F' R2 L' U D' R F
F' R2 L' U D2 R F
F' R2 L' D U R F
F' R2 L' D' U R F
F' R2 L' D2 U R F
F' R2 L' B U R F
F' R2 L' B' U R F
F' R2 L' B2 U R F
F' R2 D2 L' U R F'
F' R2 B L' U R F
F' R2 B' L' U R F
F' R2 B2 L' U R F
F' U L' U R' F L
F' U L' U F L R'
F' U L' U F R' L
L' D F' L' U R' F2
L' D F' L' U F2 R'
F' U R' U' L' U F
U' D F' R U B R2
F2 U F L' U R' F
F2 U F L' U F R'
F U F2 L' U R' F
F U F2 L' U F R'
L' D' F' L' U R' F2
L' D' F' L' U F2 R'
D U' F' R U B R2
F2 U' F L' U R' F
F2 U' F L' U F R'
F U' F2 L' U R' F
F U' F2 L' U F R'
L' D2 F' L' U R' F2
L' D2 F' L' U F2 R'
R2 D2 B U' R F' B
R2 D2 B U' R B F'
F2 U2 F L' U R' F
F2 U2 F L' U F R'
L' F R' D B2 D2 L2
L' F R' D' L2 D2 B2
F U2 F2 L' U R' F
F U2 F2 L' U F R'
L' F U' F2 L' U R'
L' F D R' D B2 L
L' F D' L2 R' D B2
L' F D' R' L2 D B2
L' F D2 R' D L2 B2
L' F D2 R' D B2 L2
D2 F' L' R U F' R2
D2 F' L' U R F' R2
L' F' L' R U R2 F2
L' F' L' R U F2 R2
L' F' L' R2 U R F2
L' F' L' U R F2 R2
L' F' L' U R' F2 D
L' F' L' U R' F2 D'
L' F' L' U R' F2 D2
L' F' L' U F R' F
L' F' L' U F2 R' D
L' F' L' U F2 R' D'
L' F' L' U F2 R' D2
L' F' L' U F2 D R'
L' F' L' U F2 D' R'
L' F' L' U F2 D2 R'
L' F' L' D R2 U R
D F' L' R U R2 D
D F' L' R U R2 D'
D F' L' R U R2 D2
D F' L' R D B2 U
D F' L' R B U R2
D F' L' R B' U R2
D F' L' R B2 U R2
