D B' L U' B2 R'
B' L U' F R F' B2
B' L U' F R B2 F'
B' L U' F B2 R F'
B' L U' B2 F R F'
D2 L' D F L' B R2
D2 L' D F B L' R2
D2 L' D F B R2 L'
D2 L' D B R2 F L'
D2 L' D B F L' R2
D2 L' D B F R2 L'
D2 L' B D R2 F L'
D2 L' B D F L' R2
D2 L' B D F R2 L'
B' L2 R F U' F2 B2
B' L2 R F U' B2 F2
B' L2 D' R2 F L' U'
B' L2 D' F L' R2 U'
B' L2 D' F R2 L' U'
B' L2 F R U' F' B2
B' L2 F R U' B2 F'
B' R L2 F U' F2 B2
B' R L2 F U' B2 F2
B2 R U D F' B' L
B2 R U D B' L F'
B2 R U D B' F' L
B2 R U F' D B' L
B' R U2 B' U F' B'
B' R U2 B' U B' F'
B2 R D U F' B' L
B2 R D U B' L F'
B2 R D U B' F' L
B R D L2 D2 F' R
B R D' F' D2 L2 R
B R D' F' D2 R L2
B2 R' U' B U2 L B2
B R2 U F' L' B2 U'
B R2 U F' B2 L' U'
B R2 U B2 F' L' U'
B2 R2 F' R' U F' B'
B2 R2 F' R' U B' F'
U' D B' L U' B2 R'
U2 D B' L U' B2 R'
D U B' L U' B2 R'
U D B' L U' B2 R'
B U' D B R' U L2
D U' B' L U' B2 R'
B' U' B2 R D' F' R
B' U2 R B' U F' B'
B' U2 R B' U B' F'
D U2 B' L U' B2 R'
B2 U2 B R U' F' B2
B2 U2 B R U' B2 F'
B' U2 B' R U F' B'
B' U2 B' R U B' F'
B D L2 U' B R' U
D' F B' L' U' R2 B2
D' F B' L' U' B2 R2
D F B' L U' B2 R'
L2 F B2 R U F' B'
L2 F B2 R U B' F'
B D U' B R' U L2
F' D B' L U' B2 R'
F2 D B' L U' B2 R'
B D B R' U B' L2
F D B' L U' B2 R'
B' D' L2 R2 F L' U'
B' D' L2 F L' R2 U'
B' D' L2 F R2 L' U'
B' D' R2 L2 F L' U'
B2 D' R2 F' R U B'
D F' B' L U' B2 R'
D2 F2 D' B' L U' B2
D2 F2 B' L' U' F B2
D2 F2 B' L' U' B2 F
D F2 B' L U' B2 R'
D2 B L D L2 R2 F
D2 B L D L2 F R2
D2 B L D R2 L2 F
D2 B L' D R2 F L2
D2 B L' D F L2 R2
D2 B L' D F R2 L2
D' B R D L2 R F'
D' B R D R L2 F'
D' B R D R F' L2
D B' L R U' B2 R'
D B' L R' U' B2 R'
D B' L R2 U' B2 R'
D B' L U L U2 B2
D2 B' L' F2 U' F' B2
D2 B' L' F2 U' B2 F'
D B' L U' R B2 R'
D B' L U' R' B2 R'
D B' L U' R2 B2 R'
D B' L U' B2 R' D
D B' L U' B2 R' D'
D B' L U' B2 R' D2
D B' L U' B2 D R'
D B' L U' B2 D' R'
D B' L U' B2 D2 R'
D B' L F U' B2 R'
D B' L F' U' B2 R'
D B' L F2 U' B2 R'
D B' R L U' B2 R'
D B' R' L U' B2 R'
D B' R2 L U' B2 R'
D' B' F L' U' R2 B2
D' B' F L' U' B2 R2
D B' F L U' B2 R'
D2 B' F2 L' U' F B2
D2 B' F2 L' U' B2 F
D B' F' L U' B2 R'
D B' F2 L U' B2 R'
L2 B2 R F U F2 B'
L2 B2 R F U B' F2
L2 B2 F R U F' B'
L2 B2 F R U B' F'
