B L R B2 U' B'
B L B2 R U' B
B R L B2 U' B'
B' R U' D' F2 B
B' R U' D' B F2
B' R U' B D' F2
B' R D' U' F2 B
B' R D' U' B F2
B' R D2 L2 U' B
B' R' U F' U2 F
B' U2 L' R' U B'
B' U2 R' L' U B'
R B L B2 U' B2
R2 B' U2 R' U B
R B' U2 R' U B2
B' L R U' D' F2 B
B' L R U' D' B F2
B' L R U' B D' F2
B L R U' D L2 B
B L R U' D B L2
B' L R D' U' F2 B
B' L R D' U' B F2
B' L R D2 L2 U' B
B L R D U' L2 B
B L R D U' B L2
B' L R' U F' U2 F
B L R B2 R U' B'
B L R B2 R' U' B'
B L R B2 R2 U' B'
B L R B2 U' D B'
B L R B2 U' D' B'
B L R B2 U' D2 B'
B L R B2 U' B' D
B L R B2 U' B' D'
B L R B2 U' B' D2
B L R B2 D U' B'
B L R B2 D' U' B'
B L R B2 D2 U' B'
B L R' B2 R2 U' B
B L R' B2 U F' U2
B L R2 B2 R' U' B
U2 L U' F R B U2
B' L U2 L' R' U B'
B' L U2 R' L' U B'
B L D R U' L2 B
B L D R U' B L2
L' R B L B' U' B
B L B' R B' U' B2
B L B2 R U' D B
B L B2 R U' D' B
B L B2 R U' D2 B
B L B2 R U' B D
B L B2 R U' B D'
B L B2 R U' B D2
B L B2 R D U' B
B L B2 R D' U' B
B L B2 R D2 U' B
B L B2 R' U F' U2
B L B2 U2 L' U B'
B L B2 D R U' B
B L B2 D' R U' B
B L B2 D2 R U' B
B' L' R U' D' F2 B
B' L' R U' D' B F2
B' L' R U' B D' F2
B' L' R D' U' F2 B
B' L' R D' U' B F2
B' L' R D2 L2 U' B
B' L' R' U F' U2 F
U2 L' U D' B' L F
B' L' U2 L' R' U B'
B' L' U2 R' L' U B'
R L' B L B' U' B
U2 L' D' U B' L F
B L' B2 L2 R U' B
B L' B2 R L2 U' B
B' L2 R U' D' F2 B
B' L2 R U' D' B F2
B' L2 R U' B D' F2
B' L2 R D' U' F2 B
B' L2 R D' U' B F2
B' L2 R D2 L2 U' B
B' L2 R' U F' U2 F
B' L2 U2 L' R' U B'
B' L2 U2 R' L' U B'
U2 L2 D F L' R U
U2 L2 D F R L' U
U2 L2 F L R U B'
U2 L2 F R L U B'
B L2 B2 L' R U' B
B L2 B2 R L' U' B
B' R L U' D' F2 B
B' R L U' D' B F2
B' R L U' B D' F2
B' R L D' U' F2 B
B' R L D' U' B F2
B' R L D2 L2 U' B
B R L U' D L2 B
B R L U' D B L2
B R L D U' L2 B
B R L D U' B L2
B' R L' U' D' F2 B
B' R L' U' D' B F2
B' R L' U' B D' F2
B' R L' D' U' F2 B
B' R L' D' U' B F2
B' R L' D2 L2 U' B
B R L B2 R U' B'
B R L B2 R' U' B'
B R L B2 R2 U' B'
B R L B2 U' D B'
B R L B2 U' D' B'
B R L B2 U' D2 B'
B R L B2 U' B' D
B R L B2 U' B' D'
B R L B2 U' B' D2
B R L B2 D U' B'
B R L B2 D' U' B'
B R L B2 D2 U' B'
B' R L2 U' D' F2 B
B' R L2 U' D' B F2
B' R L2 U' B D' F2
B' R L2 D' U' F2 B
B' R L2 D' U' B F2
B' R L2 D2 L2 U' B
B' R U D B2 U2 B'
B' R U' D' F2 D B
B' R U' D' F2 D' B
B' R U' D' F2 D2 B
B' R U' D' F2 B D
B' R U' D' F2 B D'
B' R U' D' F2 B D2
B' R U' D' B F2 D
B' R U' D' B F2 D'
B' R U' D' B F2 D2
B' R U' D2 B D F2
B' R U' F D' F2 B
B' R U' F D' B F2
B' R U' F B D' F2
B' R U' F' D' F2 B
B' R U' F' D' B F2
B' R U' F' B D' F2
B' R U' F2 D' F2 B
B' R U' F2 D' B F2
B' R U' F2 B D' F2
B' R U' B U' R2 U
B' R U' B D' F2 D
B' R U' B D' F2 D'
B' R U' B D' F2 D2
B' R U' B F D' F2
B' R U' B F' D' F2
B' R U' B F2 D' F2
B' R U' B2 D' F2 B'
B' R U' B2 D' B' F2
B' R U2 R2 U' F' U2
B' R D U B2 U2 B'
B R D L U' L B
B' R D' L U' F2 B
B' R D' L U' B F2
B' R D' L' U' F2 B
B' R D' L' U' B F2
B' R D' L2 U' F2 B
B' R D' L2 U' B F2
B' R D' U' F2 D B
B' R D' U' F2 D' B
B' R D' U' F2 D2 B
B' R D' U' F2 B D
B' R D' U' F2 B D'
B' R D' U' F2 B D2
B' R D' U' B F2 D
B' R D' U' B F2 D'
B' R D' U' B F2 D2
B' R D2 L2 U' D B
B' R D2 L2 U' D' B
B' R D2 L2 U' D2 B
B' R D2 L2 U' B D
B' R D2 L2 U' B D'
B' R D2 L2 U' B D2
B' R D2 L2 D U' B
B' R D2 L2 D' U' B
B' R D2 L2 D2 U' B
B' R D2 U' B D F2
D2 R B L B2 U' B2
D' R B L B2 U' B2
D R B L B2 U' B2
D' R B' U2 R' U B2
D2 R B' U2 R' U B2
D R B' U2 R' U B2
B' R' L U F' U2 F
B R B2 U2 R' U B'
B' R' L' U F' U2 F
B R' L B2 R2 U' B
B R' L B2 U F' U2
B' R' L2 U F' U2 F
B' R' U D F' U2 F
B' R' U D' F' U2 F
B' R' U D2 F' U2 F
B' R' U F' U2 D F
B' R' U F' U2 D' F
B' R' U F' U2 D2 F
B' R' U F' U2 F D
B' R' U F' U2 F D'
B' R' U F' U2 F D2
B' R' U F' D U2 F
B' R' U F' D' U2 F
B' R' U F' D2 U2 F
B' R' U F' B U2 F
B' R' U F' B' U2 F
B' R' U F' B2 U2 F
B' R' U B F' U2 F
B' R' U B' F' U2 F
B' R' U B2 F' U2 F
R U' B L D F L2
R U' B L F D L2
R U' B L' D L2 F
R U' B D L F L
B' R' D U F' U2 F
B' R' D' U F' U2 F
B' R' D2 U F' U2 F
R U2 L U B L F
L' U2 L' F R U B'
B R2 L B2 R' U' B
L2 U2 F L' R U B'
L2 U2 F R L' U B'
B' R2 U2 R U' F' U2
D' R2 B' U2 R' U B
D2 R2 B' U2 R' U B
D R2 B' U2 R' U B
B R2 B2 U2 R' U B
R2 D B L R' B2 U'
R2 D B R' L B2 U'
R D B L B2 U' B2
R2 D B' U2 L R' U
R2 D B' U2 R' L U
R D B' U2 R' U B2
B' U F' U L' R' U
B' U F' U R' L' U
R D' B L B2 U' B2
R D' B' U2 R' U B2
B' U' B U' L U F
B' U2 L R' U' F U2
B' U2 L' R' U D B'
B' U2 L' R' U D' B'
B' U2 L' R' U D2 B'
B' U2 L' R' U B' D
B' U2 L' R' U B' D'
B' U2 L' R' U B' D2
B' U2 L' R' D U B'
B' U2 L' R' D' U B'
B' U2 L' R' D2 U B'
B' U2 L' D R' U B'
B' U2 L' D' R' U B'
B' U2 L' D2 R' U B'
B' U2 L2 D2 R' U B
B' U2 R' L U' F U2
B' U2 R' L' U D B'
B' U2 R' L' U D' B'
B' U2 R' L' U D2 B'
B' U2 R' L' U B' D
B' U2 R' L' U B' D'
B' U2 R' L' U B' D2
B' U2 R' L' D U B'
B' U2 R' L' D' U B'
B' U2 R' L' D2 U B'
B' U2 R' U2 R U' B
B' U2 R' D L' U B'
B' U2 R' D' L' U B'
B' U2 R' D2 L' U B'
R2 D2 B L B2 U' B
R D2 B L B2 U' B2
B' U2 D L' R' U B'
B' U2 D R' L' U B'
B' U2 D' L' R' U B'
B' U2 D' R' L' U B'
R D2 B' U2 R' U B2
B' U2 D2 L' R' U B'
B' U2 D2 R' L' U B'
F U2 F' B' L' U' B'
F U2 B' F' L' U' B'
B D L R U' L B
L2 F U2 F' L' U' B'
B' D R U' D' F2 B
B' D R U' D' B F2
B' D R U' B D' F2
B' D R D' U' F2 B
B' D R D' U' B F2
B' D R D2 L2 U' B
B' D R' U F' U2 F
B D R L U' L B
B' D U2 L' R' U B'
B' D U2 R' L' U B'
B' D' R U' D' F2 B
B' D' R U' D' B F2
B' D' R U' B D' F2
B' D' R D' U' F2 B
B' D' R D' U' B F2
B' D' R D2 L2 U' B
B' D' R' U F' U2 F
B' D' U2 L' R' U B'
B' D' U2 R' L' U B'
B2 D' B R U' F' B
B2 D' B R U' B F'
B' D2 R U' D' F2 B
B' D2 R U' D' B F2
B' D2 R U' B D' F2
B' D2 R D' U' F2 B
B' D2 R D' U' B F2
B' D2 R D2 L2 U' B
B' D2 R' U F' U2 F
D2 B L R B2 U' B'
R' B L R2 B2 U' B'
D' B L R B2 U' B'
L' B L R B' U' B2
B' D2 U2 L' R' U B'
B' D2 U2 R' L' U B'
R' B L B2 R2 U' B
R' B L B2 U F' U2
D2 B L B2 R U' B
D' B L B2 R U' B
L' B L B' R U' B
R2 B L R' B2 U' B'
D B L R B2 U' B'
R2 B L B2 R' U' B
D B L B2 R U' B
R B L R B2 U' B2
R B L R' B2 U' B2
R B L R2 B2 U' B2
D2 B R L B2 U' B'
D' B R L B2 U' B'
L' B R L B' U' B2
R B L B2 R U' B2
R B L B2 R' U' B2
R B L B2 R2 U' B2
R B L B2 U' B2 D
R B L B2 U' B2 D'
R B L B2 U' B2 D2
R B L B2 D' R2 U'
R B L' B2 L2 U' B2
D B R L B2 U' B'
R' B R2 L B2 U' B'
R2 B R' L B2 U' B'
R B L2 B2 L' U' B2
R B R L B2 U' B2
R B R' L B2 U' B2
R B R2 L B2 U' B2
U' B' L R' U' R F
R2 B' L U2 R' U B
R2 B' L' U2 R' U B
R B' L U2 R' U B2
D2 B' R U' D' F2 B
D2 B' R U' D' B F2
D2 B' R U' B D' F2
D' B' R U' D' F2 B
D' B' R U' D' B F2
D' B' R U' B D' F2
D2 B' R D' U' F2 B
D2 B' R D' U' B F2
D2 B' R D2 L2 U' B
D' B' R D' U' F2 B
D' B' R D' U' B F2
D' B' R D2 L2 U' B
U' B' R' L U' R F
R2 B' L2 U2 R' U B
R B' L' U2 R' U B2
D2 B' R' U F' U2 F
D' B' R' U F' U2 F
R2 B' R U2 R2 U B
D B' R U' D' F2 B
D B' R U' D' B F2
D B' R U' B D' F2
D B' R D' U' F2 B
D B' R D' U' B F2
R B' L2 U2 R' U B2
D B' R D2 L2 U' B
D B' R' U F' U2 F
R B' R U' B2 D' F2
R B' R U2 R2 U B2
R B' R D' R2 U' F2
U2 B' R2 F' L' U' B'
R' B' U F' U R' U
R B' R' U' B2 D2 F2
D2 B' U2 L' R' U B'
R B' R2 U2 R U B2
D' B' U2 L' R' U B'
D2 B' U2 R' L' U B'
D' B' U2 R' L' U B'
R2 B' U2 L R' U B
R2 B' U2 L' R' U B
R2 B' U2 L2 R' U B
D B' U2 L' R' U B'
R2 B' U2 R' L U B
R2 B' U2 R' L' U B
R2 B' U2 R' L2 U B
R2 B' U2 R' U D B
R2 B' U2 R' U D' B
R2 B' U2 R' U D2 B
R2 B' U2 R' U B D
R2 B' U2 R' U B D'
R2 B' U2 R' U B D2
R2 B' U2 R' D U B
R2 B' U2 R' D' U B
R2 B' U2 R' D2 U B
D B' U2 R' L' U B'
R B' U' B2 U L U'
R B' U2 L R' U B2
R B' U2 L' R' U B2
R B' U2 L2 R' U B2
R B' U2 R' L U B2
R B' U2 R' L' U B2
R B' U2 R' L2 U B2
R B' U2 R' U B2 D
R B' U2 R' U B2 D'
R B' U2 R' U B2 D2
R B' U2 R' D L2 U
R B' U2 D L2 R' U
R B' U2 D R' L2 U
R B' D U2 L2 R' U
R B' D U2 R' L2 U
R B' D' R2 U2 R U
U' B2 U B L R' U'
U' B2 U B R' L U'
