U R U F' B2
U R U B2 F'
U' R U' F' B2
U' R U' B2 F'
U2 R F' R' B2
R U2 F' B2 L
R U2 B2 L F'
R U2 B2 F' L
U2 B2 R F' R'
U L R U F' B2
U L R U B2 F'
U' L R U' F' B2
U' L R U' B2 F'
L' R F' B2 L R'
L' R F' B2 R' L
L' R B2 L F' R'
L' R B2 F' L R'
L' R B2 F' R' L
D2 L F2 B' U2 R
D2 L B' L' F2 U2
D2 L B' L' F2 U2
D2 L B' F2 U2 R
U2 L B2 D2 L' F
U' L' R U' F' B2
U' L' R U' B2 F'
U L' R U F' B2
U L' R U B2 F'
R L' F' B2 L R'
R L' F' B2 R' L
R L' F' B2 R' L
R L' B2 L F' R'
R L' B2 F' L R'
R L' B2 F' R' L
D2 L' F2 L U2 F'
U' L2 R U' F' B2
U' L2 R U' B2 F'
U L2 R U F' B2
U L2 R U B2 F'
U' R L U' F' B2
U' R L U' B2 F'
U R L U F' B2
U R L U B2 F'
U' R L' U' F' B2
U' R L' U' B2 F'
U R L' U F' B2
U R L' U B2 F'
U' R L2 U' F' B2
U' R L2 U' B2 F'
U R L2 U F' B2
U R L2 U B2 F'
U R U F' B2 D
U R U F' B2 D'
U R U F' B2 D2
U' R U' F' B2 D
U' R U' F' B2 D'
U' R U' F' B2 D2
U R U B2 D F'
U R U B2 D' F'
U R U B2 D2 F'
U R U B2 F' D
U R U B2 F' D'
U R U B2 F' D2
U' R U' B2 D F'
U' R U' B2 D' F'
U' R U' B2 D2 F'
U' R U' B2 F' D
U' R U' B2 F' D'
U' R U' B2 F' D2
F' R U2 F' B2 L
F' R U2 F' B2 L
F' R U2 B2 L F'
F' R U2 B2 F' L
F2 R U2 F' B2 L
F2 R U2 F' B2 L
F2 R U2 B2 L F'
F2 R U2 B2 F' L
U R D L2 U F'
F R U2 F' B2 L
F R U2 F' B2 L
F R U2 B2 L F'
F R U2 B2 F' L
U2 R F R' F2 B2
U2 R F R' B2 F2
U2 R F' R B2 R2
U2 R F' R' B2 D
U2 R F' R' B2 D'
U2 R F' R' B2 D2
U2 R F' R2 B2 R
U2 R F2 R' F B2
U2 R F2 R' B2 F
U' R' U B U2 B
U R' U' B U2 B
U' R' D' R2 U' F'
L' U2 R F' B2 R'
R U2 L F' B2 L
R U2 L B2 L F'
R U2 L B2 F' L
L' U2 R B2 F' R'
R U2 L' F' B2 L
R U2 L' B2 L F'
R U2 L' B2 F' L
R U2 L2 F' B2 L
L' U2 R2 B2 R' F'
R U2 L2 B2 L F'
D2 R' F2 U2 L' F
R U2 L2 B2 F' L
B' R' B R U2 B2
B2 R' B R U2 B'
B R' B R U2 B
R U2 F B2 L F2
R U2 F' L B2 L
R U2 F' L' B2 L
R U2 F' L2 B2 L
L U2 F2 R F' B2
L U2 F2 R B2 F'
L' U2 B2 R F' R2
R U2 F' B2 L D
R U2 F' B2 L D'
R U2 F' B2 L D2
R U2 F' B2 D L
R U2 F' B2 D' L
R U2 F' B2 D2 L
L U2 F2 B2 R F'
R U2 B2 L D F'
R U2 B2 L D' F'
R U2 B2 L D2 F'
R U2 B2 L F' D
R U2 B2 L F' D'
R U2 B2 L F' D2
R U2 B2 L' F' L2
L U2 B2 F2 R F'
R U2 B2 D L F'
R U2 B2 D F' L
R U2 B2 D' L F'
R U2 B2 D' F' L
R U2 B2 D2 L F'
R U2 B2 D2 F' L
R U2 B2 F L F2
R U2 B2 F' L D
R U2 B2 F' L D'
R U2 B2 F' L D2
R U2 B2 F' D L
R U2 B2 F' D' L
R U2 B2 F' D2 L
U2 R2 B2 R' F' R'
F' U R U F' B2
F' U R U B2 F'
B' U R U F' B'
B' U R U B' F'
F2 U R U F' B2
F2 U R U B2 F'
F U R U F' B2
F U R U B2 F'
F' U' R U' F' B2
F' U' R U' B2 F'
B' U' R U' F' B'
B' U' R U' B' F'
F2 U' R U' F' B2
F2 U' R U' B2 F'
F U' R U' F' B2
F U' R U' B2 F'
L' D2 L F2 B' U2
L' D2 L B' F2 U2
L D2 L' F2 U2 F'
L' D2 F2 L B' U2
R' D2 F2 B U2 L'
R' D2 B R F2 U2
F' U2 R F' R' B2
R' D2 B F2 U2 L'
B' U2 R F' R' B'
F2 U2 R F' R' B2
B U2 R F' R' B
F U2 R F' R' B2
R D2 F2 R' U2 F
U2 F R F' R' B2
B' U2 B' R F' R'
B U2 B R F' R'
F' U2 B2 R F' R'
R F R' U2 F2 B2
R F R' U2 B2 F2
F2 U2 B2 R F' R'
D' F U' L' R2 U'
D' F U' R2 L' U'
F U2 B2 R F' R'
R F U2 F2 B2 L
R F U2 B2 L F2
R F U2 B2 F2 L
U2 F B2 R F' R'
R F B2 L F2 R
U2 F' R F' R' B2
R F' L' B2 L R'
R F' L' B2 R' L
R' F' B U2 B L
U2 F' B2 R F' R'
D2 F2 L B' L' U2
U2 F2 R F' R' B2
L F2 R F' B2 L
L F2 R B2 L F'
L F2 R B2 F' L
R F2 R' U2 F B2
R F2 R' U2 B2 F
D2 F2 U' L' U' F
D2 F2 U2 L' F L
L F2 U2 R F' B2
L F2 U2 R B2 F'
L F2 U2 B2 R F'
R' F2 B U2 L' B
R' F2 B U2 B L'
R F2 U2 F B2 L
R F2 U2 B2 F L
U2 F2 B2 R F' R'
U2 B R F' R' B
R' B R2 F' R' U2
D B U L2 R' U
D B U R' L2 U
R B U2 F' L' B
R B U2 F' B L'
R B U2 B F' L'
R' B F' U2 B L
R' B F2 U2 L' B
R' B F2 U2 B L'
R' B' R B2 U2 B
U2 B' R F' R' B'
R B' U2 F' B' L
R B' U2 B' L F'
R B' U2 B' F' L
U2 B2 L D2 L' F
R' B2 R B' U2 B
U2 B2 R D F' R'
U2 B2 R D' F' R'
U2 B2 R D2 F' R'
U2 B2 R F R' F2
U2 B2 R F' R' D
U2 B2 R F' R' D'
U2 B2 R F' R' D2
U2 B2 R F' D R'
U2 B2 R F' D' R'
U2 B2 R F' D2 R'
U2 B2 R F2 R' F
R B2 L F2 R F
U2 B2 U' R U F'
U2 B2 D2 L' F L
U2 B2 F R F' R'
U2 B2 F' R F' R'
U2 B2 F2 R F' R'
R B2 F L F2 R
U' L R U' F' B2 D
U' L R U' F' B2 D'
U' L R U' F' B2 D2
U' L R U' B2 D F'
U' L R U' B2 D' F'
U' L R U' B2 D2 F'
U' L R U' B2 F' D
U' L R U' B2 F' D'
U' L R U' B2 F' D2
U L R U F' B2 D
U L R U F' B2 D'
U L R U F' B2 D2
U L R U B2 D F'
U L R U B2 D' F'
U L R U B2 D2 F'
U L R U B2 F' D
U L R U B2 F' D'
U L R U B2 F' D2
U L R D L2 U F'
L' R U F' B2 L R'
L' R U F' B2 R' L
L' R U B2 L F' R'
L' R U B2 F' L R'
L' R U B2 F' R' L
U' L R' U B U2 B
U' L R' D' R2 U' F'
U L R' U' B U2 B
L' R U' F' B2 L R'
L' R U' F' B2 R' L
L' R U' B2 L F' R'
L' R U' B2 F' L R'
L' R U' B2 F' R' L
L' R U2 F' B2 L R'
L' R U2 F' B2 R' L
L' R U2 B2 L F' R'
L' R U2 B2 F' L R'
L' R U2 B2 F' R' L
U L U R F' R' B2
U L U B2 R F' R'
U' L U' R F' R' B2
U' L U' B2 R F' R'
U' L U2 R U F' B2
U' L U2 R U B2 F'
U L U2 R U' F' B2
U L U2 R U' B2 F'
B' L U2 F2 R F' B
B' L U2 F2 R B F'
F' L U2 F2 R F' B2
F' L U2 F2 R B2 F'
F' L U2 F2 B2 R F'
F2 L U2 F2 R F' B2
F2 L U2 F2 R B2 F'
F2 L U2 F2 B2 R F'
F L U2 F2 R F' B2
F L U2 F2 R B2 F'
B L U2 F2 B R F'
F L U2 F2 B2 R F'
F' L U2 B2 F2 R F'
B L U2 B F2 R F'
F2 L U2 B2 F2 R F'
F L U2 B2 F2 R F'
D' L D' L' F2 U2 F'
L' R F B2 L R' F2
L' R F B2 L F2 R'
L' R F B2 R' L F2
L' R F B2 R' F2 L
L2 R F' L B2 L R'
L2 R F' L B2 R' L
B' L D2 L' U2 F B'
B' L D2 L' U2 B' F
F' L D2 L' F2 U2 F'
U2 L D2 L' D2 F B2
U2 L D2 L' D2 B2 F
F2 L D2 L' F2 U2 F'
B L D2 L' U2 F B
B L D2 L' U2 B F
F L D2 L' F2 U2 F'
